Optimas, 506(0 1 2 3 8 5 4 7 6 9), 3025(0 1 2 7 4 5 3 6 9 8), 1680(0 1 2 5 6 3 4 7 8 9), 2147(0 1 2 5 9 8 4 7 6 3)
H-Axis, Max distance, Ratio,Ours,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
100,3628800,100,43,2,1,1,1,43,7428,62550,6807,5809,35,45,39,94,9697,50
99,3592512,99,16,0,0,0,0,35,5945,58491,5541,4948,35,37,33,56,7427,24
98,3556224,98,20,0,0,0,0,33,5794,58233,5694,4848,33,72,32,54,7323,24
97,3519936,97,14,0,0,0,0,33,5695,58417,5364,4803,32,36,38,55,7227,24
96,3483648,96,22,0,0,0,0,34,5949,58223,5474,4869,32,60,32,55,7306,24
95,3447360,95,24,0,0,0,0,45,6122,58556,5553,4937,65,37,51,55,7482,25
94,3411072,94,20,0,0,0,0,37,6757,62752,6384,5747,42,105,33,62,8212,31
93,3374784,93,14,0,0,0,0,35,5831,57418,5513,4850,34,36,32,55,7349,28
92,3338496,92,15,0,0,0,0,34,5938,57412,5555,4908,33,37,32,55,7421,24
91,3302208,91,17,0,0,0,0,33,5939,57838,5587,4921,62,36,51,55,7429,24
90,3265920,90,15,0,0,0,0,33,5946,57311,5433,4975,35,36,32,54,7332,24
89,3229632,89,15,0,0,0,0,170,6016,57083,5475,4850,32,37,32,55,7256,38
88,3193344,88,15,0,0,0,0,33,5890,57588,5581,4930,32,36,32,55,7320,24
87,3157056,87,21,0,0,0,0,33,5784,57209,5514,4738,33,36,32,54,7299,24
86,3120768,86,15,0,0,0,0,43,5964,57888,5625,4999,35,36,38,55,7430,24
85,3084480,85,15,0,0,0,0,34,5972,57589,5524,4970,38,43,34,55,7386,43
84,3048192,84,16,0,0,0,0,34,5971,57941,5555,4755,37,126,34,85,7471,27
83,3011904,83,15,0,0,0,0,33,5906,57293,5526,4806,37,37,32,54,7379,25
82,2975616,82,14,0,0,0,0,34,5967,57334,5557,4939,33,36,32,55,7434,24
81,2939328,81,20,0,0,0,0,33,6050,58024,5568,5046,39,36,32,54,7504,24
80,2903040,80,15,0,0,0,0,33,5882,57592,5520,4803,32,37,33,55,7367,34
79,2866752,79,17,0,0,0,0,33,5727,57731,5536,4670,33,38,71,54,7180,24
78,2830464,78,20,0,0,0,0,33,5771,57583,5605,4740,32,53,32,56,7192,25
77,2794176,77,15,0,0,0,0,34,5912,58008,5609,4811,48,37,34,56,7404,26
76,2757888,76,14,0,0,0,0,48,5816,57249,5461,4767,33,36,33,64,7257,26
75,2721600,75,14,0,0,0,0,36,5857,57732,5481,4921,33,40,35,136,7329,28
74,2685312,74,14,0,0,0,0,33,5721,57926,5472,4738,48,36,32,54,7274,26
73,2649024,73,17,0,0,0,0,43,5859,57876,5576,4854,43,40,39,62,7323,25
72,2612736,72,14,0,0,0,0,56,5832,57543,5577,4749,35,39,32,54,7260,24
71,2576448,71,20,0,0,0,0,34,5949,58101,5482,4867,42,43,39,60,7307,30
70,2540160,70,14,0,0,0,0,33,5808,58334,5590,4916,34,36,31,54,7366,27
69,2503872,69,16,0,0,0,0,34,6017,57903,5487,4967,33,36,32,54,7454,24
68,2467584,68,14,0,0,0,0,33,5986,57720,5501,4940,32,38,32,54,7410,24
67,2431296,67,14,0,0,0,0,34,6108,58373,5658,4955,32,40,33,56,7473,25
66,2395008,66,14,0,0,0,0,35,5982,57951,5518,4974,34,36,32,59,7380,84
65,2358720,65,14,0,0,0,0,39,5900,57773,5660,4924,36,38,90,102,7316,26
64,2322432,64,17,0,0,0,0,33,5814,57714,5656,4816,33,38,32,54,7344,24
63,2286144,63,14,0,0,0,0,40,5925,58209,5703,4873,40,38,32,53,7339,24
62,2249856,62,14,0,0,0,0,34,5917,57916,5605,4943,35,37,32,99,7409,26
61,2213568,61,14,0,0,0,0,34,5997,58033,5428,4867,53,37,34,55,7261,29
60,2177280,60,15,0,0,0,0,35,5868,57910,5634,4928,32,48,32,53,7310,24
59,2140992,59,19,0,0,0,0,35,6131,57885,5576,5219,43,36,33,55,7379,24
58,2104704,58,82,0,0,0,0,128,5815,58055,5616,4723,34,39,33,57,7266,25
57,2068416,57,13,0,0,0,0,34,6005,58071,5520,5015,34,38,32,57,7389,25
56,2032128,56,15,0,0,0,0,52,5885,57682,5397,4918,66,39,32,53,7229,50
55,1995840,55,23,0,0,0,0,35,6089,57632,5474,5022,41,37,33,59,7276,26
54,1959552,54,16,0,0,0,0,33,6256,58503,5706,5262,35,38,33,161,7616,32
53,1923264,53,42,0,0,0,0,34,6049,58410,5629,4761,37,42,56,56,7304,25
52,1886976,52,21,0,0,0,0,35,5839,58195,5617,4969,34,44,33,56,7293,39
51,1850688,51,21,0,0,0,0,34,6005,57930,5551,4915,32,45,32,54,7252,24
50,1814400,50,15,0,0,0,0,33,5769,57960,5450,4881,33,36,34,56,7211,40
49,1778112,49,13,0,0,0,0,34,5925,57813,5475,4910,45,51,33,73,7458,36
48,1741824,48,16,0,0,0,0,35,6123,58268,5628,5104,33,37,32,56,7479,25
47,1705536,47,15,0,0,0,0,36,6024,58305,5560,5103,33,36,48,52,7445,24
46,1669248,46,15,0,0,0,0,35,6149,58006,5498,5204,32,37,33,52,7435,26
45,1632960,45,15,0,0,0,0,33,6092,58100,5536,5140,32,36,32,52,7486,24
44,1596672,44,123,0,0,0,0,40,6321,58009,5619,5254,35,38,33,53,7521,50
43,1560384,43,13,0,0,0,0,41,6027,57988,5545,5063,32,44,34,53,7409,28
42,1524096,42,14,0,0,0,0,35,5968,57578,5476,4773,35,38,33,102,7161,24
41,1487808,41,15,0,0,0,0,39,5935,58010,5635,5205,34,40,33,53,7341,27
40,1451520,40,15,0,0,0,0,35,6159,58249,5646,5210,38,40,75,62,7547,41
39,1415232,39,14,0,0,0,0,34,6047,58365,5465,4945,33,37,72,95,7191,25
38,1378944,38,14,0,0,0,0,33,6138,57989,5365,5131,39,37,33,53,7384,43
37,1342656,37,59,0,0,0,0,36,6022,58143,5574,5113,33,37,93,69,7173,29
36,1306368,36,14,0,0,0,0,33,6083,57857,5403,4967,43,37,33,65,7215,55
35,1270080,35,14,0,0,0,0,41,5987,57830,5497,5168,35,42,33,55,7268,25
34,1233792,34,14,0,0,0,0,43,6356,58588,5745,5155,32,52,33,54,7867,105
33,1197504,33,15,0,0,0,0,33,6356,58490,5668,5362,37,40,33,55,7531,26
32,1161216,32,14,0,0,0,0,89,6096,58161,5545,5127,44,37,32,55,7316,26
31,1124928,31,15,0,0,0,0,33,6112,58327,5745,5220,44,36,32,53,7380,26
30,1088640,30,14,0,0,0,0,38,6203,58320,5543,5283,144,38,76,54,7430,36
