98%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6],1699998,[4 7 1 3 0 8 5 2 6 9],2117037,[5 8 4 0 2 9 7 3 6 1],1406637,[3 8 9 0 5 7 6 2 4 1],1204758,[3 2 9 0 4 7 5 1 6 8],258085,[0 7 4 2 5 8 6 1 9 3]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10]
1,1675860,[4 6 5 3 7 2 8 0 1 9],485132,[1 4 0 3 8 7 9 5 2 6],1000869,[2 7 8 5 0 4 9 3 6 1],385951,[1 0 6 7 2 4 5 3 9 8],3011645,[8 2 6 4 9 0 1 7 5 3],2700350,[7 3 9 6 2 8 4 1 0 5],143624,[0 4 6 5 3 9 2 7 1 8],654452,[1 8 2 7 9 5 6 3 0 4],793583,[2 1 7 5 3 0 9 8 6 4],2093481,[5 7 9 2 4 6 1 3 8 0]
2,2627435,[7 2 1 4 3 5 6 9 8 0],1371609,[3 8 0 2 1 4 6 7 9 5],2947161,[8 1 0 7 3 6 4 5 9 2],2035421,[5 6 3 8 9 7 0 4 2 1],2364619,[6 4 7 1 2 0 9 3 8 5],1269097,[3 5 4 8 6 9 0 1 7 2],1712692,[4 7 3 8 6 2 0 9 1 5],1644894,[4 5 8 2 6 3 1 0 7 9],3119627,[8 5 2 9 6 7 1 4 3 0],31269,[0 1 8 3 5 6 9 4 7 2]
3,3284332,[9 0 4 6 5 3 1 8 2 7],1728053,[4 7 8 9 0 3 1 6 5 2],1346908,[3 7 4 1 8 2 0 9 5 6],392474,[1 0 7 9 2 6 3 5 4 8],2406407,[6 5 7 3 1 2 9 8 4 0],1739695,[4 8 1 2 3 6 5 0 9 7],1742720,[4 8 1 7 3 6 2 5 0 9],1007797,[2 7 9 8 5 1 4 0 6 3],909743,[2 5 6 4 7 0 9 8 3 1],2348607,[6 4 1 9 8 5 3 2 7 0]
4,667506,[1 8 5 4 0 6 9 2 3 7],3338399,[9 1 7 3 5 8 6 4 2 0],2861254,[7 8 9 4 6 3 5 2 0 1],1055828,[2 9 1 5 4 6 8 3 0 7],751614,[2 0 7 1 9 5 4 3 6 8],1923141,[5 2 7 6 0 1 9 4 8 3],821396,[2 3 4 9 7 8 6 1 0 5],1059221,[2 9 3 1 0 8 4 7 6 5],3537274,[9 6 5 7 8 1 2 4 0 3],3460455,[9 4 7 5 1 0 6 3 8 2]
5,3475690,[9 5 1 6 3 0 4 8 2 7],1410258,[3 8 9 6 5 0 7 1 2 4],753114,[2 0 7 4 9 8 6 1 3 5],3236052,[8 9 2 0 5 1 6 3 4 7],2048491,[5 6 8 3 0 7 9 1 4 2],3123523,[8 5 3 7 1 2 9 0 6 4],1805088,[4 9 7 1 0 5 2 3 6 8],2357913,[6 4 3 8 9 1 2 5 7 0],2844117,[7 8 4 2 0 9 6 3 5 1],1804600,[4 9 7 0 3 2 6 8 1 5]
6,1164812,[3 1 9 0 7 6 8 4 2 5],1938786,[5 3 0 7 8 4 9 1 2 6],3266219,[9 0 1 2 5 6 4 8 7 3],582133,[1 6 4 5 7 0 8 2 9 3],3529398,[9 6 4 1 8 5 2 0 3 7],2682632,[7 3 5 1 9 2 4 6 0 8],244332,[0 7 1 5 4 2 8 3 6 9],3448657,[9 4 5 1 7 8 0 2 6 3],2627120,[7 2 1 3 8 6 4 5 0 9],2311997,[6 3 2 8 0 7 1 9 5 4]
7,2522883,[6 9 4 5 0 1 2 7 8 3],944522,[2 6 4 3 9 0 1 7 5 8],2752485,[7 5 2 0 9 3 8 4 6 1],2786099,[7 6 0 8 4 3 2 9 5 1],3498549,[9 5 7 1 0 4 8 3 6 2],832914,[2 3 7 1 8 9 6 0 4 5],579550,[1 6 3 9 8 4 7 5 0 2],1390130,[3 8 4 7 6 2 0 5 1 9],2528759,[6 9 5 7 0 8 4 3 2 1],3082918,[8 4 3 6 7 9 5 2 0 1]
8,280939,[0 7 9 6 2 1 8 3 5 4],2091427,[5 7 8 9 4 2 6 0 3 1],2043369,[5 6 7 3 0 1 4 8 9 2],747558,[2 0 6 4 3 8 5 1 7 9],1776333,[4 9 0 5 1 7 8 3 6 2],1303217,[3 6 2 7 0 1 8 9 5 4],2492575,[6 8 7 3 9 2 1 0 5 4],1111452,[3 0 6 5 8 1 7 2 4 9],210110,[0 6 2 7 8 9 4 3 1 5],2344231,[6 4 1 0 9 3 5 2 8 7]
9,3352987,[9 2 1 3 8 5 7 0 6 4],756168,[2 0 8 1 4 6 3 5 7 9],3128690,[8 5 4 7 2 3 0 6 1 9],2237919,[6 1 5 0 3 4 8 7 9 2],2523390,[6 9 4 5 7 1 2 0 3 8],503944,[1 4 5 9 8 3 6 7 0 2],422739,[1 2 5 9 0 8 3 6 7 4],561024,[1 5 9 3 2 4 0 6 7 8],1944713,[5 3 1 8 9 7 4 6 2 0],825136,[2 3 5 8 0 1 7 9 4 6]
10,3073966,[8 4 1 9 3 2 7 6 0 5],3205807,[8 7 4 0 5 1 3 2 9 6],3165319,[8 6 4 0 2 7 3 1 9 5],526361,[1 5 0 6 2 4 8 9 7 3],399077,[1 0 9 3 4 7 2 8 6 5],1138047,[3 1 2 8 6 7 5 4 9 0],2587290,[7 1 2 4 5 8 9 0 3 6],2807438,[7 6 5 0 2 3 8 4 1 9],1871774,[5 1 4 3 8 0 7 6 2 9],985758,[2 7 4 6 0 8 3 1 5 9]
11,557203,[1 5 8 4 9 2 7 0 6 3],888983,[2 5 0 4 8 1 9 7 6 3],1974563,[5 3 9 7 2 6 1 8 4 0],3037937,[8 3 2 7 4 0 6 9 5 1],168329,[0 5 2 4 8 7 6 9 3 1],2250280,[6 1 8 4 3 2 7 9 0 5],2658906,[7 2 9 4 8 3 6 0 1 5],2918504,[8 0 4 1 5 9 3 6 2 7],2905777,[8 0 1 5 7 9 2 3 6 4],2760421,[7 5 3 6 9 2 4 0 8 1]
12,1431005,[3 9 4 8 5 0 1 7 6 2],1136480,[3 1 2 6 5 8 4 7 0 9],1282697,[3 5 8 4 6 0 7 9 2 1],1438753,[3 9 6 4 1 7 0 2 8 5],210583,[0 6 2 8 4 9 3 1 7 5],349019,[0 9 6 2 7 4 3 8 5 1],126610,[0 4 2 1 9 3 6 8 5 7],1399819,[3 8 6 7 1 0 9 2 5 4],535645,[1 5 3 2 9 7 6 0 8 4],3258844,[8 9 6 4 1 0 2 7 3 5]
13,2652767,[7 2 8 3 4 1 9 6 5 0],2133624,[5 8 9 2 3 1 0 4 6 7],1572283,[4 2 9 8 6 1 7 0 5 3],1531068,[4 1 9 7 3 8 5 0 2 6],1673875,[4 6 5 0 8 9 7 1 3 2],2850574,[7 8 5 4 0 6 9 3 1 2],65253,[0 2 6 9 5 7 8 3 4 1],2517500,[6 9 3 4 5 0 8 2 1 7],447009,[1 3 0 7 9 2 5 6 8 4],262844,[0 7 5 2 1 4 9 6 3 8]
14,3430392,[9 4 0 6 3 7 1 2 5 8],111025,[0 3 8 1 4 5 2 6 9 7],2054232,[5 6 9 4 0 7 1 2 3 8],3527051,[9 6 3 7 5 0 2 8 4 1],1716902,[4 7 5 6 3 2 8 1 0 9],3269039,[9 0 1 6 3 8 7 5 4 2],437739,[1 2 8 7 9 6 0 4 5 3],1335458,[3 7 0 9 6 8 1 4 2 5],2409724,[6 5 8 0 9 1 2 7 3 4],1105623,[3 0 5 4 7 6 8 2 9 1]
15,416410,[1 2 4 7 5 0 6 9 3 8],3581589,[9 7 6 4 2 3 8 1 5 0],272075,[0 7 6 9 8 2 3 5 4 1],1818189,[5 0 1 8 3 6 9 4 7 2],1799143,[4 9 5 8 6 7 1 0 3 2],3062352,[8 3 9 5 1 6 0 2 4 7],628233,[1 7 5 6 4 2 3 8 9 0],1363797,[3 7 8 5 0 9 6 2 4 1],764803,[2 0 9 7 3 4 8 1 6 5],3311688,[9 1 2 0 6 5 3 4 7 8]
16,2720812,[7 4 3 8 9 2 0 6 1 5],471710,[1 3 7 6 0 9 5 4 2 8],1052088,[2 9 0 7 3 5 1 4 6 8],2813634,[7 6 8 1 5 9 4 0 2 3],1365734,[3 7 8 9 6 0 4 2 1 5],1842410,[5 0 7 4 9 3 1 6 2 8],707073,[1 9 5 3 0 4 6 7 8 2],535542,[1 5 3 2 8 9 4 0 6 7],984989,[2 7 4 5 0 3 1 9 8 6],2670879,[7 3 1 9 5 2 6 4 8 0]
17,3014779,[8 2 7 1 3 0 9 4 6 5],1549150,[4 2 5 3 7 6 9 8 0 1],1018450,[2 8 3 0 6 1 5 9 4 7],3204181,[8 7 3 6 1 4 5 0 9 2],1446804,[3 9 8 0 4 6 5 1 2 7],2549279,[7 0 2 8 5 9 6 4 3 1],2375537,[6 4 9 2 3 0 7 8 5 1],890392,[2 5 0 7 6 9 4 8 1 3],2724630,[7 4 5 6 1 2 3 0 8 9],2767224,[7 5 6 0 3 2 1 4 8 9]
18,2586173,[7 1 2 0 9 5 3 8 6 4],3494191,[9 5 6 2 0 3 4 1 8 7],2888963,[7 9 5 1 3 6 2 8 4 0],745229,[2 0 5 9 1 4 3 8 7 6],1477339,[4 0 7 1 9 2 8 3 6 5],659618,[1 8 3 9 0 7 2 5 4 6],637096,[1 7 8 3 9 0 5 6 2 4],2723188,[7 4 5 2 1 3 0 9 6 8],1279956,[3 5 7 9 6 1 4 0 2 8],466893,[1 3 6 7 4 8 9 2 5 0]
19,1358072,[3 7 6 4 1 2 5 8 0 9],3442491,[9 4 3 0 2 6 1 7 8 5],398599,[1 0 9 2 6 7 4 3 8 5],1165745,[3 1 9 4 0 6 7 8 5 2],1069756,[2 9 5 1 7 6 0 8 3 4],2392300,[6 5 2 7 4 9 0 8 1 3],3359687,[9 2 3 6 1 4 8 7 5 0],2308776,[6 3 2 0 7 9 1 4 5 8],1051194,[2 9 0 5 8 7 6 1 3 4],3554427,[9 7 1 2 6 3 0 5 8 4]
20,108312,[0 3 7 5 4 8 1 2 6 9],2515018,[6 9 3 0 1 5 4 8 2 7],2922145,[8 0 4 7 5 2 1 3 9 6],965148,[2 6 9 4 3 8 5 0 1 7],2133085,[5 8 9 1 4 6 3 0 7 2],1708169,[4 7 2 9 3 6 5 8 1 0],2545349,[7 0 2 1 4 5 3 9 8 6],2843190,[7 8 4 0 9 2 3 1 5 6],199062,[0 5 9 4 3 8 2 1 6 7],2023358,[5 6 1 4 2 3 8 7 0 9]
21,2857099,[7 8 6 9 1 0 5 2 4 3],1026291,[2 8 4 6 3 5 0 7 9 1],2211998,[6 0 8 9 2 3 5 4 1 7],3334801,[9 1 6 5 7 0 2 3 8 4],3454480,[9 4 6 2 8 1 5 7 0 3],2465524,[6 8 1 2 4 0 3 9 5 7],1323736,[3 6 8 5 4 0 7 9 1 2],527949,[1 5 0 8 3 6 9 4 7 2],1302221,[3 6 2 4 7 9 0 8 5 1],362738,[0 9 8 7 5 6 1 3 2 4]
22,2638327,[7 2 4 5 3 0 6 1 9 8],706173,[1 9 5 0 7 6 8 3 4 2],1452393,[4 0 1 3 5 6 7 8 9 2],2432471,[6 7 2 5 3 4 9 8 1 0],2777053,[7 5 9 0 1 2 6 3 8 4],542407,[1 5 4 7 3 0 6 2 9 8],644704,[1 7 9 8 3 4 5 6 0 2],1711400,[4 7 3 5 9 6 1 2 0 8],1301168,[3 6 2 1 4 0 7 8 5 9],1213759,[3 4 0 8 7 6 2 1 9 5]
23,1857595,[5 1 0 6 9 8 7 2 4 3],185652,[0 5 6 8 9 1 4 2 3 7],2183429,[6 0 2 3 7 4 1 9 8 5],2924667,[8 0 5 3 1 4 2 7 9 6],1500590,[4 1 2 8 0 9 6 5 3 7],1806558,[4 9 7 3 0 6 2 1 5 8],3135640,[8 5 7 1 0 3 6 9 2 4],782265,[2 1 5 3 6 9 4 7 8 0],2896844,[7 9 6 5 2 1 8 3 0 4],906718,[2 5 4 9 1 8 7 6 0 3]
24,494514,[1 4 3 0 8 9 7 2 5 6],3078139,[8 4 2 7 1 0 9 3 6 5],101114,[0 3 6 1 5 8 2 7 4 9],1230582,[3 4 6 1 0 9 5 2 7 8],1423027,[3 9 2 4 5 6 8 0 7 1],916260,[2 5 7 8 4 3 6 0 1 9],3090675,[8 4 6 1 5 7 0 3 9 2],544237,[1 5 4 9 8 2 6 0 7 3],3457502,[9 4 7 0 1 5 6 3 2 8],1720891,[4 7 6 3 0 8 9 1 5 2]
25,1800728,[4 9 6 2 0 1 5 7 3 8],3079538,[8 4 3 0 1 9 2 6 5 7],563076,[1 5 9 7 0 3 6 2 4 8],2899226,[7 9 8 1 5 2 0 4 3 6],2873003,[7 9 2 0 3 6 4 8 5 1],961679,[2 6 8 7 4 9 5 3 1 0],2957325,[8 1 3 7 4 2 9 5 6 0],3219094,[8 7 6 4 9 3 5 2 0 1],2119183,[5 8 4 3 1 9 2 0 7 6],2332649,[6 3 8 7 5 4 2 9 1 0]
26,46009,[0 2 3 1 9 6 4 5 8 7],1878411,[5 1 6 7 9 3 0 4 8 2],3471773,[9 5 0 7 8 3 1 6 4 2],2010960,[5 4 9 0 1 2 3 6 7 8],3364539,[9 2 4 5 8 7 0 3 6 1],3142455,[8 5 9 3 4 0 6 2 7 1],128119,[0 4 2 5 9 7 3 1 8 6],969781,[2 7 0 4 9 5 6 1 8 3],1400465,[3 8 6 9 0 4 5 7 2 1],2366119,[6 4 7 3 1 8 2 0 9 5]
27,2159847,[5 9 4 3 7 6 2 1 8 0],551362,[1 5 7 3 8 6 2 9 0 4],2600980,[7 1 5 0 4 9 2 8 3 6],425241,[1 2 6 4 7 8 3 5 9 0],2319937,[6 3 5 2 0 9 1 4 8 7],164179,[0 5 1 7 2 3 9 4 8 6],3019143,[8 2 9 0 3 5 6 4 7 1],1201015,[3 2 8 4 0 6 5 1 9 7],364605,[1 0 2 5 6 4 9 7 8 3],3006780,[8 2 5 6 0 4 7 1 3 9]
28,3184419,[8 6 9 5 4 7 0 2 3 1],142597,[0 4 6 3 1 5 8 2 9 7],2117725,[5 8 4 1 2 7 6 0 9 3],3512112,[9 6 0 7 8 4 1 2 3 5],1350761,[3 7 5 0 1 4 8 9 6 2],3322831,[9 1 4 3 0 5 6 2 8 7],931270,[2 6 0 8 4 5 9 7 1 3],1992013,[5 4 3 1 8 0 7 2 9 6],1962645,[5 3 7 2 9 1 8 4 6 0],2155113,[5 9 3 6 1 2 4 7 8 0]
29,70143,[0 2 7 9 4 5 6 3 8 1],1314658,[3 6 5 8 9 2 1 7 0 4],2051787,[5 6 9 0 7 2 1 4 8 3],994120,[2 7 6 1 8 3 5 9 0 4],2399781,[6 5 4 1 0 2 9 7 8 3],810865,[2 3 0 9 4 5 1 6 8 7],2718127,[7 4 3 2 1 0 6 5 9 8],1207976,[3 2 9 6 7 4 1 5 0 8],3079665,[8 4 3 0 2 9 5 6 7 1],95872,[0 3 5 1 2 9 7 8 4 6]
30,743416,[2 0 5 6 7 1 8 9 3 4],3509911,[9 6 0 3 8 2 4 1 7 5],3516229,[9 6 1 5 4 8 3 0 7 2],3408510,[9 3 5 2 0 4 6 1 7 8],2794968,[7 6 2 4 9 3 0 1 5 8],3508934,[9 6 0 2 5 1 7 4 3 8],2213234,[6 0 9 1 8 5 2 4 3 7],1200449,[3 2 8 1 4 7 6 9 5 0],3245491,[8 9 3 7 4 5 6 0 2 1],185396,[0 5 6 8 3 9 7 2 1 4]
