Optimas, 10210(0 1 4 2 5 3 7 9 6 8), 1689280(4 6 9 1 2 3 7 8 0 5), 486002(1 4 0 6 2 3 5 8 7 9), 324738(0 9 1 5 2 3 8 4 6 7), 1120434(3 0 8 4 1 9 7 2 5 6), 1699998(4 7 1 3 0 8 5 2 6 9), 2117037(5 8 4 0 2 9 7 3 6 1), 1406637(3 8 9 0 5 7 6 2 4 1), 1204758(3 2 9 0 4 7 5 1 6 8), 258085(0 7 4 2 5 8 6 1 9 3)
H-Axis, Max distance, Ratio,LCDM,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
100,3628800,100,830,59,0,0,0,441,50796,468832,37454,41534,198,211,191,292,75147,417
99,3592512,99,72,0,0,0,0,171,48036,445223,34415,39306,174,205,185,290,69341,219
98,3556224,98,73,0,0,0,0,177,47983,445077,34048,38956,171,203,187,275,68968,144
97,3519936,97,105,0,0,0,0,177,48809,444129,34498,39788,182,203,207,259,69036,141
96,3483648,96,69,0,0,0,0,170,49597,447554,34294,40101,170,256,231,256,70501,141
95,3447360,95,101,0,0,0,0,204,47824,443781,35015,38839,169,206,204,249,68490,137
94,3411072,94,80,0,0,0,0,190,46844,442025,34109,37063,172,211,175,242,67533,138
93,3374784,93,69,0,0,0,0,171,48561,444245,33811,39088,165,202,179,285,68622,138
92,3338496,92,96,0,0,0,0,172,47220,443468,34640,38618,201,213,186,250,68885,145
91,3302208,91,62,0,0,0,0,197,47911,443529,33788,39099,167,236,186,286,67934,141
90,3265920,90,65,0,0,0,0,172,50778,457266,36552,41029,198,210,179,263,72873,142
89,3229632,89,66,0,0,0,0,172,52196,464013,40721,42717,169,205,212,252,72664,177
88,3193344,88,65,0,0,0,0,182,49080,446042,34090,40187,201,255,195,248,69116,138
87,3157056,87,73,0,0,0,0,216,49773,448526,33490,40214,164,209,237,253,69578,141
86,3120768,86,91,0,0,0,0,202,46814,442967,34317,37962,183,201,182,238,68267,139
85,3084480,85,111,0,0,0,0,170,49254,444334,34637,39368,173,230,176,245,69097,172
84,3048192,84,67,0,0,0,0,178,48989,444996,34612,39016,169,247,191,251,69123,149
83,3011904,83,72,0,0,0,0,172,48669,442717,34437,40069,183,212,214,301,68755,140
82,2975616,82,69,0,0,0,0,175,47899,441656,33898,38905,205,244,191,248,68065,138
81,2939328,81,71,0,0,0,0,174,47552,441697,33718,39172,177,265,186,253,68136,140
80,2903040,80,66,0,0,0,0,199,47380,442209,33551,38272,169,219,177,241,67826,141
79,2866752,79,69,0,0,0,0,170,48602,443739,34741,39498,220,255,182,629,69220,138
78,2830464,78,74,0,0,0,0,210,46573,442376,34054,37217,180,246,177,246,68122,171
77,2794176,77,115,0,0,0,0,210,46625,442995,34178,38220,173,295,179,247,67236,136
76,2757888,76,70,0,0,0,0,211,48411,443572,34318,39365,176,234,230,244,69585,139
75,2721600,75,102,0,0,0,0,221,47312,444609,33705,38650,168,217,196,252,68301,144
74,2685312,74,91,0,0,0,0,186,47923,442469,32976,38707,164,220,191,242,68503,143
73,2649024,73,69,0,0,0,0,174,47008,443708,34147,38311,173,207,189,249,67218,136
72,2612736,72,70,0,0,0,0,169,47593,445460,34008,39440,186,200,178,280,68215,139
71,2576448,71,70,0,0,0,0,172,47960,443129,34734,38836,180,201,176,252,68657,142
70,2540160,70,101,0,0,0,0,174,48245,444732,33735,40030,164,201,205,273,68454,138
69,2503872,69,67,0,0,0,0,171,48640,442972,34769,39647,165,229,174,240,69433,138
68,2467584,68,72,0,0,0,0,169,47263,442607,33893,38974,168,202,177,253,68102,140
67,2431296,67,71,0,0,0,0,180,48402,443345,33589,40001,167,238,182,247,68758,138
66,2395008,66,70,0,0,0,0,172,48278,444108,33239,39543,181,200,182,304,69171,138
65,2358720,65,98,0,0,0,0,170,48132,443992,33500,39077,193,218,177,245,68084,139
64,2322432,64,83,0,0,0,0,179,47796,443184,33972,38807,177,207,185,251,68633,139
63,2286144,63,73,0,0,0,0,175,47707,443749,33776,38518,210,224,222,251,68379,143
