2%,Optima 1, Optima [1],Optima 2, Optima [2]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2]
1,69015,[0 2 7 6 9 1 5 4 8 3],1695599,[4 7 0 3 9 8 6 5 2 1]
2,57602,[0 2 5 6 1 3 4 8 7 9],1705811,[4 7 2 5 1 0 6 9 8 3]
3,69276,[0 2 7 8 3 4 6 1 5 9],1659792,[4 6 1 3 2 8 0 5 7 9]
4,29417,[0 1 7 8 9 2 5 6 4 3],1686007,[4 6 8 3 7 0 2 1 9 5]
5,61202,[0 2 6 3 1 4 5 8 7 9],1676997,[4 6 5 8 0 9 7 2 3 1]
6,42234,[0 2 1 5 7 9 8 3 4 6],1714464,[4 7 5 1 2 3 0 6 8 9]
7,43111,[0 2 1 6 9 4 5 3 8 7],1692353,[4 6 9 7 2 8 3 5 1 0]
8,24517,[0 1 6 9 2 4 7 3 8 5],1711576,[4 7 3 6 1 0 8 9 2 5]
9,35025,[0 1 8 9 5 7 3 4 6 2],1721583,[4 7 6 5 0 3 8 2 9 1]
10,78450,[0 2 9 5 8 6 7 1 3 4],1712947,[4 7 3 9 0 5 8 1 6 2]
11,25162,[0 1 6 9 8 5 3 7 2 4],1725291,[4 7 8 2 1 5 0 6 9 3]
12,40957,[0 2 1 3 9 5 7 4 8 6],1681848,[4 6 7 5 9 2 0 1 3 8]
13,43135,[0 2 1 6 9 5 4 3 8 7],1726326,[4 7 8 3 6 0 2 1 5 9]
14,79992,[0 2 9 8 1 6 3 4 5 7],1684838,[4 6 8 2 0 3 7 5 1 9]
15,72665,[0 2 8 4 9 5 6 7 3 1],1698928,[4 7 1 0 6 8 5 9 2 3]
16,42014,[0 2 1 5 6 3 8 7 4 9],1672843,[4 6 3 9 2 1 8 0 7 5]
17,47053,[0 2 3 5 6 1 8 4 9 7],1698021,[4 7 0 9 3 1 8 5 6 2]
18,69675,[0 2 7 8 6 5 1 4 9 3],1722827,[4 7 6 8 5 9 1 3 2 0]
19,13939,[0 1 4 8 5 2 9 3 7 6],1681796,[4 6 7 5 8 9 3 1 0 2]
20,50524,[0 2 4 1 5 3 6 9 7 8],1673756,[4 6 5 0 7 9 8 2 1 3]
21,72692,[0 2 8 4 9 6 7 3 1 5],1662282,[4 6 1 8 7 2 9 0 3 5]
22,23868,[0 1 6 8 2 9 5 3 4 7],1704628,[4 7 2 1 6 3 0 9 5 8]
23,57454,[0 2 5 4 8 7 9 6 1 3],1672939,[4 6 3 9 5 0 8 1 7 2]
24,15091,[0 1 4 9 8 6 7 2 5 3],1659719,[4 6 1 3 0 9 8 7 5 2]
25,24905,[0 1 6 9 5 4 7 8 3 2],1689750,[4 6 9 1 8 2 3 0 5 7]
26,34608,[0 1 8 9 2 5 3 4 6 7],1707017,[4 7 2 6 9 0 5 8 3 1]
27,48873,[0 2 3 7 9 4 5 6 8 1],1727821,[4 7 8 6 5 2 3 0 9 1]
28,54257,[0 2 4 8 5 1 7 9 6 3],1680369,[4 6 7 2 9 0 3 5 8 1]
29,12128,[0 1 4 5 9 2 6 7 3 8],1720958,[4 7 6 3 1 2 8 5 0 9]
30,81692,[0 3 1 4 6 8 9 5 2 7],1684689,[4 6 8 1 9 0 3 5 7 2]
31,47430,[0 2 3 5 9 4 6 1 7 8],1690439,[4 6 9 2 7 8 5 3 1 0]
32,73866,[0 2 8 6 5 4 9 1 3 7],1671473,[4 6 3 7 2 9 5 8 1 0]
33,10254,[0 1 4 2 5 7 6 3 8 9],1709391,[4 7 3 1 0 9 6 5 8 2]
34,41066,[0 2 1 4 3 6 5 8 7 9],1705870,[4 7 2 5 1 6 9 8 0 3]
35,11584,[0 1 4 5 2 7 8 9 3 6],1708010,[4 7 2 9 1 5 0 6 3 8]
36,78731,[0 2 9 6 4 1 5 8 7 3],1661186,[4 6 1 7 2 3 0 8 5 9]
37,10164,[0 1 4 2 3 8 7 5 6 9],1657427,[4 6 0 8 9 7 2 5 3 1]
38,18760,[0 1 5 8 2 4 7 9 3 6],1697633,[4 7 0 8 6 9 3 5 2 1]
39,22394,[0 1 6 5 2 8 3 7 4 9],1659694,[4 6 1 3 0 8 9 7 2 5]
40,33809,[0 1 8 6 9 5 4 7 3 2],1686573,[4 6 8 5 2 7 9 1 3 0]
41,20325,[0 1 6 2 4 5 9 7 8 3],1712340,[4 7 3 8 1 5 6 0 2 9]
42,42385,[0 2 1 5 9 4 3 6 8 7],1665955,[4 6 2 5 8 9 7 0 3 1]
43,78825,[0 2 9 6 4 8 3 5 7 1],1705935,[4 7 2 5 3 0 8 6 9 1]
44,33017,[0 1 8 5 9 2 6 7 4 3],1657061,[4 6 0 8 3 9 1 7 5 2]
45,52450,[0 2 4 5 9 1 6 8 3 7],1676381,[4 6 5 7 1 9 0 8 3 2]
46,60065,[0 2 5 9 4 6 7 8 3 1],1725620,[4 7 8 2 6 0 9 3 1 5]
47,23259,[0 1 6 7 3 9 2 5 8 4],1701342,[4 7 1 5 9 8 2 0 3 6]
48,44408,[0 2 1 8 7 3 5 6 4 9],1725836,[4 7 8 2 9 6 5 1 0 3]
49,52940,[0 2 4 6 7 1 9 5 3 8],1707373,[4 7 2 8 3 0 6 1 9 5]
50,56827,[0 2 5 3 9 6 8 1 7 4],1694092,[4 7 0 1 9 5 2 8 3 6]
51,79779,[0 2 9 7 6 8 1 4 5 3],1723396,[4 7 6 9 3 5 0 8 1 2]
52,26067,[0 1 7 3 4 5 2 8 9 6],1665146,[4 6 2 3 8 1 0 7 5 9]
53,38216,[0 1 9 6 2 5 4 7 3 8],1682807,[4 6 7 9 1 2 8 5 3 0]
54,68521,[0 2 7 6 3 1 4 5 9 8],1668575,[4 6 3 0 5 8 9 7 2 1]
55,74631,[0 2 8 7 5 9 4 3 6 1],1706313,[4 7 2 5 9 1 3 6 8 0]
56,43935,[0 2 1 8 3 4 7 6 9 5],1708057,[4 7 2 9 1 8 0 3 6 5]
57,54507,[0 2 4 8 7 3 1 6 9 5],1693274,[4 6 9 8 5 3 0 2 1 7]
58,82084,[0 3 1 5 2 4 6 9 7 8],1665055,[4 6 2 3 7 5 1 0 9 8]
59,81551,[0 3 1 4 5 7 9 8 6 2],1708436,[4 7 2 9 6 8 5 1 0 3]
60,77409,[0 2 9 4 6 1 5 7 8 3],1713321,[4 7 3 9 5 6 1 2 8 0]
61,54142,[0 2 4 8 3 1 9 7 5 6],1713121,[4 7 3 9 2 0 1 5 8 6]
62,39410,[0 1 9 7 6 4 2 5 3 8],1705968,[4 7 2 5 3 6 0 1 8 9]
63,52304,[0 2 4 5 7 9 3 6 1 8],1710989,[4 7 3 5 2 1 0 9 8 6]
64,60985,[0 2 6 1 8 4 3 5 9 7],1714346,[4 7 5 1 0 3 2 8 6 9]
65,25224,[0 1 7 2 3 5 4 6 8 9],1669538,[4 6 3 1 8 9 0 5 2 7]
66,43821,[0 2 1 7 9 3 8 5 6 4],1670422,[4 6 3 5 0 1 9 8 2 7]
67,52843,[0 2 4 6 5 3 9 1 8 7],1700269,[4 7 1 3 5 9 6 0 8 2]
68,51401,[0 2 4 3 6 5 8 9 7 1],1677667,[4 6 5 9 0 3 8 1 7 2]
69,26560,[0 1 7 3 9 4 6 8 2 5],1704885,[4 7 2 1 9 3 8 5 6 0]
70,25778,[0 1 7 2 8 9 3 5 4 6],1666053,[4 6 2 5 9 7 8 1 3 0]
71,54150,[0 2 4 8 3 5 6 1 7 9],1667488,[4 6 2 8 9 5 3 7 0 1]
72,80986,[0 3 1 2 6 9 5 8 4 7],1714439,[4 7 5 1 0 9 8 6 3 2]
73,34826,[0 1 8 9 4 3 2 6 5 7],1668577,[4 6 3 0 5 9 1 2 8 7]
74,58314,[0 2 5 6 9 8 7 1 3 4],1716690,[4 7 5 6 1 8 9 0 2 3]
75,38644,[0 1 9 6 7 2 3 8 4 5],1691085,[4 6 9 3 7 1 8 2 5 0]
76,79042,[0 2 9 6 7 5 3 8 1 4],1670119,[4 6 3 2 7 8 1 0 9 5]
77,67649,[0 2 7 4 9 6 5 8 3 1],1724793,[4 7 8 1 5 2 3 6 9 0]
78,70253,[0 2 7 9 5 4 1 8 6 3],1660238,[4 6 1 3 9 2 7 5 0 8]
