Optimas, 10210(0 1 4 2 5 3 7 9 6 8), 1689280(4 6 9 1 2 3 7 8 0 5)
H-Axis, Max distance, Ratio,LCDM,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
100,3628800,100,325,0,0,1,0,279,49389,468730,38752,40973,250,285,217,291,76609,158
99,3592512,99,76,0,0,0,0,186,45396,447508,34192,36489,166,201,188,252,70532,146
98,3556224,98,77,0,0,0,0,196,45817,447532,34759,36382,167,243,179,242,70100,143
97,3519936,97,90,0,0,0,0,234,45240,447542,33942,37089,175,211,186,246,69985,152
96,3483648,96,76,0,0,0,0,175,45229,448674,33954,36720,176,200,186,251,69150,140
95,3447360,95,72,0,0,0,0,178,45395,447698,34354,37124,187,226,198,248,69588,146
94,3411072,94,111,0,0,0,0,173,45367,445782,33642,36836,171,272,178,258,70197,142
93,3374784,93,86,0,0,0,0,179,46838,446505,34117,38635,202,218,205,254,70011,144
92,3338496,92,72,0,0,0,0,177,44943,447268,33954,36885,167,201,198,242,69514,138
91,3302208,91,72,0,0,0,0,169,46492,448371,33890,37838,170,275,177,243,69373,140
90,3265920,90,79,0,0,0,0,171,44220,445605,34228,35857,168,205,189,245,69915,140
89,3229632,89,79,0,0,0,0,188,45059,447378,34182,36555,170,198,178,250,69053,142
88,3193344,88,117,0,0,0,0,175,46060,450346,34485,37938,240,200,179,250,70588,137
87,3157056,87,116,0,0,0,0,224,46097,446244,33841,37350,167,213,211,244,70191,141
86,3120768,86,97,0,0,0,0,207,44988,445855,33657,36728,180,250,210,243,69005,144
85,3084480,85,75,0,0,0,0,170,44906,447293,33598,36563,171,203,183,248,69048,147
84,3048192,84,66,0,0,0,0,169,46396,447703,34138,37773,168,198,177,244,70938,137
83,3011904,83,133,0,0,0,0,192,46004,447135,34733,37203,185,224,195,263,69572,147
82,2975616,82,62,0,0,0,0,184,45146,444761,33901,36603,165,209,210,246,68336,141
81,2939328,81,75,0,0,0,0,184,44631,444405,33593,36566,178,214,181,250,68276,140
80,2903040,80,80,0,0,0,0,193,45355,446138,34406,36963,172,214,195,251,70217,143
79,2866752,79,70,0,0,0,0,174,44801,444894,33650,36320,180,218,183,256,68479,145
78,2830464,78,83,0,0,0,0,210,46913,447080,34711,37899,168,203,178,288,69963,161
77,2794176,77,67,0,0,0,0,171,44919,445576,34206,36246,194,205,178,243,69809,145
76,2757888,76,129,0,0,0,0,205,45526,445632,34084,37501,163,212,175,244,69496,138
75,2721600,75,72,0,0,0,0,177,46237,449478,34260,36955,178,209,204,259,70610,144
74,2685312,74,70,0,0,0,0,170,44855,445667,34233,36518,165,216,211,243,67600,162
73,2649024,73,108,0,0,0,0,182,47016,450183,34276,38040,181,211,211,250,70137,156
72,2612736,72,64,0,0,0,0,168,47050,450248,34977,38452,194,205,182,239,71618,141
71,2576448,71,101,0,0,0,0,205,46185,447992,33613,37087,171,258,208,243,69249,142
70,2540160,70,67,0,0,0,0,169,46686,449932,33772,38109,172,206,180,242,69792,139
69,2503872,69,68,0,0,0,0,176,44569,452238,33964,36374,183,215,193,249,68737,156
68,2467584,68,65,0,0,0,0,169,45579,447231,33586,36629,202,197,179,243,68397,142
67,2431296,67,68,0,0,0,0,171,45906,448063,33727,37104,195,202,233,279,70011,138
66,2395008,66,86,0,0,0,0,171,44274,448894,33757,37059,165,236,179,243,68414,137
65,2358720,65,70,0,0,0,0,171,45913,448563,34085,37368,172,213,178,246,69433,139
64,2322432,64,89,0,0,0,0,168,45262,449062,33766,36635,167,204,182,256,69887,150
63,2286144,63,77,0,0,0,0,178,45984,450140,34697,37881,173,216,195,293,69414,144
62,2249856,62,117,0,0,0,0,205,47139,449288,33640,39098,168,252,187,254,70459,143
61,2213568,61,68,0,0,0,0,169,45116,448270,33055,36295,166,228,186,257,68783,150
60,2177280,60,66,0,0,0,0,172,45081,450137,33998,36931,174,214,181,258,69563,144
59,2140992,59,68,0,0,0,0,173,45863,449190,33859,37009,168,201,176,245,69642,140
58,2104704,58,101,0,0,0,0,179,44331,445374,33861,36084,170,214,183,239,69165,139
57,2068416,57,108,0,0,0,0,172,45771,449807,33780,38004,165,210,178,505,69306,140
56,2032128,56,75,0,0,0,0,180,45580,451905,35037,37135,185,214,191,249,68524,146
55,1995840,55,70,0,0,0,0,179,44895,446217,33239,36698,172,222,177,248,69432,142
54,1959552,54,94,0,0,0,0,219,46591,450108,34867,38855,259,212,186,299,71396,147
53,1923264,53,68,0,0,0,0,171,46149,452290,33601,36911,202,200,195,243,71229,141
52,1886976,52,102,0,0,0,0,178,46248,451524,33906,38079,172,203,184,244,69671,139
51,1850688,51,67,0,0,0,0,170,47865,449181,34485,38745,185,200,174,242,70161,138
50,1814400,50,62,0,0,0,0,169,44966,449056,34898,36524,168,221,179,243,69422,141
49,1778112,49,66,0,0,0,0,170,45454,447902,33202,37129,164,200,174,239,69487,142
48,1741824,48,74,0,0,0,0,173,44606,446127,33925,36813,166,216,177,243,68379,169
47,1705536,47,65,0,0,0,0,176,46685,447594,34211,38813,169,209,179,248,69737,161
46,1669248,46,71,0,0,0,0,177,45000,444804,33939,36692,170,208,190,244,68341,149
45,1632960,45,110,0,0,0,0,210,46222,446765,34184,37830,168,205,181,241,68953,139
44,1596672,44,71,0,0,0,0,174,45286,450420,34285,36390,173,208,176,245,68784,141
43,1560384,43,93,0,0,0,0,186,47248,449241,34983,39114,178,282,186,254,70557,149
42,1524096,42,93,0,0,0,0,193,45638,448015,33640,38116,168,252,191,245,69211,685
41,1487808,41,72,0,0,0,0,170,46028,447325,34140,37918,177,198,176,290,69014,141
40,1451520,40,74,0,0,0,0,188,45643,448407,33756,37895,171,247,188,290,68869,179
39,1415232,39,68,0,0,0,0,205,44600,445384,34934,36482,166,217,176,245,68900,139
38,1378944,38,63,0,0,0,0,171,45048,446333,34156,37061,175,211,176,238,68606,139
37,1342656,37,105,0,0,0,0,228,46081,448565,33984,37924,181,251,183,242,69335,144
36,1306368,36,72,0,0,0,0,184,44855,445732,33706,37145,165,204,176,260,68114,140
35,1270080,35,79,0,0,0,0,217,45308,447344,34143,36468,175,244,203,239,68680,136
34,1233792,34,139,0,0,0,0,178,45334,447931,34325,37808,203,213,180,237,69342,139
33,1197504,33,70,0,0,0,0,180,45577,448258,35344,37719,167,241,175,294,68697,137
32,1161216,32,108,0,0,0,0,171,45646,446204,34349,37598,171,206,183,281,68228,142
31,1124928,31,92,0,0,0,0,172,44804,446132,34901,37334,175,203,176,241,68100,153
30,1088640,30,99,0,0,0,0,178,46105,446897,34289,37435,188,250,211,249,68457,143
29,1052352,29,74,0,0,0,0,181,44905,446514,33374,36280,215,239,178,252,67698,140
28,1016064,28,71,0,0,0,0,181,44433,444795,33785,36713,169,199,176,238,68207,140
27,979776,27,71,0,0,0,0,176,44581,445740,33852,36574,173,219,179,237,68658,142
26,943488,26,94,0,0,0,0,185,44859,448135,34048,36453,182,224,174,238,68382,169
25,907200,25,69,0,0,0,0,180,44640,444678,34082,36697,171,200,177,236,68260,137
24,870912,24,72,0,0,0,0,169,45026,444647,34257,37334,201,255,191,236,67274,149
23,834624,23,82,0,0,0,0,174,46356,446710,33390,38213,209,203,178,237,69275,139
22,798336,22,87,0,0,0,0,171,48153,449042,33962,39216,178,211,182,233,70340,137
21,762048,21,74,0,0,0,0,175,47236,448585,34032,38708,172,273,180,238,70388,140
20,725760,20,102,0,0,0,0,204,46409,446986,34048,38351,166,197,174,239,68650,136
19,689472,19,97,0,0,0,0,198,47134,446830,33176,38861,179,215,213,248,70032,142
18,653184,18,120,0,0,0,0,217,46556,449448,34241,38645,193,227,219,258,68716,149
17,616896,17,70,0,0,0,0,173,46101,448496,33763,37589,166,208,194,232,68941,141
16,580608,16,147,0,0,0,0,176,45720,447789,33888,38023,181,205,187,242,68391,146
15,544320,15,65,0,0,0,0,177,46269,448495,33718,37541,166,225,174,238,69745,142
14,508032,14,86,0,0,0,0,191,46531,448571,33989,38280,176,244,190,247,68404,154
13,471744,13,95,0,0,0,0,176,46592,449695,34785,37962,211,220,191,238,68584,142
12,435456,12,72,0,0,0,0,178,45834,445564,34673,37579,171,267,216,246,68254,139
11,399168,11,72,0,0,0,0,175,45216,443657,34083,37530,168,200,181,237,68259,142
10,362880,10,68,0,0,0,0,175,44709,443066,33776,37452,190,200,179,239,68880,140
9,326592,9,73,0,0,0,0,177,43954,445662,33647,36311,170,203,186,270,69393,139
8,290304,8,79,0,0,0,0,170,44553,444355,34108,36834,173,201,174,234,69230,139
7,254016,7,78,0,0,0,0,185,45675,444337,33194,37411,189,212,182,299,68730,137
6,217728,6,70,0,0,0,0,174,45543,444853,33272,37042,178,228,186,237,67781,140
5,181440,5,107,0,0,0,0,171,43838,442056,34316,35649,209,214,180,232,67609,138
4,145152,4,103,0,0,0,0,179,42932,441014,33701,35403,168,202,179,254,67422,143
3,108864,3,105,0,0,0,0,179,44383,438661,33976,37063,173,202,181,227,68044,139
2,72576,2,76,0,0,0,0,170,46424,438840,33905,38499,178,229,176,236,69813,186
1,36288,1,82,0,0,0,0,252,45598,437088,34686,37587,209,203,179,265,70397,145
