2%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10],Optima 11, Optima [11],Optima 12, Optima [12],Optima 13, Optima [13],Optima 14, Optima [14],Optima 15, Optima [15],Optima 16, Optima [16],Optima 17, Optima [17],Optima 18, Optima [18],Optima 19, Optima [19],Optima 20, Optima [20]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6],1699998,[4 7 1 3 0 8 5 2 6 9],2117037,[5 8 4 0 2 9 7 3 6 1],1406637,[3 8 9 0 5 7 6 2 4 1],1204758,[3 2 9 0 4 7 5 1 6 8],258085,[0 7 4 2 5 8 6 1 9 3],305111,[0 8 5 4 7 3 9 6 2 1],1178840,[3 2 1 9 4 7 5 6 0 8],2562143,[7 0 5 3 6 1 9 8 4 2],1329233,[3 6 9 7 0 8 4 5 2 1],3119554,[8 5 2 9 6 1 3 7 0 4],3077106,[8 4 2 5 7 3 9 0 1 6],422700,[1 2 5 9 0 6 7 3 4 8],372839,[1 0 3 9 7 8 6 5 4 2],813907,[2 3 1 6 5 7 9 0 8 4],1689280,[4 6 9 1 2 3 7 8 0 5]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10],Optima 11, Optima [11],Optima 12, Optima [12],Optima 13, Optima [13],Optima 14, Optima [14],Optima 15, Optima [15],Optima 16, Optima [16],Optima 17, Optima [17],Optima 18, Optima [18],Optima 19, Optima [19],Optima 20, Optima [20]
1,45935,[0 2 3 1 8 7 9 6 5 4],1680022,[4 6 7 2 3 0 9 8 1 5],511427,[1 4 7 5 2 9 3 8 6 0],356546,[0 9 7 6 2 3 1 5 4 8],1119456,[3 0 8 1 7 9 2 4 5 6],1666396,[4 6 2 7 3 8 0 9 1 5],2081192,[5 7 4 9 3 1 2 6 0 8],1441549,[3 9 7 0 1 8 5 2 6 4],1222340,[3 4 2 6 8 0 9 5 1 7],305995,[0 8 5 6 9 7 4 1 3 2],331854,[0 9 2 7 8 4 3 1 5 6],1210245,[3 4 0 1 9 5 8 6 7 2],2531775,[6 9 7 2 3 0 5 4 8 1],1347685,[3 7 4 2 8 6 5 0 9 1],3093952,[8 4 6 9 0 7 3 5 1 2],3017307,[8 2 7 5 6 1 0 4 9 3],447491,[1 3 0 8 6 2 5 9 7 4],368522,[1 0 3 2 9 4 5 7 6 8],829168,[2 3 6 5 7 8 4 9 0 1],1711974,[4 7 3 6 8 2 1 0 5 9]
3,65524,[0 2 7 1 3 4 5 9 6 8],1703623,[4 7 2 0 1 9 5 3 8 6],498766,[1 4 3 9 7 2 8 6 0 5],331709,[0 9 2 7 6 3 1 8 5 4],1152840,[3 1 6 8 2 0 4 5 7 9],1681611,[4 6 7 5 3 2 0 8 9 1],2125236,[5 8 6 4 7 1 3 0 2 9],1409455,[3 8 9 5 4 2 1 0 7 6],1206922,[3 2 9 5 1 7 4 8 0 6],286664,[0 8 1 9 2 7 4 5 3 6],320300,[0 8 9 4 7 1 6 3 2 5],1181227,[3 2 4 5 7 6 9 0 8 1],2533431,[6 9 7 4 3 8 2 1 5 0],1336772,[3 7 1 2 6 8 9 4 0 5],3098850,[8 4 7 6 9 3 5 0 1 2],3069782,[8 4 1 0 6 5 7 3 2 9],442766,[1 2 9 7 8 5 4 3 0 6],417731,[1 2 4 9 3 0 6 8 7 5],863151,[2 4 5 1 8 9 6 3 7 0],1674562,[4 6 5 1 8 7 2 9 0 3]
5,50151,[0 2 3 9 6 8 5 4 7 1],1714288,[4 7 5 0 9 6 3 8 1 2],531161,[1 5 2 4 8 3 7 9 6 0],331796,[0 9 2 7 6 8 5 3 1 4],1123346,[3 0 8 9 2 4 1 6 5 7],1666012,[4 6 2 5 9 3 0 8 1 7],2079121,[5 7 4 3 8 0 1 2 9 6],1417853,[3 9 1 4 2 6 0 8 7 5],1221416,[3 4 2 5 6 7 1 8 0 9],278273,[0 7 9 2 4 8 5 6 3 1],349121,[0 9 6 2 8 3 5 7 4 1],1198417,[3 2 7 8 4 9 0 1 6 5],2534562,[6 9 7 8 1 2 5 0 3 4],1315437,[3 6 5 9 8 7 4 1 2 0],3057614,[8 3 7 5 6 0 4 2 1 9],3043243,[8 3 4 7 6 1 9 0 5 2],483568,[1 3 9 8 5 6 4 7 0 2],410862,[1 2 3 6 7 9 4 0 5 8],847197,[2 4 0 1 7 9 8 5 6 3],1659970,[4 6 1 3 7 0 5 9 2 8]
7,44211,[0 2 1 8 5 6 3 7 9 4],1690347,[4 6 9 2 7 1 0 5 8 3],501860,[1 4 5 7 0 2 9 6 3 8],365893,[1 0 2 7 4 3 8 5 9 6],1164998,[3 1 9 2 0 5 7 6 4 8],1666222,[4 6 2 7 1 0 9 8 3 5],2080124,[5 7 4 8 0 2 9 3 1 6],1406869,[3 8 9 0 7 6 4 1 5 2],1242019,[3 4 8 5 0 1 9 2 7 6],299845,[0 8 4 5 3 7 6 1 9 2],340029,[0 9 4 5 2 6 8 3 7 1],1225048,[3 4 5 0 6 8 7 9 1 2],2529459,[6 9 5 8 0 7 1 3 4 2],1321431,[3 6 8 1 2 9 5 4 7 0],3080640,[8 4 3 1 7 0 2 5 6 9],3060281,[8 3 9 1 4 2 6 7 5 0],442245,[1 2 9 7 3 4 8 5 6 0],398486,[1 0 9 2 5 7 6 4 3 8],859214,[2 4 3 6 5 0 8 7 1 9],1660160,[4 6 1 3 8 7 2 5 0 9]
9,66292,[0 2 7 3 1 6 4 9 5 8],1717629,[4 7 5 8 3 2 9 1 6 0],517243,[1 4 8 6 3 2 9 0 7 5],338241,[0 9 4 1 7 6 3 5 8 2],1114690,[3 0 7 2 4 1 6 9 5 8],1720895,[4 7 6 3 0 8 9 5 2 1],2078257,[5 7 4 2 3 9 0 1 8 6],1422568,[3 9 2 1 7 6 5 8 0 4],1252397,[3 5 0 6 4 8 1 9 7 2],288456,[0 8 2 3 6 9 1 4 5 7],331259,[0 9 2 7 1 5 4 8 6 3],1198209,[3 2 7 8 1 0 5 6 9 4],2530851,[6 9 7 1 0 4 2 5 8 3],1365089,[3 7 8 6 9 4 2 5 1 0],3104634,[8 4 9 7 6 5 3 0 1 2],3058388,[8 3 7 6 5 2 9 1 0 4],433395,[1 2 7 9 8 5 0 4 6 3],396864,[1 0 8 7 3 4 2 5 6 9],811650,[2 3 1 0 5 8 9 4 6 7],1671463,[4 6 3 7 2 9 1 0 8 5]
11,10187,[0 1 4 2 3 9 6 8 7 5],1658783,[4 6 1 0 9 2 8 7 5 3],488724,[1 4 0 9 7 6 5 2 3 8],365679,[1 0 2 6 9 4 7 5 8 3],1105984,[3 0 5 6 1 7 8 9 2 4],1672617,[4 6 3 9 0 5 2 7 8 1],2085251,[5 7 6 8 1 0 3 9 4 2],1441378,[3 9 6 8 7 2 1 5 0 4],1186052,[3 2 5 4 1 8 9 6 0 7],306468,[0 8 5 7 4 9 3 1 2 6],324157,[0 9 1 4 3 5 7 2 8 6],1211486,[3 4 0 5 7 8 6 2 1 9],2549289,[7 0 2 8 6 1 4 5 9 3],1311606,[3 6 5 1 8 0 4 2 7 9],3123514,[8 5 3 7 1 2 4 9 0 6],3034141,[8 3 2 0 1 6 7 4 9 5],415591,[1 2 4 6 3 5 7 0 9 8],415360,[1 2 4 5 9 3 7 8 0 6],854655,[2 4 1 7 0 3 8 6 9 5],1696631,[4 7 0 6 3 5 9 8 2 1]
13,24736,[0 1 6 9 4 2 7 8 3 5],1697036,[4 7 0 6 9 8 5 2 1 3],530433,[1 5 2 3 8 4 6 7 9 0],390135,[1 0 7 4 9 2 6 5 8 3],1155705,[3 1 7 4 0 9 5 6 8 2],1719680,[4 7 6 1 3 8 2 5 0 9],2137701,[5 9 0 2 1 3 8 6 7 4],1445836,[3 9 7 8 0 5 1 6 2 4],1192470,[3 2 6 7 1 4 5 0 8 9],317540,[0 8 9 1 2 3 7 5 4 6],307682,[0 8 6 1 4 2 3 7 5 9],1159041,[3 1 7 9 6 5 2 4 8 0],2551725,[7 0 3 4 1 5 9 6 8 2],1312093,[3 6 5 2 4 0 8 1 9 7],3116780,[8 5 2 3 9 0 7 4 1 6],3031864,[8 3 1 5 9 4 6 7 0 2],436206,[1 2 8 5 9 0 4 3 6 7],430453,[1 2 7 4 9 0 6 3 8 5],806987,[2 3 0 1 8 9 5 7 6 4],1664877,[4 6 2 3 1 9 8 5 7 0]
