100%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10]
 ,129000,[0 4 2 7 3 1 5 6 8 9],135650,[0 4 3 9 5 6 1 7 2 8],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6],1699998,[4 7 1 3 0 8 5 2 6 9],2117037,[5 8 4 0 2 9 7 3 6 1],1406637,[3 8 9 0 5 7 6 2 4 1],1204758,[3 2 9 0 4 7 5 1 6 8],258085,[0 7 4 2 5 8 6 1 9 3]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10]
1,116500,[0 3 9 1 7 8 2 6 4 5],156738,[0 4 9 1 7 2 8 3 5 6],2793681,[7 6 2 3 0 8 4 5 9 1],2185901,[6 0 2 7 9 8 1 5 4 3],2364652,[6 4 7 1 2 5 0 9 3 8],2859730,[7 8 9 2 6 0 3 5 1 4],3541465,[9 6 7 4 5 1 0 2 8 3],2883303,[7 9 4 0 5 3 6 2 8 1],2882348,[7 9 3 8 1 4 6 2 0 5],1462492,[4 0 3 2 5 7 1 9 6 8]
2,93739,[0 3 4 7 2 1 9 5 8 6],2625570,[7 2 0 9 5 6 8 1 3 4],1123642,[3 0 8 9 5 6 2 7 1 4],3466422,[9 4 8 6 2 7 1 0 3 5],3334199,[9 1 6 4 7 8 5 3 2 0],85411,[0 3 1 9 6 7 8 2 5 4],468455,[1 3 6 9 5 7 8 4 2 0],1634973,[4 5 6 2 8 7 9 1 3 0],2333520,[6 3 9 0 1 2 4 5 7 8],3618292,[9 8 5 7 2 3 0 6 1 4]
3,956857,[2 6 7 8 9 5 0 1 4 3],1228491,[3 4 5 8 1 6 0 7 9 2],3463028,[9 4 8 0 6 3 7 2 1 5],2887637,[7 9 4 8 3 5 0 6 2 1],197507,[0 5 9 2 3 8 4 7 6 1],1289956,[3 5 9 8 4 6 0 7 1 2],498915,[1 4 3 9 8 6 0 5 7 2],542936,[1 5 4 8 0 6 3 7 2 9],472306,[1 3 7 6 9 8 2 5 0 4],1631359,[4 5 3 7 8 6 1 0 9 2]
4,270421,[0 7 6 5 4 3 8 1 9 2],1436120,[3 9 5 8 4 6 1 2 0 7],2790396,[7 6 1 5 4 2 8 0 3 9],1824689,[5 0 3 1 4 8 7 9 6 2],395322,[1 0 8 5 2 4 9 3 6 7],1980626,[5 4 0 9 8 2 1 6 3 7],2314503,[6 3 4 1 7 5 8 2 9 0],3561047,[9 7 2 4 8 1 6 5 3 0],2953024,[8 1 2 9 4 5 6 7 0 3],174542,[0 5 3 7 4 6 8 2 1 9]
5,116501,[0 3 9 1 7 8 2 6 5 4],2275575,[6 2 4 5 7 0 8 3 9 1],994022,[2 7 6 1 5 4 8 3 0 9],1403665,[3 8 7 4 5 1 0 2 9 6],1942101,[5 3 1 4 6 0 9 7 8 2],2755861,[7 5 2 8 4 3 6 0 9 1],971173,[2 7 0 6 9 1 5 3 8 4],2494191,[6 8 7 9 0 5 3 2 4 1],3500996,[9 5 7 4 2 8 6 1 0 3],585048,[1 6 5 0 7 4 2 3 8 9]
6,2725988,[7 4 5 9 0 3 8 2 1 6],134267,[0 4 3 7 5 9 2 8 6 1],3542869,[9 6 7 8 3 5 2 0 4 1],2332307,[6 3 8 7 1 9 2 5 4 0],358707,[0 9 8 2 3 4 1 6 7 5],3528221,[9 6 4 0 2 8 1 7 5 3],3076351,[8 4 2 3 7 1 5 0 9 6],1582523,[4 3 1 9 8 6 2 7 5 0],3453708,[9 4 6 1 7 8 3 0 2 5],2086215,[5 7 6 9 3 0 4 2 8 1]
7,2660443,[7 2 9 8 0 3 6 1 5 4],1373374,[3 8 0 5 4 7 9 6 1 2],2971266,[8 1 6 4 7 3 9 0 2 5],153211,[0 4 8 3 7 6 9 1 5 2],3428423,[9 4 0 2 7 1 8 6 5 3],3061181,[8 3 9 2 5 7 0 6 4 1],3427458,[9 4 0 1 5 2 8 3 6 7],1453445,[4 0 1 5 8 2 3 9 7 6],2330283,[6 3 8 2 5 0 1 7 9 4],2043908,[5 6 7 3 8 2 9 1 0 4]
8,3488336,[9 5 4 0 8 3 2 6 1 7],2387634,[6 5 1 8 0 9 7 2 3 4],3482441,[9 5 2 8 6 1 4 7 3 0],2376686,[6 4 9 3 8 5 2 1 0 7],1507350,[4 1 5 0 7 3 6 2 8 9],1517025,[4 1 6 9 8 7 2 3 5 0],3390116,[9 3 0 6 4 8 7 2 1 5],3105390,[8 5 0 2 1 4 6 3 7 9],485641,[1 4 0 5 7 2 3 6 9 8],2543940,[7 0 1 8 3 5 6 2 4 9]
9,985284,[2 7 4 5 3 8 6 0 1 9],3351446,[9 2 0 8 6 5 4 3 1 7],1534351,[4 2 0 6 1 5 7 3 9 8],3528738,[9 6 4 1 0 2 8 3 5 7],3361672,[9 2 3 8 7 6 4 5 0 1],138206,[0 4 5 3 9 7 6 2 1 8],976996,[2 7 1 8 9 5 0 6 3 4],3039820,[8 3 4 0 9 7 1 6 2 5],491019,[1 4 2 5 9 8 0 6 7 3],1583430,[4 3 2 1 5 6 7 0 8 9]
10,3366367,[9 2 4 8 5 0 3 1 7 6],2639234,[7 2 4 6 5 8 0 3 1 9],834642,[2 3 7 6 1 4 9 0 5 8],822865,[2 3 5 1 9 4 0 6 8 7],1579225,[4 3 1 5 6 2 0 7 9 8],1332905,[3 7 0 5 2 6 8 9 4 1],210551,[0 6 2 8 4 5 9 7 3 1],759087,[2 0 8 6 3 7 5 4 9 1],1542198,[4 2 1 9 8 6 3 0 5 7],2911294,[8 0 2 6 4 7 9 5 1 3]
11,1413357,[3 9 0 4 8 7 6 2 5 1],1726958,[4 7 8 5 3 1 6 2 0 9],1628961,[4 5 3 1 6 8 2 7 9 0],2118400,[5 8 4 2 1 3 7 9 0 6],2807072,[7 6 4 9 5 1 2 3 0 8],267148,[0 7 6 1 2 4 3 9 5 8],633787,[1 7 6 8 2 4 9 0 5 3],2709141,[7 4 1 5 8 0 9 3 6 2],1653802,[4 6 0 1 9 7 3 8 2 5],744093,[2 0 5 7 4 8 9 3 6 1]
12,3103220,[8 4 9 6 0 1 7 3 2 5],657984,[1 8 3 5 9 2 0 4 6 7],2903565,[8 0 1 2 7 4 9 5 6 3],1528938,[4 1 9 3 6 0 8 2 5 7],761869,[2 0 9 3 1 8 6 4 7 5],2346766,[6 4 1 7 3 2 9 8 0 5],1358748,[3 7 6 5 0 9 4 1 2 8],1042483,[2 8 7 6 9 1 5 0 4 3],3544295,[9 6 8 1 4 5 7 3 2 0],3097584,[8 4 7 5 1 2 0 3 6 9]
13,3168269,[8 6 4 5 2 1 0 9 7 3],812156,[2 3 1 0 9 8 7 5 4 6],2544178,[7 0 1 8 5 4 3 9 2 6],360598,[0 9 8 4 6 7 5 3 1 2],3573693,[9 7 5 0 3 6 8 2 4 1],1131249,[3 1 0 6 4 2 7 8 9 5],3517624,[9 6 1 8 4 3 5 7 0 2],2359993,[6 4 5 1 8 7 0 2 9 3],2008329,[5 4 8 3 2 0 6 7 9 1],1910232,[5 2 4 0 1 8 3 6 7 9]
14,1036537,[2 8 6 5 4 9 0 1 7 3],1898892,[5 2 0 8 4 1 7 3 6 9],3358037,[9 2 3 1 8 6 0 7 5 4],482186,[1 3 9 6 7 2 0 5 4 8],1714053,[4 7 5 0 6 8 9 2 3 1],2284506,[6 2 7 1 9 4 8 0 3 5],823029,[2 3 5 4 0 7 9 6 8 1],2717081,[7 4 3 0 8 2 6 9 5 1],2743522,[7 5 0 3 4 8 2 9 1 6],3450719,[9 4 5 6 3 8 7 2 1 0]
15,832230,[2 3 7 0 9 4 5 1 6 8],1894316,[5 1 9 7 8 6 4 2 0 3],2521324,[6 9 4 1 8 0 2 7 3 5],1167631,[3 1 9 6 7 2 4 0 8 5],3009090,[8 2 6 0 3 7 9 1 4 5],1566949,[4 2 8 9 1 7 5 0 6 3],3079059,[8 4 2 9 3 7 0 5 6 1],2143242,[5 9 1 2 7 3 8 0 4 6],1924291,[5 2 7 8 4 6 9 0 3 1],123040,[0 4 1 5 9 3 7 8 2 6]
16,1769209,[4 8 9 0 2 5 1 3 7 6],2606838,[7 1 6 2 5 8 3 0 4 9],1473747,[4 0 6 3 9 2 1 7 8 5],3454174,[9 4 6 2 3 7 8 5 0 1],3457319,[9 4 6 8 5 7 3 2 1 0],871051,[2 4 6 8 7 5 9 0 3 1],2006508,[5 4 8 0 7 9 3 1 2 6],3179467,[8 6 7 5 9 2 4 0 3 1],3452256,[9 4 5 8 6 7 0 1 2 3],3178702,[8 6 7 4 9 0 5 3 1 2]
17,629336,[1 7 5 9 0 4 3 6 2 8],1108863,[3 0 6 1 2 7 8 5 9 4],265265,[0 7 5 6 3 4 8 9 2 1],2592764,[7 1 3 5 0 4 9 6 2 8],3020412,[8 2 9 3 0 1 6 4 5 7],243626,[0 7 1 4 5 3 2 8 6 9],2248761,[6 1 8 2 3 7 4 5 9 0],782657,[2 1 5 4 0 3 8 9 7 6],2881235,[7 9 3 5 6 1 2 8 4 0],562230,[1 5 9 4 8 2 3 0 6 7]
