Optimas, 129000(0 4 2 7 3 1 5 6 8 9), 135650(0 4 3 9 5 6 1 7 2 8), 486002(1 4 0 6 2 3 5 8 7 9), 324738(0 9 1 5 2 3 8 4 6 7), 1120434(3 0 8 4 1 9 7 2 5 6), 1699998(4 7 1 3 0 8 5 2 6 9), 2117037(5 8 4 0 2 9 7 3 6 1), 1406637(3 8 9 0 5 7 6 2 4 1), 1204758(3 2 9 0 4 7 5 1 6 8), 258085(0 7 4 2 5 8 6 1 9 3)
H-Axis, Max distance, Ratio,Ours,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Dummy5,Dummy6,Dummy7,Dummy8,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
100,3628800,100,89,1,2,2,2,221,0,0,0,0,211,237,231,492,154181,162
99,3592512,99,72,0,0,0,0,200,0,0,0,0,186,218,194,333,148631,132
98,3556224,98,65,0,0,0,0,208,0,0,0,0,179,212,203,309,153028,133
97,3519936,97,77,0,0,0,0,190,0,0,0,0,193,238,193,303,149290,129
96,3483648,96,62,0,0,0,0,190,0,0,0,0,178,215,193,342,146909,130
95,3447360,95,72,0,0,0,0,201,0,0,0,0,188,213,191,306,147603,130
94,3411072,94,69,0,0,0,0,197,0,0,0,0,193,215,195,328,146906,131
93,3374784,93,64,0,0,0,0,187,0,0,0,0,180,212,193,305,147322,133
92,3338496,92,65,0,0,0,0,187,0,0,0,0,187,222,191,299,147125,132
91,3302208,91,59,0,0,0,0,182,0,0,0,0,175,214,188,304,143728,133
90,3265920,90,54,0,0,0,0,180,0,0,0,0,180,211,187,308,143689,131
89,3229632,89,58,0,0,0,0,210,0,0,0,0,180,214,222,330,144091,152
88,3193344,88,63,0,0,0,0,183,0,0,0,0,190,211,186,327,143973,133
87,3157056,87,62,0,0,0,0,180,0,0,0,0,182,207,186,298,143826,131
86,3120768,86,57,0,0,0,0,180,0,0,0,0,176,210,188,301,143251,133
85,3084480,85,59,0,0,0,0,180,0,0,0,0,174,211,187,299,143790,155
84,3048192,84,59,0,0,0,0,178,0,0,0,0,174,210,186,300,143412,131
83,3011904,83,54,0,0,0,0,186,0,0,0,0,174,215,223,340,143509,133
82,2975616,82,53,0,0,0,0,178,0,0,0,0,175,209,184,306,143223,133
