99%,Optima 1, Optima [1],Optima 2, Optima [2]
 ,129000,[0 4 2 7 3 1 5 6 8 9],135650,[0 4 3 9 5 6 1 7 2 8]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2]
1,136379,[0 4 5 1 6 7 3 9 8 2],2921265,[8 0 4 6 2 9 3 5 7 1]
2,1686036,[4 6 8 3 7 1 5 0 2 9],736423,[2 0 4 1 8 9 5 3 7 6]
3,1251389,[3 5 0 4 1 6 2 9 8 7],1313087,[3 6 5 4 8 1 9 7 2 0]
4,306666,[0 8 5 7 9 3 6 1 2 4],2870103,[7 9 1 4 2 5 6 3 8 0]
5,61492,[0 2 6 3 5 7 1 9 4 8],2979025,[8 1 9 0 5 3 2 4 7 6]
6,419624,[1 2 5 3 8 9 4 6 0 7],357278,[0 9 7 8 2 3 5 4 1 6]
7,3107105,[8 5 0 4 3 6 7 9 2 1],1115123,[3 0 7 2 8 6 4 9 5 1]
8,2621481,[7 2 0 1 9 6 4 5 8 3],2591810,[7 1 3 2 8 5 0 6 4 9]
9,3199551,[8 7 2 6 5 9 3 1 4 0],557955,[1 5 8 6 9 4 0 3 7 2]
10,1461654,[4 0 3 1 2 7 6 5 8 9],2686443,[7 3 6 0 2 1 4 8 9 5]
11,2945958,[8 1 0 5 6 7 3 2 4 9],923956,[2 5 9 3 1 7 0 8 4 6]
12,3327195,[9 1 5 2 0 7 3 6 8 4],1309427,[3 6 4 8 5 9 1 7 2 0]
13,2700435,[7 3 9 6 4 5 0 2 8 1],2356876,[6 4 3 7 2 8 0 9 1 5]
14,484014,[1 4 0 2 5 7 6 3 8 9],1029264,[2 8 5 1 6 3 0 4 7 9]
15,361397,[0 9 8 5 7 4 1 6 3 2],1153956,[3 1 6 9 7 2 5 0 4 8]
16,872948,[2 4 7 1 5 6 9 3 0 8],3476713,[9 5 1 7 6 4 0 2 8 3]
17,2983886,[8 2 0 1 4 7 6 5 3 9],2376263,[6 4 9 3 2 0 8 7 5 1]
18,582642,[1 6 4 7 2 3 9 0 5 8],3220530,[8 7 6 9 5 3 4 0 1 2]
19,1158187,[3 1 7 8 5 4 9 0 6 2],536669,[1 5 3 6 4 2 0 9 8 7]
20,262751,[0 7 5 1 9 4 8 6 3 2],1017113,[2 8 1 7 5 9 4 6 3 0]
21,2105046,[5 8 1 6 7 0 3 2 4 9],1124987,[3 0 9 2 5 8 4 7 6 1]
22,3428204,[9 4 0 2 5 3 8 6 1 7],2671269,[7 3 2 0 1 6 9 5 8 4]
23,2307741,[6 3 1 9 2 0 8 5 7 4],13511,[0 1 4 7 8 5 9 6 3 2]
24,3020086,[8 2 9 1 5 3 7 6 0 4],2316727,[6 3 4 7 8 0 2 1 9 5]
25,604557,[1 6 9 8 4 7 5 2 3 0],3525742,[9 6 3 4 8 0 7 5 1 2]
26,2171101,[5 9 7 6 2 3 4 0 8 1],240822,[0 6 9 7 3 8 2 1 4 5]
27,738329,[2 0 4 6 5 8 7 9 3 1],54567,[0 2 4 8 7 6 5 3 9 1]
28,998064,[2 7 8 0 3 4 1 5 6 9],3589076,[9 8 0 1 6 7 5 3 2 4]
29,354130,[0 9 7 2 8 1 4 6 3 5],3156745,[8 6 2 3 4 1 0 5 9 7]
30,2625853,[7 2 1 0 3 4 8 5 9 6],1086903,[2 9 8 5 4 3 6 1 7 0]
