100%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10],Optima 11, Optima [11],Optima 12, Optima [12],Optima 13, Optima [13],Optima 14, Optima [14],Optima 15, Optima [15],Optima 16, Optima [16],Optima 17, Optima [17],Optima 18, Optima [18],Optima 19, Optima [19],Optima 20, Optima [20]
 ,129000,[0 4 2 7 3 1 5 6 8 9],135650,[0 4 3 9 5 6 1 7 2 8],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6],1699998,[4 7 1 3 0 8 5 2 6 9],2117037,[5 8 4 0 2 9 7 3 6 1],1406637,[3 8 9 0 5 7 6 2 4 1],1204758,[3 2 9 0 4 7 5 1 6 8],258085,[0 7 4 2 5 8 6 1 9 3],305111,[0 8 5 4 7 3 9 6 2 1],1178840,[3 2 1 9 4 7 5 6 0 8],2562143,[7 0 5 3 6 1 9 8 4 2],1329233,[3 6 9 7 0 8 4 5 2 1],3119554,[8 5 2 9 6 1 3 7 0 4],3077106,[8 4 2 5 7 3 9 0 1 6],422700,[1 2 5 9 0 6 7 3 4 8],372839,[1 0 3 9 7 8 6 5 4 2],813907,[2 3 1 6 5 7 9 0 8 4],1689280,[4 6 9 1 2 3 7 8 0 5]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10],Optima 11, Optima [11],Optima 12, Optima [12],Optima 13, Optima [13],Optima 14, Optima [14],Optima 15, Optima [15],Optima 16, Optima [16],Optima 17, Optima [17],Optima 18, Optima [18],Optima 19, Optima [19],Optima 20, Optima [20]
1,1255155,[3 5 1 0 4 8 2 7 9 6],2124571,[5 8 6 3 7 4 9 0 2 1],1706716,[4 7 2 6 3 8 0 9 1 5],365082,[1 0 2 6 3 5 9 4 7 8],2279890,[6 2 5 3 7 0 4 9 1 8],2799911,[7 6 3 4 8 2 9 5 1 0],981627,[2 7 3 8 4 1 0 6 9 5],2537738,[6 9 8 3 4 7 0 2 1 5],105385,[0 3 6 9 4 2 1 5 8 7],2367943,[6 4 7 8 5 9 1 0 3 2],75783,[0 2 9 1 4 6 7 5 8 3],966916,[2 6 9 7 8 4 0 5 1 3],1068380,[2 9 4 8 7 0 6 3 1 5],498680,[1 4 3 9 6 7 2 5 0 8],1807408,[4 9 7 5 1 6 3 8 0 2],1747227,[4 8 2 6 7 1 0 5 9 3],837548,[2 3 8 1 4 6 9 5 0 7],1562905,[4 2 8 0 7 3 1 5 9 6],1839593,[5 0 6 9 8 7 3 4 2 1],2517897,[6 9 3 5 0 4 2 7 8 1]
2,1431130,[3 9 4 8 6 0 2 7 1 5],926127,[2 5 9 7 1 6 4 3 8 0],3419401,[9 3 7 4 1 0 2 5 8 6],710766,[1 9 6 0 3 2 5 4 7 8],1108366,[3 0 5 9 4 2 8 7 1 6],461709,[1 3 5 7 2 6 9 4 8 0],920260,[2 5 8 6 0 9 1 7 3 4],2684524,[7 3 5 6 4 0 1 9 2 8],2099164,[5 8 0 4 6 1 2 9 3 7],189463,[0 5 7 6 1 9 3 2 8 4],2394812,[6 5 3 1 0 8 9 4 2 7],3085768,[8 4 5 1 7 6 3 9 0 2],2297192,[6 2 9 7 4 1 3 5 0 8],100533,[0 3 5 9 6 7 8 2 4 1],1061566,[2 9 3 6 4 1 8 7 0 5],3592629,[9 8 0 6 5 3 7 2 4 1],3167572,[8 6 4 3 2 5 0 9 1 7],1545018,[4 2 3 6 9 0 8 1 5 7],2175038,[5 9 8 3 7 1 4 2 0 6],3601119,[9 8 2 4 5 1 6 3 7 0]
3,2998227,[8 2 3 9 1 4 0 6 7 5],3519204,[9 6 2 1 7 5 4 0 3 8],3198116,[8 7 2 4 6 9 5 1 0 3],3209312,[8 7 4 6 2 1 3 5 0 9],1477704,[4 0 7 2 5 3 1 6 8 9],2367951,[6 4 7 8 5 9 2 1 3 0],3367838,[9 2 5 1 6 3 7 4 0 8],1305581,[3 6 4 0 2 9 1 8 7 5],2386515,[6 5 1 4 7 8 0 3 9 2],2915973,[8 0 3 5 9 6 7 2 4 1],2987545,[8 2 0 7 4 3 1 5 9 6],2583122,[7 1 0 5 8 2 3 6 4 9],1594722,[4 3 6 2 9 1 8 0 5 7],1258127,[3 5 1 7 4 2 9 8 6 0],1443145,[3 9 7 2 4 1 0 5 8 6],1959339,[5 3 6 8 1 9 0 4 7 2],2190775,[6 0 3 7 8 4 2 1 9 5],1393604,[3 8 5 4 6 1 9 2 0 7],1333944,[3 7 0 6 8 2 1 4 5 9],2086683,[5 7 8 0 2 1 3 6 9 4]
4,3306195,[9 0 8 7 6 4 1 3 5 2],1567567,[4 2 9 0 3 1 6 5 8 7],1785225,[4 9 2 1 5 8 3 6 7 0],765794,[2 0 9 8 5 6 1 4 3 7],3281825,[9 0 4 2 1 6 7 8 5 3],784414,[2 1 5 7 4 8 9 6 0 3],503065,[1 4 5 8 7 2 0 3 9 6],1360641,[3 7 6 9 5 4 1 2 8 0],2498762,[6 8 9 5 3 0 1 4 2 7],2237438,[6 1 4 9 5 2 7 3 0 8],1324217,[3 6 8 7 1 0 5 9 4 2],190798,[0 5 7 8 9 6 4 3 1 2],3455124,[9 4 6 3 7 5 2 0 1 8],2331522,[6 3 8 5 1 2 9 0 4 7],2729439,[7 4 6 3 9 1 5 2 8 0],2465516,[6 8 1 2 3 9 7 4 0 5],1391572,[3 8 5 0 7 4 1 9 2 6],3159,[0 1 2 7 5 4 8 6 9 3],330661,[0 9 2 6 3 5 7 1 8 4],1591257,[4 3 5 8 0 6 2 7 9 1]
5,558010,[1 5 8 7 0 2 4 9 3 6],3053368,[8 3 6 7 5 4 2 9 0 1],122103,[0 4 1 3 7 6 8 5 9 2],1084874,[2 9 8 1 6 5 0 4 3 7],3069540,[8 4 1 0 3 6 7 2 5 9],2227619,[6 1 2 9 8 4 3 7 5 0],2710198,[7 4 1 8 0 9 6 5 2 3],673272,[1 8 6 5 0 7 2 3 4 9],1919275,[5 2 6 8 4 9 7 0 3 1],3044688,[8 3 5 0 7 4 1 2 6 9],1066989,[2 9 4 6 8 3 7 1 5 0],941484,[2 6 3 8 5 7 4 0 1 9],2561273,[7 0 5 2 3 9 6 8 4 1],3501672,[9 5 7 6 2 4 0 1 3 8],1633153,[4 5 6 0 2 8 1 3 9 7],235971,[0 6 8 7 5 3 1 4 9 2],2432662,[6 7 2 5 8 0 9 4 1 3],454081,[1 3 4 0 8 2 5 6 9 7],3385427,[9 2 8 5 7 6 1 4 3 0],302451,[0 8 5 1 2 6 3 7 9 4]
6,400273,[1 0 9 4 8 6 2 3 7 5],930456,[2 6 0 7 3 9 1 4 5 8],951126,[2 6 5 8 0 1 4 3 7 9],589357,[1 6 5 9 4 2 7 0 8 3],1888824,[5 1 8 7 3 2 0 4 6 9],3142244,[8 5 9 3 1 2 7 4 0 6],746217,[2 0 6 1 5 7 4 8 9 3],957724,[2 6 8 0 3 1 4 9 5 7],1177906,[3 2 1 7 9 8 4 6 0 5],2859459,[7 8 9 2 3 6 0 4 5 1],3452003,[9 4 5 8 2 6 1 7 3 0],3154452,[8 6 1 9 2 0 5 3 4 7],2795205,[7 6 2 5 1 3 9 4 8 0],1418923,[3 9 1 5 7 2 8 0 6 4],2753869,[7 5 2 3 8 9 4 0 6 1],1310134,[3 6 4 9 5 7 8 2 0 1],467737,[1 3 6 8 5 9 0 2 7 4],1028353,[2 8 5 0 3 7 1 4 9 6],2528664,[6 9 5 7 0 2 1 3 4 8],419759,[1 2 5 3 9 8 7 6 4 0]
7,76731,[0 2 9 3 6 5 1 7 8 4],2998715,[8 2 3 9 7 1 4 6 5 0],2180821,[6 0 1 7 9 4 5 2 8 3],3227784,[8 9 0 4 1 3 2 5 6 7],1873905,[5 1 4 8 6 9 2 3 7 0],2232098,[6 1 3 9 0 8 2 5 4 7],60891,[0 2 6 1 7 5 3 8 9 4],2257591,[6 1 9 8 4 2 3 0 7 5],1239023,[3 4 7 8 9 0 6 5 2 1],1017462,[2 8 1 9 0 7 4 3 5 6],88701,[0 3 2 7 4 1 9 6 8 5],1547596,[4 2 5 0 6 8 1 9 3 7],1569981,[4 2 9 5 6 0 8 3 7 1],2427313,[6 7 1 5 2 8 0 3 9 4],1453263,[4 0 1 5 6 7 8 3 9 2],2543575,[7 0 1 6 8 4 3 2 9 5],3600430,[9 8 2 3 5 4 7 6 0 1],96570,[0 3 5 2 1 8 9 4 6 7],1442295,[3 9 7 1 2 0 6 5 8 4],2284147,[6 2 7 1 4 5 9 0 8 3]
