Optimas, 129000(0 4 2 7 3 1 5 6 8 9), 135650(0 4 3 9 5 6 1 7 2 8), 486002(1 4 0 6 2 3 5 8 7 9), 324738(0 9 1 5 2 3 8 4 6 7), 1120434(3 0 8 4 1 9 7 2 5 6), 1699998(4 7 1 3 0 8 5 2 6 9), 2117037(5 8 4 0 2 9 7 3 6 1), 1406637(3 8 9 0 5 7 6 2 4 1), 1204758(3 2 9 0 4 7 5 1 6 8), 258085(0 7 4 2 5 8 6 1 9 3), 305111(0 8 5 4 7 3 9 6 2 1), 1178840(3 2 1 9 4 7 5 6 0 8), 2562143(7 0 5 3 6 1 9 8 4 2), 1329233(3 6 9 7 0 8 4 5 2 1), 3119554(8 5 2 9 6 1 3 7 0 4), 3077106(8 4 2 5 7 3 9 0 1 6), 422700(1 2 5 9 0 6 7 3 4 8), 372839(1 0 3 9 7 8 6 5 4 2), 813907(2 3 1 6 5 7 9 0 8 4), 1689280(4 6 9 1 2 3 7 8 0 5)
H-Axis, Max distance, Ratio,Ours,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Dummy5,Dummy6,Dummy7,Dummy8,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
100,3628800,100,122,0,95,1,0,427,0,0,0,0,247,1075,361,1237,151932,150
99,3592512,99,59,0,0,0,0,179,0,0,0,0,179,214,186,303,143681,133
98,3556224,98,59,0,0,0,0,186,0,0,0,0,177,210,190,306,143811,134
97,3519936,97,61,0,0,0,0,180,0,0,0,0,213,210,190,300,144807,132
96,3483648,96,65,0,0,0,0,180,0,0,0,0,180,215,186,341,143717,133
95,3447360,95,61,0,0,0,0,187,0,0,0,0,182,211,187,338,143182,148
94,3411072,94,56,0,0,0,0,179,0,0,0,0,173,210,187,301,143744,133
93,3374784,93,63,0,0,0,0,184,0,0,0,0,183,214,188,312,143284,134
92,3338496,92,57,0,0,0,0,181,0,0,0,0,175,212,185,302,143160,133
91,3302208,91,96,0,0,0,0,181,0,0,0,0,176,210,190,303,143654,150
90,3265920,90,56,0,0,0,0,191,0,0,0,0,174,210,186,302,143260,133
89,3229632,89,56,0,0,0,0,182,0,0,0,0,182,244,187,305,143360,134
88,3193344,88,58,0,0,0,0,180,0,0,0,0,176,213,186,305,144004,133
87,3157056,87,63,0,0,0,0,222,0,0,0,0,176,211,186,302,143111,151
