98%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5]
 ,129000,[0 4 2 7 3 1 5 6 8 9],135650,[0 4 3 9 5 6 1 7 2 8],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5]
1,3040907,[8 3 4 2 5 9 1 7 6 0],479151,[1 3 9 0 5 8 6 4 7 2],2438882,[6 7 3 9 2 0 1 5 4 8],2017690,[5 6 0 3 4 1 7 9 2 8],3231503,[8 9 1 2 3 0 7 6 5 4]
2,438771,[1 2 9 0 5 6 3 7 8 4],125989,[0 4 1 9 8 7 5 2 6 3],120134,[0 3 9 7 8 1 5 4 2 6],946820,[2 6 4 9 0 1 8 5 3 7],1172690,[3 2 0 7 8 5 1 6 4 9]
3,2759520,[7 5 3 4 8 0 1 2 6 9],1802431,[4 9 6 5 2 1 3 0 8 7],3122893,[8 5 3 6 2 0 7 1 9 4],1942936,[5 3 1 6 7 0 8 9 2 4],1834278,[5 0 4 9 6 7 2 1 3 8]
4,759169,[2 0 8 6 4 5 1 3 9 7],723788,[1 9 8 5 2 4 7 3 0 6],1260400,[3 5 2 0 7 4 8 9 1 6],3105819,[8 5 0 2 6 9 1 4 7 3],3084698,[8 4 5 0 2 9 1 6 3 7]
5,3203437,[8 7 3 5 1 2 6 0 9 4],354420,[0 9 7 3 2 5 6 1 4 8],1182046,[3 2 4 6 8 1 9 7 0 5],2114518,[5 8 3 4 7 9 6 2 0 1],2704834,[7 4 0 6 8 2 3 9 1 5]
6,3052595,[8 3 6 5 7 1 2 9 4 0],2746050,[7 5 0 8 9 4 6 1 2 3],1869583,[5 1 3 9 6 8 2 0 7 4],133738,[0 4 3 6 8 5 2 9 1 7],1298936,[3 6 1 8 0 5 4 7 2 9]
7,304857,[0 8 5 4 3 6 2 7 9 1],1610643,[4 3 9 6 0 1 2 7 8 5],861195,[2 4 3 9 0 7 1 6 8 5],1499265,[4 1 2 6 3 9 5 7 8 0],1446531,[3 9 8 0 1 5 2 6 7 4]
8,2674250,[7 3 2 6 1 5 0 8 4 9],3411068,[9 3 5 7 4 2 8 1 0 6],1458916,[4 0 2 6 3 8 1 9 5 7],2823849,[7 8 0 3 1 2 5 6 9 4],1562805,[4 2 8 0 6 3 9 5 7 1]
