100%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6],1699998,[4 7 1 3 0 8 5 2 6 9],2117037,[5 8 4 0 2 9 7 3 6 1],1406637,[3 8 9 0 5 7 6 2 4 1],1204758,[3 2 9 0 4 7 5 1 6 8],258085,[0 7 4 2 5 8 6 1 9 3]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10]
1,1165949,[3 1 9 4 5 2 0 8 7 6],3595427,[9 8 1 3 5 7 2 6 4 0],2490771,[6 8 7 1 3 4 0 5 9 2],328932,[0 9 2 3 8 1 6 4 5 7],1015930,[2 8 1 6 0 3 5 9 4 7],1378280,[3 8 1 5 2 7 4 6 0 9],2979476,[8 1 9 2 0 7 6 4 3 5],1166229,[3 1 9 4 7 5 8 2 6 0],1310150,[3 6 4 9 5 8 2 1 0 7],2430234,[6 7 2 1 3 9 8 0 4 5]
2,1017799,[2 8 1 9 5 6 3 0 7 4],2123957,[5 8 6 2 9 4 0 7 3 1],2773150,[7 5 8 1 4 3 9 6 0 2],953936,[2 6 7 1 9 4 3 5 0 8],3204493,[8 7 3 6 5 0 4 1 9 2],1814793,[5 0 1 2 7 4 6 8 9 3],1875380,[5 1 6 0 8 2 9 4 3 7],3011602,[8 2 6 4 7 5 1 9 0 3],2347561,[6 4 1 8 5 0 2 3 9 7],261280,[0 7 4 8 9 2 5 6 1 3]
3,668114,[1 8 5 4 9 6 0 3 2 7],414431,[1 2 4 3 7 6 9 8 5 0],1873214,[5 1 4 7 8 0 6 3 2 9],2481150,[6 8 4 2 0 3 5 1 7 9],848253,[2 4 0 5 1 8 9 6 7 3],243009,[0 7 1 3 6 2 5 8 9 4],243907,[0 7 1 4 8 5 9 2 6 3],3361953,[9 2 4 0 5 3 6 7 8 1],529680,[1 5 2 0 8 3 4 6 7 9],2472168,[6 8 2 4 5 3 0 1 7 9]
4,3314484,[9 1 2 6 4 7 5 0 3 8],627580,[1 7 5 4 6 9 0 8 2 3],1094024,[3 0 2 1 6 9 5 7 4 8],2741232,[7 4 9 8 1 5 0 2 3 6],1387176,[3 8 4 1 6 9 0 2 5 7],2042089,[5 6 7 1 2 4 0 3 9 8],315176,[0 8 7 4 6 3 2 5 1 9],2083890,[5 7 6 3 1 8 9 0 2 4],2043204,[5 6 7 2 8 4 3 0 1 9],1863303,[5 1 2 7 9 4 6 3 8 0]
5,1199374,[3 2 7 9 6 5 8 4 0 1],2819812,[7 6 9 3 2 4 0 8 1 5],1770091,[4 8 9 1 3 6 7 0 5 2],11815,[0 1 4 5 6 7 3 2 9 8],835484,[2 3 7 8 4 1 9 5 0 6],710449,[1 9 5 8 6 3 0 2 7 4],128012,[0 4 2 5 8 7 9 3 1 6],1985867,[5 4 2 0 1 9 6 8 7 3],2817156,[7 6 8 9 4 1 3 0 2 5],2035073,[5 6 3 8 2 9 4 7 1 0]
6,3000677,[8 2 4 3 6 7 0 9 5 1],3367265,[9 2 5 0 7 4 6 8 3 1],3292029,[9 0 6 2 3 5 8 4 7 1],505308,[1 4 6 2 8 9 5 0 3 7],2050536,[5 6 8 7 9 4 0 1 2 3],113671,[0 3 8 5 9 2 4 1 7 6],1933929,[5 2 9 7 0 1 4 6 8 3],2110480,[5 8 2 7 1 3 6 9 0 4],1231234,[3 4 6 2 0 5 7 9 1 8],50256,[0 2 3 9 7 8 1 4 5 6]
7,2677306,[7 3 4 1 5 9 2 8 0 6],2209661,[6 0 8 3 9 7 1 5 4 2],2003040,[5 4 7 3 0 1 2 6 8 9],3220787,[8 7 9 0 2 6 3 5 4 1],2440136,[6 7 4 1 0 5 3 8 2 9],3201409,[8 7 3 1 4 5 0 2 9 6],684890,[1 8 9 7 2 4 0 5 3 6],2627763,[7 2 1 4 8 0 3 6 9 5],2495378,[6 8 9 0 5 7 1 3 2 4],2317272,[6 3 4 8 2 7 0 1 5 9]
8,268352,[0 7 6 2 8 3 4 5 1 9],2324469,[6 3 7 1 4 5 9 2 8 0],3403371,[9 3 4 1 8 5 0 6 7 2],2891156,[7 9 5 4 2 8 6 1 0 3],1331457,[3 7 0 2 4 6 5 8 9 1],1181564,[3 2 4 6 0 5 9 7 1 8],528687,[1 5 0 9 3 7 6 4 8 2],2551532,[7 0 3 2 8 6 9 4 1 5],3011995,[8 2 6 5 1 9 7 0 4 3],1505260,[4 1 3 7 6 9 0 8 2 5]
9,3426872,[9 3 8 7 4 1 2 5 0 6],2928699,[8 0 6 1 5 9 2 4 7 3],2499399,[6 8 9 7 2 1 4 3 5 0],601606,[1 6 9 3 5 2 8 7 0 4],2065645,[5 7 1 8 9 4 3 0 6 2],25293,[0 1 7 2 3 8 9 5 6 4],3188290,[8 7 0 5 2 1 4 9 3 6],826982,[2 3 6 0 7 5 8 4 1 9],2804190,[7 6 4 2 8 1 3 0 5 9],384569,[1 0 6 4 2 8 7 9 5 3]
10,1020494,[2 8 3 5 4 0 7 6 1 9],3542025,[9 6 7 5 2 8 1 3 4 0],1047226,[2 8 9 6 3 7 1 5 0 4],2801120,[7 6 3 8 2 5 1 4 0 9],665178,[1 8 4 9 7 0 6 2 3 5],1272545,[3 5 6 4 2 7 8 9 1 0],2438861,[6 7 3 9 1 8 0 5 4 2],1067904,[2 9 4 8 1 3 0 5 6 7],930417,[2 6 0 7 3 5 4 8 9 1],1983393,[5 4 1 6 8 2 3 7 9 0]
11,3182839,[8 6 9 3 4 5 1 0 7 2],1265716,[3 5 4 0 9 7 1 8 2 6],979029,[2 7 3 1 8 5 9 4 6 0],1785076,[4 9 2 1 3 7 0 8 5 6],253170,[0 7 3 2 6 8 9 1 4 5],1798134,[4 9 5 7 2 3 1 0 6 8],2822115,[7 6 9 8 3 4 0 2 5 1],2677547,[7 3 4 1 8 9 2 6 5 0],2868599,[7 9 1 2 0 8 6 5 4 3],3338426,[9 1 7 3 6 2 0 5 4 8]
12,2859325,[7 8 9 2 1 5 4 0 6 3],2918641,[8 0 4 1 7 2 3 5 9 6],1980659,[5 4 0 9 8 3 2 7 6 1],1213266,[3 4 0 8 1 6 9 2 5 7],3251350,[8 9 5 0 6 3 7 4 1 2],2694885,[7 3 8 5 9 1 6 2 4 0],826369,[2 3 5 9 7 4 0 1 8 6],654359,[1 8 2 7 6 9 5 4 3 0],2083075,[5 7 6 2 0 9 8 1 4 3],2590290,[7 1 2 9 5 6 8 0 3 4]
13,1866843,[5 1 3 4 9 0 2 7 8 6],2805213,[7 6 4 5 0 8 9 2 3 1],739105,[2 0 4 7 6 3 1 5 9 8],900008,[2 5 3 7 0 1 6 8 4 9],247846,[0 7 2 3 4 5 9 8 1 6],3329989,[9 1 5 6 8 7 3 0 4 2],2089799,[5 7 8 4 2 9 6 3 1 0],2289677,[6 2 8 3 0 7 1 9 5 4],3311485,[9 1 2 0 4 7 6 3 8 5],133381,[0 4 3 6 2 7 8 1 9 5]
14,767554,[2 1 0 5 3 6 7 9 4 8],3473428,[9 5 1 2 3 4 0 8 6 7],132826,[0 4 3 5 6 9 2 8 1 7],273692,[0 7 8 3 1 6 9 4 2 5],444373,[1 3 0 4 5 2 8 6 9 7],1898343,[5 2 0 7 6 4 8 3 9 1],333897,[0 9 3 2 7 5 4 6 8 1],1135420,[3 1 2 4 9 8 0 7 5 6],154652,[0 4 8 6 7 5 9 2 1 3],2156825,[5 9 3 8 4 2 6 7 1 0]
15,2040833,[5 6 4 9 2 8 3 7 1 0],2848916,[7 8 5 1 6 9 4 2 0 3],3234249,[8 9 1 6 0 2 4 5 7 3],2065906,[5 7 1 9 2 8 3 6 0 4],3249397,[8 9 4 6 0 2 5 1 7 3],493192,[1 4 2 8 9 7 5 6 0 3],615426,[1 7 3 0 8 5 9 2 4 6],1230239,[3 4 6 0 7 9 8 5 2 1],3485836,[9 5 3 6 2 7 0 8 1 4],691710,[1 9 2 3 7 4 5 0 6 8]
16,3579293,[9 7 6 1 2 4 0 8 5 3],1084329,[2 9 8 1 0 3 5 6 7 4],1993442,[5 4 3 6 8 0 1 7 2 9],438649,[1 2 9 0 4 6 3 5 8 7],1216791,[3 4 1 5 9 8 6 2 7 0],2212548,[6 0 8 9 7 5 3 1 2 4],1482141,[4 0 8 1 6 2 9 5 7 3],2077328,[5 7 4 1 2 0 6 8 3 9],2285834,[6 2 7 4 8 5 0 3 1 9],2156911,[5 9 3 8 6 1 2 0 7 4]
17,822499,[2 3 5 1 6 0 9 4 8 7],1011279,[2 8 0 6 5 3 7 4 9 1],3116591,[8 5 2 3 6 4 9 7 1 0],1850747,[5 0 9 2 4 8 3 7 6 1],3062743,[8 3 9 5 6 7 1 0 4 2],3586764,[9 7 8 4 3 5 2 0 1 6],891534,[2 5 0 9 3 6 4 1 7 8],2451021,[6 7 8 2 1 0 9 4 5 3],3439964,[9 4 2 5 7 1 8 3 0 6],2496343,[6 8 9 2 0 7 3 1 5 4]
18,1743322,[4 8 1 9 2 6 3 7 0 5],3410890,[9 3 5 7 2 0 4 8 1 6],2539431,[6 9 8 5 7 4 2 1 3 0],2782878,[7 6 0 2 1 8 4 3 5 9],2209719,[6 0 8 4 1 3 7 5 9 2],2675700,[7 3 2 9 1 5 6 0 4 8],1184124,[3 2 4 9 6 7 5 0 1 8],3333451,[9 1 6 3 7 5 8 0 4 2],2040115,[5 6 4 8 2 9 7 0 3 1],2137876,[5 9 0 2 3 7 1 8 4 6]
19,3506640,[9 5 8 6 2 0 1 3 4 7],2655609,[7 2 8 9 3 0 4 5 6 1],314988,[0 8 7 4 3 9 5 1 2 6],1564815,[4 2 8 5 3 0 7 6 9 1],1472646,[4 0 6 2 5 1 7 3 8 9],3357239,[9 2 3 0 7 8 6 5 4 1],3167588,[8 6 4 3 2 5 9 1 0 7],169809,[0 5 2 7 9 1 4 6 8 3],344758,[0 9 5 3 7 8 6 4 1 2],2996033,[8 2 3 5 0 9 6 7 4 1]
20,2894705,[7 9 6 2 3 4 5 8 1 0],2016524,[5 6 0 1 8 3 9 4 2 7],1944574,[5 3 1 8 7 6 9 4 0 2],2778240,[7 5 9 1 6 0 2 3 4 8],3569908,[9 7 4 2 1 3 0 8 5 6],1317030,[3 6 7 2 1 4 5 0 8 9],1448443,[3 9 8 2 6 1 7 0 5 4],89755,[0 3 2 8 6 9 7 1 5 4],153099,[0 4 8 3 6 9 1 5 7 2],2328030,[6 3 7 9 2 1 4 0 5 8]
21,1138490,[3 1 2 9 4 6 0 7 5 8],1832992,[5 0 4 7 8 9 3 6 1 2],1578666,[4 3 1 2 7 6 9 0 5 8],3608192,[9 8 3 7 2 1 4 5 0 6],906221,[2 5 4 8 6 9 0 7 3 1],2398905,[6 5 3 9 7 8 1 2 4 0],111280,[0 3 8 1 6 4 7 9 2 5],849934,[2 4 0 7 5 8 9 6 1 3],19488,[0 1 5 9 2 6 3 4 7 8],1705922,[4 7 2 5 3 0 1 8 6 9]
22,1727945,[4 7 8 6 9 2 3 5 1 0],2738607,[7 4 9 2 5 6 3 1 8 0],227809,[0 6 7 2 4 5 1 3 9 8],240562,[0 6 9 7 1 5 3 8 2 4],2195585,[6 0 4 7 3 5 8 9 2 1],3574538,[9 7 5 1 4 8 0 3 2 6],2736152,[7 4 8 9 1 2 3 5 0 6],3475688,[9 5 1 6 3 0 4 7 2 8],2867408,[7 9 0 8 4 1 3 5 2 6],2418041,[6 5 9 7 2 1 4 8 3 0]
23,2420810,[6 7 0 3 2 5 1 8 4 9],238066,[0 6 9 2 5 8 3 7 1 4],1459855,[4 0 2 7 6 5 3 1 9 8],1203064,[3 2 8 6 9 4 5 7 0 1],3176049,[8 6 7 1 2 0 4 5 9 3],3419931,[9 3 7 4 8 2 0 5 6 1],1792271,[4 9 3 6 1 5 8 7 2 0],3297455,[9 0 7 2 6 5 8 4 3 1],522815,[1 4 9 7 0 6 8 5 3 2],3251666,[8 9 5 1 2 3 0 6 4 7]
24,753865,[2 0 7 6 1 4 3 5 9 8],2650132,[7 2 6 8 5 3 0 9 1 4],2404979,[6 5 7 1 2 4 3 9 8 0],220453,[0 6 4 8 2 1 7 3 9 5],1710603,[4 7 3 2 9 0 1 6 8 5],2379324,[6 5 0 1 7 8 4 2 3 9],887170,[2 5 0 1 4 3 7 9 6 8],3395926,[9 3 1 7 5 2 8 6 0 4],645657,[1 8 0 2 7 5 4 6 9 3],1303527,[3 6 2 7 4 8 5 1 9 0]
25,2307674,[6 3 1 9 0 7 2 5 4 8],2945625,[8 1 0 5 2 9 4 6 7 3],2235636,[6 1 4 7 0 3 8 2 5 9],2803101,[7 6 4 1 2 0 9 5 8 3],3141093,[8 5 9 1 4 6 7 2 3 0],1399924,[3 8 6 7 2 0 1 9 4 5],2599179,[7 1 4 6 9 8 0 3 5 2],2700821,[7 3 9 8 0 6 1 5 4 2],3516156,[9 6 1 5 4 2 7 0 3 8],3614259,[9 8 5 0 6 7 1 3 4 2]
26,1142831,[3 1 4 8 2 6 9 7 5 0],3033085,[8 3 1 7 5 6 4 0 9 2],899846,[2 5 3 6 8 7 4 1 0 9],1597916,[4 3 7 0 2 9 8 5 1 6],2634593,[7 2 3 8 0 9 5 6 4 1],241269,[0 6 9 8 1 4 7 3 5 2],684017,[1 8 9 6 0 2 5 7 4 3],2467012,[6 8 1 4 3 5 0 9 2 7],1307505,[3 6 4 2 9 8 1 5 7 0],2048866,[5 6 8 3 4 9 1 7 0 2]
27,157734,[0 4 9 3 1 6 5 2 7 8],929113,[2 6 0 4 5 8 1 3 9 7],3377829,[9 2 7 1 4 5 8 3 6 0],1743688,[4 8 1 9 6 5 3 7 0 2],246184,[0 7 1 8 9 4 5 6 2 3],3623403,[9 8 6 7 3 0 1 4 5 2],960962,[2 6 8 5 7 0 1 4 3 9],1225014,[3 4 5 0 6 7 2 1 8 9],1147131,[3 1 5 7 2 6 0 8 9 4],2762658,[7 5 4 1 0 2 9 3 6 8]
28,2638009,[7 2 4 3 9 5 0 1 8 6],1433995,[3 9 5 4 6 8 7 0 2 1],1154900,[3 1 7 2 0 4 9 6 5 8],1882241,[5 1 7 4 2 3 8 9 6 0],3407790,[9 3 5 1 0 4 6 2 7 8],912238,[2 5 6 9 8 7 4 3 0 1],2620162,[7 1 9 8 0 5 3 6 2 4],1739493,[4 8 1 0 9 6 7 3 5 2],938467,[2 6 3 1 5 7 9 0 8 4],1690030,[4 6 9 2 1 5 8 7 0 3]
29,1743791,[4 8 1 9 7 3 6 5 2 0],1819706,[5 0 2 1 6 4 3 8 7 9],3351986,[9 2 1 0 6 4 3 7 5 8],335020,[0 9 3 5 2 8 1 7 4 6],814754,[2 3 1 7 6 8 0 5 4 9],567360,[1 6 0 7 2 3 4 5 8 9],1562284,[4 2 7 9 8 0 1 6 3 5],988069,[2 7 5 0 3 9 6 1 8 4],1562508,[4 2 8 0 1 9 6 3 5 7],367398,[1 0 2 9 4 7 5 3 6 8]
30,1619683,[4 5 1 3 7 2 9 0 8 6],748662,[2 0 6 5 8 9 3 1 4 7],2645937,[7 2 5 9 8 3 1 4 6 0],3339863,[9 1 7 5 6 0 8 4 3 2],5931,[0 1 3 4 5 7 2 8 9 6],1662852,[4 6 1 9 5 0 7 2 3 8],743784,[2 0 5 7 1 4 3 6 8 9],3183152,[8 6 9 4 0 2 3 5 1 7],2268195,[6 2 3 0 4 8 1 7 9 5],92520,[0 3 4 5 7 1 2 6 8 9]
