Optimas, 10210(0 1 4 2 5 3 7 9 6 8), 1689280(4 6 9 1 2 3 7 8 0 5), 486002(1 4 0 6 2 3 5 8 7 9), 324738(0 9 1 5 2 3 8 4 6 7), 1120434(3 0 8 4 1 9 7 2 5 6), 1699998(4 7 1 3 0 8 5 2 6 9), 2117037(5 8 4 0 2 9 7 3 6 1), 1406637(3 8 9 0 5 7 6 2 4 1), 1204758(3 2 9 0 4 7 5 1 6 8), 258085(0 7 4 2 5 8 6 1 9 3)
H-Axis, Max distance, Ratio,LCDM,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Dummy5,Dummy6,Dummy7,Dummy8,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
100,3628800,100,89,1,1,1,1,283,0,0,0,0,244,252,253,520,154543,152
99,3592512,99,64,0,0,0,0,217,0,0,0,0,218,257,190,308,146791,135
98,3556224,98,57,0,0,0,0,186,0,0,0,0,175,219,191,312,146372,135
97,3519936,97,74,0,0,0,0,182,0,0,0,0,187,215,200,306,146087,135
96,3483648,96,56,0,0,0,0,214,0,0,0,0,203,236,190,312,145982,130
95,3447360,95,66,0,0,0,0,195,0,0,0,0,185,218,191,341,146620,133
94,3411072,94,79,0,0,0,0,186,0,0,0,0,201,215,209,307,145932,133
93,3374784,93,61,0,0,0,0,194,0,0,0,0,179,214,197,310,145984,132
92,3338496,92,64,0,0,0,0,187,0,0,0,0,210,224,194,327,145814,133
91,3302208,91,61,0,0,0,0,194,0,0,0,0,189,218,208,316,146063,144
90,3265920,90,61,0,0,0,0,210,0,0,0,0,179,220,201,346,146282,130
89,3229632,89,88,0,0,0,0,216,0,0,0,0,176,215,192,301,145558,134
88,3193344,88,59,0,0,0,0,186,0,0,0,0,188,221,193,322,146512,156
87,3157056,87,61,0,0,0,0,194,0,0,0,0,179,221,195,313,146711,176
86,3120768,86,64,0,0,0,0,189,0,0,0,0,185,216,192,314,146359,137
85,3084480,85,63,0,0,0,0,182,0,0,0,0,182,217,207,308,146274,132
84,3048192,84,66,0,0,0,0,196,0,0,0,0,177,211,190,296,145852,130
83,3011904,83,57,0,0,0,0,187,0,0,0,0,182,214,193,309,145427,135
82,2975616,82,63,1,0,0,0,196,0,0,0,0,194,214,210,318,145949,134
81,2939328,81,60,0,0,0,0,192,0,0,0,0,186,252,196,303,147223,169
80,2903040,80,57,0,0,0,0,178,0,0,0,0,176,211,184,297,145382,130
79,2866752,79,73,0,0,0,0,215,0,0,0,0,211,218,224,355,146254,132
78,2830464,78,62,0,0,0,0,200,0,0,0,0,198,227,197,314,146934,133
77,2794176,77,55,0,0,0,0,180,0,0,0,0,172,218,194,306,145470,137
76,2757888,76,61,0,0,0,0,191,0,0,0,0,192,226,194,309,145812,133
75,2721600,75,61,0,0,0,0,206,0,0,0,0,185,225,192,306,146141,133
74,2685312,74,92,0,0,0,0,200,0,0,0,0,189,214,196,301,146616,131
73,2649024,73,54,0,0,0,0,196,0,0,0,0,177,207,184,309,145415,132
72,2612736,72,59,0,0,0,0,228,0,0,0,0,177,243,188,323,145983,130
71,2576448,71,57,0,0,0,0,185,0,0,0,0,187,217,188,316,145930,131
70,2540160,70,61,0,0,0,0,191,0,0,0,0,188,208,189,337,145780,133
69,2503872,69,59,0,0,0,0,188,0,0,0,0,176,229,196,296,146672,144
68,2467584,68,78,0,0,0,0,223,0,0,0,0,241,245,195,304,147892,144
67,2431296,67,68,0,0,0,0,181,0,0,0,0,180,209,205,305,145508,133
66,2395008,66,64,0,0,0,0,217,0,0,0,0,179,218,197,334,146335,131
65,2358720,65,61,0,0,0,0,183,0,0,0,0,192,225,201,310,147242,135
64,2322432,64,61,0,0,0,0,205,0,0,0,0,191,228,200,306,144941,138
63,2286144,63,67,0,0,0,0,192,0,0,0,0,183,214,193,308,146004,133
62,2249856,62,59,0,0,0,0,189,0,0,0,0,181,222,189,298,146180,134
61,2213568,61,60,0,0,0,0,187,0,0,0,0,184,220,191,304,145268,134
