2%,Optima 1, Optima [1],Optima 2, Optima [2]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2]
1,51615,[0 2 4 3 8 1 7 6 9 5],1683360,[4 6 8 0 1 2 3 5 7 9]
2,16563,[0 1 5 4 2 3 6 8 9 7],1696982,[4 7 0 6 9 3 5 2 1 8]
3,72448,[0 2 8 4 6 7 5 9 1 3],1722861,[4 7 6 8 9 0 5 2 3 1]
4,34232,[0 1 8 7 5 3 4 6 2 9],1679504,[4 6 7 1 5 9 2 3 0 8]
5,44116,[0 2 1 8 4 7 3 9 5 6],1677992,[4 6 5 9 3 1 2 7 0 8]
6,74617,[0 2 8 7 5 9 1 3 6 4],1674229,[4 6 5 1 2 9 7 0 8 3]
7,77897,[0 2 9 5 3 1 7 8 6 4],1712720,[4 7 3 8 6 5 1 2 0 9]
8,41215,[0 2 1 4 5 7 6 3 9 8],1695686,[4 7 0 5 1 8 6 3 2 9]
9,66065,[0 2 7 1 8 5 6 9 4 3],1703233,[4 7 1 9 5 6 0 2 8 3]
10,51828,[0 2 4 3 9 8 6 1 5 7],1669543,[4 6 3 1 8 9 2 0 7 5]
11,17216,[0 1 5 4 9 6 3 7 2 8],1696098,[4 7 0 5 8 1 9 2 3 6]
12,23947,[0 1 6 8 3 5 9 2 7 4],1679748,[4 6 7 1 9 8 3 0 2 5]
13,77479,[0 2 9 4 6 7 3 1 8 5],1668316,[4 6 3 0 1 8 2 9 5 7]
14,78830,[0 2 9 6 4 8 5 3 1 7],1683042,[4 6 7 9 3 1 8 0 2 5]
15,14570,[0 1 4 9 3 6 2 7 5 8],1708457,[4 7 2 9 8 0 5 6 3 1]
16,37374,[0 1 9 4 8 5 3 2 6 7],1705501,[4 7 2 3 8 5 6 0 9 1]
17,22051,[0 1 6 4 7 8 9 2 5 3],1705836,[4 7 2 5 1 3 8 0 6 9]
18,14081,[0 1 4 8 6 3 7 9 5 2],1710612,[4 7 3 2 9 0 6 1 5 8]
19,47617,[0 2 3 6 1 9 4 5 8 7],1690448,[4 6 9 2 8 0 3 5 1 7]
20,18049,[0 1 5 7 2 6 3 4 9 8],1681280,[4 6 7 5 0 8 2 3 1 9]
21,17023,[0 1 5 4 7 9 3 2 8 6],1678876,[4 6 7 0 8 5 1 9 2 3]
22,18112,[0 1 5 7 2 9 6 8 3 4],1670429,[4 6 3 5 0 2 1 9 8 7]
23,33346,[0 1 8 6 3 9 4 7 2 5],1687835,[4 6 8 9 1 2 3 7 5 0]
24,11135,[0 1 4 3 6 8 9 7 5 2],1680991,[4 6 7 3 8 1 2 0 9 5]
25,78645,[0 2 9 6 3 4 8 5 7 1],1724397,[4 7 8 0 9 6 5 2 3 1]
26,45478,[0 2 3 1 4 9 8 7 5 6],1692914,[4 6 9 8 1 5 0 3 2 7]
27,70235,[0 2 7 9 5 3 4 8 6 1],1673878,[4 6 5 0 8 9 7 3 1 2]
28,78294,[0 2 9 5 7 4 3 1 6 8],1708069,[4 7 2 9 1 8 5 0 6 3]
29,76661,[0 2 9 3 5 8 1 7 6 4],1692038,[4 6 9 7 0 2 5 3 1 8]
30,20416,[0 1 6 2 5 3 8 9 4 7],1712716,[4 7 3 8 6 5 0 9 1 2]
31,61101,[0 2 6 1 9 3 8 5 7 4],1721470,[4 7 6 3 9 2 8 5 0 1]
32,60097,[0 2 5 9 4 8 1 3 7 6],1692955,[4 6 9 8 1 7 5 0 3 2]
33,44849,[0 2 1 9 4 7 6 8 5 3],1684278,[4 6 8 1 2 7 3 0 5 9]
34,25213,[0 1 7 2 3 4 8 5 9 6],1680357,[4 6 7 2 8 9 5 1 3 0]
35,27058,[0 1 7 4 6 5 3 9 2 8],1673796,[4 6 5 0 8 2 7 1 3 9]
36,82477,[0 3 1 5 7 4 8 2 9 6],1714428,[4 7 5 1 0 9 6 2 3 8]
37,54593,[0 2 4 8 7 9 5 6 3 1],1684895,[4 6 8 2 0 7 9 5 3 1]
38,43402,[0 2 1 7 4 8 5 9 3 6],1680504,[4 6 7 3 0 2 1 5 8 9]
39,60470,[0 2 5 9 8 7 4 3 1 6],1676425,[4 6 5 7 2 1 0 3 9 8]
40,19946,[0 1 5 9 7 3 2 6 4 8],1709814,[4 7 3 1 8 5 2 0 6 9]
41,60646,[0 2 6 1 4 5 9 8 3 7],1697512,[4 7 0 8 5 9 3 6 1 2]
42,67832,[0 2 7 5 3 4 6 8 1 9],1692586,[4 6 9 7 5 8 1 3 0 2]
43,79392,[0 2 9 7 3 6 1 4 5 8],1706857,[4 7 2 6 5 9 0 1 8 3]
44,24313,[0 1 6 8 7 5 2 3 9 4],1697918,[4 7 0 9 2 3 6 5 1 8]
45,55940,[0 2 5 1 8 3 9 6 4 7],1711827,[4 7 3 6 5 1 0 8 9 2]
46,42910,[0 2 1 6 7 5 9 8 3 4],1700198,[4 7 1 3 5 2 8 6 0 9]
47,28871,[0 1 7 8 2 5 9 6 4 3],1702221,[4 7 1 8 2 0 9 5 6 3]
48,61834,[0 2 6 3 9 4 5 8 1 7],1692719,[4 6 9 7 8 5 3 2 1 0]
49,27861,[0 1 7 5 8 2 9 4 6 3],1723371,[4 7 6 9 3 2 0 5 8 1]
50,58257,[0 2 5 6 9 4 3 7 8 1],1680623,[4 6 7 3 1 0 9 8 5 2]
51,69408,[0 2 7 8 4 5 1 3 6 9],1680606,[4 6 7 3 1 0 5 2 8 9]
52,72781,[0 2 8 5 1 6 7 3 9 4],1686104,[4 6 8 3 7 9 1 2 0 5]
53,81790,[0 3 1 4 7 6 9 8 2 5],1706169,[4 7 2 5 8 0 3 6 9 1]
54,24159,[0 1 6 8 5 3 7 4 9 2],1703142,[4 7 1 9 3 8 2 0 5 6]
55,46290,[0 2 3 4 5 8 9 1 6 7],1661040,[4 6 1 7 0 2 3 5 8 9]
56,67264,[0 2 7 4 5 6 8 9 1 3],1718041,[4 7 5 9 1 0 2 3 8 6]
57,78091,[0 2 9 5 4 7 8 1 6 3],1717102,[4 7 5 6 9 0 8 3 1 2]
58,53306,[0 2 4 7 1 5 3 8 6 9],1700384,[4 7 1 3 6 9 2 5 0 8]
59,41358,[0 2 1 4 6 8 5 3 7 9],1663454,[4 6 2 0 5 1 8 7 3 9]
60,27064,[0 1 7 4 6 5 8 9 2 3],1719640,[4 7 6 1 3 2 8 9 0 5]
61,23852,[0 1 6 8 2 7 9 4 3 5],1672648,[4 6 3 9 0 7 5 8 1 2]
62,72773,[0 2 8 5 1 6 3 9 7 4],1695618,[4 7 0 5 1 2 9 3 6 8]
63,35380,[0 1 9 2 3 8 4 7 5 6],1692245,[4 6 9 7 2 0 1 8 5 3]
64,30508,[0 1 8 2 5 4 3 9 6 7],1673378,[4 6 5 0 1 9 2 7 3 8]
65,40982,[0 2 1 3 9 6 7 5 4 8],1664999,[4 6 2 3 5 9 8 7 1 0]
66,74458,[0 2 8 7 4 5 3 9 1 6],1657698,[4 6 0 9 3 1 8 2 5 7]
67,79905,[0 2 9 7 8 6 3 4 5 1],1698972,[4 7 1 0 8 2 6 3 5 9]
68,17588,[0 1 5 6 4 7 9 3 2 8],1682667,[4 6 7 9 0 2 1 5 8 3]
69,80830,[0 3 1 2 5 7 9 8 4 6],1674632,[4 6 5 1 9 2 3 7 0 8]
70,43862,[0 2 1 7 9 5 6 4 3 8],1718423,[4 7 5 9 6 0 8 3 2 1]
71,33094,[0 1 8 5 9 6 7 4 2 3],1718272,[4 7 5 9 2 8 3 6 0 1]
72,73427,[0 2 8 5 9 7 3 6 4 1],1728068,[4 7 8 9 0 3 6 2 1 5]
73,31060,[0 1 8 3 2 9 4 7 5 6],1658145,[4 6 0 9 8 7 2 3 5 1]
74,30816,[0 1 8 2 7 9 3 4 5 6],1692281,[4 6 9 7 2 1 5 8 3 0]
75,47861,[0 2 3 6 5 9 1 8 7 4],1682205,[4 6 7 8 2 1 9 3 5 0]
76,50535,[0 2 4 1 5 3 8 7 9 6],1693911,[4 7 0 1 6 9 5 3 8 2]
77,52676,[0 2 4 6 1 9 8 5 3 7],1718080,[4 7 5 9 1 2 6 8 0 3]
78,58192,[0 2 5 6 8 9 4 7 1 3],1673438,[4 6 5 0 2 3 8 7 1 9]
