98%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10],Optima 11, Optima [11],Optima 12, Optima [12],Optima 13, Optima [13],Optima 14, Optima [14],Optima 15, Optima [15],Optima 16, Optima [16],Optima 17, Optima [17],Optima 18, Optima [18],Optima 19, Optima [19],Optima 20, Optima [20]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6],1699998,[4 7 1 3 0 8 5 2 6 9],2117037,[5 8 4 0 2 9 7 3 6 1],1406637,[3 8 9 0 5 7 6 2 4 1],1204758,[3 2 9 0 4 7 5 1 6 8],258085,[0 7 4 2 5 8 6 1 9 3],305111,[0 8 5 4 7 3 9 6 2 1],1178840,[3 2 1 9 4 7 5 6 0 8],2562143,[7 0 5 3 6 1 9 8 4 2],1329233,[3 6 9 7 0 8 4 5 2 1],3119554,[8 5 2 9 6 1 3 7 0 4],3077106,[8 4 2 5 7 3 9 0 1 6],422700,[1 2 5 9 0 6 7 3 4 8],372839,[1 0 3 9 7 8 6 5 4 2],813907,[2 3 1 6 5 7 9 0 8 4],1689280,[4 6 9 1 2 3 7 8 0 5]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10],Optima 11, Optima [11],Optima 12, Optima [12],Optima 13, Optima [13],Optima 14, Optima [14],Optima 15, Optima [15],Optima 16, Optima [16],Optima 17, Optima [17],Optima 18, Optima [18],Optima 19, Optima [19],Optima 20, Optima [20]
1,205569,[0 6 1 8 5 2 4 7 9 3],852714,[2 4 1 3 5 9 8 0 6 7],675144,[1 8 6 9 5 2 0 3 4 7],3180283,[8 6 9 0 1 3 7 2 5 4],3254328,[8 9 5 4 7 2 0 1 3 6],2843609,[7 8 4 1 3 6 5 9 2 0],1687231,[4 6 8 7 2 1 3 0 9 5],745454,[2 0 5 9 4 1 7 6 3 8],998271,[2 7 8 0 4 9 5 3 6 1],1931319,[5 2 9 1 4 3 7 6 8 0],975385,[2 7 1 5 8 3 0 4 9 6],2837489,[7 8 2 9 6 4 3 5 1 0],829773,[2 3 6 7 4 8 9 1 5 0],3229412,[8 9 0 6 2 5 7 3 1 4],2843900,[7 8 4 1 9 0 6 3 2 5],3037607,[8 3 2 6 9 1 7 5 4 0],1750624,[4 8 3 2 5 6 7 9 0 1],3403412,[9 3 4 1 8 6 7 2 0 5],750642,[2 0 6 9 5 3 8 1 4 7],3301220,[9 0 8 1 2 3 7 5 4 6]
2,248535,[0 7 2 4 3 1 8 6 9 5],3114215,[8 5 1 9 2 6 7 4 3 0],1512817,[4 1 6 2 0 9 3 5 8 7],3481650,[9 5 2 7 4 6 8 0 1 3],1346832,[3 7 4 1 6 8 0 2 5 9],95364,[0 3 4 9 5 7 6 1 2 8],1145867,[3 1 5 4 6 9 2 8 7 0],1315912,[3 6 7 0 5 9 4 8 1 2],3068045,[8 4 0 7 2 1 3 9 6 5],1142777,[3 1 4 8 2 0 7 9 6 5],1764964,[4 8 7 1 3 0 2 9 5 6],2131620,[5 8 7 9 3 2 4 0 1 6],169937,[0 5 2 8 1 3 7 9 6 4],1220069,[3 4 2 0 7 5 1 9 8 6],3141266,[8 5 9 1 7 2 0 4 3 6],1169373,[3 2 0 1 4 8 9 6 7 5],1397802,[3 8 6 2 4 1 9 0 5 7],1643750,[4 5 8 0 9 7 3 2 1 6],3539248,[9 6 7 1 4 5 3 8 0 2],3425049,[9 3 8 5 0 1 4 6 7 2]
3,423509,[1 2 6 0 4 5 3 9 8 7],2077378,[5 7 4 1 2 6 3 9 0 8],2129050,[5 8 7 3 0 1 4 9 2 6],1607929,[4 3 9 0 2 6 1 5 8 7],2440207,[6 7 4 1 2 0 5 3 9 8],987839,[2 7 4 9 8 6 5 3 1 0],2243585,[6 1 7 2 0 5 8 9 4 3],3080242,[8 4 3 1 0 7 5 9 2 6],3545938,[9 6 8 3 7 2 1 5 0 4],1169001,[3 1 9 8 5 6 2 4 7 0],1216291,[3 4 1 5 2 8 9 0 7 6],2842169,[7 8 3 9 2 5 4 6 1 0],2428520,[6 7 1 8 9 4 2 3 0 5],1093566,[3 0 1 9 8 2 5 4 6 7],2221557,[6 1 0 8 4 9 7 3 5 2],1630817,[4 5 3 7 0 1 8 9 6 2],2990742,[8 2 1 4 7 9 3 0 5 6],83979,[0 3 1 7 6 9 2 5 8 4],506135,[1 4 6 3 9 7 8 5 2 0],1812323,[4 9 8 5 0 6 2 7 3 1]
4,2765174,[7 5 4 6 3 0 8 2 1 9],3035521,[8 3 2 4 0 1 5 6 9 7],3427633,[9 4 0 1 6 7 2 3 8 5],1164542,[3 1 9 0 5 6 7 4 2 8],805238,[2 1 9 7 4 3 6 5 0 8],3297594,[9 0 7 2 8 6 5 1 3 4],3202918,[8 7 3 4 2 9 6 5 0 1],1702143,[4 7 1 8 0 5 6 3 9 2],3069923,[8 4 1 0 7 6 3 9 5 2],697567,[1 9 3 4 8 0 5 2 7 6],2766745,[7 5 4 9 6 1 0 2 8 3],3351569,[9 2 0 8 7 5 4 6 3 1],1611573,[4 3 9 7 1 6 8 2 5 0],1700082,[4 7 1 3 2 5 9 0 6 8],3478692,[9 5 2 1 6 0 7 3 4 8],2875335,[7 9 2 4 5 0 6 3 8 1],2452296,[6 7 8 3 9 5 0 1 2 4],2354798,[6 4 3 1 7 2 8 5 0 9],1403597,[3 8 7 4 2 6 0 9 5 1],464360,[1 3 6 0 9 7 4 5 2 8]
5,234647,[0 6 8 4 9 2 7 5 3 1],2543286,[7 0 1 6 4 2 5 3 8 9],2369393,[6 4 8 0 7 9 3 5 2 1],3557745,[9 7 1 8 2 6 3 4 5 0],3244112,[8 9 3 5 6 1 2 4 0 7],1711886,[4 7 3 6 5 8 2 1 0 9],3319863,[9 1 3 6 8 4 5 2 7 0],1861782,[5 1 2 4 8 9 3 0 6 7],1068275,[2 9 4 8 6 1 3 7 5 0],2366862,[6 4 7 5 1 9 2 0 3 8],1762770,[4 8 6 7 1 5 9 0 2 3],277640,[0 7 9 1 5 6 3 4 2 8],161587,[0 5 1 2 6 7 9 3 8 4],1208872,[3 2 9 7 8 6 4 5 0 1],3264842,[8 9 7 5 3 0 1 4 2 6],199667,[0 5 9 6 2 8 3 7 4 1],1666786,[4 6 2 7 9 8 1 5 0 3],1749165,[4 8 3 0 5 2 9 6 7 1],474060,[1 3 8 0 5 6 7 2 4 9],2684337,[7 3 5 6 1 4 2 8 9 0]
6,384218,[1 0 6 3 7 9 2 5 4 8],2983614,[8 1 9 7 6 3 2 0 4 5],2717130,[7 4 3 0 8 6 9 1 2 5],1022031,[2 8 3 7 4 9 5 1 6 0],2049844,[5 6 8 7 0 1 2 9 3 4],618298,[1 7 3 6 8 4 2 9 0 5],3481704,[9 5 2 7 6 1 0 3 4 8],2401407,[6 5 4 3 1 8 7 2 9 0],2254906,[6 1 9 3 7 8 2 5 0 4],2895079,[7 9 6 2 8 4 1 0 5 3],3454914,[9 4 6 3 2 8 7 0 1 5],813262,[2 3 1 5 7 0 9 8 4 6],336069,[0 9 3 6 7 4 8 2 5 1],3265774,[8 9 7 6 4 3 5 2 0 1],3548765,[9 7 0 1 8 2 3 6 5 4],1439637,[3 9 6 5 2 8 7 1 4 0],409357,[1 2 3 4 7 5 8 0 9 6],1581127,[4 3 1 8 0 2 6 5 9 7],2820323,[7 6 9 4 0 5 2 8 3 1],1625417,[4 5 2 6 7 0 8 9 3 1]
7,897711,[2 5 3 0 8 9 6 4 7 1],2183799,[6 0 2 4 1 5 8 7 9 3],636548,[1 7 8 3 0 5 9 4 2 6],1684026,[4 6 8 0 9 3 7 1 2 5],2109376,[5 8 2 4 7 0 6 9 1 3],731569,[2 0 3 4 1 7 5 6 9 8],2145120,[5 9 1 6 3 0 2 4 7 8],3115494,[8 5 2 1 0 6 4 3 7 9],1406526,[3 8 9 0 5 1 4 2 6 7],1479252,[4 0 7 5 6 1 8 2 3 9],2181899,[6 0 1 9 4 5 3 8 7 2],3296731,[9 0 7 1 6 5 8 2 4 3],2604056,[7 1 5 6 8 3 2 4 0 9],411690,[1 2 3 7 8 6 9 0 4 5],752658,[2 0 7 4 5 1 9 3 6 8],959836,[2 6 8 4 0 7 1 9 3 5],955659,[2 6 7 5 1 9 0 4 8 3],1117571,[3 0 7 8 2 1 5 9 6 4],2860987,[7 8 9 4 3 2 6 0 5 1],2120983,[5 8 4 7 6 9 1 0 3 2]
