98%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5]
1,2178477,[6 0 1 3 7 9 8 4 5 2],2865943,[7 9 0 5 3 8 2 1 6 4],1084732,[2 9 8 1 5 4 0 7 3 6],2180104,[6 0 1 5 9 4 7 8 2 3],1825924,[5 0 3 4 1 2 6 9 7 8]
2,3422388,[9 3 8 0 2 7 5 1 4 6],1633222,[4 5 6 0 3 1 9 8 2 7],397808,[1 0 8 9 5 2 4 6 3 7],2321577,[6 3 5 7 2 4 1 8 9 0],1799390,[4 9 6 0 1 8 5 3 2 7]
3,284590,[0 8 1 5 3 6 9 7 2 4],2445006,[6 7 5 0 9 1 3 2 4 8],1689255,[4 6 9 1 2 0 7 5 8 3],1016506,[2 8 1 6 7 9 3 5 0 4],415364,[1 2 4 5 9 3 8 6 0 7]
4,857304,[2 4 3 0 8 5 1 6 7 9],2556240,[7 0 4 2 5 1 3 6 8 9],109011,[0 3 7 6 4 5 1 8 9 2],2525688,[6 9 5 0 8 3 1 2 4 7],3304678,[9 0 8 5 6 7 4 3 1 2]
5,2437197,[6 7 3 4 9 8 5 1 2 0],993934,[2 7 6 1 4 8 9 5 0 3],2954726,[8 1 3 2 7 6 5 4 0 9],1269858,[3 5 4 9 7 0 8 1 2 6],2104251,[5 8 1 4 6 3 0 7 9 2]
6,2031086,[5 6 2 9 8 4 3 1 0 7],453963,[1 3 4 0 7 2 5 8 9 6],3029779,[8 3 1 2 0 4 9 5 7 6],2267924,[6 2 1 9 8 3 7 4 0 5],581704,[1 6 4 3 9 5 7 8 0 2]
7,846341,[2 3 9 8 4 7 0 6 5 1],1541120,[4 2 1 8 5 7 3 6 0 9],274140,[0 7 8 3 6 4 5 1 2 9],2875319,[7 9 2 4 3 8 6 5 1 0],3383895,[9 2 8 3 7 0 5 4 6 1]
8,1881361,[5 1 7 3 0 2 4 6 9 8],2589050,[7 1 2 6 9 4 0 5 3 8],678791,[1 8 7 5 6 3 9 4 2 0],2322340,[6 3 5 8 2 9 0 7 1 4],1458020,[4 0 2 5 1 3 9 7 6 8]
9,2666475,[7 3 1 0 5 8 2 6 9 4],3577377,[9 7 5 6 3 2 1 4 8 0],3456502,[9 4 6 7 5 0 8 3 1 2],2475886,[6 8 3 1 7 2 9 5 0 4],3407480,[9 3 5 0 6 7 2 4 1 8]
10,748028,[2 0 6 4 9 5 8 3 1 7],1235801,[3 4 7 1 5 2 8 9 6 0],2796392,[7 6 2 8 9 1 3 4 0 5],1622527,[4 5 1 9 6 0 3 2 8 7],1939947,[5 3 0 9 4 2 1 7 8 6]
11,2964558,[8 1 5 2 4 7 3 0 6 9],2732675,[7 4 8 1 3 2 5 9 6 0],3516905,[9 6 1 7 4 3 5 8 2 0],3142663,[8 5 9 3 6 7 1 0 4 2],3084175,[8 4 3 9 5 2 1 0 7 6]
12,1371188,[3 8 0 1 5 6 9 4 2 7],2289179,[6 2 8 1 4 5 3 9 7 0],76030,[0 2 9 1 6 5 8 7 3 4],2524672,[6 9 4 8 2 7 3 5 0 1],2152666,[5 9 3 0 7 8 2 6 1 4]
13,3406566,[9 3 4 8 2 0 5 1 6 7],2573536,[7 0 8 5 3 1 6 9 2 4],2555231,[7 0 3 9 8 4 6 5 2 1],562260,[1 5 9 4 8 3 6 0 2 7],173061,[0 5 3 4 6 1 9 7 8 2]
14,1840283,[5 0 7 1 9 6 3 8 4 2],3023709,[8 2 9 7 4 3 6 1 5 0],2990689,[8 2 1 4 7 5 0 3 9 6],3392159,[9 3 1 0 4 8 7 6 5 2],2487458,[6 8 5 3 7 9 0 2 1 4]
15,354939,[0 9 7 3 8 6 1 4 5 2],3233818,[8 9 1 5 3 4 2 7 0 6],2534875,[6 9 7 8 3 5 4 0 2 1],2668699,[7 3 1 5 6 0 9 2 8 4],975998,[2 7 1 6 5 3 8 4 0 9]
16,2830628,[7 8 1 5 3 4 9 2 0 6],802529,[2 1 9 3 6 7 5 8 4 0],3225086,[8 7 9 6 1 4 3 2 0 5],2088692,[5 7 8 2 9 4 6 1 0 3],2422803,[6 7 0 8 1 2 3 5 9 4]
17,3344570,[9 1 8 5 2 4 0 6 3 7],1502327,[4 1 3 0 7 5 9 8 6 2],1840346,[5 0 7 2 1 4 3 8 6 9],2168149,[5 9 7 1 2 8 4 0 6 3],2775674,[7 5 8 6 0 4 1 3 2 9]
18,2221851,[6 1 0 8 9 4 2 5 7 3],2755140,[7 5 2 6 4 3 8 0 1 9],508918,[1 4 6 9 7 8 5 3 0 2],1738560,[4 8 0 9 6 1 2 3 5 7],2118718,[5 8 4 2 6 9 7 3 0 1]
19,1297203,[3 6 1 4 8 0 2 7 9 5],799253,[2 1 8 6 0 5 3 9 7 4],2804803,[7 6 4 3 5 1 9 0 8 2],2273571,[6 2 4 0 8 5 1 7 9 3],1120639,[3 0 8 4 5 7 2 1 9 6]
20,3474393,[9 5 1 3 6 2 4 7 8 0],343999,[0 9 5 2 7 6 3 1 8 4],280757,[0 7 9 5 8 4 1 6 3 2],1888498,[5 1 8 6 9 3 2 7 0 4],1375528,[3 8 0 9 4 6 5 7 1 2]
21,2560301,[7 0 4 9 8 6 1 5 3 2],683191,[1 8 9 4 7 2 3 0 6 5],723154,[1 9 8 4 3 2 5 7 0 6],1006295,[2 7 9 5 4 6 8 3 1 0],1050454,[2 9 0 4 8 6 7 5 1 3]
22,2233058,[6 1 4 0 5 9 2 7 3 8],192190,[0 5 8 1 9 4 7 6 2 3],3318476,[9 1 3 4 8 7 6 2 0 5],330524,[0 9 2 6 1 4 8 5 3 7],2485132,[6 8 5 0 4 3 1 9 2 7]
23,2620816,[7 2 0 1 3 4 8 9 5 6],1228995,[3 4 5 8 9 6 0 2 7 1],1702805,[4 7 1 9 0 2 3 8 6 5],1981698,[5 4 1 2 6 0 9 3 7 8],1012487,[2 8 0 9 3 4 7 6 5 1]
24,1048661,[2 9 0 1 5 8 3 7 6 4],1375669,[3 8 0 9 5 7 4 1 6 2],2533394,[6 9 7 4 3 5 0 2 1 8],942692,[2 6 4 0 3 8 9 5 1 7],2914040,[8 0 3 2 4 7 5 6 1 9]
25,1271443,[3 5 6 1 9 2 8 0 7 4],900147,[2 5 3 7 1 4 0 8 9 6],2827236,[7 8 0 9 5 2 4 1 3 6],1363082,[3 7 8 4 1 0 2 6 5 9],3113836,[8 5 1 7 6 4 0 9 2 3]
26,1150001,[3 1 6 2 4 5 8 9 7 0],1704438,[4 7 2 1 3 8 5 0 6 9],1204648,[3 2 9 0 1 7 6 8 4 5],2505076,[6 9 1 0 3 7 2 8 4 5],1912168,[5 2 4 3 8 7 6 9 0 1]
27,3369048,[9 2 5 4 1 6 0 3 7 8],2747909,[7 5 1 2 6 3 0 9 8 4],1030737,[2 8 5 4 6 3 1 7 9 0],2522375,[6 9 4 3 1 7 8 5 2 0],1959459,[5 3 6 8 2 9 0 4 7 1]
28,2839371,[7 8 3 2 5 4 0 6 9 1],395194,[1 0 8 4 9 3 5 7 2 6],2856804,[7 8 6 5 4 3 2 0 1 9],2847471,[7 8 4 9 5 6 2 1 3 0],861285,[2 4 3 9 1 5 8 6 7 0]
29,2564788,[7 0 5 9 2 3 1 8 4 6],1130272,[3 1 0 4 8 9 6 7 2 5],1562095,[4 2 7 9 5 3 1 0 8 6],1962666,[5 3 7 2 9 4 8 0 1 6],1787430,[4 9 2 6 5 1 3 0 7 8]
30,3545866,[9 6 8 3 5 7 1 4 0 2],3405081,[9 3 4 6 1 7 2 5 8 0],3066195,[8 4 0 3 6 7 1 5 9 2],1752095,[4 8 3 6 2 7 9 5 1 0],2067948,[5 7 2 3 0 9 6 1 4 8]
31,2425362,[6 7 1 2 5 3 9 0 4 8],512541,[1 4 7 6 9 0 8 3 5 2],1148395,[3 1 5 8 9 7 6 0 4 2],473676,[1 3 7 9 8 2 5 0 4 6],1664939,[4 6 2 3 5 7 1 9 8 0]
32,1327645,[3 6 9 2 8 5 4 0 7 1],2097523,[5 8 0 2 3 4 9 1 7 6],2843273,[7 8 4 0 9 6 3 5 2 1],1736147,[4 8 0 5 2 9 3 7 6 1],2259843,[6 2 0 4 8 1 3 7 9 5]
33,1058029,[2 9 1 8 4 7 5 0 6 3],829284,[2 3 6 5 8 7 4 0 1 9],2176247,[5 9 8 6 3 1 7 4 2 0],2597798,[7 1 4 5 0 3 8 6 2 9],3105202,[8 5 0 1 7 6 3 9 2 4]
34,3269313,[9 0 1 6 7 3 4 5 8 2],3471233,[9 5 0 7 1 8 4 6 3 2],209125,[0 6 2 5 4 8 7 1 9 3],174580,[0 5 3 7 4 9 1 8 2 6],705351,[1 9 4 8 5 7 3 2 6 0]
35,2209759,[6 0 8 4 1 7 3 2 9 5],1697285,[4 7 0 8 3 1 2 9 6 5],805621,[2 1 9 7 8 4 5 0 6 3],2477734,[6 8 3 5 1 7 9 4 0 2],1514247,[4 1 6 5 0 8 7 3 9 2]
36,2804574,[7 6 4 3 1 5 2 0 8 9],117170,[0 3 9 2 7 5 1 6 4 8],2622581,[7 2 0 4 5 9 1 8 6 3],3443892,[9 4 3 2 1 0 7 5 6 8],3019583,[8 2 9 0 7 1 6 5 4 3]
37,1672827,[4 6 3 9 2 1 0 7 8 5],176311,[0 5 3 9 8 2 4 1 7 6],1178809,[3 2 1 9 4 6 0 5 8 7],2930144,[8 0 6 3 5 9 2 4 1 7],3280181,[9 0 3 7 6 8 1 5 4 2]
38,2121303,[5 8 4 9 1 3 6 2 7 0],2273751,[6 2 4 0 9 8 5 3 7 1],464645,[1 3 6 2 5 0 4 9 8 7],765757,[2 0 9 8 5 3 6 1 7 4],1197075,[3 2 7 5 6 8 0 4 9 1]
39,143277,[0 4 6 3 9 8 7 2 5 1],715416,[1 9 6 8 4 7 0 2 3 5],3079941,[8 4 3 0 7 1 9 5 6 2],896696,[2 5 1 9 4 6 3 7 0 8],3388758,[9 3 0 4 6 7 2 1 5 8]
