Optimas, 10210(0 1 4 2 5 3 7 9 6 8), 1689280(4 6 9 1 2 3 7 8 0 5), 486002(1 4 0 6 2 3 5 8 7 9), 324738(0 9 1 5 2 3 8 4 6 7), 1120434(3 0 8 4 1 9 7 2 5 6)
H-Axis, Max distance, Ratio,LCDM,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Dummy5,Dummy6,Dummy7,Dummy8,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
100,3628800,100,145,0,0,0,0,243,0,0,0,0,433,448,242,366,156002,155
99,3592512,99,76,0,0,0,0,196,0,0,0,0,186,245,204,311,153555,139
98,3556224,98,74,0,0,0,0,224,0,0,0,0,192,217,255,311,145668,150
97,3519936,97,81,0,0,0,0,209,0,0,0,0,201,221,196,314,149961,136
96,3483648,96,59,0,0,0,0,180,0,0,0,0,180,215,190,302,145347,130
95,3447360,95,69,0,0,0,0,190,0,0,0,0,180,218,257,344,146321,133
94,3411072,94,69,0,0,0,0,193,0,0,0,0,175,224,193,313,145923,135
93,3374784,93,56,0,0,0,0,183,0,0,0,0,181,213,192,309,145788,154
92,3338496,92,66,0,0,0,0,190,0,0,0,0,188,226,194,316,145971,133
91,3302208,91,60,0,0,0,0,197,0,0,0,0,191,219,199,310,146203,133
90,3265920,90,68,0,0,0,0,193,0,0,0,0,193,222,198,348,147100,142
89,3229632,89,61,0,0,0,0,203,0,0,0,0,254,220,199,314,148594,135
88,3193344,88,186,0,0,0,3,299,0,0,0,0,259,632,269,687,160217,171
87,3157056,87,67,0,0,0,0,191,0,0,0,0,223,213,199,306,147225,154
86,3120768,86,66,0,0,0,0,197,0,0,0,0,200,246,210,314,150923,138
85,3084480,85,69,0,0,0,0,187,0,0,0,0,214,224,189,343,152066,133
84,3048192,84,76,0,0,0,0,192,0,0,0,0,191,219,200,313,147552,133
83,3011904,83,70,0,0,0,0,191,0,0,0,0,177,214,191,302,147881,130
82,2975616,82,60,0,0,0,0,211,0,0,0,0,189,209,190,309,146784,130
81,2939328,81,80,0,0,0,0,190,0,0,0,0,181,209,191,301,150162,150
80,2903040,80,61,0,0,0,0,191,0,0,0,0,175,218,189,308,145415,138
79,2866752,79,61,0,0,0,0,205,0,0,0,0,194,222,204,305,145811,131
78,2830464,78,59,0,0,0,0,185,0,0,0,0,176,214,193,304,146213,131
77,2794176,77,67,0,0,0,0,188,0,0,0,0,178,210,190,333,146491,131
76,2757888,76,61,0,0,0,0,184,0,0,0,0,184,210,190,303,146669,136
75,2721600,75,63,0,0,0,0,185,0,0,0,0,174,210,195,302,146145,149
74,2685312,74,67,0,0,0,0,191,0,0,0,0,179,216,199,304,146375,133
73,2649024,73,72,0,0,0,0,199,0,0,0,0,186,212,195,302,146236,135
72,2612736,72,68,0,0,0,0,194,0,0,1,0,177,215,189,309,146405,152
71,2576448,71,66,0,0,0,0,190,0,0,0,0,189,212,192,309,145531,137
70,2540160,70,57,0,0,0,0,188,0,0,0,0,177,212,196,302,145431,135
69,2503872,69,63,0,0,0,0,188,0,0,0,0,174,236,188,301,146064,139
68,2467584,68,73,0,0,0,0,189,0,0,0,0,177,216,207,310,146001,133
67,2431296,67,65,0,0,0,0,186,0,0,0,0,198,220,210,312,146054,151
66,2395008,66,65,0,0,0,0,196,0,0,0,0,189,217,197,311,145361,162
65,2358720,65,59,0,0,0,0,185,0,0,0,0,178,257,191,325,146081,133
64,2322432,64,59,0,0,0,0,221,0,0,0,0,181,215,200,306,145891,131
63,2286144,63,55,0,0,0,0,181,0,0,0,0,174,211,194,302,145327,133
62,2249856,62,66,0,0,0,0,185,0,0,0,0,179,229,194,315,144927,134
61,2213568,61,65,0,0,0,0,181,0,0,0,0,183,213,187,304,145407,133
60,2177280,60,68,0,0,0,0,189,0,0,0,0,198,234,200,315,145850,144
59,2140992,59,63,0,0,0,0,190,0,0,0,0,184,214,192,305,145321,132
58,2104704,58,61,0,0,0,0,185,0,0,0,0,180,210,188,340,146031,131
57,2068416,57,61,0,0,0,0,224,0,0,0,0,185,225,193,322,145921,138
56,2032128,56,69,0,0,0,0,202,0,0,0,0,177,215,197,298,145884,133
55,1995840,55,82,0,0,0,0,213,0,0,0,0,177,211,187,340,145492,136
54,1959552,54,94,0,0,0,0,217,0,0,0,0,177,217,186,300,144826,131
53,1923264,53,59,0,0,0,0,188,0,0,0,0,173,214,187,334,145235,135
52,1886976,52,70,0,0,0,0,187,0,0,0,0,179,219,223,302,144704,133
51,1850688,51,76,0,0,0,0,192,0,0,0,0,191,219,223,316,145870,132
50,1814400,50,57,0,0,0,0,183,0,0,0,0,176,213,189,299,144923,133
49,1778112,49,56,0,0,0,0,191,0,0,0,0,184,218,190,334,145578,131
48,1741824,48,62,0,0,0,0,183,0,0,0,0,179,215,191,302,144409,154
47,1705536,47,60,0,0,0,0,188,0,0,0,0,183,218,190,303,144680,136
46,1669248,46,57,0,0,0,0,222,0,0,0,0,187,214,194,304,144267,160
45,1632960,45,55,0,0,0,0,193,0,0,0,0,180,216,195,296,144728,134
44,1596672,44,92,0,0,0,0,214,0,0,0,0,958,245,219,459,145412,161
43,1560384,43,57,0,0,0,0,815,0,0,0,0,209,224,803,944,144987,149
42,1524096,42,57,0,0,0,0,180,0,0,0,0,177,209,195,291,144876,132
41,1487808,41,63,0,0,0,0,189,0,0,0,0,177,212,190,326,144983,131
40,1451520,40,62,0,0,0,0,187,0,0,0,0,182,208,187,298,144013,131
39,1415232,39,58,0,0,0,0,185,0,0,0,0,209,244,189,325,144516,132
38,1378944,38,61,0,0,0,0,186,0,0,0,0,182,213,205,299,145426,135
37,1342656,37,70,0,0,0,0,222,0,0,0,0,176,208,186,321,143972,132
36,1306368,36,59,0,0,0,0,191,0,0,0,0,186,226,188,299,143496,136
35,1270080,35,66,0,0,0,0,190,0,0,0,0,180,214,208,304,144674,158
34,1233792,34,85,0,0,0,0,207,0,0,0,0,187,220,205,302,145082,134
33,1197504,33,62,0,0,0,0,189,0,0,0,0,175,220,190,303,143201,136
32,1161216,32,65,0,0,0,0,193,0,0,0,0,195,240,206,299,143802,166
31,1124928,31,66,0,0,0,0,190,0,0,0,0,181,212,194,293,143678,129
30,1088640,30,55,0,0,0,0,219,0,0,0,0,186,213,192,296,143805,148
29,1052352,29,61,0,0,0,0,199,0,0,0,0,180,215,198,299,143049,131
28,1016064,28,62,0,0,0,0,187,0,0,0,0,179,221,197,294,142733,143
27,979776,27,64,0,0,0,0,217,0,0,0,0,175,221,203,328,143298,129
26,943488,26,61,0,0,0,0,186,0,0,0,0,179,222,194,303,142191,134
25,907200,25,58,0,0,0,0,185,0,0,0,0,178,220,195,301,142854,153
24,870912,24,57,0,0,0,0,184,0,0,0,0,178,213,190,296,142411,149
