Optimas, 506(0 5 2 1 4 3 6), 3025(4 1 2 0 3 6 5), 1680(2 3 0 1 4 5 6), 2147(2 6 5 1 4 3 0)
H-Axis, Max distance, Ratio,Normal: 42 clusters,84 clusters,126 clusters,168 clusters,210 clusters,Ursem,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
100,5040,100,0.020179969647684048,0.007896789428194774,0.004468710382165358,0.003046279111895541,0.00215460645592658,16.305487378673504,476495.04,410419.86,0.8641243280102084,0.8573053347654849,16.305487378673504,0.9598913146578607,16.305487378673504,0.9459251943265898,133794369.82,0.2973017787506805
99,4989.6,99,0.02003381731764945,0.007855162862749959,0.004381037669806977,0.002844742142180237,0.0021235490534195,16.305539738097337,476415.24,410361.16,0.8640392623217968,0.8571538847117794,16.305539738097337,0.9573654225723661,16.30553973809734,0.9427015806370563,133027038.62,0.2973017787506805
98,4939.2,98,0.019620757475193033,0.007914851588942612,0.004308101808538285,0.0028865948582075846,0.0020602697170469374,16.30329504612558,476395.8,410348.78,0.8639334106172545,0.8571223773720014,16.30329504612558,0.9552964881846632,16.30329504612558,0.9447539733392648,131546926.8,0.2973017787506805
97,4888.8,97,0.01887115260892023,0.007306084445500916,0.004284558284188097,0.002835521930915332,0.0020819860454273963,16.30414035484971,476339.08,410348.24,0.8638905665241093,0.8570234156820626,16.30414035484971,0.9560991883977202,16.30414035484971,0.9429355153052598,130173813.64,0.2973017787506805
96,4838.4,96,0.019334404717808267,0.007427076258379601,0.0041910520837118255,0.002765847926113883,0.0020399152703699025,16.299765238290203,476355.98,410415.58,0.8637218966640448,0.857055424274973,16.299765238290203,0.9567711966740758,16.299765238290203,0.9474736677442753,129179231.16,0.2973017787506805
95,4788,95,0.019215068362998154,0.007571544236308635,0.004235278859110021,0.002809914163532214,0.002063067920252847,16.303077006078453,476267.22,410347.08,0.863793077943244,0.8568900107411385,16.303077006078453,0.9567395153151536,16.303077006078453,0.9367614116337092,127949573.86,0.2973017787506805
94,4737.6,94,0.018851486460023735,0.007667665984705307,0.004145011933015844,0.0027248311718236257,0.001992816974205729,16.303769367993983,476212.7,410227.74,0.8637703161729752,0.856788614393126,16.303769367993983,0.9522845203204316,16.303769367993983,0.942492639734378,126041195.62,0.2973017787506805
93,4687.2,93,0.018626230578398587,0.0073840939505238025,0.004252870413692365,0.002623634099526684,0.0018810716718620313,16.30105604811464,476189.68,410226.16,0.863561779383535,0.8567405298961688,16.30105604811464,0.9542783167339408,16.30105604811464,0.9447464746740754,124647860,0.2973017787506805
92,4636.8,92,0.018636589737885238,0.007244871341828656,0.004152116912676559,0.0026006231875160767,0.00189270193287976,16.301939860370226,476039.66,410236.32,0.8634175763966251,0.8564848549946293,16.301939860370226,0.9514300615646363,16.30193986037023,0.9393786919471164,123124186.74,0.2973017787506805
91,4586.4,91,0.01831341621659374,0.007316374173447707,0.004067036844127408,0.002740324189518369,0.0019221884101447053,16.29950174808835,476093.82,410271.5,0.8633509691235804,0.8565902613677048,16.29950174808835,0.9516609030580773,16.29950174808835,0.9361738255368848,122363372.04,0.2973017787506805
