Optimas, 506(0 5 2 1 4 3 6), 3025(4 1 2 0 3 6 5), 1680(2 3 0 1 4 5 6), 2147(2 6 5 1 4 3 0)
H-Axis, Max distance, Ratio,Normal: 42 clusters,84 clusters,126 clusters,168 clusters,210 clusters,Ursem,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
100,5040,100,149,135,128,130,32,35,6479,36729,5183,4812,67,109,31,48,5925,26
99,4989.6,99,12,19,19,23,23,42,4186,31590,3743,3429,24,29,25,40,4495,18
98,4939.2,98,12,18,19,22,24,25,4169,31597,3731,3503,24,27,25,40,4472,18
97,4888.8,97,12,18,19,21,22,26,4112,31752,3686,3477,24,29,25,40,4463,18
96,4838.4,96,16,19,30,20,24,25,4090,31901,3710,3326,24,27,25,40,4502,18
95,4788,95,16,19,19,38,23,28,4137,31375,3683,3468,24,28,25,41,4491,18
94,4737.6,94,12,18,19,21,22,26,4009,31455,3538,3351,24,27,25,40,4402,18
93,4687.2,93,11,19,40,45,22,25,4124,31102,3595,3376,24,28,25,40,4424,18
92,4636.8,92,14,19,19,21,22,25,4355,31547,3929,3690,24,28,25,40,4546,18
91,4586.4,91,11,19,19,32,32,26,4204,31216,3690,3390,24,27,25,40,4386,18
90,4536,90,12,18,19,38,26,25,4486,31624,4001,3698,25,28,25,45,4529,18
89,4485.6,89,12,19,19,22,23,25,4057,30768,3653,3403,35,27,25,47,4439,18
88,4435.2,88,13,19,19,21,22,26,4034,31039,3512,3346,24,28,60,40,4483,18
87,4384.8,87,17,26,19,21,31,29,4129,31371,3693,3507,24,27,25,40,4536,17
86,4334.4,86,13,24,19,21,22,25,4138,31316,3617,3330,24,27,25,40,4487,18
85,4284,85,13,18,22,20,22,25,4345,31674,3962,3699,24,28,25,40,4625,18
84,4233.6,84,11,19,20,26,43,47,4093,31071,3543,3404,24,28,26,40,4395,18
83,4183.2,83,12,21,24,21,22,26,4056,31192,3642,3403,25,28,29,59,4318,24
82,4132.8,82,12,18,21,21,22,25,4342,31008,3732,3534,24,28,26,40,4574,18
81,4082.4,81,12,18,19,37,37,26,3884,30855,3451,3181,24,27,25,40,4416,18
80,4032,80,13,18,19,21,22,43,4392,31341,3747,3663,28,27,25,40,4624,18
79,3981.6,79,13,19,19,22,22,51,4175,31420,3593,3422,63,27,25,39,4413,18
78,3931.2,78,12,36,40,42,22,26,4058,31239,3539,3295,29,27,25,40,4550,18
77,3880.8,77,13,19,19,21,33,27,4192,31050,3707,3497,24,27,25,40,4418,18
76,3830.4,76,11,22,19,25,22,25,4239,31154,3817,3527,24,28,27,44,4457,46
75,3780,75,12,18,19,21,31,25,4140,31269,3606,3331,30,32,26,39,4459,18
74,3729.6,74,13,18,19,21,22,25,4187,31137,3740,3590,27,28,27,40,4562,18
73,3679.2,73,11,19,19,21,21,25,4173,30902,3556,3412,24,32,32,40,4405,18
72,3628.8,72,11,18,37,21,41,25,4312,31516,3703,3516,24,27,25,40,4575,18
71,3578.4,71,13,18,19,20,23,25,4094,30853,3549,3414,24,27,25,41,4536,19
70,3528,70,11,19,19,20,21,25,4141,31120,3615,3462,24,27,25,40,4523,18
