40%,Optima 1, Optima [1]
 ,421,[0 4 3 5 1 6 2]
------------------------------------------------
#,Optima 1, Optima [1]
1,1753,[2 3 5 0 1 6 4]
2,478,[0 4 6 5 3 1 2]
3,1343,[1 6 0 5 4 3 2]
4,806,[1 0 5 4 3 2 6]
5,1165,[1 4 5 3 0 6 2]
6,2103,[2 6 3 4 1 5 0]
7,1858,[2 4 3 1 6 0 5]
8,1570,[2 1 0 4 6 3 5]
9,613,[0 6 1 4 2 5 3]
10,1704,[2 3 1 0 4 5 6]
11,1545,[2 0 6 3 4 5 1]
12,2093,[2 6 3 0 5 4 1]
13,911,[1 2 4 6 5 3 0]
14,1233,[1 5 2 3 4 6 0]
15,372,[0 4 1 5 2 3 6]
16,870,[1 2 3 4 0 5 6]
17,1377,[1 6 3 2 4 5 0]
18,865,[1 2 3 0 4 6 5]
19,2252,[3 0 5 6 2 1 4]
20,466,[0 4 6 2 5 1 3]
21,1378,[1 6 3 2 5 0 4]
22,716,[0 6 5 4 2 1 3]
23,973,[1 3 0 5 2 6 4]
24,1926,[2 5 0 3 1 4 6]
25,1017,[1 3 4 2 5 6 0]
26,1115,[1 4 2 3 6 5 0]
27,1397,[1 6 4 0 5 3 2]
28,521,[0 5 2 4 6 3 1]
29,599,[0 5 6 4 3 2 1]
30,1859,[2 4 3 1 6 5 0]
31,1360,[1 6 2 4 5 0 3]
32,1495,[2 0 4 3 1 6 5]
33,2225,[3 0 4 5 6 2 1]
34,961,[1 3 0 2 4 6 5]
35,2070,[2 6 1 3 0 4 5]
36,1047,[1 3 5 4 2 6 0]
37,264,[0 3 2 1 4 5 6]
38,1697,[2 3 0 5 6 4 1]
39,676,[0 6 4 1 5 2 3]
40,586,[0 5 6 2 4 1 3]
41,1214,[1 5 0 4 3 2 6]
42,919,[1 2 5 3 0 6 4]
43,1457,[2 0 1 5 6 4 3]
44,750,[1 0 3 4 2 5 6]
45,470,[0 4 6 3 2 1 5]
46,628,[0 6 2 1 5 3 4]
47,587,[0 5 6 2 4 3 1]
48,2226,[3 0 4 6 1 2 5]
49,1735,[2 3 4 1 0 6 5]
50,596,[0 5 6 4 2 1 3]
51,1542,[2 0 6 3 1 4 5]
52,1897,[2 4 6 0 1 5 3]
53,1820,[2 4 0 6 3 1 5]
54,1423,[1 6 5 2 0 4 3]
55,1498,[2 0 4 3 6 1 5]
56,1290,[1 5 4 6 0 2 3]
57,1773,[2 3 5 6 1 4 0]
58,1686,[2 3 0 4 1 5 6]
59,2057,[2 6 0 4 5 3 1]
60,372,[0 4 1 5 2 3 6]
61,959,[1 2 6 5 4 3 0]
62,1589,[2 1 3 0 6 5 4]
63,1224,[1 5 2 0 3 4 6]
64,1023,[1 3 4 5 2 6 0]
65,596,[0 5 6 4 2 1 3]
66,371,[0 4 1 3 6 5 2]
67,2136,[2 6 5 0 1 3 4]
68,2218,[3 0 4 2 6 1 5]
69,1431,[1 6 5 3 2 4 0]
70,1523,[2 0 5 3 6 4 1]
71,713,[0 6 5 3 4 2 1]
72,1948,[2 5 1 0 6 3 4]
73,441,[0 4 5 2 3 6 1]
74,1919,[2 4 6 5 3 1 0]
75,1521,[2 0 5 3 4 6 1]
76,711,[0 6 5 3 2 4 1]
77,1527,[2 0 5 4 3 6 1]
78,475,[0 4 6 5 1 3 2]
79,1708,[2 3 1 0 6 4 5]
80,642,[0 6 2 5 1 3 4]
81,780,[1 0 4 5 2 3 6]
82,1440,[2 0 1 3 4 5 6]
83,1055,[1 3 5 6 4 2 0]
84,418,[0 4 3 2 6 1 5]
85,569,[0 5 4 3 6 2 1]
86,1732,[2 3 4 0 6 1 5]
87,1943,[2 5 0 6 4 3 1]
88,1055,[1 3 5 6 4 2 0]
89,1731,[2 3 4 0 5 6 1]
90,1033,[1 3 5 0 2 6 4]
91,1542,[2 0 6 3 1 4 5]
92,992,[1 3 2 4 5 0 6]
93,1908,[2 4 6 3 0 1 5]
94,627,[0 6 2 1 4 5 3]
95,1895,[2 4 5 6 3 1 0]
96,1893,[2 4 5 6 1 3 0]
97,1964,[2 5 1 6 3 0 4]
98,687,[0 6 4 3 2 5 1]
99,267,[0 3 2 1 5 6 4]
100,254,[0 3 1 5 4 2 6]
1,760,[1 0 3 5 6 2 4]
2,637,[0 6 2 4 1 5 3]
3,1047,[1 3 5 4 2 6 0]
4,464,[0 4 6 2 3 1 5]
5,2151,[2 6 5 3 1 4 0]
6,1863,[2 4 3 5 1 6 0]
7,1708,[2 3 1 0 6 4 5]
8,2170,[3 0 1 4 6 2 5]
9,2170,[3 0 1 4 6 2 5]
10,1040,[1 3 5 2 4 0 6]
11,2032,[2 5 6 3 4 0 1]
12,1550,[2 0 6 4 3 1 5]
13,2247,[3 0 5 4 2 6 1]
14,1668,[2 1 6 4 0 3 5]
15,1790,[2 3 6 4 1 0 5]
16,1788,[2 3 6 4 0 1 5]
17,787,[1 0 4 6 2 5 3]
18,1220,[1 5 0 6 3 2 4]
19,706,[0 6 5 2 4 1 3]
20,1133,[1 4 3 0 6 5 2]
21,628,[0 6 2 1 5 3 4]
22,1334,[1 6 0 4 3 2 5]
23,739,[1 0 2 6 3 5 4]
24,651,[0 6 3 1 4 5 2]
25,2249,[3 0 5 4 6 2 1]
26,1989,[2 5 3 6 1 4 0]
27,382,[0 4 1 6 5 2 3]
28,2083,[2 6 1 5 0 4 3]
29,398,[0 4 2 5 3 1 6]
30,1896,[2 4 6 0 1 3 5]
31,1015,[1 3 4 2 0 6 5]
32,1092,[1 4 0 5 2 3 6]
33,353,[0 3 6 4 5 2 1]
34,1541,[2 0 6 1 5 4 3]
35,2150,[2 6 5 3 1 0 4]
36,278,[0 3 2 5 4 1 6]
37,645,[0 6 2 5 3 4 1]
38,844,[1 2 0 3 6 4 5]
39,300,[0 3 4 5 1 2 6]
40,975,[1 3 0 5 4 6 2]
41,398,[0 4 2 5 3 1 6]
42,2041,[2 6 0 1 3 5 4]
43,1153,[1 4 5 0 2 6 3]
44,944,[1 2 6 3 4 0 5]
45,1270,[1 5 3 6 4 0 2]
46,2261,[3 0 6 1 5 4 2]
47,1014,[1 3 4 2 0 5 6]
48,493,[0 5 1 4 2 6 3]
49,1105,[1 4 2 0 3 6 5]
50,315,[0 3 5 1 4 6 2]
51,1359,[1 6 2 4 3 5 0]
52,997,[1 3 2 5 0 6 4]
53,2250,[3 0 5 6 1 2 4]
54,1542,[2 0 6 3 1 4 5]
55,2060,[2 6 0 5 3 1 4]
56,1694,[2 3 0 5 4 1 6]
57,2166,[3 0 1 4 2 5 6]
58,649,[0 6 3 1 2 5 4]
59,483,[0 5 1 2 4 6 3]
60,260,[0 3 1 6 4 2 5]
61,1823,[2 4 0 6 5 3 1]
62,1893,[2 4 5 6 1 3 0]
63,2146,[2 6 5 1 4 0 3]
64,526,[0 5 2 6 4 1 3]
65,397,[0 4 2 5 1 6 3]
66,1192,[1 4 6 3 5 0 2]
67,1482,[2 0 3 6 1 4 5]
68,958,[1 2 6 5 4 0 3]
69,1787,[2 3 6 1 5 4 0]
70,1647,[2 1 5 4 3 6 0]
71,1395,[1 6 4 0 3 5 2]
72,2211,[3 0 4 1 5 6 2]
73,1099,[1 4 0 6 2 5 3]
74,1999,[2 5 4 1 0 6 3]
75,1110,[1 4 2 3 0 5 6]
76,855,[1 2 0 5 4 6 3]
77,434,[0 4 5 1 3 2 6]
78,2064,[2 6 1 0 3 4 5]
79,1650,[2 1 5 6 0 3 4]
80,2257,[3 0 6 1 2 5 4]
81,1227,[1 5 2 0 4 6 3]
82,2068,[2 6 1 0 5 3 4]
83,1231,[1 5 2 3 0 6 4]
84,2185,[3 0 2 1 4 6 5]
85,790,[1 0 4 6 5 2 3]
86,403,[0 4 2 6 1 5 3]
87,1111,[1 4 2 3 0 6 5]
88,1047,[1 3 5 4 2 6 0]
89,1749,[2 3 4 6 1 5 0]
90,708,[0 6 5 3 1 2 4]
91,498,[0 5 1 6 2 3 4]
92,2265,[3 0 6 2 4 5 1]
93,613,[0 6 1 4 2 5 3]
94,2228,[3 0 4 6 2 1 5]
95,1420,[1 6 5 0 4 2 3]
96,651,[0 6 3 1 4 5 2]
97,2163,[3 0 1 2 5 6 4]
98,879,[1 2 3 5 4 6 0]
99,920,[1 2 5 3 4 0 6]
100,344,[0 3 6 2 4 1 5]
1,1031,[1 3 4 6 5 2 0]
2,366,[0 4 1 3 2 5 6]
3,975,[1 3 0 5 4 6 2]
4,1726,[2 3 1 6 5 0 4]
5,1232,[1 5 2 3 4 0 6]
6,1416,[1 6 5 0 2 3 4]
7,2167,[3 0 1 4 2 6 5]
8,503,[0 5 1 6 4 3 2]
9,685,[0 6 4 3 1 5 2]
10,1457,[2 0 1 5 6 4 3]
11,1513,[2 0 5 1 3 6 4]
12,319,[0 3 5 2 1 6 4]
13,1267,[1 5 3 6 0 4 2]
14,494,[0 5 1 4 3 2 6]
15,1455,[2 0 1 5 4 6 3]
16,2024,[2 5 6 1 3 0 4]
17,915,[1 2 5 0 4 6 3]
18,2230,[3 0 4 6 5 1 2]
19,2005,[2 5 4 3 0 6 1]
20,416,[0 4 3 2 5 1 6]
21,341,[0 3 6 1 5 4 2]
22,687,[0 6 4 3 2 5 1]
23,1478,[2 0 3 5 4 1 6]
24,1331,[1 6 0 3 5 4 2]
25,1402,[1 6 4 2 5 0 3]
26,1399,[1 6 4 2 0 5 3]
27,1850,[2 4 3 0 5 1 6]
28,1139,[1 4 3 2 6 5 0]
29,831,[1 0 6 4 3 5 2]
30,711,[0 6 5 3 2 4 1]
31,960,[1 3 0 2 4 5 6]
32,1823,[2 4 0 6 5 3 1]
33,1396,[1 6 4 0 5 2 3]
34,1572,[2 1 0 5 3 4 6]
35,1479,[2 0 3 5 4 6 1]
36,1172,[1 4 5 6 2 0 3]
37,1345,[1 6 2 0 3 5 4]
38,1774,[2 3 5 6 4 0 1]
39,1205,[1 5 0 2 6 4 3]
40,1643,[2 1 5 3 6 4 0]
41,301,[0 3 4 5 1 6 2]
42,860,[1 2 0 6 4 3 5]
43,614,[0 6 1 4 3 2 5]
44,544,[0 5 3 4 6 1 2]
45,1463,[2 0 1 6 5 4 3]
46,279,[0 3 2 5 4 6 1]
47,1250,[1 5 3 0 4 2 6]
48,302,[0 3 4 5 2 1 6]
49,1025,[1 3 4 5 6 2 0]
50,1664,[2 1 6 3 4 0 5]
51,2005,[2 5 4 3 0 6 1]
52,2202,[3 0 2 6 1 4 5]
53,1143,[1 4 3 5 2 6 0]
54,914,[1 2 5 0 4 3 6]
55,2265,[3 0 6 2 4 5 1]
56,597,[0 5 6 4 2 3 1]
57,1099,[1 4 0 6 2 5 3]
58,1912,[2 4 6 3 5 0 1]
59,576,[0 5 6 1 2 3 4]
60,2102,[2 6 3 4 1 0 5]
61,1834,[2 4 1 3 6 0 5]
62,1280,[1 5 4 2 3 0 6]
63,1940,[2 5 0 6 3 1 4]
64,2243,[3 0 5 2 6 4 1]
65,749,[1 0 3 2 6 5 4]
66,1958,[2 5 1 4 3 0 6]
67,1228,[1 5 2 0 6 3 4]
68,1964,[2 5 1 6 3 0 4]
69,1284,[1 5 4 3 0 2 6]
70,536,[0 5 3 2 4 1 6]
71,931,[1 2 5 6 0 4 3]
72,1409,[1 6 4 3 5 2 0]
73,1277,[1 5 4 0 6 3 2]
