40%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,1,[0 1 2 3 4 6 5],100,[0 1 6 2 5 3 4],200,[0 2 5 3 4 1 6],300,[0 3 4 5 1 2 6]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,842,[1 2 0 3 5 4 6],1192,[1 4 6 3 5 0 2],192,[0 2 5 1 3 4 6],1632,[2 1 5 0 3 4 6]
2,556,[0 5 4 1 6 2 3],1220,[1 5 0 6 3 2 4],1916,[2 4 6 5 1 0 3],1817,[2 4 0 5 6 3 1]
3,313,[0 3 5 1 2 6 4],1508,[2 0 4 6 3 1 5],727,[1 0 2 4 3 6 5],1350,[1 6 2 3 0 4 5]
4,272,[0 3 2 4 5 1 6],1022,[1 3 4 5 2 0 6],499,[0 5 1 6 2 4 3],1979,[2 5 3 1 6 4 0]
5,1252,[1 5 3 0 6 2 4],560,[0 5 4 2 3 1 6],2093,[2 6 3 0 5 4 1],1287,[1 5 4 3 2 6 0]
6,1999,[2 5 4 1 0 6 3],1959,[2 5 1 4 3 6 0],123,[0 2 1 3 5 6 4],1681,[2 3 0 1 4 6 5]
7,1697,[2 3 0 5 6 4 1],829,[1 0 6 4 2 5 3],1774,[2 3 5 6 4 0 1],1585,[2 1 3 0 4 6 5]
8,1877,[2 4 5 0 6 3 1],107,[0 1 6 3 5 4 2],1796,[2 3 6 5 1 0 4],2174,[3 0 1 5 4 2 6]
9,1206,[1 5 0 3 2 4 6],1966,[2 5 1 6 4 0 3],954,[1 2 6 5 0 3 4],1024,[1 3 4 5 6 0 2]
10,1111,[1 4 2 3 0 6 5],589,[0 5 6 3 1 4 2],489,[0 5 1 3 4 6 2],1015,[1 3 4 2 0 6 5]
11,1416,[1 6 5 0 2 3 4],1881,[2 4 5 1 3 6 0],1391,[1 6 3 5 4 2 0],1488,[2 0 4 1 3 5 6]
12,915,[1 2 5 0 4 6 3],1600,[2 1 3 5 6 0 4],1681,[2 3 0 1 4 6 5],2002,[2 5 4 1 6 0 3]
13,1630,[2 1 4 6 5 0 3],912,[1 2 5 0 3 4 6],1984,[2 5 3 4 6 0 1],1851,[2 4 3 0 5 6 1]
14,1404,[1 6 4 3 0 2 5],336,[0 3 6 1 2 4 5],946,[1 2 6 3 5 0 4],1307,[1 5 6 2 4 3 0]
15,1964,[2 5 1 6 3 0 4],1266,[1 5 3 6 0 2 4],1076,[1 3 6 5 2 0 4],634,[0 6 2 3 5 1 4]
16,753,[1 0 3 4 5 6 2],973,[1 3 0 5 2 6 4],2043,[2 6 0 1 4 5 3],1122,[1 4 2 6 0 3 5]
17,583,[0 5 6 2 1 4 3],1464,[2 0 3 1 4 5 6],1223,[1 5 0 6 4 3 2],1841,[2 4 1 5 6 3 0]
18,1192,[1 4 6 3 5 0 2],1646,[2 1 5 4 3 0 6],753,[1 0 3 4 5 6 2],806,[1 0 5 4 3 2 6]
19,563,[0 5 4 2 6 3 1],635,[0 6 2 3 5 4 1],1431,[1 6 5 3 2 4 0],1355,[1 6 2 3 5 4 0]
20,234,[0 2 6 5 1 3 4],537,[0 5 3 2 4 6 1],704,[0 6 5 2 3 1 4],2168,[3 0 1 4 5 2 6]
21,546,[0 5 3 6 1 2 4],782,[1 0 4 5 3 2 6],1511,[2 0 4 6 5 3 1],1406,[1 6 4 3 2 0 5]
22,130,[0 2 1 4 6 3 5],1331,[1 6 0 3 5 4 2],1798,[2 3 6 5 4 0 1],696,[0 6 5 1 2 3 4]
23,626,[0 6 2 1 4 3 5],183,[0 2 4 5 3 6 1],636,[0 6 2 4 1 3 5],1818,[2 4 0 6 1 3 5]
24,911,[1 2 4 6 5 3 0],869,[1 2 3 0 6 5 4],967,[1 3 0 4 2 6 5],2150,[2 6 5 3 1 0 4]
25,986,[1 3 2 0 5 4 6],212,[0 2 5 6 3 1 4],121,[0 2 1 3 4 6 5],1807,[2 4 0 3 1 6 5]
26,1387,[1 6 3 5 0 4 2],1202,[1 5 0 2 4 3 6],1838,[2 4 1 5 3 0 6],1609,[2 1 4 0 3 6 5]
27,156,[0 2 3 5 1 4 6],1335,[1 6 0 4 3 5 2],1625,[2 1 4 5 6 3 0],1196,[1 4 6 5 2 0 3]
28,1809,[2 4 0 3 5 6 1],185,[0 2 4 5 6 3 1],2132,[2 6 4 5 1 0 3],342,[0 3 6 2 1 4 5]
29,1574,[2 1 0 5 4 3 6],1820,[2 4 0 6 3 1 5],359,[0 3 6 5 4 2 1],1048,[1 3 5 4 6 0 2]
30,1112,[1 4 2 3 5 0 6],840,[1 2 0 3 4 5 6],390,[0 4 2 3 1 5 6],1901,[2 4 6 0 5 3 1]
31,1049,[1 3 5 4 6 2 0],657,[0 6 3 2 4 5 1],1581,[2 1 0 6 4 5 3],914,[1 2 5 0 4 3 6]
32,313,[0 3 5 1 2 6 4],1562,[2 1 0 3 5 4 6],1518,[2 0 5 3 1 4 6],2135,[2 6 4 5 3 1 0]
33,226,[0 2 6 3 5 1 4],665,[0 6 3 4 5 2 1],1239,[1 5 2 4 3 6 0],1390,[1 6 3 5 4 0 2]
34,1496,[2 0 4 3 5 1 6],609,[0 6 1 3 4 5 2],715,[0 6 5 4 1 3 2],1049,[1 3 5 4 6 2 0]
35,784,[1 0 4 5 6 2 3],1847,[2 4 1 6 5 3 0],272,[0 3 2 4 5 1 6],985,[1 3 2 0 4 6 5]
36,1062,[1 3 6 2 0 4 5],1105,[1 4 2 0 3 6 5],835,[1 0 6 5 2 4 3],1085,[1 4 0 2 6 5 3]
37,563,[0 5 4 2 6 3 1],478,[0 4 6 5 3 1 2],1517,[2 0 5 1 6 4 3],659,[0 6 3 2 5 4 1]
38,733,[1 0 2 5 3 6 4],1477,[2 0 3 5 1 6 4],1590,[2 1 3 4 0 5 6],993,[1 3 2 4 5 6 0]
39,828,[1 0 6 4 2 3 5],1813,[2 4 0 5 1 6 3],163,[0 2 3 6 1 5 4],705,[0 6 5 2 3 4 1]
40,327,[0 3 5 4 2 6 1],640,[0 6 2 4 5 1 3],1816,[2 4 0 5 6 1 3],2153,[2 6 5 3 4 1 0]
41,1787,[2 3 6 1 5 4 0],780,[1 0 4 5 2 3 6],1263,[1 5 3 4 2 6 0],1356,[1 6 2 4 0 3 5]
42,1073,[1 3 6 4 5 2 0],2018,[2 5 6 0 3 1 4],946,[1 2 6 3 5 0 4],1340,[1 6 0 5 3 2 4]
43,141,[0 2 1 6 4 5 3],845,[1 2 0 3 6 5 4],661,[0 6 3 4 1 5 2],2117,[2 6 4 0 5 3 1]
44,1967,[2 5 1 6 4 3 0],825,[1 0 6 3 4 5 2],1889,[2 4 5 3 6 1 0],1500,[2 0 4 5 1 3 6]
45,1633,[2 1 5 0 3 6 4],748,[1 0 3 2 6 4 5],828,[1 0 6 4 2 3 5],1235,[1 5 2 3 6 4 0]
46,494,[0 5 1 4 3 2 6],249,[0 3 1 4 5 6 2],1870,[2 4 3 6 5 0 1],1018,[1 3 4 2 6 0 5]
47,1674,[2 1 6 5 0 3 4],1924,[2 5 0 1 6 3 4],1194,[1 4 6 5 0 2 3],1701,[2 3 0 6 4 5 1]
48,1473,[2 0 3 4 5 6 1],413,[0 4 3 1 6 5 2],448,[0 4 5 3 6 1 2],1712,[2 3 1 4 5 0 6]
