Best Cost, Avg Cost
945744.4625700694,5184730.717888627
945744.4625700694,4582584.5676732855
945744.4625700694,3238796.1390546565
945744.4625700694,2089826.6364952307
945744.4625700694,1744926.0038696704
945744.4625700694,1482941.9531378148
945744.4625700694,1423728.9415625497
945744.4625700694,1424109.5201488482
945744.4625700694,1424159.9267703334
945744.4625700694,1403008.0257964584
945744.4625700694,1374056.944922593
945744.4625700694,1353200.500859198
945744.4625700694,1339582.4944090412
945744.4625700694,1275739.8122732285
945744.4625700694,1272746.9859141717
945744.4625700694,1289600.1861019826
945744.4625700694,1278816.2969144469
945744.4625700694,1245591.5487201419
945744.4625700694,1215505.2061332986
945744.4625700694,1201093.594044461
945744.4625700694,1229295.721520067
945744.4625700694,1255227.8576171913
945744.4625700694,1227780.2064826603
945744.4625700694,1230220.4060526302
945744.4625700694,1272213.6943668304
945744.4625700694,1254617.428876665
945744.4625700694,1250412.1304397571
945744.4625700692,1212421.290524128
945744.4625700692,1256942.746139315
945744.4625700692,1230338.4071464993
945744.4625700692,1223668.1459839193
945744.4625700692,1220257.3076536413
945744.4625700692,1227439.2691389655
945744.4625700692,1252963.8164760566
945744.4625700692,1225273.653922127
945744.462570069,1223184.6427487768
945744.462570069,1206080.9951927757
945744.462570069,1182883.1437420205
945744.462570069,1200301.1206808733
945744.462570069,1211652.42766357
945744.462570069,1201244.5491028978
945744.462570069,1204975.0819223144
945744.462570069,1181372.2871950117
945744.462570069,1170035.1215444363
945744.462570069,1158124.8388025144
945744.462570069,1177464.291692468
945744.462570069,1178401.2776650446
945744.462570069,1144278.7377499891
945744.462570069,1176384.324673464
945744.462570069,1202341.818818693
945744.462570069,1178485.8371371692
945124.2848679143,1181401.32714372
945124.2848679143,1182124.2267066827
945124.2848679143,1182156.1096721592
945124.2848679143,1198702.3175178666
945124.2848679143,1184350.659938114
945124.2848679143,1178112.2306365608
945124.2848679143,1211407.8994183682
945124.2848679143,1206359.7658516804
945124.2848679143,1207625.3669451738
945124.2848679143,1171158.1141299063
945124.2848679143,1205506.70420549
945124.2848679143,1217615.907224533
945124.2848679143,1202477.6279871692
945124.2848679143,1197874.3290088444
945124.2848679143,1168789.6936679918
945124.2848679143,1177133.3105241451
945124.2848679143,1208957.2786112898
945124.2848679143,1215099.166203963
945124.2848679143,1167655.0059838986
945124.2848679143,1175901.9880042823
945124.2848679143,1149680.5183317126
945124.2848679143,1140239.2058490838
945124.2848679143,1181082.2547491582
945124.2848679143,1199578.149778644
945124.2848679143,1156819.3551536326
945124.2848679143,1154490.2174735214
945124.2848679143,1145828.1709749184
945124.2848679143,1160014.842954561
945124.2848679143,1163958.991219505
945124.2848679143,1176144.1978988966
945124.2848679143,1189802.5695485878
945124.2848679143,1188584.5616830005
945124.2848679143,1201557.7635407809
945124.2848679143,1213023.433872278
945124.2848679143,1188845.278151079
945124.2848679143,1219065.7777357316
945124.2848679143,1191235.667889644
945124.2848679143,1228853.73503095
945124.2848679143,1212435.492950308
945124.2848679143,1227406.2126708073
945124.2848679143,1198468.1883585448
945124.2848679143,1208662.8030423773
945124.2848679143,1236658.9543891593
945124.2848679143,1233761.967156119
945124.2848679143,1220287.684256185
945124.2848679143,1169477.0770089577
945124.2848679143,1184307.9511650754
945124.2848679143,1219350.6302210381
