Best Cost, Avg Cost
648658.7542266203,5432780.776338157
648658.7542266203,5161590.595677244
648658.7542266203,4584664.593027339
648658.7542266203,3935968.2047857028
648658.7542266203,3402019.430211007
648658.7542266203,3209225.134461598
648658.7542266203,3133124.9595059776
648658.7542266203,2860143.7232537135
648658.7542266203,2941038.2134587653
648658.7542266203,2768255.713801754
648658.7542266203,2837884.8404429047
648658.7542266203,2812190.5369923916
648658.7542266203,2644049.4696308575
648658.7542266203,2670085.039914816
648658.7542266203,2741929.3209795486
648658.7542266203,2577479.886014776
648658.7542266203,2609521.743184583
648658.7542266203,2619241.4659156916
648658.7542266203,2627407.8632827704
648658.7542266203,2569605.831357843
648658.7542266203,2639639.147271127
648658.7542266203,2761160.294181583
648658.7542266203,2608095.61319592
648658.7542266203,2544809.041515598
648658.7542266203,2541587.872188679
648658.7542266203,2606523.8375548087
648658.7542266203,2605247.277418629
648658.7542266203,2589306.408571051
648658.7542266203,2552471.960607266
648658.7542266203,2550322.649892693
648658.7542266203,2468654.111390408
648658.7542266203,2543406.955512698
648658.7542266203,2501036.0066821524
648658.7542266203,2397236.6278494904
648658.7542266203,2482995.2927791122
648658.7542266203,2423851.4782466614
648658.7542266203,2463819.087497847
648658.7542266203,2494034.844193174
648658.7542266203,2552272.5213310854
648658.7542266203,2450921.262042523
648658.7542266203,2427502.703510765
648658.7542266203,2408895.245156073
648658.7542266203,2469722.8676946764
648658.7542266203,2425250.433823412
648658.7542266203,2518573.578872079
648658.7542266203,2423741.674277661
648658.7542266203,2477874.8254234893
648658.7542266203,2469837.1473735427
648658.7542266202,2463758.2152079944
648658.7542266202,2541753.0379169844
648658.7542266202,2430909.62564116
648658.7542266202,2449728.870588578
648658.7542266202,2341089.718012316
648658.7542266202,2386186.0867026527
648658.7542266202,2291330.1783513073
648658.7542266202,2328026.2594665275
648658.7542266202,2301782.761517812
648658.7542266202,2426970.53605337
648658.7542266202,2290264.3575771293
648658.7542266202,2317972.7026525866
648658.7542266202,2292854.944082933
648658.7542266202,2358889.158270647
648658.7542266202,2444492.8324021185
648658.7542266202,2289517.345210501
648658.7542266202,2304431.7069474873
648658.7542266202,2341576.0404109242
648658.7542266202,2274312.0649876334
648658.7542266202,2312737.750727089
648658.7542266202,2405675.2278139386
648658.7542266202,2437958.758886225
648658.7542266202,2371808.0881332294
648658.7542266202,2346364.201916075
648658.7542266202,2380259.5060634236
648658.7542266202,2323236.6357007716
648658.7542266202,2318457.740956909
648658.7542266202,2330984.366460781
648658.7542266202,2366210.058500249
648658.7542266202,2210004.1352446745
648658.7542266202,2323307.0935785673
648658.7542266202,2333054.386895107
648658.7542266202,2272225.5342338295
648658.7542266202,2210997.5709181083
648658.7542266202,2296896.676640198
648658.7542266202,2323654.7054641005
648658.7542266202,2364088.07367745
648658.7542266202,2270254.730073669
648658.7542266202,2244638.199971426
648658.7542266202,2270679.2950826217
648658.7542266202,2324837.3932235385
648658.7542266202,2333948.610456039
648658.7542266202,2390295.40874299
648658.7542266202,2308423.456873425
648658.7542266202,2261297.7672158284
648658.7542266202,2281288.207027741
648658.7542266202,2331564.1310436213
648658.7542266202,2192183.929559113
648658.7542266202,2246249.3352386593
648658.7542266202,2243024.4853819367
648658.7542266202,2293527.5313226157
648658.7542266202,2235902.567918965
648658.7542266202,2315885.2612635526
648658.7542266202,2242836.2403351096
648658.7542266202,2192552.8396588885
648658.7542266202,2180944.584441987
648658.7542266202,2277182.574347758
648658.7542266202,2170771.7191242473
648658.7542266202,2251441.140770002
648658.7542266202,2178020.8345723646
648658.7542266202,2203432.8923284756
648658.7542266202,2233438.05984133
648658.7542266202,2234303.28785687
648658.7542266202,2200267.870506618
648658.7542266202,2275310.0337704057
648658.7542266202,2328205.4541025497
648658.7542266202,2201870.6624313034
648658.7542266202,2215664.179542396
648658.7542266202,2241081.4212596435
648658.7542266202,2237281.195928936
648658.7542266202,2261183.7951104664
648658.7542266202,2245315.4255693094

