Best Cost, Avg Cost
945744.4625700694,54409848.073798105
945744.4625700694,54269757.29797111
945744.4625700694,54188545.59520694
945744.4625700694,54035485.86477342
945744.4625700694,53944534.30806922
945744.4625700694,53858540.61329987
945744.4625700694,53754416.322278835
945744.4625700694,53591246.69771627
945744.4625700694,53466655.981038004
945744.4625700694,53256329.644541204
945744.4625700694,53111474.47388589
945744.4625700694,52934918.774957724
945744.4625700694,52758340.74330021
945744.4625700694,52568023.08370018
945744.4625700694,52468610.95496526
945744.4625700694,52291803.11096699
945744.4625700694,52128032.87048433
945744.4625700694,51890870.773862645
945744.4625700694,51731894.3519028
945744.4625700694,51537732.62334581
945744.4625700694,51398039.97145802
945744.4625700694,51243840.46299379
945744.4625700694,51079565.85276266
945744.4625700694,50964263.087130986
945744.4625700694,50815905.77528386
945744.4625700694,50679337.085603364
945744.4625700694,50544651.45426741
945744.4625700694,50370295.961084716
945744.4625700694,50237466.084171526
945744.4625700694,50075410.2114847
945744.4625700694,49917833.6792502
945744.4625700694,49779362.40220427
945744.4625700694,49602653.032178424
945744.4625700694,49429971.48501655
945744.4625700694,49316898.82400829
945744.4625700694,49164758.84775103
945744.4625700694,48971435.17932078
945744.4625700694,48790081.96681859
945744.4625700694,48635707.00156942
945744.4625700694,48480972.118432954
945744.4625700694,48287437.325534895
945744.4625700694,48134719.81577542
945744.4625700694,47846639.96002264
945744.4625700694,47720802.6434313
945744.4625700694,47586156.70869028
945744.4625700694,47486046.469152085
945744.4625700694,47261218.33991191
945744.4625700694,47105834.3932884
945744.4625700694,46947411.19042763
945744.4625700694,46730629.07955343
945744.4625700694,46620365.418181345
945744.4625700694,46384379.323762715
945744.4625700694,46196974.12733364
945744.4625700694,46063910.08357116
945744.4625700694,45850614.01372616
945744.4625700694,45614437.84356192
945744.4625700694,45419194.45326665
945744.4625700694,45187087.01606526
945744.4625700694,45001507.61491064
945744.4625700694,44820841.7266611
945744.4625700694,44653139.86495491
945744.4625700694,44463049.26661448
945744.4625700694,44289160.048555434
945744.4625700694,44064659.71734812
945744.4625700694,43858329.7724473
945744.4625700694,43657071.429902285
945744.4625700694,43462227.47540181
945744.4625700694,43273432.51331108
945744.4625700694,43073882.20959081
945744.4625700694,42813670.83674748
945744.4625700694,42578499.69146272
945744.4625700694,42362392.19548756
945744.4625700694,42163807.13135851
945744.4625700694,41942604.49478259
945744.4625700694,41754510.50709994
945744.4625700694,41529033.4151433
945744.4625700694,41365911.544062875
945744.4625700694,41186441.54825848
945744.4625700694,40972015.093859226
945744.4625700694,40752970.9069406
945744.4625700694,40557456.27388466
945744.4625700694,40304391.684093155
945744.4625700694,40083397.528867476
945744.4625700694,39852584.65879931
945744.4625700694,39663531.384083726
945744.4625700694,39464720.87564243
945744.4625700694,39250089.95058401
945744.4625700694,39034126.76029882
945744.4625700694,38797736.742096245
945744.4625700694,38636795.73105908
945744.4625700694,38426574.523494035
945744.4625700694,38240651.993226595
945744.4625700694,38034927.030294724
945744.4625700694,37786893.46893118
945744.4625700694,37624984.77515911
945744.4625700694,37405841.67125212
945744.4625700694,37194516.23003313
945744.4625700694,36974983.18283911
945744.4625700694,36769210.84205155
945744.4625700694,36588804.82755693
945744.4625700694,36338042.13144584
945744.4625700694,36097082.01947265
945744.4625700694,35920815.320548154
945744.4625700694,35685642.472517945
945744.4625700694,35439040.06276024
945744.4625700694,35178320.35982916
945744.4625700694,34931047.897123665
945744.4625700694,34707493.16579318
945744.4625700694,34551239.4928927
945744.4625700694,34262906.49720595
945744.4625700694,34034249.03672842
945744.4625700694,33767091.41649408
945744.4625700694,33538955.024719648
945744.4625700694,33274195.010337442
945744.4625700694,33065733.61464132
945744.4625700694,32865853.2151069
945744.4625700694,32634676.558993626
945744.4625700694,32411820.57810775
945744.4625700694,32179324.46157025
945744.4625700694,31960585.660431232
945744.4625700694,31710161.800670832
945744.4625700694,31495076.937711753
945744.4625700694,31234118.699451137
945744.4625700694,31016261.913005862
945744.4625700694,30798834.938208207
945744.4625700694,30538336.358463123
945744.4625700694,30342826.453742623
945744.4625700694,30106932.591182042
945744.4625700694,29905747.107836388
945744.4625700694,29667103.63231851
945744.4625700694,29450285.20089533
945744.4625700694,29226746.085737046
945744.4625700694,29019058.556358606
945744.4625700694,28803843.001935415
945744.4625700694,28567616.680841066
945744.4625700694,28340348.93616278
945744.4625700694,28155536.243182134
945744.4625700694,27926030.671543524
945744.4625700694,27736899.63245489
945744.4625700694,27528717.472054828
945744.4625700694,27301674.295385446
945744.4625700694,27073256.303030957
945744.4625700694,26875727.45401161
945744.4625700694,26705965.825401362
945744.4625700694,26512317.59974898
945744.4625700694,26352182.85932979
945744.4625700694,26179182.39037033
945744.4625700694,25966954.28068411
945744.4625700694,25783514.4929194
945744.4625700694,25561657.855482183
945744.4625700694,25343302.888647404
