Best Cost, Avg Cost
945744.4625700694,5407425.94428062
945744.4625700694,5392194.512389622
945744.4625700694,5377034.780821953
945744.4625700694,5377165.9186155675
945744.4625700694,5377517.67723252
945744.4625700694,5349595.094071411
945744.4625700694,5335682.231226034
945744.4625700694,5328809.106605264
945744.4625700694,5311072.000583792
945744.4625700694,5306998.080881948
945744.4625700694,5288695.474560776
945744.4625700694,5265981.582866666
945744.4625700694,5242132.64584046
945744.4625700694,5223781.510457675
945744.4625700694,5209880.000928733
945744.4625700694,5185239.141818291
945744.4625700694,5169830.810277052
945744.4625700694,5141568.058059896
945744.4625700694,5137131.024364436
945744.4625700694,5121255.747403469
945744.4625700694,5114221.2744854195
945744.4625700694,5099793.530402025
945744.4625700694,5078221.322810983
945744.4625700694,5052784.776614531
945744.4625700694,5048057.415571909
945744.4625700694,5019591.812169938
945744.4625700694,5008876.153748292
945744.4625700694,5004498.425858442
945744.4625700694,4968681.177477828
945744.4625700694,4960630.290520998
945744.4625700694,4962821.71381383
945744.4625700694,4962873.067670178
945744.4625700694,4934567.549142403
945744.4625700694,4922348.360419377
945744.4625700694,4902325.065793465
945744.4625700694,4887149.394812476
945744.4625700694,4860379.384989391
945744.4625700694,4850026.922395431
945744.4625700694,4840897.678416579
945744.4625700694,4826859.523390879
945744.4625700694,4819907.818331498
945744.4625700694,4793594.971257064
945744.4625700694,4787255.328000561
945744.4625700694,4767918.552324165
945744.4625700694,4748422.21041134
945744.4625700694,4728821.274459789
945744.4625700694,4703543.525055748
945744.4625700694,4686061.330742065
945744.4625700694,4661035.038211247
945744.4625700694,4635148.697530761
945744.4625700694,4606135.256179884
945744.4625700694,4586457.075560384
945744.4625700694,4563903.609545463
945744.4625700694,4546406.847013724
945744.4625700694,4512266.345934528
945744.4625700694,4499379.925072251
945744.4625700694,4480890.89755585
945744.4625700694,4471232.6349395355
945744.4625700694,4454865.292626371
945744.4625700694,4447557.875413515
945744.4625700694,4421479.086791029
945744.4625700694,4397448.870743787
945744.4625700694,4382764.308468334
945744.4625700694,4340760.362523389
945744.4625700694,4325474.273465181
945744.4625700694,4301041.994168844
945744.4625700694,4282039.525854569
945744.4625700694,4252009.274976563
945744.4625700694,4228088.5089327535
945744.4625700694,4198156.993640318
945744.4625700694,4186668.5953000854
945744.4625700694,4179918.5673784055
945744.4625700694,4153278.7520385557
945744.4625700694,4145804.949848532
945744.4625700694,4120188.470123233
945744.4625700694,4097966.611181845
945744.4625700694,4084216.527712596
945744.4625700694,4067064.6704785563
945744.4625700694,4035650.7309235265
945744.4625700694,4007428.7947095265
945744.4625700694,3976560.535671562
945744.4625700694,3939739.927566986
945744.4625700694,3922524.052332308
945744.4625700694,3898379.9254284794
945744.4625700694,3878208.9361224477
945744.4625700694,3874203.4822497577
945744.4625700694,3855309.6027729823
945744.4625700694,3842539.580887971
945744.4625700694,3828710.211875304
945744.4625700694,3807510.235872116
945744.4625700694,3786874.252783168
945744.4625700694,3765153.520945521
945744.4625700694,3749199.1067095036
945744.4625700694,3729672.6363242147
945744.4625700694,3710936.752093318
945744.4625700694,3697468.8589799064
945744.4625700694,3667514.6794508304
945744.4625700694,3647414.652057863
945744.4625700694,3612574.383862294
945744.4625700694,3590203.537076526
945744.4625700694,3577933.857953632
945744.4625700694,3566410.0425178115
945744.4625700694,3539112.0761453398
945744.4625700694,3506755.3921655403
945744.4625700694,3487413.297814304
945744.4625700694,3465957.07211927
945744.4625700694,3448048.751865504
945744.4625700694,3426472.9839865523
945744.4625700694,3400293.8331293953
945744.4625700694,3375568.2221650775
945744.4625700694,3353886.8045209474
945744.4625700694,3323286.5369397826
945744.4625700694,3293572.052824207
945744.4625700694,3271216.4094776646
945744.4625700694,3262945.652970072
945744.4625700694,3245771.7647433225
945744.4625700694,3215560.405117435
945744.4625700694,3182333.6301403963
945744.4625700694,3148157.9172172328
945744.4625700694,3128442.915663093

