Optimas, 10(0 1 2 4 6 3 5), 4936(6 5 0 3 4 1 2), 5025(6 5 4 1 2 3 0), 102(0 1 6 3 2 4 5)
H-Axis, Max distance, Ratio,Ours,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
100,5040,100,224,0,0,0,0,246,6191,37099,4618,3825,33,38,47,46,5777,26
99,4989.6,99,11,0,0,0,0,25,4176,31620,3790,3487,25,27,25,41,4607,18
98,4939.2,98,11,0,0,0,0,26,4165,32295,3574,3308,26,28,33,40,4447,18
97,4888.8,97,13,0,0,0,0,28,4283,32021,3676,3486,27,28,29,43,4491,23
96,4838.4,96,11,0,0,0,0,28,4112,31573,3711,3348,29,27,25,40,4555,28
95,4788,95,12,0,0,0,0,26,4068,31867,3660,3390,25,27,24,40,4489,18
94,4737.6,94,15,0,0,0,0,39,4331,32217,3846,3529,26,28,44,40,4497,19
93,4687.2,93,13,0,0,0,0,50,4351,31983,3828,3454,25,27,26,42,4546,19
92,4636.8,92,12,0,0,0,0,29,4417,32917,3736,3505,26,29,25,41,4636,19
91,4586.4,91,12,0,0,0,0,29,4347,32734,3679,3651,25,27,25,51,4706,28
90,4536,90,13,0,0,0,0,33,4366,31805,3864,3418,27,27,25,48,4564,18
89,4485.6,89,15,0,0,0,0,26,4230,31660,3638,3411,33,71,25,40,4515,18
88,4435.2,88,11,0,0,0,0,33,4399,32031,3876,3597,26,27,25,40,4519,18
87,4384.8,87,12,0,0,0,0,25,4060,31526,3553,3308,36,38,60,40,4564,18
86,4334.4,86,11,0,0,0,0,26,3641,31568,3213,2977,27,27,25,40,4185,18
85,4284,85,12,0,0,0,0,29,4269,31745,3863,3485,25,27,25,40,4546,18
84,4233.6,84,27,0,0,0,0,26,4104,31180,3614,3307,25,27,25,40,4432,18
83,4183.2,83,12,0,0,0,0,26,4122,31201,3519,3207,25,27,25,42,4497,18
82,4132.8,82,12,0,0,0,0,26,4273,31520,3746,3486,25,29,25,40,4538,18
81,4082.4,81,11,0,0,0,0,25,4263,31737,3799,3549,25,27,25,40,4518,18
80,4032,80,12,0,0,0,0,26,4108,31232,3790,3487,27,30,27,40,4509,20
79,3981.6,79,12,0,0,0,0,27,4003,30856,3500,3295,34,27,25,41,4383,18
78,3931.2,78,11,0,0,0,0,26,4089,31031,3726,3351,25,27,26,56,4527,18
77,3880.8,77,13,0,0,0,0,51,4345,31382,3828,3596,25,33,27,40,4466,18
76,3830.4,76,12,0,0,0,0,26,3966,31631,3528,3264,59,27,54,41,4429,18
75,3780,75,12,0,0,0,0,52,4247,31480,3657,3374,25,27,26,44,4545,18
74,3729.6,74,12,0,0,0,0,34,4499,31630,3922,3729,25,28,25,40,4612,18
73,3679.2,73,11,0,0,0,0,62,4909,32295,4348,4267,25,27,25,42,4867,18
72,3628.8,72,13,0,0,0,0,26,4116,31217,3720,3399,72,38,26,40,4446,18
71,3578.4,71,12,0,0,0,0,26,4214,31341,3633,3416,25,28,26,39,4593,18
70,3528,70,13,0,0,0,0,25,4422,31902,3960,3645,25,27,25,40,4463,18
69,3477.6,69,11,0,0,0,0,28,4136,31675,3683,3455,25,27,25,39,4418,18
68,3427.2,68,12,0,0,0,0,28,4159,31404,3507,3330,57,28,25,40,4546,18
67,3376.8,67,44,0,0,0,0,26,4193,31621,3679,3394,25,74,25,40,4418,19
66,3326.4,66,13,0,0,0,0,34,4264,31643,3813,3430,31,27,25,39,4409,23
65,3276,65,19,0,0,0,0,25,4162,32126,3775,3482,37,27,25,39,4465,18
64,3225.6,64,13,0,0,0,0,41,4062,31260,3681,3319,25,27,27,39,4431,22
63,3175.2,63,11,0,0,0,0,26,4028,31278,3518,3282,25,27,25,39,4476,18
62,3124.8,62,11,0,0,0,0,25,4373,31820,3797,3604,25,27,25,40,4581,18
61,3074.4,61,11,0,0,0,0,26,4767,32177,4156,3946,40,28,26,42,4821,18
60,3024,60,13,0,0,0,0,47,4212,31247,3749,3552,28,32,26,42,4381,23
59,2973.6,59,13,0,0,0,0,30,3951,31470,3498,3260,35,27,56,39,4326,21
58,2923.2,58,11,0,0,0,0,26,4256,31956,3566,3453,110,27,26,39,4408,19
57,2872.8,57,14,0,0,0,0,27,4261,31957,3696,3526,34,28,25,39,4441,18
56,2822.4,56,12,0,0,0,0,25,4058,31281,3521,3260,25,27,25,40,4389,18
55,2772,55,12,0,0,0,0,30,3747,31298,3408,3071,28,27,25,41,4248,18
54,2721.6,54,13,0,0,0,0,26,4313,31659,3762,3518,25,27,25,39,4468,18
53,2671.2,53,11,0,0,0,0,41,4170,31439,3658,3395,25,27,25,74,4404,18
52,2620.8,52,12,0,0,0,0,27,4166,31376,3708,3384,25,29,26,39,4333,18
51,2570.4,51,13,0,0,0,0,26,4416,31802,3881,3620,25,27,25,39,4499,18
50,2520,50,13,0,0,0,0,76,4076,31487,3618,3406,25,27,25,39,4403,18
49,2469.6,49,13,0,0,0,0,26,3594,30884,3194,2917,25,27,25,39,4058,18
48,2419.2,48,11,0,0,0,0,26,4353,31335,3800,3629,25,27,25,42,4425,18
47,2368.8,47,13,0,0,0,0,56,4082,31204,3502,3445,25,27,24,39,4321,18
46,2318.4,46,13,0,0,0,0,27,4138,31296,3631,3393,26,27,25,40,4417,18
45,2268,45,13,0,0,0,0,27,4173,31426,3716,3388,25,27,41,39,4493,18
44,2217.6,44,12,0,0,0,0,27,4378,32592,3846,3545,26,28,26,39,4444,18
43,2167.2,43,12,0,0,0,0,25,3983,31329,3552,3284,25,27,26,39,4377,18
42,2116.8,42,13,0,0,0,0,26,3690,31339,3337,3093,25,30,25,38,4449,18
41,2066.4,41,11,0,0,0,0,26,4265,31290,3660,3464,25,27,26,38,4412,18
40,2016,40,11,0,0,0,0,25,4087,31393,3626,3357,25,27,25,38,4317,19
39,1965.6,39,11,0,0,0,0,26,4074,31521,3629,3367,60,27,26,38,4440,18
38,1915.2,38,11,0,0,0,0,26,4325,31758,3838,3586,25,31,25,38,4404,18
37,1864.8,37,13,0,0,0,0,40,4123,31483,3599,3336,25,27,25,45,4410,65
36,1814.4,36,13,0,0,0,0,32,3717,31071,3238,3050,26,28,27,54,4114,18
35,1764,35,13,0,0,0,0,49,4145,31476,3657,3405,25,27,25,38,4379,18
34,1713.6,34,20,0,0,0,0,31,4307,31253,3791,3509,26,27,25,77,4347,18
33,1663.2,33,12,0,0,0,0,25,4068,31082,3472,3323,25,27,25,38,4402,18
32,1612.8,32,13,0,0,0,0,25,4360,31295,3747,3618,25,28,25,38,4425,19
31,1562.4,31,11,0,0,0,0,43,4205,31452,3679,3469,25,27,25,38,4370,18
30,1512,30,13,0,0,0,0,26,4753,32274,4186,4077,66,61,57,69,4571,22
29,1461.6,29,12,0,0,0,0,26,4249,31105,3495,3426,25,27,25,38,4341,18
28,1411.2,28,13,0,0,0,0,32,4404,31274,3636,3582,27,27,25,39,4510,19
27,1360.8,27,13,0,0,0,0,37,4485,31385,3769,3710,38,27,25,38,4477,102
26,1310.4,26,11,0,0,0,0,26,4265,31409,3703,3582,25,27,25,37,4337,18
25,1260,25,12,0,0,0,0,26,4496,31493,3785,3575,26,28,25,37,4368,18
24,1209.6,24,12,0,0,0,0,26,4606,31912,4067,3961,25,27,25,38,4652,18
23,1159.2,23,13,0,0,0,0,26,4356,31147,3723,3639,28,27,25,48,4307,19
22,1108.8,22,16,0,0,0,0,26,4381,30884,3748,3529,26,30,25,38,4320,18
21,1058.4,21,13,0,0,0,0,28,4405,31328,3899,3744,25,27,25,37,4426,18
20,1008,20,12,0,0,0,0,28,4443,31301,3788,3697,26,28,26,38,4401,18
19,957.6,19,12,0,0,0,0,26,4127,31420,3570,3381,30,27,25,37,4376,18
18,907.2,18,12,0,0,0,0,29,4370,32066,3737,3543,25,27,25,38,4365,18
17,856.8,17,32,0,0,0,0,27,4658,32017,4120,3920,25,27,25,38,4587,19
16,806.4,16,12,0,0,0,0,47,4226,31295,3664,3380,25,28,26,63,4256,19
15,756,15,12,0,0,0,0,25,4283,31005,3698,3398,25,27,24,37,4308,18
14,705.6,14,17,0,0,0,0,26,4523,31207,3901,3748,25,27,25,38,4434,18
13,655.2,13,13,0,0,0,0,34,4210,30830,3650,3211,25,27,25,37,4372,18
12,604.8,12,11,0,0,0,0,26,4188,31132,3644,3281,25,27,24,37,4376,18
11,554.4,11,19,0,0,0,0,26,4264,31333,3468,3020,25,31,26,39,4603,18
10,504,10,12,0,0,0,0,26,4300,30864,3852,3405,55,27,25,39,4418,18
9,453.6,9,11,0,0,0,0,32,4257,30831,3697,3436,25,28,25,39,4334,18
8,403.2,8,13,0,0,0,0,33,4278,30986,3625,3336,26,29,30,37,4418,18
7,352.8,7,11,0,0,0,0,57,4195,31094,3724,3419,25,28,25,37,4529,18
6,302.4,6,12,0,0,0,0,39,4334,30895,3787,3335,60,27,24,36,4420,18
5,252,5,11,0,0,0,0,26,3871,30450,3298,2931,31,27,26,38,4428,19
4,201.6,4,12,0,0,0,0,25,4421,30861,3804,3522,28,27,25,39,4468,18
3,151.2,3,13,0,0,0,0,26,3939,29847,3514,3094,25,29,25,35,4248,18
2,100.8,2,16,0,0,0,0,28,4090,30177,3710,3104,31,27,25,35,4351,19
1,50.4,1,12,0,0,0,0,53,4360,30238,3927,3414,25,29,25,35,4366,18
