Optimas, 421(0 4 3 5 1 6 2),,,,,,,,,,,,,,,,,
H-Axis, Max distance, Ratio,Ours,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
100,5040,100,41,1,1,1,1,40,5191,34094,4911,3930,29,36,31,46,5123,26
99,4989.6,99,12,0,0,0,0,25,4276,31440,3775,3480,25,27,25,40,4451,18
98,4939.2,98,19,0,0,0,0,26,4229,31473,3649,3486,25,27,68,40,4463,18
97,4888.8,97,12,0,0,0,0,26,4090,31031,3561,3303,25,27,25,40,4448,18
96,4838.4,96,13,0,0,0,0,56,4154,31160,3664,3301,26,27,25,40,4454,18
95,4788,95,13,0,0,0,0,25,4082,30770,3591,3323,25,27,24,40,4404,18
94,4737.6,94,12,0,0,0,0,26,3933,30726,3515,3111,25,27,25,40,4413,18
93,4687.2,93,13,0,0,0,0,26,4158,30859,3651,3337,25,27,26,40,4477,35
92,4636.8,92,13,0,0,0,0,28,4222,31482,3714,3483,27,27,25,41,4470,19
91,4586.4,91,12,0,0,0,0,27,3962,31128,3402,3173,29,27,25,40,4389,18
90,4536,90,12,0,0,0,0,26,4111,31386,3633,3229,27,27,25,40,4532,18
89,4485.6,89,12,0,0,0,0,25,3998,31171,3458,3042,26,27,25,40,4466,18
88,4435.2,88,21,0,0,0,0,50,4251,30655,3729,3378,26,27,25,40,4518,18
87,4384.8,87,14,0,0,0,0,25,4114,31092,3554,3314,25,27,25,41,4369,18
86,4334.4,86,13,0,0,0,0,26,4240,30840,3633,3382,25,27,26,40,4457,23
85,4284,85,12,0,0,0,0,30,4192,31090,3689,3389,25,27,25,40,4544,18
84,4233.6,84,12,0,0,0,0,25,4060,31020,3674,3262,25,27,25,40,4465,18
83,4183.2,83,12,0,0,0,0,25,4046,31202,3640,3274,25,27,25,40,4457,18
82,4132.8,82,13,0,0,0,0,25,4028,30802,3503,3165,25,27,25,40,4446,18
81,4082.4,81,11,0,0,0,0,33,4322,31228,3797,3378,25,29,25,58,4494,18
80,4032,80,12,0,0,0,0,27,4253,30951,3742,3409,25,28,25,43,4475,18
79,3981.6,79,11,0,0,0,0,25,4170,31410,3519,3270,30,27,24,40,4391,19
78,3931.2,78,13,0,0,0,0,25,4003,31023,3545,3230,26,27,25,40,4530,18
77,3880.8,77,13,0,0,0,0,26,4379,31323,3684,3165,26,27,26,40,4572,18
76,3830.4,76,12,0,0,0,0,26,4331,31051,3790,3532,25,35,25,44,4409,18
75,3780,75,14,0,0,0,0,33,3985,31228,3408,3156,25,32,25,40,4375,18
74,3729.6,74,18,0,0,0,0,25,4263,31315,3677,3428,25,27,25,41,4430,19
73,3679.2,73,13,0,0,0,0,25,4453,31300,3953,3613,25,27,25,40,4512,18
72,3628.8,72,14,0,0,0,0,26,4000,30700,3559,3204,25,27,26,40,4429,18
71,3578.4,71,12,0,0,0,0,26,4350,31462,3651,3465,25,28,25,139,4514,18
70,3528,70,12,0,0,0,0,25,4121,30999,3644,3343,25,27,25,46,4476,18
69,3477.6,69,12,0,0,0,0,27,4176,31118,3650,3426,25,29,25,43,4549,18
68,3427.2,68,14,0,0,0,0,26,4152,30757,3604,3370,25,28,24,40,4383,19
67,3376.8,67,14,0,0,0,0,26,4125,31057,3636,3213,29,27,25,42,4452,18
66,3326.4,66,13,0,0,0,0,25,4265,31429,3741,3422,25,27,25,41,4475,18
65,3276,65,13,0,0,0,0,54,4270,31806,3658,3445,25,31,26,42,4302,19
64,3225.6,64,13,0,0,0,0,25,4290,31234,3732,3421,25,29,33,58,4455,19
63,3175.2,63,13,0,0,0,0,25,4182,30824,3730,3391,25,31,25,44,4459,18
62,3124.8,62,12,0,0,0,0,27,4051,31230,3509,3176,25,27,26,41,4381,18
61,3074.4,61,12,0,0,0,0,27,4448,31800,3829,3610,25,28,25,40,4483,18
60,3024,60,11,0,0,0,0,25,4395,31621,3824,3601,24,27,25,41,4481,18
59,2973.6,59,14,0,0,0,0,30,4155,31235,3621,3412,25,27,25,40,4485,18
58,2923.2,58,14,0,0,0,0,26,3746,30632,3259,3000,25,27,25,41,4501,31
57,2872.8,57,12,0,0,0,0,26,4365,31104,3806,3519,25,27,25,40,4416,18
56,2822.4,56,11,0,0,0,0,44,4070,31003,3436,3220,25,92,25,40,4417,18
55,2772,55,14,0,0,0,0,25,4074,30783,3571,3327,25,28,25,84,4499,18
54,2721.6,54,15,0,0,0,0,43,4183,30954,3660,3345,28,27,25,40,4476,18
53,2671.2,53,12,0,0,0,0,25,4343,30979,3707,3539,25,28,25,39,4426,18
52,2620.8,52,13,0,0,0,0,27,4248,30944,3633,3361,27,27,26,40,4495,18
51,2570.4,51,13,0,0,0,0,25,4361,31224,3337,3080,25,27,25,39,4552,18
50,2520,50,17,0,0,0,0,26,4291,30812,3647,3573,25,27,25,40,4457,18
49,2469.6,49,12,0,0,0,0,27,4174,30510,3555,3468,25,30,25,39,4437,18
48,2419.2,48,13,0,0,0,0,26,4157,30731,3540,3293,27,27,25,39,4491,18
47,2368.8,47,11,0,0,0,0,26,4407,31123,3855,3620,25,27,25,39,4487,18
46,2318.4,46,14,0,0,0,0,57,4165,30939,3694,3364,25,27,25,39,4439,18
45,2268,45,12,0,0,0,0,28,3814,30809,3244,3101,25,27,25,39,4427,18
44,2217.6,44,12,0,0,0,0,25,4414,30833,3843,3671,25,27,25,39,4441,18
43,2167.2,43,13,0,0,0,0,38,4195,30707,3503,3406,57,30,25,38,4379,18
42,2116.8,42,17,0,0,0,0,25,4155,30988,3612,3429,25,27,24,42,4417,18
41,2066.4,41,13,0,0,0,0,25,4557,31277,3815,3669,28,34,25,39,4515,19
40,2016,40,15,0,0,0,0,61,4341,31042,3573,3475,26,32,61,39,4435,18
39,1965.6,39,14,0,0,0,0,26,3892,30886,3241,3130,25,27,25,39,4217,18
38,1915.2,38,13,0,0,0,0,26,4515,31274,3734,3722,44,27,25,38,4462,18
37,1864.8,37,13,0,0,0,0,25,4160,30584,3542,3431,28,27,25,38,4429,18
36,1814.4,36,16,0,0,0,0,35,4329,30747,3529,3486,25,27,25,42,4442,18
35,1764,35,13,0,0,0,0,26,4633,31145,3771,3807,40,41,25,39,4722,18
34,1713.6,34,11,0,0,0,0,27,4368,30838,3680,3651,32,27,25,39,4472,18
33,1663.2,33,12,0,0,0,0,27,4406,31063,3674,3585,36,28,26,74,4455,23
32,1612.8,32,14,0,0,0,0,25,4307,30906,3554,3520,25,27,25,38,4403,18
31,1562.4,31,13,0,0,0,0,26,4253,31036,3459,3452,25,27,25,39,4450,18
