2%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,506,[0 5 2 1 4 3 6],3025,[4 1 2 0 3 6 5],1680,[2 3 0 1 4 5 6],2147,[2 6 5 1 4 3 0]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,523,[0 5 2 6 1 4 3],2974,[4 0 5 6 3 1 2],1659,[2 1 6 0 4 5 3],2134,[2 6 4 5 3 0 1]
2,507,[0 5 2 1 4 6 3],3007,[4 1 0 3 2 6 5],1679,[2 1 6 5 4 3 0],2128,[2 6 4 3 5 0 1]
3,566,[0 5 4 3 2 1 6],3034,[4 1 2 3 6 0 5],1678,[2 1 6 5 4 0 3],2175,[3 0 1 5 4 6 2]
4,527,[0 5 2 6 4 3 1],2976,[4 0 6 1 2 3 5],1742,[2 3 4 5 1 0 6],2123,[2 6 4 1 5 3 0]
5,594,[0 5 6 4 1 2 3],3032,[4 1 2 3 5 0 6],1746,[2 3 4 6 0 1 5],2130,[2 6 4 5 0 1 3]
6,561,[0 5 4 2 3 6 1],3029,[4 1 2 0 6 5 3],1661,[2 1 6 0 5 4 3],2116,[2 6 4 0 5 1 3]
7,575,[0 5 4 6 3 2 1],3044,[4 1 2 6 3 0 5],1672,[2 1 6 4 5 0 3],2168,[3 0 1 4 5 2 6]
8,558,[0 5 4 2 1 3 6],3051,[4 1 3 0 5 6 2],1654,[2 1 5 6 4 0 3],2145,[2 6 5 1 3 4 0]
9,558,[0 5 4 2 1 3 6],2988,[4 0 6 3 1 2 5],1728,[2 3 4 0 1 5 6],2144,[2 6 5 1 3 0 4]
10,555,[0 5 4 1 3 6 2],2966,[4 0 5 3 2 1 6],1648,[2 1 5 4 6 0 3],2114,[2 6 4 0 3 1 5]
11,558,[0 5 4 2 1 3 6],2982,[4 0 6 2 1 3 5],1652,[2 1 5 6 3 0 4],2123,[2 6 4 1 5 3 0]
12,586,[0 5 6 2 4 1 3],3038,[4 1 2 5 3 0 6],1705,[2 3 1 0 4 6 5],2160,[3 0 1 2 4 5 6]
13,570,[0 5 4 6 1 2 3],2978,[4 0 6 1 3 2 5],1654,[2 1 5 6 4 0 3],2179,[3 0 1 6 2 5 4]
14,591,[0 5 6 3 2 4 1],2997,[4 0 6 5 2 3 1],1661,[2 1 6 0 5 4 3],2198,[3 0 2 5 4 1 6]
15,593,[0 5 6 3 4 2 1],3033,[4 1 2 3 5 6 0],1659,[2 1 6 0 4 5 3],2135,[2 6 4 5 3 1 0]
16,500,[0 5 1 6 3 2 4],2986,[4 0 6 2 5 1 3],1688,[2 3 0 4 5 1 6],2203,[3 0 2 6 1 5 4]
17,591,[0 5 6 3 2 4 1],3021,[4 1 0 6 3 5 2],1675,[2 1 6 5 0 4 3],2142,[2 6 5 1 0 3 4]
