Optimas, 506(0 5 2 1 4 3 6), 3025(4 1 2 0 3 6 5), 1680(2 3 0 1 4 5 6), 2147(2 6 5 1 4 3 0)
H-Axis, Max distance, Ratio,Ours,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
100,5040,100,0.006667886603602819,0,0,0,0,16.192663324557838,471813.02,406335.08,0.8548495967864528,0.8485386322950231,16.192663324557838,0.9153691235975886,16.192663324557838,0.9199362092244666,145442083.34,0.2973017787506805
99,4989.6,99,0.010603053946312774,0,0,0,0,16.29643175013273,475672.38,409735.7,0.8627867965893964,0.8557416040100253,16.29643175013273,0.9285781471000663,16.29643175013273,0.93499218619239,145302165.1,0.2973017787506805
98,4939.2,98,0.011458888326515591,0,0,0,0,16.298260465430673,475970.72,410045.82,0.8632479592571807,0.8562924453992123,16.298260465430673,0.9432311108912687,16.29826046543067,0.9404361406258137,143421176.72,0.2973017787506805
97,4888.8,97,0.012863270818106705,0,0,0,0,16.298824161421038,476032.04,410115.72,0.8632953773564797,0.8564020408163266,16.298824161421038,0.9394101599311117,16.29882416142104,0.9352938280178692,143282738.86,0.2973017787506805
96,4838.4,96,0.01502517101080491,0,0,0,0,16.301676938097486,476230.64,410294.9,0.8636746680206219,0.8567680988184747,16.301676938097486,0.9483484543320053,16.301676938097486,0.9447012427828042,141856831.78,0.2973017787506805
95,4788,95,0.017348803896092675,0,0,0,0,16.30494649916928,476359.1,410355.76,0.8639144108993846,0.8570121374865737,16.30494649916928,0.9523957191627302,16.30494649916928,0.9416308585754198,140739821.98,0.2973017787506805
94,4737.6,94,0.018827716620704104,0,0,0,0,16.305623520740003,476405.82,410341.04,0.8640162028351512,0.8570901181525242,16.305623520740003,0.9581688956067821,16.305623520740006,0.9431444561419763,138978466.58,0.2973017787506805
93,4687.2,93,0.020136510125749404,0,0,0,0,16.304333547593437,476401.38,410392.6,0.8639926832413779,0.8570854278553525,16.304333547593437,0.9586674837842053,16.304333547593437,0.9445142966613218,137569072.36,0.2973017787506805
92,4636.8,92,0.020057730604031626,0,0,0,0,16.30256036521723,476388.28,410349.42,0.8638520528509912,0.8570731471535983,16.30256036521723,0.9569109013972765,16.302560365217232,0.9456169064647385,136760362.56,0.2973017787506805
91,4586.4,91,0.02046395505653963,0,0,0,0,16.302063262942283,476442.88,410430.22,0.863885613606203,0.857161403508772,16.302063262942283,0.9596182276142752,16.302063262942287,0.9486465642639337,135339616.08,0.2973017787506805
90,4536,90,0.0199786645193362,0,0,0,0,16.30138169894302,476474.86,410414.94,0.8638881577279688,0.8572257787325459,16.30138169894302,0.9622474966554881,16.301381698943015,0.9460447320742205,134128642.26,0.2973017787506805
89,4485.6,89,0.019815522474081346,0,0,0,0,16.303151805585394,476480.04,410411.28,0.8640285715973545,0.8572353383458649,16.303151805585394,0.9626307136677309,16.303151805585397,0.9481315094701582,132813149.66,0.2973017787506805
88,4435.2,88,0.019331190183827042,0,0,0,0,16.301510805255322,476389.76,410445.54,0.8638075307200853,0.8570712495524526,16.301510805255322,0.9577593766149782,16.301510805255326,0.9447143267284958,132050054.06,0.2973017787506805
87,4384.8,87,0.01950139215269877,0,0,0,0,16.30433080263346,476362.06,410391.66,0.8639499203436085,0.8570238811313999,16.30433080263346,0.9566978099354116,16.30433080263346,0.9476398581691625,130116323.92,0.2973017787506805
86,4334.4,86,0.01885977084088091,0,0,0,0,16.298430033147735,476343.42,410385.52,0.8636090892223338,0.8569854278553527,16.298430033147735,0.9589212248121037,16.29843003314774,0.9446509054432717,129341447.04,0.2973017787506805
85,4284,85,0.019030741599521454,0,0,0,0,16.30138000832504,476265.24,410459.24,0.8636676040229528,0.856845864661654,16.30138000832504,0.9537262378896304,16.301380008325037,0.9423565178965678,127740607.24,0.2973017787506805
84,4233.6,84,0.018988474868774752,0,0,0,0,16.305853943025095,476321.98,410336.06,0.863844393420568,0.8569447189402077,16.305853943025095,0.9488480565836742,16.3058539430251,0.939582575790449,125965925.58,0.2973017787506805
83,4183.2,83,0.018836184272181433,0,0,0,0,16.30324734031871,476195.4,410382.62,0.8636212955937853,0.8567192982456138,16.30324734031871,0.9548159617814725,16.30324734031871,0.9416087970602893,125179853.18,0.2973017787506805
82,4132.8,82,0.018348978971919422,0,0,0,0,16.302025929433494,476098.72,410363.04,0.8634990153582642,0.8565421768707485,16.302025929433494,0.951116344136911,16.302025929433494,0.9419819951267795,124174578.14,0.2973017787506805
81,4082.4,81,0.01768525514686525,0,0,0,0,16.299425902650015,475994.22,410328.42,0.8631712025621963,0.856362477622628,16.299425902650015,0.9487550261851035,16.299425902650018,0.9364305932637521,122772061.14,0.2973017787506805
80,4032,80,0.018268455978642493,0,0,0,0,16.298161927940374,475896.74,410289,0.8629489708194196,0.8561832796276404,16.298161927940374,0.9452460807943157,16.298161927940374,0.9398404064536361,121971432.16,0.2973017787506805
79,3981.6,79,0.018380094717737112,0,0,0,0,16.296395757412608,475837.38,410332.84,0.8628226308151228,0.8560752237737199,16.296395757412608,0.9446519387470912,16.296395757412608,0.9374226192841969,121314302.12,0.2973017787506805
78,3931.2,78,0.017701293657575435,0,0,0,0,16.296272632492556,475679.08,410284.74,0.8625875702030146,0.8557965986394558,16.296272632492556,0.946559480264144,16.29627263249256,0.93833062586017,119466275.58,0.2973017787506805
77,3880.8,77,0.01760036332620133,0,0,0,0,16.29900366131892,475654.74,410302.06,0.8626203731347212,0.8557517722878626,16.29900366131892,0.9437086339424202,16.299003661318924,0.9354600837406426,118168336,0.2973017787506805
76,3830.4,76,0.017244919072368577,0,0,0,0,16.29602244067284,475546.52,410239.86,0.8623041171471015,0.8555511994271394,16.29602244067284,0.9433876129326255,16.296022440672843,0.9347482112657362,117578233.86,0.2973017787506805
75,3780,75,0.017196866346220977,0,0,0,0,16.29577979181088,475365.56,410219.68,0.8620166855177887,0.8552278195488724,16.29577979181088,0.9384845042963695,16.29577979181088,0.9299308871536788,115917519.48,0.2973017787506805
74,3729.6,74,0.016406121317608234,0,0,0,0,16.289257147349307,475237.7,410200.54,0.8614560314498769,0.8550006802721084,16.289257147349307,0.9360939222018184,16.28925714734931,0.9259347953485072,114767192.04,0.2973017787506805
73,3679.2,73,0.016643124845411646,0,0,0,0,16.294826550597325,475205.5,410177.06,0.8617053283178244,0.8549497314715362,16.294826550597325,0.9373923011324352,16.294826550597328,0.9294376707199635,114010716.42,0.2973017787506805
72,3628.8,72,0.016564270160170643,0,0,0,0,16.294650651299378,475058.02,410166.56,0.8614435544271728,0.8546819906910134,16.294650651299378,0.9382724823203509,16.29465065129938,0.929090318272608,112906111.76,0.2973017787506805
71,3578.4,71,0.01648477695746922,0,0,0,0,16.29059202811238,474943.08,410169.88,0.8610495944651879,0.854470390261368,16.29059202811238,0.9367414484152223,16.290592028112382,0.9262619756317342,111675849.84,0.2973017787506805
70,3528,70,0.016286389823244894,0,0,0,0,16.290494656809205,474875.18,410113.8,0.8608939699954564,0.8543605084138922,16.290494656809205,0.9379695309273249,16.290494656809205,0.9286689320765191,111226063.5,0.2973017787506805
69,3477.6,69,0.015700047545711554,0,0,0,0,16.291118859873382,474757.64,410049.28,0.8606025597927429,0.8541259577515216,16.291118859873382,0.9361999208414693,16.29111885987339,0.9269826725710432,109442582.92,0.2973017787506805
68,3427.2,68,0.0160710849388221,0,0,0,0,16.2869812399685,474500.44,410163.64,0.860038387258559,0.8536730039384175,16.2869812399685,0.9326494790490518,16.2869812399685,0.9245395229654263,108472399.18,0.2973017787506805
67,3376.8,67,0.015920696609896527,0,0,0,0,16.28357398784126,474463.4,410112.54,0.8596777715307843,0.8536097744360904,16.28357398784126,0.9279595643728815,16.28357398784126,0.9162393691198567,107538858.08,0.2973017787506805
66,3326.4,66,0.015568837639527615,0,0,0,0,16.281089586747186,474252.84,409942.74,0.8592949624003697,0.853226387397064,16.281089586747186,0.9316677945716999,16.281089586747186,0.9190042041640294,106686130.96,0.2973017787506805
65,3276,65,0.01519337606407221,0,0,0,0,16.27806085081885,474056.5,410008.1,0.8588218640123851,0.8528767991407089,16.27806085081885,0.9332008878823931,16.27806085081885,0.9199173261377787,105507437.22,0.2973017787506805
