10%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6],1699998,[4 7 1 3 0 8 5 2 6 9],2117037,[5 8 4 0 2 9 7 3 6 1],1406637,[3 8 9 0 5 7 6 2 4 1],1204758,[3 2 9 0 4 7 5 1 6 8],258085,[0 7 4 2 5 8 6 1 9 3]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10]
1,266727,[0 7 5 9 3 6 4 2 8 1],1879508,[5 1 6 9 3 4 8 2 0 7],454364,[1 3 4 2 0 6 9 7 5 8],395814,[1 0 8 5 7 4 3 2 6 9],1135117,[3 1 2 4 7 5 8 0 9 6],1570973,[4 2 9 6 8 3 0 7 5 1],2228969,[6 1 3 2 8 7 5 9 4 0],1582916,[4 3 2 0 6 9 8 5 1 7],1292543,[3 6 0 5 2 1 9 8 7 4],293052,[0 8 3 2 1 4 7 5 6 9]
2,33229,[0 1 8 6 2 9 5 3 7 4],1772731,[4 8 9 6 0 5 7 1 3 2],699941,[1 9 3 8 0 7 2 6 5 4],447503,[1 3 0 8 6 2 9 7 5 4],1073269,[2 9 5 8 4 7 3 0 6 1],1610847,[4 3 9 6 1 7 5 2 8 0],2107236,[5 8 2 0 7 3 6 1 4 9],1528423,[4 1 9 2 7 8 3 0 6 5],1106904,[3 0 5 7 4 2 1 6 8 9],557976,[1 5 8 6 9 7 0 2 3 4]
3,150356,[0 4 7 8 6 9 5 2 1 3],1767967,[4 8 7 6 3 0 2 1 9 5],513260,[1 4 7 8 9 0 6 3 2 5],313505,[0 8 7 2 4 5 6 9 3 1],1265584,[3 5 4 0 8 6 7 9 1 2],1803820,[4 9 6 8 1 7 0 5 2 3],1939174,[5 3 0 8 2 7 9 6 1 4],1412529,[3 9 0 2 8 1 5 6 7 4],1089137,[3 0 1 2 8 4 7 9 6 5],273924,[0 7 8 3 4 6 5 1 2 9]
4,64912,[0 2 6 9 1 8 5 7 3 4],1533152,[4 2 0 3 6 5 7 8 1 9],728842,[2 0 1 7 4 8 5 9 3 6],446417,[1 3 0 7 2 4 8 9 6 5],1284919,[3 5 8 9 4 6 1 0 7 2],1833184,[5 0 4 8 1 6 7 9 2 3],1936481,[5 3 0 2 7 4 8 9 6 1],1466328,[4 0 3 9 6 5 1 2 7 8],1376634,[3 8 1 0 9 7 6 2 4 5],257970,[0 7 4 2 3 8 9 1 5 6]
5,274570,[0 7 8 4 3 1 5 9 2 6],1616265,[4 5 0 7 8 9 2 3 6 1],516702,[1 4 8 5 6 9 2 0 3 7],501826,[1 4 5 6 9 8 2 7 0 3],1097477,[3 0 2 8 4 7 1 9 6 5],1781860,[4 9 1 5 7 8 0 6 2 3],1992798,[5 4 3 2 8 7 1 0 6 9],1343377,[3 7 2 5 8 9 0 1 6 4],1270409,[3 5 6 0 4 8 7 9 2 1],474914,[1 3 8 2 6 7 0 5 4 9]
6,336200,[0 9 3 6 8 5 2 4 1 7],1638968,[4 5 7 1 3 0 6 8 2 9],647074,[1 8 0 4 7 3 5 9 2 6],445213,[1 3 0 5 6 2 8 4 9 7],1243843,[3 4 8 7 5 1 9 0 6 2],1568109,[4 2 9 0 8 5 7 3 6 1],2204511,[6 0 7 3 8 9 4 2 5 1],1537240,[4 2 1 0 3 6 8 9 5 7],1271938,[3 5 6 2 7 4 1 9 0 8],504159,[1 4 6 0 3 5 8 7 9 2]
7,299534,[0 8 4 5 1 2 7 6 3 9],1636090,[4 5 6 7 2 0 3 9 1 8],658881,[1 8 3 7 0 6 4 5 9 2],544965,[1 5 6 0 9 3 8 4 7 2],1326207,[3 6 9 0 8 5 4 2 7 1],1561886,[4 2 7 9 1 6 5 3 0 8],2197203,[6 0 4 9 7 1 2 5 8 3],1390970,[3 8 4 9 7 2 0 5 1 6],1134276,[3 1 2 0 6 5 8 4 7 9],484582,[1 4 0 3 2 5 9 8 6 7]
8,56611,[0 2 5 3 7 8 9 1 6 4],1611102,[4 3 9 6 5 8 1 0 2 7],695981,[1 9 3 0 6 8 2 7 5 4],351629,[0 9 6 7 3 2 1 8 5 4],1134443,[3 1 2 0 7 8 5 9 6 4],1763615,[4 8 6 9 2 5 7 3 1 0],1913494,[5 2 4 7 6 8 9 3 0 1],1484042,[4 0 8 5 2 1 3 7 6 9],1093389,[3 0 1 9 6 5 8 4 7 2],562460,[1 5 9 6 2 0 8 4 3 7]
9,236864,[0 6 8 9 7 5 2 3 1 4],1602939,[4 3 8 0 2 9 1 6 7 5],690081,[1 9 0 8 4 6 3 5 7 2],333154,[0 9 3 1 7 4 5 8 2 6],1253356,[3 5 0 7 8 6 1 9 2 4],1809818,[4 9 8 0 5 7 1 3 2 6],2227230,[6 1 2 9 4 3 5 0 7 8],1548061,[4 2 5 1 0 7 8 3 9 6],1128000,[3 0 9 7 6 1 2 4 5 8],432159,[1 2 7 8 3 4 6 5 9 0]
10,81317,[0 3 1 2 9 7 4 8 6 5],1555075,[4 2 6 5 8 9 7 0 3 1],687490,[1 9 0 4 8 2 5 7 3 6],375987,[1 0 4 7 3 5 2 8 9 6],1089199,[3 0 1 2 8 7 5 4 9 6],1594032,[4 3 6 1 9 7 0 2 5 8],2104831,[5 8 1 6 3 2 4 0 9 7],1459609,[4 0 2 7 3 6 1 5 9 8],1094552,[3 0 2 4 5 6 7 8 1 9],354472,[0 9 7 3 2 8 5 6 1 4]
11,133320,[0 4 3 6 2 1 5 7 8 9],1714948,[4 7 5 1 9 2 0 8 3 6],596852,[1 6 8 3 9 5 7 2 0 4],648620,[1 8 0 6 9 2 7 4 3 5],1071044,[2 9 5 4 6 1 8 3 0 7],1876054,[5 1 6 2 7 8 9 4 0 3],1917301,[5 2 6 3 9 4 7 0 8 1],1607803,[4 3 9 0 1 5 8 2 7 6],1145737,[3 1 5 4 2 9 0 6 8 7],292564,[0 8 3 1 5 2 4 9 6 7]
12,158425,[0 4 9 5 1 3 2 6 8 7],1758335,[4 8 5 9 0 6 7 3 2 1],555381,[1 5 8 2 4 0 9 6 7 3],383556,[1 0 6 2 8 4 7 3 5 9],1370525,[3 7 9 8 4 0 1 6 5 2],1656694,[4 6 0 7 9 5 8 3 1 2],2118746,[5 8 4 2 7 1 0 6 3 9],1287226,[3 5 9 2 7 8 1 6 0 4],1101500,[3 0 4 6 9 1 8 5 2 7],333189,[0 9 3 1 7 5 8 4 6 2]
13,126149,[0 4 2 1 5 6 3 9 8 7],1584405,[4 3 2 5 7 1 9 6 8 0],529295,[1 5 2 0 3 8 9 7 6 4],366801,[1 0 2 8 5 7 4 6 9 3],1044456,[2 8 9 1 5 7 0 3 4 6],1661514,[4 6 1 7 5 9 8 0 2 3],1959466,[5 3 6 8 2 9 1 7 0 4],1349983,[3 7 4 8 9 6 1 0 5 2],1405537,[3 8 7 9 0 6 1 2 5 4],372979,[1 0 4 2 3 5 9 6 8 7]
14,213624,[0 6 3 4 8 2 1 5 7 9],1596832,[4 3 6 8 7 9 2 5 0 1],696565,[1 9 3 2 5 7 6 0 8 4],443169,[1 2 9 8 5 0 4 6 7 3],1363885,[3 7 8 5 1 6 4 0 9 2],1572508,[4 3 0 1 2 6 5 9 7 8],2010182,[5 4 8 7 9 2 3 1 0 6],1292110,[3 6 0 4 7 5 9 8 1 2],1253009,[3 5 0 7 2 8 6 9 4 1],561477,[1 5 9 3 7 8 6 2 4 0]
15,164813,[0 5 1 7 9 4 2 8 6 3],1794346,[4 9 5 0 1 8 3 7 2 6],797833,[2 1 8 4 0 7 3 5 9 6],372390,[1 0 3 9 4 5 6 2 7 8],1267712,[3 5 4 6 8 1 2 7 0 9],1689481,[4 6 9 1 5 0 2 3 8 7],2051864,[5 6 9 0 7 8 2 3 1 4],1590641,[4 3 5 7 1 2 8 9 6 0],1329449,[3 6 9 7 2 5 4 8 1 0],535854,[1 5 3 4 2 7 6 0 8 9]
16,168687,[0 5 2 6 3 8 7 4 9 1],1667520,[4 6 2 9 0 1 3 5 7 8],785443,[2 1 5 8 9 3 7 0 6 4],320146,[0 8 9 4 5 7 2 6 1 3],1321233,[3 6 8 1 0 4 5 7 9 2],1650918,[4 5 9 3 8 6 1 0 2 7],2068262,[5 7 2 3 6 4 8 1 0 9],1356038,[3 7 6 0 4 2 8 5 1 9],1250169,[3 5 0 1 6 2 7 8 9 4],254391,[0 7 3 5 2 9 6 4 8 1]
17,306963,[0 8 5 9 3 1 2 6 7 4],1543359,[4 2 3 1 7 5 8 6 9 0],792680,[2 1 7 3 9 6 4 5 0 8],422403,[1 2 5 8 7 0 3 6 9 4],1086546,[2 9 8 5 0 4 7 1 3 6],1773110,[4 8 9 6 3 7 2 1 0 5],2203669,[6 0 7 2 5 9 4 1 8 3],1586313,[4 3 2 8 1 5 6 7 9 0],1172720,[3 2 0 7 8 6 4 5 1 9],329030,[0 9 2 3 8 7 5 4 1 6]
18,211770,[0 6 3 1 2 8 9 4 5 7],1858404,[5 1 0 8 2 7 6 3 4 9],687774,[1 9 0 5 3 6 4 2 7 8],383464,[1 0 6 2 7 5 8 9 3 4],1228923,[3 4 5 8 9 0 1 6 7 2],1724095,[4 7 8 0 5 3 2 1 9 6],2084906,[5 7 6 4 8 1 0 3 2 9],1286087,[3 5 9 1 2 4 8 7 6 0],1296317,[3 6 1 2 5 8 0 9 7 4],519039,[1 4 8 9 7 2 5 3 6 0]
19,323077,[0 9 1 2 7 4 6 3 8 5],1814064,[4 9 8 7 3 1 0 2 5 6],734866,[2 0 3 8 6 9 4 7 1 5],332119,[0 9 2 8 3 6 4 1 7 5],1114237,[3 0 7 1 6 4 8 2 9 5],1629456,[4 5 3 2 0 9 1 6 7 8],1977866,[5 4 0 6 1 3 2 8 7 9],1291730,[3 6 0 4 1 7 2 8 5 9],1147754,[3 1 5 8 0 7 2 6 4 9],574098,[1 6 2 9 4 0 8 3 5 7]
20,107276,[0 3 7 2 9 8 6 4 1 5],1574050,[4 3 0 5 2 1 7 9 6 8],568532,[1 6 0 8 5 7 9 3 2 4],509958,[1 4 7 2 3 8 5 0 6 9],1218356,[3 4 1 8 0 9 7 5 2 6],1863633,[5 1 2 8 4 3 6 7 9 0],2214058,[6 0 9 3 1 5 4 8 2 7],1452837,[4 0 1 3 8 9 7 5 6 2],1182850,[3 2 4 7 9 0 5 8 1 6],570635,[1 6 2 3 7 4 5 9 8 0]
21,308894,[0 8 6 3 1 2 7 5 4 9],1798171,[4 9 5 7 2 6 8 0 3 1],558074,[1 5 8 7 0 6 2 4 3 9],301600,[0 8 4 7 9 2 5 6 1 3],1076908,[2 9 6 5 7 1 0 8 3 4],1682955,[4 6 7 9 2 5 0 3 8 1],2003127,[5 4 7 3 0 8 6 2 9 1],1583410,[4 3 2 1 5 0 7 9 6 8],1125699,[3 0 9 4 5 8 1 6 7 2],270856,[0 7 6 8 2 1 5 9 3 4]
22,25008,[0 1 6 9 7 4 2 3 5 8],1649735,[4 5 9 2 1 7 8 6 3 0],759308,[2 0 8 6 5 4 9 3 1 7],419214,[1 2 5 3 4 7 6 0 8 9],1077556,[2 9 6 7 4 5 0 8 1 3],1823496,[5 0 2 8 6 9 1 3 4 7],1946833,[5 3 2 1 9 7 0 4 8 6],1432764,[3 9 5 1 8 6 4 0 2 7],1437946,[3 9 6 2 0 8 4 7 1 5],462948,[1 3 5 8 9 7 4 0 2 6]
23,278984,[0 7 9 3 4 8 2 5 1 6],1658677,[4 6 1 0 8 3 7 2 9 5],506638,[1 4 6 5 7 9 8 3 0 2],504226,[1 4 6 0 3 9 5 8 2 7],1087743,[2 9 8 6 5 3 4 1 7 0],1802126,[4 9 6 3 8 5 2 1 0 7],2078145,[5 7 4 2 1 9 3 6 8 0],1424196,[3 9 2 6 0 4 7 1 5 8],1127500,[3 0 9 6 8 7 1 5 2 4],421646,[1 2 5 7 6 8 4 3 0 9]
24,17034,[0 1 5 4 7 9 8 2 3 6],1578496,[4 3 1 2 6 0 8 9 5 7],666632,[1 8 5 2 9 3 4 6 0 7],508513,[1 4 6 9 2 7 0 3 8 5],1156272,[3 1 7 4 9 6 0 2 5 8],1599691,[4 3 7 2 8 6 9 0 5 1],2221732,[6 1 0 8 7 4 2 9 3 5],1488838,[4 0 9 3 7 8 6 5 1 2],1378267,[3 8 1 5 2 6 9 0 7 4],507126,[1 4 6 7 3 0 5 2 8 9]
25,254495,[0 7 3 5 4 8 9 6 2 1],1868175,[5 1 3 7 8 0 6 4 9 2],514788,[1 4 8 0 9 7 5 2 3 6],503942,[1 4 5 9 8 3 6 2 0 7],1345788,[3 7 4 0 1 9 6 2 5 8],1873640,[5 1 4 8 2 7 3 6 0 9],2134296,[5 8 9 3 1 7 0 2 4 6],1424262,[3 9 2 6 0 8 4 1 5 7],1205079,[3 2 9 0 7 4 6 5 8 1],524964,[1 5 0 3 2 8 7 4 6 9]
26,179833,[0 5 4 7 8 6 1 2 9 3],1522369,[4 1 8 0 5 6 2 3 9 7],644997,[1 7 9 8 5 6 4 2 3 0],507746,[1 4 6 8 2 3 0 7 5 9],1198193,[3 2 7 8 0 9 5 6 4 1],1629656,[4 5 3 2 6 7 1 8 0 9],2219495,[6 1 0 4 7 8 9 5 3 2],1532453,[4 2 0 1 6 7 3 9 8 5],1373196,[3 8 0 5 2 4 7 1 6 9],571942,[1 6 2 5 4 0 9 8 3 7]
27,154797,[0 4 8 6 9 7 5 2 3 1],1531277,[4 1 9 7 6 5 0 8 3 2],483391,[1 3 9 8 4 2 5 0 7 6],485682,[1 4 0 5 7 3 9 2 6 8],1121157,[3 0 8 5 1 9 7 4 6 2],1687380,[4 6 8 7 3 2 5 0 1 9],2180918,[6 0 1 8 2 4 7 5 3 9],1422086,[3 9 2 1 0 7 6 5 4 8],1210503,[3 4 0 2 5 7 8 6 9 1],574865,[1 6 3 0 5 7 8 9 4 2]
28,169067,[0 5 2 6 8 9 3 7 4 1],1730288,[4 7 9 2 1 0 5 6 3 8],504736,[1 4 6 2 0 3 8 9 5 7],458478,[1 3 4 9 7 6 2 0 5 8],1327092,[3 6 9 2 1 0 7 4 5 8],1611021,[4 3 9 6 5 0 8 2 7 1],2096085,[5 7 9 8 1 2 6 3 4 0],1329777,[3 6 9 7 8 2 1 4 5 0],1276530,[3 5 7 1 9 6 8 0 2 4],415667,[1 2 4 6 3 9 5 8 7 0]
29,299833,[0 8 4 5 3 7 1 2 9 6],1594785,[4 3 6 2 9 8 1 5 7 0],738719,[2 0 4 6 9 8 7 5 3 1],476012,[1 3 8 5 0 7 9 4 2 6],1130358,[3 1 0 4 9 7 5 2 6 8],1842267,[5 0 7 4 8 2 1 6 9 3],2208766,[6 0 8 2 7 3 9 5 1 4],1354922,[3 7 5 8 9 0 1 4 2 6],1228982,[3 4 5 8 9 2 6 1 0 7],346316,[0 9 5 6 8 7 4 2 1 3]
30,155178,[0 4 8 7 5 1 9 2 3 6],1808695,[4 9 7 8 0 3 2 1 6 5],615743,[1 7 3 2 4 0 9 8 6 5],319236,[0 8 9 3 4 2 6 1 5 7],1168102,[3 1 9 7 4 0 8 6 2 5],1822215,[5 0 2 6 9 1 7 4 8 3],2023265,[5 6 1 4 0 7 8 9 3 2],1562084,[4 2 7 9 5 1 8 3 0 6],1372442,[3 8 0 4 2 1 5 7 6 9],447042,[1 3 0 7 9 4 8 2 5 6]
31,92205,[0 3 4 5 1 6 9 7 8 2],1583425,[4 3 2 1 5 6 0 7 9 8],549674,[1 5 7 0 4 8 2 6 3 9],350109,[0 9 6 4 2 5 8 3 7 1],1203614,[3 2 8 7 6 0 5 4 1 9],1769662,[4 8 9 0 7 1 6 5 2 3],1956193,[5 3 6 0 9 7 1 2 8 4],1358648,[3 7 6 5 0 1 4 8 2 9],1135956,[3 1 2 5 8 4 7 0 6 9],316109,[0 8 7 6 1 3 2 9 5 4]
