100%,Optima 1, Optima [1],Optima 2, Optima [2]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2]
1,1296640,[3 6 1 2 9 4 7 8 0 5],3443691,[9 4 3 1 8 5 0 6 7 2]
2,993214,[2 7 6 0 4 8 9 5 1 3],2916884,[8 0 3 7 2 4 9 5 1 6]
3,2020623,[5 6 0 9 3 4 7 2 8 1],2847799,[7 8 5 0 2 6 3 1 9 4]
4,194473,[0 5 8 6 1 7 2 3 9 4],3282070,[9 0 4 2 5 6 8 7 1 3]
5,3167190,[8 6 4 2 9 1 3 0 5 7],451801,[1 3 2 7 6 0 4 5 9 8]
6,3274063,[9 0 2 6 3 8 4 1 7 5],894090,[2 5 1 4 8 7 9 0 3 6]
7,2917918,[8 0 3 9 5 7 6 4 1 2],2194376,[6 0 4 3 8 5 2 7 1 9]
8,1100556,[3 0 4 5 7 2 8 1 6 9],780869,[2 1 4 9 6 3 0 8 7 5]
9,1160857,[3 1 8 4 2 9 0 5 7 6],653496,[1 8 2 6 5 9 0 3 4 7]
10,1578752,[4 3 1 2 8 5 6 7 0 9],783712,[2 1 5 6 4 9 7 8 0 3]
11,1793308,[4 9 3 7 6 1 0 8 2 5],2504639,[6 9 0 8 4 7 5 3 2 1]
12,2353487,[6 4 2 9 7 1 8 5 3 0],253422,[0 7 3 2 9 8 4 1 5 6]
13,2422824,[6 7 0 8 1 3 2 4 5 9],703101,[1 9 4 5 6 0 8 3 7 2]
14,496495,[1 4 3 6 7 5 2 0 9 8],3436955,[9 4 1 8 5 2 3 7 6 0]
15,3397642,[9 3 2 0 8 6 4 7 1 5],3339950,[9 1 7 5 6 8 3 2 0 4]
16,87358,[0 3 2 5 4 9 8 7 1 6],1723002,[4 7 6 9 0 2 8 1 3 5]
17,3407756,[9 3 5 0 8 7 6 2 1 4],422252,[1 2 5 8 4 7 9 3 0 6]
18,3368417,[9 2 5 3 4 0 7 8 6 1],1396397,[3 8 6 0 4 7 1 9 5 2]
19,329879,[0 9 2 5 1 8 7 6 4 3],1276244,[3 5 7 1 6 2 9 4 0 8]
20,3200341,[8 7 2 9 6 3 4 0 5 1],2575887,[7 0 9 1 5 6 4 3 8 2]
21,2135150,[5 8 9 4 2 7 3 1 0 6],2557677,[7 0 4 5 2 9 8 3 6 1]
22,769504,[2 1 0 7 8 5 6 9 3 4],3070209,[8 4 1 2 3 0 6 7 9 5]
23,825869,[2 3 5 9 0 4 1 8 7 6],2745402,[7 5 0 8 1 3 9 2 4 6]
24,941001,[2 6 3 7 9 5 1 4 8 0],627545,[1 7 5 4 6 3 8 9 2 0]
25,1045288,[2 8 9 3 6 5 4 7 0 1],1661090,[4 6 1 7 0 5 2 8 3 9]
26,3156414,[8 6 2 1 9 4 3 0 5 7],3423376,[9 3 8 1 6 0 5 7 2 4]
27,1842407,[5 0 7 4 9 2 8 6 3 1],259862,[0 7 4 5 9 3 6 2 1 8]
28,228819,[0 6 7 3 8 9 1 4 5 2],2895111,[7 9 6 2 8 5 3 1 4 0]
29,26774,[0 1 7 4 3 2 8 6 5 9],3095008,[8 4 7 0 5 6 3 9 1 2]
30,78238,[0 2 9 5 6 8 7 4 1 3],3418745,[9 3 7 2 1 5 6 8 4 0]
31,3001373,[8 2 4 5 6 3 0 9 7 1],2167179,[5 9 6 8 7 4 0 2 3 1]
32,1097523,[3 0 2 8 5 1 4 7 9 6],1587807,[4 3 5 0 2 8 7 6 9 1]
33,328471,[0 9 2 3 4 5 6 1 8 7],1514753,[4 1 6 5 8 9 3 7 2 0]
34,1184312,[3 2 4 9 8 1 5 6 0 7],3223055,[8 7 9 3 2 5 6 4 1 0]
35,514310,[1 4 8 0 3 9 6 5 2 7],2472954,[6 8 2 5 4 9 7 0 1 3]
36,791345,[2 1 7 0 3 6 8 9 5 4],1334941,[3 7 0 9 1 5 6 2 8 4]
37,1410433,[3 8 9 6 7 4 0 1 5 2],2057672,[5 7 0 2 9 3 4 6 1 8]
38,2433793,[6 7 2 9 1 5 0 3 8 4],2322560,[6 3 5 8 7 4 1 2 0 9]
39,869144,[2 4 6 5 0 9 3 7 1 8],1401565,[3 8 7 0 5 6 4 1 9 2]
40,3121309,[8 5 3 2 0 9 6 1 7 4],2557348,[7 0 4 3 9 2 1 8 5 6]
41,1880082,[5 1 7 0 3 4 9 2 6 8],3172194,[8 6 5 2 7 9 4 0 1 3]
42,2155016,[5 9 3 6 0 4 2 7 1 8],61385,[0 2 6 3 4 7 8 9 5 1]
43,1066974,[2 9 4 6 8 3 1 0 5 7],2153517,[5 9 3 1 8 7 6 2 4 0]
44,692124,[1 9 2 4 3 7 6 0 5 8],1208536,[3 2 9 7 5 0 6 8 1 4]
45,3201436,[8 7 3 1 4 6 0 9 2 5],2027942,[5 6 2 3 7 4 8 1 0 9]
46,2293450,[6 2 9 0 4 1 5 8 3 7],3496276,[9 5 6 4 8 3 0 7 1 2]
47,329613,[0 9 2 4 7 6 8 3 5 1],1102542,[3 0 4 8 2 9 5 1 6 7]
48,1934367,[5 2 9 7 4 6 3 1 8 0],1804604,[4 9 7 0 3 2 8 5 1 6]
49,2300299,[6 3 0 4 9 1 8 2 7 5],2595894,[7 1 4 0 5 6 3 2 8 9]
50,19844,[0 1 5 9 6 3 8 4 2 7],2069305,[5 7 2 6 0 3 1 4 9 8]
51,2276549,[6 2 4 7 9 1 0 8 5 3],403945,[1 2 0 4 3 6 5 7 9 8]
52,2216522,[6 0 9 7 4 1 2 5 3 8],14099,[0 1 4 8 6 5 3 9 7 2]
53,3554112,[9 7 1 2 3 6 0 4 5 8],2633155,[7 2 3 5 0 9 8 1 6 4]
54,102480,[0 3 6 4 5 1 2 7 8 9],2034057,[5 6 3 7 0 4 2 8 9 1]
55,35833,[0 1 9 2 7 6 3 4 8 5],951568,[2 6 5 8 4 7 3 9 0 1]
56,3086681,[8 4 5 3 0 2 7 9 6 1],2425102,[6 7 1 2 3 0 9 8 4 5]
57,1657308,[4 6 0 8 7 9 3 1 2 5],1621479,[4 5 1 8 0 3 7 6 9 2]
58,953190,[2 6 7 0 9 3 4 1 5 8],2251658,[6 1 8 7 2 9 0 4 3 5]
59,2291513,[6 2 8 5 4 9 3 7 1 0],53379,[0 2 4 7 1 9 3 6 8 5]
60,2437473,[6 7 3 5 2 1 4 8 9 0],3105739,[8 5 0 2 6 1 9 3 7 4]
61,192640,[0 5 8 2 6 3 7 9 1 4],1425275,[3 9 2 7 5 1 4 8 6 0]
62,2967925,[8 1 5 9 0 6 4 2 7 3],745168,[2 0 5 8 9 6 4 7 1 3]
63,3487439,[9 5 3 8 4 7 6 2 1 0],672901,[1 8 6 4 5 3 7 0 9 2]
64,567229,[1 6 0 5 8 9 4 2 7 3],2507473,[6 9 1 4 5 7 0 2 8 3]
65,1479519,[4 0 7 5 9 2 6 3 8 1],2263064,[6 2 1 0 3 9 5 7 4 8]
66,1793725,[4 9 3 8 1 6 5 0 7 2],425395,[1 2 6 4 8 9 7 0 5 3]
67,2078626,[5 7 4 2 9 8 1 6 0 3],759582,[2 0 8 6 9 7 3 1 4 5]
68,3011996,[8 2 6 5 1 9 7 3 0 4],2561863,[7 0 5 3 1 9 4 2 8 6]
69,943181,[2 6 4 0 9 8 1 7 5 3],2953372,[8 1 2 9 7 4 0 6 3 5]
70,1854681,[5 0 9 8 7 4 2 3 6 1],3019049,[8 2 9 0 1 6 5 7 4 3]
71,175784,[0 5 3 9 1 8 4 6 2 7],3578638,[9 7 6 0 2 8 5 4 1 3]
72,1787712,[4 9 2 6 8 5 0 1 3 7],1337412,[3 7 1 4 6 0 8 2 5 9]
73,696484,[1 9 3 2 5 0 4 8 6 7],2376733,[6 4 9 5 0 1 7 2 8 3]
74,3306700,[9 1 0 2 6 8 3 7 4 5],928405,[2 6 0 3 5 8 7 1 9 4]
75,7174,[0 1 3 5 9 7 8 6 2 4],2731471,[7 4 6 9 5 1 2 0 8 3]
76,2131377,[5 8 7 9 1 3 2 4 6 0],3244973,[8 9 3 6 7 2 0 5 4 1]
77,849900,[2 4 0 7 5 6 8 1 3 9],989094,[2 7 5 1 8 4 3 0 6 9]
