Optimas, 10210(0 1 4 2 5 3 7 9 6 8), 1689280(4 6 9 1 2 3 7 8 0 5)
H-Axis, Max distance, Ratio,LCDM,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
100,3628800,100,0.00886782637156338,0,0,0,0,28.708390693742214,4486714.5,4046013.94,0.39991968342148254,0.9000406646646647,28.708390693742214,0.972729611625995,28.708390693742217,0.9713028850335674,605454867493.28,0.17677669529663675
99,3592512,99,0.009027745676028952,0,0,0,0,28.706070286665803,4486342.46,4045997.92,0.39988485740177176,0.8999667587587588,28.706070286665803,0.9708345626572504,28.706070286665803,0.9682530817291819,595922561848.8,0.17677669529663675
98,3556224,98,0.008642681443770893,0,0,0,0,28.70724762294559,4486339.06,4045746.86,0.3999011304650786,0.8999641281281281,28.70724762294559,0.9705188626348668,28.707247622945598,0.9689702394018915,592149307968.06,0.17677669529663675
97,3519936,97,0.008712982585672994,0,0,0,0,28.704020316444417,4486315.22,4045773.6,0.3998540541864744,0.8999604124124123,28.704020316444417,0.9705530700585454,28.70402031644442,0.9698306136861135,585605041904.52,0.17677669529663675
96,3483648,96,0.00856566728632194,0,0,0,0,28.703638153971198,4485843.26,4045736.32,0.39984466103516936,0.8998654014014013,28.703638153971198,0.9699995356866019,28.7036381539712,0.9683703704400236,578943949361.72,0.17677669529663675
95,3447360,95,0.008615700818012762,0,0,0,0,28.702462813295416,4485710.38,4045779.84,0.3998253742873547,0.8998400400400398,28.702462813295416,0.9698245270712799,28.70246281329542,0.9670024975868973,575103692262.2,0.17677669529663675
94,3411072,94,0.008560437919831625,0,0,0,0,28.700913624749347,4485265.14,4045668,0.39980066054774577,0.8997506346346346,28.700913624749347,0.9684002744657358,28.70091362474934,0.9671649683206387,568928246565.08,0.17677669529663675
93,3374784,93,0.008509379814890257,0,0,0,0,28.699179129995443,4484744.86,4045593.32,0.39977217743893917,0.8996470430430429,28.699179129995443,0.9658965018547808,28.699179129995446,0.96405650760232,563774765788.08,0.17677669529663675
92,3338496,92,0.008302252431264014,0,0,0,0,28.696229999860005,4484402.1,4045520.3,0.39973214534733487,0.8995771131131132,28.696229999860005,0.9653515536383135,28.69622999986,0.9636366889812468,558834129589.16,0.17677669529663675
91,3302208,91,0.00834079617224307,0,0,0,0,28.693699385687992,4483544.36,4045620.62,0.3996938567889824,0.8994059179179178,28.693699385687992,0.9610962898797206,28.693699385687992,0.9594826484705227,552378990225.62,0.17677669529663675
90,3265920,90,0.008312389513452865,0,0,0,0,28.68814647936623,4482992.08,4045630.9,0.39961706042035905,0.899294870870871,28.68814647936623,0.9632868530671475,28.688146479366242,0.959693562217577,544895492825.08,0.17677669529663675
89,3229632,89,0.008201950593100098,0,0,0,0,28.685940058714458,4482577.62,4045276.9,0.39957860413407464,0.8992118598598599,28.685940058714458,0.9626952666816874,28.685940058714458,0.9601941037350027,539431124156.16,0.17677669529663675
88,3193344,88,0.008220988232291622,0,0,0,0,28.687067437068354,4482070.16,4045452.68,0.3995929521101696,0.8991083563563562,28.687067437068354,0.9606622972336243,28.687067437068357,0.9599231894026119,536224052835.14,0.17677669529663675
87,3157056,87,0.008119802482691462,0,0,0,0,28.679296927541603,4481569.64,4045309.64,0.3994765252282195,0.899009229229229,28.679296927541603,0.9574963609293096,28.6792969275416,0.9561896186901254,529363041513.12,0.17677669529663675
86,3120768,86,0.00782915916171687,0,0,0,0,28.680645149937142,4481049.16,4045215.2,0.3994907003670253,0.8989040400400401,28.680645149937142,0.9531630733895501,28.680645149937142,0.954196892519606,525136632128.16,0.17677669529663675
85,3084480,85,0.007763607760255952,0,0,0,0,28.672227488059413,4480295.14,4045081,0.39936725369339393,0.8987526126126126,28.672227488059413,0.9545784544931682,28.672227488059406,0.9549891098500488,515601116085,0.17677669529663675
84,3048192,84,0.007796970312191052,0,0,0,0,28.669647894797645,4479861.2,4045260.76,0.3993293533221828,0.8986662582582582,28.669647894797645,0.9519289563025558,28.669647894797645,0.9516426085570139,511844126759.82,0.17677669529663675
83,3011904,83,0.007745561603655264,0,0,0,0,28.662636904378836,4479176.14,4045064.6,0.39922938585951284,0.8985287767767766,28.662636904378836,0.9508486902234875,28.662636904378836,0.9518371263277295,507561453422.96,0.17677669529663675
82,2975616,82,0.007399681469440593,0,0,0,0,28.65696642752757,4478337.82,4045068.66,0.39914733148403825,0.8983600200200201,28.65696642752757,0.9520528389390415,28.65696642752758,0.9530215085026735,502150230223.24,0.17668478466069615
81,2939328,81,0.007563086799458794,0,0,0,0,28.652733467594874,4477857.9,4045219.1,0.39908393459121205,0.8982623863863863,28.652733467594874,0.9531136550465296,28.652733467594874,0.9538518446069688,497387682521.94,0.17218116349960755
80,2903040,80,0.0072556541454640855,0,0,0,0,28.649297831658313,4476843.24,4044906.66,0.3990289223473652,0.8980580900900901,28.649297831658313,0.9513471890166244,28.649297831658323,0.9532463054394907,493365104554.22,0.17218116349960755
79,2866752,79,0.0070828631818864295,0,0,0,0,28.643643295306084,4476378.14,4044808.96,0.3989408390447484,0.8979653253253252,28.643643295306084,0.9502754133997725,28.643643295306084,0.9505307720592319,486463591360.48,0.17218116349960755
78,2830464,78,0.007100476200365909,0,0,0,0,28.63598016123361,4476309.18,4044728.44,0.398837067737421,0.8979516396396395,28.63598016123361,0.9494261942790538,28.63598016123361,0.950306091252333,483782556677.26,0.17218116349960755
77,2794176,77,0.007113100567907794,0,0,0,0,28.62921435830968,4475953.76,4044801.88,0.3987371476534191,0.8978813733733735,28.62921435830968,0.9489509690192982,28.62921435830968,0.9504609996262587,477850924575.88,0.17218116349960755
