10%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10],Optima 11, Optima [11],Optima 12, Optima [12],Optima 13, Optima [13],Optima 14, Optima [14],Optima 15, Optima [15],Optima 16, Optima [16],Optima 17, Optima [17],Optima 18, Optima [18],Optima 19, Optima [19],Optima 20, Optima [20]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6],1699998,[4 7 1 3 0 8 5 2 6 9],2117037,[5 8 4 0 2 9 7 3 6 1],1406637,[3 8 9 0 5 7 6 2 4 1],1204758,[3 2 9 0 4 7 5 1 6 8],258085,[0 7 4 2 5 8 6 1 9 3],305111,[0 8 5 4 7 3 9 6 2 1],1178840,[3 2 1 9 4 7 5 6 0 8],2562143,[7 0 5 3 6 1 9 8 4 2],1329233,[3 6 9 7 0 8 4 5 2 1],3119554,[8 5 2 9 6 1 3 7 0 4],3077106,[8 4 2 5 7 3 9 0 1 6],422700,[1 2 5 9 0 6 7 3 4 8],372839,[1 0 3 9 7 8 6 5 4 2],813907,[2 3 1 6 5 7 9 0 8 4],1689280,[4 6 9 1 2 3 7 8 0 5]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10],Optima 11, Optima [11],Optima 12, Optima [12],Optima 13, Optima [13],Optima 14, Optima [14],Optima 15, Optima [15],Optima 16, Optima [16],Optima 17, Optima [17],Optima 18, Optima [18],Optima 19, Optima [19],Optima 20, Optima [20]
1,271462,[0 7 6 9 1 2 8 5 3 4],1587192,[4 3 2 9 5 7 0 1 6 8],488630,[1 4 0 9 6 8 5 3 2 7],515835,[1 4 8 3 5 7 0 6 9 2],1055292,[2 9 1 4 7 0 6 3 5 8],1643666,[4 5 8 0 9 2 1 6 3 7],2055452,[5 6 9 7 4 3 8 1 0 2],1608116,[4 3 9 0 5 8 7 2 1 6],1197995,[3 2 7 6 9 1 4 8 5 0],340669,[0 9 4 6 1 8 5 2 7 3],373760,[1 0 4 3 2 8 6 7 5 9],1401454,[3 8 7 0 4 6 9 5 1 2],2564418,[7 0 5 8 6 1 9 2 3 4],1401058,[3 8 6 9 7 2 1 5 0 4],2869818,[7 9 1 3 8 0 6 2 4 5],3061433,[8 3 9 2 7 6 4 5 1 0],721077,[1 9 8 0 4 7 6 3 5 2],353625,[0 9 7 2 1 8 4 5 6 3],1057778,[2 9 1 8 0 7 3 5 4 6],1654603,[4 6 0 3 1 5 9 2 8 7]
3,92823,[0 3 4 5 9 6 7 2 8 1],1800705,[4 9 6 1 8 7 2 3 5 0],604520,[1 6 9 8 4 5 2 3 0 7],341414,[0 9 4 7 2 1 6 5 3 8],1014542,[2 8 1 4 0 6 7 5 3 9],1531320,[4 1 9 7 8 0 2 3 5 6],2174806,[5 9 8 3 4 1 7 6 0 2],1506415,[4 1 3 9 2 6 5 0 8 7],1296046,[3 6 1 2 0 5 9 8 4 7],287015,[0 8 1 9 5 6 7 4 3 2],286855,[0 8 1 9 4 5 3 2 7 6],1128603,[3 0 9 8 5 1 2 6 7 4],2585913,[7 1 2 0 6 4 5 8 9 3],1273322,[3 5 6 7 4 0 1 8 2 9],3070632,[8 4 1 2 7 6 0 3 5 9],3120118,[8 5 3 0 4 9 7 6 1 2],647866,[1 8 0 5 7 9 3 6 2 4],527699,[1 5 0 7 9 4 3 8 6 2],940125,[2 6 3 5 8 1 9 4 7 0],1697250,[4 7 0 8 2 6 9 1 3 5]
5,311335,[0 8 6 7 3 4 2 1 9 5],1862982,[5 1 2 7 4 9 3 0 6 8],456231,[1 3 4 6 7 9 5 2 8 0],412300,[1 2 3 8 6 9 0 7 4 5],1121567,[3 0 8 5 7 2 9 6 4 1],1868965,[5 1 3 8 7 6 4 0 9 2],2145971,[5 9 1 7 4 0 3 8 6 2],1355125,[3 7 5 9 0 6 4 1 8 2],1295499,[3 6 1 0 4 9 2 7 8 5],581225,[1 6 4 3 2 7 8 9 5 0],276152,[0 7 8 6 4 2 3 5 1 9],1333612,[3 7 0 6 2 5 1 9 4 8],2664994,[7 3 0 8 4 2 5 9 1 6],1278836,[3 5 7 8 0 9 6 2 1 4],3156754,[8 6 2 3 4 1 5 9 0 7],2813341,[7 6 8 1 3 4 5 0 9 2],549276,[1 5 6 9 8 2 4 0 3 7],647340,[1 8 0 5 2 6 7 3 4 9],968723,[2 7 0 3 5 8 4 9 6 1],1715904,[4 7 5 3 1 2 0 6 8 9]
7,168677,[0 5 2 6 3 8 1 9 7 4],1597799,[4 3 7 0 1 9 8 6 5 2],516539,[1 4 8 5 3 6 2 9 7 0],306771,[0 8 5 9 1 4 2 6 7 3],1035481,[2 8 6 4 1 0 3 5 9 7],1701494,[4 7 1 6 2 0 8 5 3 9],2011645,[5 4 9 0 8 6 3 1 7 2],1365258,[3 7 8 9 1 0 6 2 4 5],1105948,[3 0 5 6 1 4 2 9 7 8],253468,[0 7 3 4 1 5 2 9 6 8],286947,[0 8 1 9 5 3 2 6 7 4],1247278,[3 4 9 5 1 8 7 6 0 2],2382727,[6 5 0 8 3 1 4 2 9 7],1443987,[3 9 7 4 5 1 0 6 8 2],3111240,[8 5 1 3 2 0 4 6 7 9],2943278,[8 0 9 7 6 2 4 3 1 5],502405,[1 4 5 7 8 6 3 0 9 2],579073,[1 6 3 9 2 7 0 4 8 5],910619,[2 5 6 7 8 3 1 9 4 0],1798786,[4 9 5 8 1 7 2 6 0 3]
9,78901,[0 2 9 6 5 4 7 1 8 3],1584727,[4 3 2 6 0 1 7 5 9 8],751046,[2 0 7 1 3 8 6 5 4 9],344378,[0 9 5 3 2 8 1 6 4 7],1337116,[3 7 1 4 0 8 2 9 5 6],1795023,[4 9 5 1 0 6 7 3 8 2],2098539,[5 8 0 3 6 9 1 4 7 2],1294386,[3 6 0 8 7 4 9 1 2 5],1325128,[3 6 8 9 2 5 4 7 0 1],339036,[0 9 4 2 8 3 6 1 5 7],567019,[1 6 0 5 7 2 9 3 8 4],1315206,[3 6 5 9 7 0 2 1 4 8],2480954,[6 8 4 1 7 5 0 3 2 9],1298858,[3 6 1 7 9 8 0 4 2 5],2874606,[7 9 2 3 5 0 4 1 6 8],2886037,[7 9 4 5 2 1 6 0 8 3],396430,[1 0 8 6 5 4 9 7 2 3],693809,[1 9 2 6 5 7 4 8 3 0],948739,[2 6 5 1 8 0 9 3 7 4],1595610,[4 3 6 7 0 8 9 1 2 5]
11,171381,[0 5 3 1 2 4 9 7 8 6],1698664,[4 7 1 0 3 6 8 9 2 5],770138,[2 1 0 8 6 9 3 5 4 7],506389,[1 4 6 5 2 9 7 0 8 3],1296605,[3 6 1 2 9 0 4 8 7 5],1876636,[5 1 6 3 4 8 0 9 2 7],2232606,[6 1 3 9 8 0 4 2 5 7],1497553,[4 1 2 0 9 7 3 5 8 6],1147042,[3 1 5 7 0 8 4 9 2 6],587177,[1 6 5 4 7 0 8 9 3 2],575952,[1 6 3 2 9 7 0 4 5 8],1413572,[3 9 0 5 2 7 8 4 1 6],2429957,[6 7 2 0 9 5 1 8 4 3],1395808,[3 8 5 9 4 6 2 7 0 1],3099757,[8 4 9 0 2 3 6 1 7 5],2922030,[8 0 4 7 3 2 5 1 6 9],617703,[1 7 3 5 9 4 6 2 8 0],342418,[0 9 4 8 5 3 2 7 1 6],865225,[2 4 5 7 8 1 0 3 9 6],1628780,[4 5 3 1 2 0 9 7 6 8]
13,266642,[0 7 5 9 3 1 2 6 4 8],1654097,[4 6 0 2 5 1 8 9 7 3],599650,[1 6 8 9 7 0 3 5 2 4],359492,[0 9 8 3 2 6 7 4 1 5],1088204,[2 9 8 7 3 1 6 4 0 5],1635877,[4 5 6 7 0 2 8 1 9 3],2144946,[5 9 1 6 0 4 8 2 3 7],1391761,[3 8 5 1 0 2 4 6 9 7],1139599,[3 1 4 0 8 7 5 2 9 6],268468,[0 7 6 2 9 3 1 8 4 5],512426,[1 4 7 6 8 2 0 5 3 9],1075551,[2 9 6 3 7 8 4 1 5 0],2658726,[7 2 9 4 6 0 3 1 5 8],1210894,[3 4 0 2 8 7 9 6 1 5],2834121,[7 8 2 3 1 6 4 5 9 0],2862773,[7 9 0 1 2 5 3 8 6 4],555850,[1 5 8 3 0 2 6 9 4 7],502751,[1 4 5 8 2 6 9 7 3 0],887866,[2 5 0 3 1 9 6 8 4 7],1632976,[4 5 6 0 1 2 8 9 3 7]
