Optimas, 10210(0 1 4 2 5 3 7 9 6 8), 1689280(4 6 9 1 2 3 7 8 0 5), 486002(1 4 0 6 2 3 5 8 7 9), 324738(0 9 1 5 2 3 8 4 6 7), 1120434(3 0 8 4 1 9 7 2 5 6), 1699998(4 7 1 3 0 8 5 2 6 9), 2117037(5 8 4 0 2 9 7 3 6 1), 1406637(3 8 9 0 5 7 6 2 4 1), 1204758(3 2 9 0 4 7 5 1 6 8), 258085(0 7 4 2 5 8 6 1 9 3), 305111(0 8 5 4 7 3 9 6 2 1), 1178840(3 2 1 9 4 7 5 6 0 8), 2562143(7 0 5 3 6 1 9 8 4 2), 1329233(3 6 9 7 0 8 4 5 2 1), 3119554(8 5 2 9 6 1 3 7 0 4), 3077106(8 4 2 5 7 3 9 0 1 6), 422700(1 2 5 9 0 6 7 3 4 8), 372839(1 0 3 9 7 8 6 5 4 2), 813907(2 3 1 6 5 7 9 0 8 4), 1689280(4 6 9 1 2 3 7 8 0 5)
H-Axis, Max distance, Ratio,LCDM,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
100,3628800,100,854,180,1,0,0,376,50803,464745,37343,41100,197,368,369,394,74083,219
99,3592512,99,84,0,0,0,0,174,48019,443891,34006,39301,171,221,186,291,70302,139
98,3556224,98,95,0,0,0,0,228,47204,443453,33929,38177,166,226,178,284,69507,168
97,3519936,97,93,0,0,0,0,234,48543,445609,33838,38480,163,245,179,253,69583,143
96,3483648,96,73,0,0,0,0,202,48108,445352,35508,39756,166,205,190,263,71073,143
95,3447360,95,65,0,0,0,0,169,46894,443221,34809,38556,164,211,177,252,68409,141
94,3411072,94,71,0,0,0,0,175,48075,442113,34483,39164,171,207,181,249,69376,142
93,3374784,93,82,0,0,0,0,170,47466,443678,35127,38606,169,227,182,245,69332,138
92,3338496,92,87,0,0,0,0,172,48533,444221,33887,38296,194,214,177,249,70091,139
91,3302208,91,110,0,0,0,0,182,47273,441445,34041,37894,172,202,177,247,68895,140
90,3265920,90,71,0,0,0,0,169,47294,441737,34286,39062,162,235,181,250,69741,141
89,3229632,89,80,0,0,0,0,170,46698,443606,34458,38576,164,202,224,250,69404,137
88,3193344,88,74,0,0,0,0,178,49418,446174,34322,39787,169,205,178,277,70976,170
87,3157056,87,73,0,0,0,0,174,48851,445892,34117,39755,168,247,184,247,69784,151
86,3120768,86,93,0,0,0,0,176,48444,450440,35180,39477,175,227,191,255,69614,150
85,3084480,85,75,0,0,0,0,175,48929,447413,34532,39619,169,210,175,249,69975,142
84,3048192,84,79,0,0,0,0,178,49063,451367,34955,39991,237,207,180,251,71306,143
83,3011904,83,78,0,0,0,0,172,48471,451396,35768,40021,174,230,189,243,70509,142
82,2975616,82,74,0,0,0,0,188,48493,443686,35122,39624,179,203,177,264,69705,140
81,2939328,81,79,0,0,0,0,180,47262,442932,33684,38962,172,221,179,274,69404,156
80,2903040,80,75,0,0,0,0,209,47019,439860,33864,37952,168,209,211,264,67654,150
79,2866752,79,74,0,0,0,0,172,46546,440144,33621,38150,173,213,188,262,67999,139
78,2830464,78,77,0,0,0,0,183,50579,449430,35146,41302,167,202,192,243,72025,141
77,2794176,77,77,0,0,0,0,187,49255,450107,35352,39969,173,228,195,251,71282,137
76,2757888,76,97,0,0,0,0,173,47326,444014,34090,37908,167,298,227,265,68612,148
75,2721600,75,78,0,0,0,0,175,47269,441613,34508,38288,172,209,178,257,68733,141
74,2685312,74,73,0,0,0,0,171,48503,442314,34059,38942,188,238,175,241,69247,137
73,2649024,73,74,0,0,0,0,195,48252,443900,33630,38650,173,249,214,250,69121,139
72,2612736,72,115,0,0,0,0,205,48707,446573,34813,39201,170,208,177,243,70149,145
71,2576448,71,74,0,0,0,0,174,47979,445164,33825,39033,169,210,188,245,69125,138
70,2540160,70,117,0,0,0,0,176,47906,446330,34162,39372,176,216,184,244,69301,138
69,2503872,69,78,0,0,0,0,192,47355,446263,34792,39401,175,199,187,248,69640,141
68,2467584,68,81,0,0,0,0,297,48829,453611,36439,39671,182,206,184,258,70587,139
67,2431296,67,74,0,0,0,0,178,47615,446297,35078,38122,167,205,179,247,69793,162
66,2395008,66,78,0,0,0,0,225,48732,452921,35510,39770,214,222,184,262,70754,149
65,2358720,65,84,0,0,0,0,176,50216,447794,35582,40170,184,231,188,259,71539,214
64,2322432,64,81,0,0,0,0,209,48285,444701,34777,38793,180,213,185,257,68966,143
63,2286144,63,74,0,0,0,0,182,48610,442389,33979,38894,189,210,190,255,69981,146
62,2249856,62,80,0,0,0,0,176,49607,445066,34161,40344,179,205,218,249,69802,141
61,2213568,61,179,0,0,0,0,173,47289,442946,34377,38414,166,204,188,249,68868,151
60,2177280,60,73,0,0,0,0,172,47979,444387,34250,39095,202,228,179,250,68583,140
59,2140992,59,78,0,0,0,0,207,48953,447067,36013,40526,177,207,234,263,71579,146
58,2104704,58,85,0,0,0,0,185,48319,441701,34667,39074,198,217,214,257,69246,144
57,2068416,57,100,0,0,0,0,171,47650,442316,33511,38947,171,199,176,245,68834,137
56,2032128,56,112,0,0,0,0,173,48333,442416,33500,38758,214,281,179,258,69257,144
55,1995840,55,112,0,0,0,0,177,47727,443988,33772,39228,203,211,184,261,69586,148
54,1959552,54,75,0,0,0,0,170,48499,446413,34186,39932,181,202,186,260,69840,148
53,1923264,53,94,0,0,0,0,173,47987,444980,34970,38859,166,207,191,245,68607,140
52,1886976,52,81,0,0,0,0,170,47837,442968,34286,39048,178,243,207,251,69101,139
51,1850688,51,110,0,0,0,0,176,48780,445671,34089,39755,186,200,177,275,69544,139
50,1814400,50,78,0,0,0,0,194,47530,442888,34234,38844,169,204,180,249,68798,137
49,1778112,49,107,0,0,0,0,180,47166,443661,34340,37916,176,207,180,247,68292,139
48,1741824,48,67,0,0,0,0,171,48407,444865,34476,39502,175,218,181,267,69105,164
47,1705536,47,71,0,0,0,0,199,51364,455629,35296,41749,192,218,182,256,71351,175
46,1669248,46,76,0,0,0,0,174,49947,456689,38326,41187,191,251,210,260,72369,137
45,1632960,45,98,0,0,0,0,179,47490,443909,34161,38790,182,232,194,302,68193,145
44,1596672,44,79,0,0,0,0,176,47324,440093,34374,38049,187,199,180,243,68436,148
43,1560384,43,91,0,0,0,0,177,47966,443473,34072,39478,223,210,181,245,68083,144
42,1524096,42,54,0,0,0,0,165,46943,442251,32861,37780,161,286,178,245,67409,139
41,1487808,41,56,0,0,0,0,164,48363,443532,33396,39465,166,208,184,243,68838,138
40,1451520,40,79,0,0,0,0,210,46745,439442,34383,38032,162,207,178,252,68280,143
39,1415232,39,51,0,0,0,0,175,47417,442409,33884,38560,162,226,186,248,68412,144
38,1378944,38,50,0,0,0,0,163,46836,443035,33608,37509,161,225,176,240,68073,143
37,1342656,37,119,0,0,0,0,172,46959,445139,34253,38582,173,222,197,273,68482,148
36,1306368,36,51,0,0,0,0,164,48854,443792,33825,39500,160,208,183,280,68746,143
35,1270080,35,51,0,0,0,0,175,47044,444755,34219,37921,168,243,227,279,67583,143
34,1233792,34,52,0,0,0,0,168,49408,446048,34503,40265,166,209,180,257,69178,143
33,1197504,33,52,0,0,0,0,166,47704,441672,34817,38996,170,200,176,282,68189,138
32,1161216,32,261,0,0,0,0,188,48403,443317,34434,40330,174,208,176,245,68421,202
31,1124928,31,60,0,0,0,0,169,47662,443589,33722,39376,168,236,178,250,68163,140
30,1088640,30,54,0,0,0,0,171,49179,442827,33437,40989,199,216,185,255,69065,142
29,1052352,29,61,0,0,0,0,170,46928,441959,33352,39059,163,208,180,272,67778,138
28,1016064,28,90,0,0,0,0,175,47440,443001,34786,39268,173,210,195,253,68510,148
27,979776,27,60,0,0,0,0,170,47676,441764,33540,38578,163,213,178,241,68002,136
26,943488,26,68,0,0,0,0,202,48187,442296,33804,39032,172,200,177,245,67826,170
25,907200,25,67,0,0,0,0,166,47341,444010,33750,38325,169,244,175,249,67613,152
24,870912,24,64,0,0,0,0,174,47539,441980,34695,38178,167,212,180,255,67285,143
23,834624,23,80,0,0,0,0,169,47301,443582,34658,38504,166,214,210,252,67802,141
22,798336,22,61,0,0,0,0,213,48119,444833,33923,39236,194,210,181,253,68473,155
21,762048,21,66,0,0,0,0,167,48111,447632,33702,38477,164,203,178,243,68529,138
20,725760,20,65,0,0,0,0,169,46979,442274,33788,38406,164,209,183,241,67978,141
19,689472,19,67,0,0,0,0,170,47612,442549,34505,38869,168,201,177,241,68058,140
18,653184,18,66,0,0,0,0,168,46775,442385,33269,38173,163,200,182,254,67171,180
17,616896,17,62,0,0,0,0,171,47785,443493,34275,39409,161,202,182,243,68183,142
16,580608,16,71,0,0,0,0,207,48481,445303,34455,38859,180,216,215,253,68035,145
15,544320,15,69,0,0,0,0,171,48666,445940,34125,39791,168,237,181,241,68539,140
14,508032,14,71,0,0,0,0,236,47328,445546,34189,37912,223,223,183,247,67348,148
13,471744,13,95,0,0,0,0,235,49852,443721,33708,40622,164,201,180,239,68156,152
12,435456,12,66,0,0,0,0,176,47604,442632,33885,38836,173,228,182,258,67468,147
11,399168,11,69,0,0,0,0,175,46139,443349,33860,37632,169,202,182,249,66795,150
10,362880,10,67,0,0,0,0,198,47625,443379,34163,39452,179,212,180,309,67793,142
