10%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5]
1,47027,[0 2 3 5 4 9 6 8 7 1],1676583,[4 6 5 7 3 2 8 1 9 0],763758,[2 0 9 5 7 6 3 1 4 8],604865,[1 7 0 2 3 6 8 9 5 4],1310332,[3 6 4 9 8 2 0 7 1 5]
2,125634,[0 4 1 9 5 8 7 2 3 6],1825390,[5 0 3 2 4 7 9 8 1 6],583406,[1 6 4 8 2 7 5 3 0 9],297949,[0 8 4 1 7 9 5 2 6 3],1077721,[2 9 6 7 8 0 1 3 5 4]
3,142100,[0 4 6 2 5 1 9 7 3 8],1625411,[4 5 2 6 7 0 3 9 8 1],714028,[1 9 6 5 7 2 0 8 3 4],439405,[1 2 9 3 4 7 6 0 8 5],1080677,[2 9 7 3 8 5 0 6 4 1]
4,148691,[0 4 7 5 6 1 3 9 8 2],1857017,[5 1 0 6 3 2 8 9 7 4],578424,[1 6 3 8 4 2 0 5 7 9],308067,[0 8 6 1 9 3 2 5 7 4],1024195,[2 8 4 1 5 9 7 0 6 3]
5,334883,[0 9 3 5 1 7 4 8 6 2],1808982,[4 9 7 8 2 6 1 0 3 5],774996,[2 1 3 8 5 4 7 0 6 9],476707,[1 3 8 6 0 5 9 2 7 4],1023733,[2 8 4 0 9 1 6 3 7 5]
6,39234,[0 1 9 7 4 8 6 2 3 5],1840408,[5 0 7 2 1 8 6 9 3 4],663481,[1 8 4 6 5 0 2 3 9 7],494631,[1 4 3 0 9 8 6 5 7 2],1283181,[3 5 8 6 1 0 9 4 7 2]
7,67796,[0 2 7 5 1 9 8 4 3 6],1632379,[4 5 3 9 1 0 8 2 7 6],672620,[1 8 6 4 2 0 9 5 3 7],619960,[1 7 4 0 2 5 8 9 3 6],1363449,[3 7 8 4 6 0 2 5 9 1]
8,22536,[0 1 6 5 3 9 2 4 7 8],1702960,[4 7 1 9 2 3 6 8 0 5],791553,[2 1 7 0 5 4 6 8 9 3],359401,[0 9 8 3 2 1 4 5 7 6],1357229,[3 7 6 2 0 4 1 9 8 5]
9,353768,[0 9 7 2 4 1 5 6 3 8],1882080,[5 1 7 4 0 2 3 6 8 9],678957,[1 8 7 5 9 6 4 2 3 0],589724,[1 6 7 0 2 4 9 5 3 8],1350310,[3 7 4 9 2 5 8 6 0 1]
10,370329,[1 0 3 6 5 2 7 8 9 4],1560744,[4 2 7 6 8 1 0 3 5 9],544116,[1 5 4 9 7 2 6 0 3 8],453281,[1 3 2 9 6 4 7 8 5 0],1113570,[3 0 6 9 5 7 8 1 2 4]
11,215677,[0 6 3 8 5 2 7 1 9 4],1735714,[4 8 0 3 7 2 5 9 1 6],463238,[1 3 5 9 4 2 7 6 0 8],391604,[1 0 7 6 9 3 8 4 2 5],1246645,[3 4 9 2 5 7 6 0 8 1]
12,167607,[0 5 2 3 8 7 6 4 9 1],1664805,[4 6 2 3 1 5 9 7 8 0],590244,[1 6 7 0 8 5 4 2 3 9],314447,[0 8 7 3 6 2 9 5 4 1],1129693,[3 1 0 4 2 5 8 6 9 7]
13,60836,[0 2 6 1 5 9 8 4 3 7],1799974,[4 9 6 0 8 5 7 3 1 2],627931,[1 7 5 6 0 8 9 2 4 3],555526,[1 5 8 2 6 3 9 7 0 4],1147000,[3 1 5 7 0 4 8 9 2 6]
14,114425,[0 3 8 6 9 4 5 7 2 1],1793003,[4 9 3 7 1 6 2 8 5 0],589442,[1 6 5 9 7 0 2 4 3 8],444103,[1 3 0 2 8 9 5 4 7 6],1234658,[3 4 6 9 7 8 0 2 1 5]
15,312365,[0 8 6 9 7 1 2 5 4 3],1592846,[4 3 6 0 2 8 7 5 1 9],537668,[1 5 3 7 8 4 9 2 0 6],550501,[1 5 7 2 6 4 8 0 9 3],1370482,[3 7 9 8 2 5 1 6 0 4]
16,67318,[0 2 7 4 5 9 8 6 1 3],1874062,[5 1 4 8 9 0 7 6 2 3],519494,[1 4 9 0 6 2 7 5 3 8],428719,[1 2 7 0 5 8 4 3 9 6],1364960,[3 7 8 6 5 4 1 2 0 9]
17,249812,[0 7 2 5 9 6 8 3 1 4],1619882,[4 5 1 3 9 0 2 7 6 8],600485,[1 6 9 2 0 3 4 8 7 5],609684,[1 7 0 9 6 5 4 2 3 8],1098475,[3 0 2 9 6 8 7 1 5 4]
18,277147,[0 7 8 9 6 3 5 1 4 2],1828471,[5 0 3 8 6 2 4 1 9 7],488189,[1 4 0 9 2 5 3 8 7 6],409827,[1 2 3 5 4 6 0 8 9 7],1217298,[3 4 1 6 8 0 9 2 5 7]
19,359857,[0 9 8 3 6 7 1 2 5 4],1806573,[4 9 7 3 0 6 8 2 5 1],576364,[1 6 3 4 7 0 2 9 5 8],382932,[1 0 5 9 8 2 6 3 4 7],1223368,[3 4 2 8 0 7 6 9 1 5]
20,250991,[0 7 2 8 5 4 9 6 3 1],1575718,[4 3 0 7 5 9 8 6 1 2],709039,[1 9 5 6 7 4 2 0 8 3],543121,[1 5 4 8 3 0 2 6 9 7],1075318,[2 9 6 3 4 8 7 5 0 1]
21,299190,[0 8 4 3 6 2 5 1 7 9],1522218,[4 1 8 0 3 2 9 5 6 7],718179,[1 9 7 4 3 8 0 5 6 2],641648,[1 7 9 3 2 0 5 6 4 8],1347018,[3 7 4 1 9 0 8 2 5 6]
22,278461,[0 7 9 2 6 4 5 1 8 3],1832875,[5 0 4 7 6 9 8 1 3 2],618218,[1 7 3 6 5 9 0 4 2 8],621115,[1 7 4 2 6 9 8 0 5 3],1355290,[3 7 5 9 2 0 4 8 1 6]
23,54126,[0 2 4 8 3 1 6 5 7 9],1645922,[4 5 8 6 0 1 2 7 3 9],471209,[1 3 7 5 4 8 6 9 2 0],563695,[1 5 9 7 8 3 2 0 6 4],1141285,[3 1 4 6 0 8 7 2 9 5]
24,232592,[0 6 8 2 1 4 5 7 3 9],1742418,[4 8 1 7 0 2 9 3 5 6],762462,[2 0 9 3 8 7 4 1 5 6],505986,[1 4 6 3 8 5 9 0 2 7],1232731,[3 4 6 7 0 8 9 1 5 2]
25,296676,[0 8 3 9 1 4 6 2 5 7],1882927,[5 1 7 6 2 0 4 3 9 8],696994,[1 9 3 4 0 5 6 8 2 7],396734,[1 0 8 7 2 3 6 5 4 9],1056091,[2 9 1 5 7 6 8 0 4 3]
26,196333,[0 5 8 9 6 1 4 2 7 3],1596780,[4 3 6 8 7 2 5 0 1 9],667684,[1 8 5 4 3 0 2 9 6 7],471297,[1 3 7 5 6 4 2 8 9 0],1161565,[3 1 8 5 2 7 6 0 9 4]
27,34647,[0 1 8 9 2 6 5 4 7 3],1881173,[5 1 7 2 8 4 0 9 6 3],681112,[1 8 9 0 7 6 4 5 2 3],437850,[1 2 8 9 0 6 7 3 4 5],1328822,[3 6 9 5 4 2 7 1 0 8]
28,239601,[0 6 9 4 7 5 2 3 8 1],1576841,[4 3 0 9 1 5 7 8 6 2],557903,[1 5 8 6 9 0 7 4 3 2],296594,[0 8 3 7 9 5 1 4 2 6],1133367,[3 1 0 9 2 7 6 5 8 4]
29,209778,[0 6 2 7 4 1 9 3 5 8],1641840,[4 5 7 8 2 0 1 3 6 9],762324,[2 0 9 3 7 6 5 1 4 8],486416,[1 4 0 6 7 5 3 8 2 9],1060906,[2 9 3 5 4 8 1 7 0 6]
30,32860,[0 1 8 5 6 9 2 7 3 4],1556201,[4 2 6 8 3 1 7 9 5 0],616926,[1 7 3 4 9 0 5 2 6 8],338936,[0 9 4 2 7 5 3 6 1 8],1102006,[3 0 4 7 6 2 9 8 1 5]
31,221404,[0 6 4 9 5 1 2 8 3 7],1576264,[4 3 0 8 2 6 7 9 1 5],568616,[1 6 0 8 7 4 3 5 2 9],413441,[1 2 4 0 5 6 8 9 7 3],1144983,[3 1 5 2 4 7 8 6 9 0]
32,238197,[0 6 9 2 7 8 5 3 4 1],1591571,[4 3 5 8 6 0 2 9 7 1],674463,[1 8 6 7 5 3 4 2 9 0],338821,[0 9 4 2 6 5 7 1 8 3],1077011,[2 9 6 5 8 0 3 7 4 1]
33,135930,[0 4 3 9 7 6 8 1 2 5],1665485,[4 6 2 5 1 0 3 9 8 7],447999,[1 3 0 9 4 5 7 6 8 2],400780,[1 0 9 5 6 8 2 7 3 4],1177877,[3 2 1 7 9 6 0 8 5 4]
34,202047,[0 6 1 2 7 8 5 4 9 3],1571071,[4 2 9 7 0 3 5 1 8 6],492784,[1 4 2 8 5 6 7 9 0 3],402988,[1 0 9 8 6 3 2 7 4 5],1197355,[3 2 7 5 9 8 6 0 4 1]
35,185204,[0 5 6 8 2 3 9 4 1 7],1524827,[4 1 8 5 7 9 2 6 3 0],734087,[2 0 3 7 6 4 9 8 5 1],449654,[1 3 2 4 7 0 8 6 5 9],1153528,[3 1 6 9 0 7 5 8 2 4]
36,62670,[0 2 6 5 1 4 7 3 8 9],1802089,[4 9 6 3 8 2 0 1 7 5],523824,[1 4 9 8 5 2 0 3 6 7],350870,[0 9 6 5 2 8 4 3 1 7],1052587,[2 9 0 7 8 4 6 1 5 3]
37,112650,[0 3 8 4 5 7 9 1 2 6],1805923,[4 9 7 2 1 3 8 0 6 5],568156,[1 6 0 8 2 7 3 9 4 5],437955,[1 2 8 9 3 6 0 5 7 4],1334565,[3 7 0 8 5 2 9 4 6 1]
38,22783,[0 1 6 5 7 9 3 2 8 4],1795565,[4 9 5 1 8 0 2 7 6 3],674242,[1 8 6 7 3 5 2 9 0 4],492250,[1 4 2 7 8 0 5 9 3 6],1317939,[3 6 7 4 2 9 0 5 8 1]
39,11688,[0 1 4 5 3 7 2 6 8 9],1716379,[4 7 5 3 9 0 8 1 6 2],523773,[1 4 9 8 3 6 7 2 5 0],591508,[1 6 7 3 5 2 0 9 4 8],1294299,[3 6 0 8 5 9 1 4 7 2]
40,194292,[0 5 8 4 9 1 6 2 3 7],1626393,[4 5 2 7 9 1 3 6 8 0],698697,[1 9 3 6 4 5 2 7 8 0],459885,[1 3 5 2 8 4 9 6 7 0],1355616,[3 7 5 9 6 8 0 1 2 4]
