Optimas, 10210(0 1 4 2 5 3 7 9 6 8), 1689280(4 6 9 1 2 3 7 8 0 5), 486002(1 4 0 6 2 3 5 8 7 9), 324738(0 9 1 5 2 3 8 4 6 7), 1120434(3 0 8 4 1 9 7 2 5 6)
H-Axis, Max distance, Ratio,LCDM,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
100,3628800,100,785,0,18,18,0,337,51636,465703,39334,41354,195,228,197,266,75341,521
99,3592512,99,63,0,0,0,0,169,47108,443879,34235,38184,164,198,175,241,68519,137
98,3556224,98,63,0,0,0,0,168,47656,445144,35073,39332,163,220,193,243,69401,144
97,3519936,97,63,0,0,0,0,172,48405,445504,34703,38004,167,200,176,241,69338,139
96,3483648,96,92,0,0,0,0,170,47764,443679,34757,37453,166,220,177,286,68740,149
95,3447360,95,95,0,0,0,0,177,48546,445893,35409,38254,207,216,177,248,69663,154
94,3411072,94,73,0,0,0,0,177,47299,443828,34522,37571,182,246,181,253,68096,145
93,3374784,93,69,0,0,0,0,182,45767,445119,34072,36824,174,236,189,248,68100,149
92,3338496,92,74,0,0,0,0,228,47929,443856,35372,38582,251,201,178,245,68417,136
91,3302208,91,66,0,0,0,0,170,46293,441225,33823,36944,170,206,174,239,67312,137
90,3265920,90,69,0,0,0,0,184,53031,481156,39305,42235,177,203,179,244,74294,149
89,3229632,89,83,0,0,0,0,240,68274,552778,56290,53374,168,213,187,261,93054,198
88,3193344,88,114,0,0,0,0,188,69237,558781,55721,54139,183,223,625,698,93637,145
87,3157056,87,80,0,0,0,0,226,65729,535172,53675,52393,178,224,183,261,89283,149
86,3120768,86,74,0,0,0,0,203,53729,476437,43197,44251,208,239,176,275,75940,137
85,3084480,85,96,0,0,0,0,216,52905,463074,38692,41151,172,249,185,250,71421,139
84,3048192,84,75,0,0,0,0,177,50561,465076,39779,43197,170,207,175,287,72852,138
83,3011904,83,84,0,0,0,0,180,53267,464878,38904,41503,179,209,177,294,71545,139
82,2975616,82,72,0,0,0,0,221,51754,467032,40768,41718,208,216,179,264,72225,174
81,2939328,81,67,0,0,0,0,199,50830,464200,41195,40496,164,215,182,248,71143,136
80,2903040,80,68,0,0,0,0,184,49764,464187,40077,41704,164,200,180,250,70917,139
79,2866752,79,75,0,0,0,0,170,50436,465544,39352,41111,166,215,188,286,71384,136
78,2830464,78,84,0,0,0,0,175,52320,464572,39915,42940,163,200,182,253,72356,145
77,2794176,77,76,0,0,0,0,174,50850,467037,40512,41573,167,202,182,257,72290,138
76,2757888,76,108,0,0,0,0,270,51443,462308,39547,42222,167,209,175,251,71900,140
75,2721600,75,67,0,0,0,0,175,51480,464111,37803,40879,171,202,193,259,71511,139
74,2685312,74,69,0,0,0,0,174,52634,463027,38790,41777,164,205,177,248,70583,139
73,2649024,73,79,0,0,0,0,184,49523,465452,39311,40944,172,215,182,257,71051,136
72,2612736,72,68,0,0,0,0,223,51295,463526,39519,40469,165,217,177,251,70726,141
71,2576448,71,72,0,0,0,0,177,50775,468684,40043,41597,165,202,178,256,71375,140
70,2540160,70,86,0,0,0,0,176,52654,469210,39775,42357,168,235,174,253,71949,167
69,2503872,69,67,0,0,0,0,172,51000,466719,40502,41837,166,259,178,252,72247,144
68,2467584,68,65,0,0,0,0,200,50128,465363,39969,40927,186,203,173,251,71037,143
67,2431296,67,99,0,0,0,0,233,51537,465880,39438,40877,168,215,180,248,71514,143
66,2395008,66,87,0,0,0,0,243,52256,464871,40011,42473,164,199,174,251,71871,142
65,2358720,65,67,0,0,0,0,174,51345,464120,39547,41694,178,239,178,249,71276,138
64,2322432,64,68,0,0,0,0,172,52151,466423,40629,41716,216,207,174,251,72639,141
63,2286144,63,78,0,0,0,0,178,50719,464351,39295,40755,183,206,173,248,70973,136
62,2249856,62,127,0,0,0,0,178,52063,464854,39690,42116,219,253,207,267,71864,147
61,2213568,61,119,0,0,0,0,176,51159,461855,40050,41452,170,215,175,255,70903,137
