99%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10]
 ,129000,[0 4 2 7 3 1 5 6 8 9],135650,[0 4 3 9 5 6 1 7 2 8],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6],1699998,[4 7 1 3 0 8 5 2 6 9],2117037,[5 8 4 0 2 9 7 3 6 1],1406637,[3 8 9 0 5 7 6 2 4 1],1204758,[3 2 9 0 4 7 5 1 6 8],258085,[0 7 4 2 5 8 6 1 9 3]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10]
1,1337757,[3 7 1 4 9 8 6 2 5 0],606435,[1 7 0 4 3 8 2 6 9 5],3501337,[9 5 7 4 8 6 0 1 3 2],2087559,[5 7 8 1 3 2 6 4 9 0],3247859,[8 9 4 2 7 3 1 6 5 0],1994125,[5 4 3 7 6 8 2 0 9 1],651090,[1 8 2 3 4 7 9 0 5 6],573305,[1 6 2 8 3 5 7 9 4 0],2356950,[6 4 3 7 5 1 2 0 8 9],379874,[1 0 5 4 7 8 2 6 3 9]
2,687925,[1 9 0 5 4 7 6 2 8 3],2118501,[5 8 4 2 3 0 9 6 7 1],309116,[0 8 6 3 2 9 7 4 1 5],1175495,[3 2 1 4 7 8 9 6 5 0],1955263,[5 3 4 9 6 8 1 0 7 2],642460,[1 7 9 4 2 8 0 6 3 5],1112720,[3 0 6 8 4 7 2 5 1 9],2783796,[7 6 0 3 4 2 8 1 5 9],941097,[2 6 3 8 0 5 4 7 9 1],1165934,[3 1 9 4 5 0 7 6 2 8]
3,622782,[1 7 4 5 9 8 2 0 3 6],868861,[2 4 6 3 8 5 7 0 9 1],3341855,[9 1 8 0 4 6 7 5 3 2],247537,[0 7 2 1 8 9 3 4 6 5],2208841,[6 0 8 2 9 1 3 4 7 5],1058950,[2 9 3 0 7 5 8 6 1 4],872341,[2 4 7 0 6 5 8 1 9 3],1192769,[3 2 6 7 5 8 4 9 1 0],716464,[1 9 7 2 0 5 6 8 3 4],3052238,[8 3 6 5 1 2 7 4 0 9]
4,1519384,[4 1 7 5 2 6 8 9 0 3],1541371,[4 2 1 8 7 6 9 0 5 3],974715,[2 7 1 4 8 6 0 5 9 3],678756,[1 8 7 5 6 2 4 0 3 9],2150626,[5 9 2 6 8 7 1 4 0 3],1745043,[4 8 2 1 7 0 3 6 9 5],2735860,[7 4 8 6 5 9 0 3 1 2],2425989,[6 7 1 3 4 5 9 2 8 0],1076820,[2 9 6 5 4 3 7 0 1 8],2554865,[7 0 3 9 4 5 6 8 2 1]
5,3211956,[8 7 5 2 0 3 6 1 4 9],928115,[2 6 0 3 1 5 7 9 8 4],574403,[1 6 2 9 7 5 3 8 4 0],887793,[2 5 0 3 1 6 7 8 9 4],2068313,[5 7 2 3 6 9 4 8 1 0],3357490,[9 2 3 1 4 0 6 8 5 7],532453,[1 5 2 7 6 0 8 3 9 4],2564811,[7 0 5 9 2 4 1 6 8 3],1924124,[5 2 7 8 3 1 9 4 0 6],2588585,[7 1 2 6 3 5 8 9 4 0]
6,2010579,[5 4 8 9 2 7 0 3 6 1],1772058,[4 8 9 5 1 0 7 2 3 6],2376578,[6 4 9 3 7 8 0 2 1 5],2410599,[6 5 8 2 0 3 7 4 9 1],535432,[1 5 3 2 7 9 6 8 0 4],1044770,[2 8 9 3 0 5 1 6 4 7],2290788,[6 2 8 4 5 9 3 0 1 7],2570253,[7 0 6 9 5 4 8 2 3 1],2892547,[7 9 5 8 2 3 6 0 4 1],963535,[2 6 9 1 3 5 4 0 8 7]
7,3009158,[8 2 6 0 4 3 7 5 1 9],515138,[1 4 8 2 5 9 0 6 3 7],987362,[2 7 4 9 3 0 1 6 5 8],636757,[1 7 8 3 4 2 6 0 9 5],388915,[1 0 7 3 2 9 8 4 6 5],2482627,[6 8 4 5 0 3 9 1 7 2],1444070,[3 9 7 4 5 8 2 1 0 6],2949610,[8 1 2 3 7 0 5 9 4 6],1247578,[3 4 9 5 7 2 1 8 0 6],2557331,[7 0 4 3 9 1 5 8 6 2]
8,3223968,[8 7 9 4 5 2 0 1 3 6],3061165,[8 3 9 2 5 6 4 0 7 1],1356938,[3 7 6 1 5 9 0 4 2 8],1487330,[4 0 9 1 7 5 2 6 3 8],1023764,[2 8 4 0 9 3 7 5 1 6],2960581,[8 1 4 3 9 5 6 0 7 2],738743,[2 0 4 7 1 3 9 8 6 5],1178384,[3 2 1 8 6 9 4 5 0 7],1229673,[3 4 5 9 8 1 2 6 7 0],2620168,[7 1 9 8 0 5 4 6 2 3]
9,219872,[0 6 4 7 3 2 5 8 1 9],678675,[1 8 7 5 4 6 0 3 9 2],699911,[1 9 3 8 0 5 7 6 4 2],1913871,[5 2 4 8 0 9 6 3 7 1],1499574,[4 1 2 6 8 5 3 0 7 9],2489887,[6 8 7 0 2 1 4 3 9 5],53773,[0 2 4 7 8 1 6 3 9 5],1184546,[3 2 5 0 4 6 1 8 7 9],1047935,[2 8 9 7 3 5 6 4 1 0],66741,[0 2 7 3 8 1 9 5 6 4]
10,1354628,[3 7 5 8 2 4 9 1 0 6],1391079,[3 8 5 0 1 4 7 6 9 2],2814541,[7 6 8 3 0 4 5 1 9 2],1993052,[5 4 3 6 0 8 9 2 1 7],222045,[0 6 5 1 4 3 9 7 8 2],3505235,[9 5 8 3 2 1 4 7 6 0],3488937,[9 5 4 1 7 3 2 6 8 0],1675088,[4 6 5 2 7 0 3 8 1 9],3347758,[9 2 0 3 6 8 7 5 1 4],573724,[1 6 2 8 9 0 3 7 4 5]
11,1106085,[3 0 5 6 2 4 9 7 8 1],2846722,[7 8 4 6 5 3 1 9 0 2],2575279,[7 0 8 9 5 4 2 1 6 3],1383654,[3 8 2 5 7 4 1 0 6 9],1389795,[3 8 4 7 1 6 0 5 9 2],1899508,[5 2 0 9 3 4 1 8 6 7],1200617,[3 2 8 1 6 0 7 9 5 4],3553022,[9 7 0 8 5 3 4 2 1 6],3244131,[8 9 3 5 6 2 0 4 7 1],285071,[0 8 1 5 9 4 7 6 3 2]
12,259140,[0 7 4 3 9 5 6 1 2 8],2801992,[7 6 3 9 4 8 2 5 0 1],1222653,[3 4 2 7 0 8 9 5 6 1],1545911,[4 2 3 8 0 6 9 7 5 1],1750648,[4 8 3 2 5 7 6 9 0 1],421497,[1 2 5 7 4 6 3 8 9 0],1231516,[3 4 6 2 5 8 0 9 1 7],3367689,[9 2 5 1 4 0 6 7 8 3],2071609,[5 7 3 0 2 6 1 4 9 8],840796,[2 3 8 7 6 5 0 9 1 4]
13,2769056,[7 5 6 2 9 3 1 4 0 8],2640505,[7 2 4 9 3 1 0 5 8 6],2009690,[5 4 8 7 1 3 0 6 2 9],100828,[0 3 6 1 2 5 4 9 7 8],3157763,[8 6 2 4 7 5 1 9 3 0],2791621,[7 6 1 9 2 4 5 0 8 3],2661784,[7 3 0 1 9 5 6 8 2 4],418576,[1 2 5 0 6 3 8 9 4 7],1913981,[5 2 4 8 1 9 0 7 6 3],506544,[1 4 6 5 7 2 0 3 8 9]
14,205362,[0 6 1 8 3 4 9 2 5 7],512066,[1 4 7 6 2 3 0 8 5 9],3553119,[9 7 0 8 6 2 4 3 5 1],2737794,[7 4 9 1 3 8 6 0 2 5],2965210,[8 1 5 3 4 0 6 9 2 7],2336337,[6 3 9 4 8 2 1 5 7 0],454028,[1 3 4 0 7 6 9 5 2 8],161232,[0 4 9 8 7 5 1 2 3 6],1940793,[5 3 1 0 7 4 6 8 9 2],1713222,[4 7 3 9 2 8 1 0 5 6]
15,2505366,[6 9 1 0 7 2 4 3 5 8],2158244,[5 9 4 1 6 2 8 3 0 7],1722824,[4 7 6 8 5 9 1 2 0 3],3548981,[9 7 0 2 1 8 3 6 5 4],3476900,[9 5 1 8 0 2 7 4 3 6],1471743,[4 0 6 1 2 7 8 5 9 3],2409820,[6 5 8 0 9 7 1 4 2 3],537576,[1 5 3 7 6 9 0 2 4 8],2609611,[7 1 6 8 3 5 9 0 4 2],1540655,[4 2 1 7 8 6 9 5 3 0]
16,121034,[0 4 1 2 3 8 5 7 6 9],2423696,[6 7 0 9 2 4 3 5 1 8],3107312,[8 5 0 4 7 2 3 6 1 9],133350,[0 4 3 6 2 5 7 1 8 9],557952,[1 5 8 6 9 4 0 2 3 7],124408,[0 4 1 7 8 6 5 9 2 3],458557,[1 3 4 9 8 2 6 0 7 5],2786903,[7 6 0 9 5 1 8 4 3 2],3128115,[8 5 4 6 3 7 0 2 9 1],1862259,[5 1 2 6 4 9 0 7 8 3]
17,2026442,[5 6 2 0 7 1 3 8 4 9],3302305,[9 0 8 2 5 3 1 4 7 6],1220748,[3 4 2 1 6 9 7 0 5 8],717459,[1 9 7 3 4 8 0 5 6 2],849100,[2 4 0 6 3 9 1 8 5 7],1967253,[5 3 8 2 1 7 9 4 6 0],2713463,[7 4 2 3 8 0 9 6 5 1],3186170,[8 7 0 2 3 5 1 6 4 9],1872558,[5 1 4 6 8 7 2 0 3 9],2253472,[6 1 9 0 7 8 4 5 2 3]
