Optimas, 129000(0 4 2 7 3 1 5 6 8 9), 135650(0 4 3 9 5 6 1 7 2 8), 486002(1 4 0 6 2 3 5 8 7 9), 324738(0 9 1 5 2 3 8 4 6 7), 1120434(3 0 8 4 1 9 7 2 5 6), 1699998(4 7 1 3 0 8 5 2 6 9), 2117037(5 8 4 0 2 9 7 3 6 1), 1406637(3 8 9 0 5 7 6 2 4 1), 1204758(3 2 9 0 4 7 5 1 6 8), 258085(0 7 4 2 5 8 6 1 9 3)
H-Axis, Max distance, Ratio,Ours,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Dummy5,Dummy6,Dummy7,Dummy8,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
100,3628800,100,0.010571305728291801,0,0,0,0,57.428009382523854,0,0,0,0,57.428009382523854,0.9806081867630766,57.428009382523854,0.9786686120231333,2419810196877.28,0.17677669529663675
99,3592512,99,0.010446555777365132,0,0,0,0,57.42674930018837,0,0,0,0,57.42674930018837,0.979953719367537,57.42674930018837,0.9788552353348824,2401809516080.42,0.17677669529663675
98,3556224,98,0.010266961334455784,0,0,0,0,57.42839903716789,0,0,0,0,57.42839903716789,0.9781947317322186,57.4283990371679,0.976542312965585,2370715412901.22,0.17677669529663675
97,3519936,97,0.01024347174835255,0,0,0,0,57.42669072489058,0,0,0,0,57.42669072489058,0.9784375975096604,57.426690724890584,0.9771007148580803,2344990043519.16,0.17677669529663675
96,3483648,96,0.010076332216336359,0,0,0,0,57.42318540170491,0,0,0,0,57.42318540170491,0.9760461375957149,57.423185401704934,0.974180984327565,2320675532662.24,0.17677669529663675
95,3447360,95,0.009969952005825101,0,0,0,0,57.417569257333916,0,0,0,0,57.417569257333916,0.9766761725218639,57.41756925733392,0.9734855478172174,2304679399080.38,0.17677669529663675
94,3411072,94,0.0100718071223211,0,0,0,0,57.42178987575373,0,0,0,0,57.42178987575373,0.9734183262531322,57.42178987575373,0.9726851956341054,2274090292067.94,0.17677669529663675
93,3374784,93,0.009470211573326018,0,0,0,0,57.416827598847114,0,0,0,0,57.416827598847114,0.974963411866156,57.41682759884712,0.9727605544838291,2250883264999.88,0.17677669529663675
92,3338496,92,0.009516372069851559,0,0,0,0,57.41147968600331,0,0,0,0,57.41147968600331,0.9721537960078434,57.41147968600331,0.9715621422095624,2232574754499.14,0.17677669529663675
91,3302208,91,0.009526722382229633,0,0,0,0,57.41131965078115,0,0,0,0,57.41131965078115,0.9707812990212166,57.411319650781145,0.9697727447947293,2204676499972.48,0.17677669529663675
90,3265920,90,0.009288522221158724,0,0,0,0,57.400590473145364,0,0,0,0,57.400590473145364,0.9708082823710469,57.40059047314536,0.9692897751020084,2181357150129.12,0.17677669529663675
89,3229632,89,0.009370191722874602,0,0,0,0,57.3960417017543,0,0,0,0,57.3960417017543,0.968620534189483,57.39604170175429,0.9664611479212502,2158611705643.26,0.17677669529663675
88,3193344,88,0.00929999147150145,0,0,0,0,57.38644229363597,0,0,0,0,57.38644229363597,0.9683200498031956,57.38644229363598,0.9670211653089367,2135617217317.56,0.17677669529663675
87,3157056,87,0.00916980328083167,0,0,0,0,57.387717385411406,0,0,0,0,57.387717385411406,0.9667421663153646,57.387717385411406,0.9646716362365761,2109725128120.58,0.17677669529663675
86,3120768,86,0.008918188618255224,0,0,0,0,57.37541411134374,0,0,0,0,57.37541411134374,0.9657194225204994,57.37541411134374,0.9635891312602848,2089240856122.18,0.17677669529663675
85,3084480,85,0.008782077403002695,0,0,0,0,57.36893081253609,0,0,0,0,57.36893081253609,0.9632064264144039,57.36893081253611,0.961237875374607,2068290731282.28,0.17677669529663675
84,3048192,84,0.008896648204505043,0,0,0,0,57.359932532742334,0,0,0,0,57.359932532742334,0.9637651837183162,57.359932532742334,0.9622108763151043,2051353331521.16,0.17677669529663675
83,3011904,83,0.008564078907325681,0,0,0,0,57.35163614871194,0,0,0,0,57.35163614871194,0.9616215070618225,57.35163614871194,0.9611600045899532,2019797317401.9,0.17677669529663675
82,2975616,82,0.008616507293250577,0,0,0,0,57.341771928105366,0,0,0,0,57.341771928105366,0.9612370647010572,57.341771928105366,0.9612956835833356,1998905638618.7,0.17677669529663675
81,2939328,81,0.008459020640339487,0,0,0,0,57.33140054632624,0,0,0,0,57.33140054632624,0.9578117660433221,57.33140054632626,0.9586242414831695,1978811705121.68,0.17677669529663675
80,2903040,80,0.008366072911048935,0,0,0,0,57.32022667080293,0,0,0,0,57.32022667080293,0.960105711952002,57.32022667080293,0.9603065795588728,1957471812590.76,0.17668478466069615
79,2866752,79,0.008305612925941931,0,0,0,0,57.311319230472584,0,0,0,0,57.311319230472584,0.9568600950335088,57.31131923047257,0.9597630607370085,1933660536041.18,0.17668478466069615
78,2830464,78,0.008199422519785147,0,0,0,0,57.29980064194396,0,0,0,0,57.29980064194396,0.9590051687892824,57.29980064194396,0.9605192408841933,1916557879424.84,0.1763171421169338
77,2794176,77,0.008076438462816493,0,0,0,0,57.291730700837974,0,0,0,0,57.291730700837974,0.9587942032653233,57.29173070083795,0.9604518137923607,1898987239744.4,0.1755818570294091
76,2757888,76,0.008184319671700696,0,0,0,0,57.278294696071214,0,0,0,0,57.278294696071214,0.9580978877504855,57.27829469607121,0.9597509944206412,1873966661529.64,0.17218116349960755
75,2721600,75,0.008002805428949674,0,0,0,0,57.26383236116872,0,0,0,0,57.26383236116872,0.9566565429906276,57.26383236116872,0.9596370165745456,1857078634678.24,0.17218116349960755
74,2685312,74,0.007755166643827085,0,0,0,0,57.250332171276725,0,0,0,0,57.250332171276725,0.9544530559724248,57.25033217127673,0.9568953468642009,1832332490350.5,0.17218116349960755
73,2649024,73,0.007622224628741783,0,0,0,0,57.23282572121748,0,0,0,0,57.23282572121748,0.9528563184523574,57.23282572121748,0.9557797695827646,1817428956237.14,0.17218116349960755
72,2612736,72,0.007666723569324855,0,0,0,0,57.21812540386837,0,0,0,0,57.21812540386837,0.9523607778635136,57.21812540386837,0.9542035072837187,1790053000411.16,0.17218116349960755
71,2576448,71,0.007588170271154851,0,0,0,0,57.20300458289605,0,0,0,0,57.20300458289605,0.9529182651378082,57.20300458289605,0.9539699891379287,1776027618406.6,0.17218116349960755
70,2540160,70,0.007524749780459911,0,0,0,0,57.18960305680172,0,0,0,0,57.18960305680172,0.9506024449428553,57.18960305680172,0.9515115945751831,1755811840055.1,0.17218116349960755
69,2503872,69,0.007231867557148782,0,0,0,0,57.17121947161329,0,0,0,0,57.17121947161329,0.9506269898192511,57.171219471613284,0.951932484665118,1733163457128.02,0.17218116349960755
68,2467584,68,0.007116152852209834,0,0,0,0,57.15783967294651,0,0,0,0,57.15783967294651,0.9506524278807217,57.15783967294653,0.9509377643542252,1713723528060.76,0.17218116349960755
67,2431296,67,0.00703662924808235,0,0,0,0,57.14709198370764,0,0,0,0,57.14709198370764,0.9485557635085604,57.14709198370766,0.9489970809108063,1695788310266.08,0.17218116349960755
66,2395008,66,0.007114308803346473,0,0,0,0,57.127747092175134,0,0,0,0,57.127747092175134,0.9485977022412421,57.12774709217512,0.9481946678026876,1680628374712.06,0.17218116349960755
65,2358720,65,0.006866529437832665,0,0,0,0,57.106513345099444,0,0,0,0,57.106513345099444,0.9487020961372233,57.10651334509946,0.9477159318954652,1658545790634.12,0.17218116349960755
64,2322432,64,0.006622316624962939,0,0,0,0,57.07829348823332,0,0,0,0,57.07829348823332,0.9461979704003783,57.07829348823333,0.9450506081134966,1640087741008.88,0.17218116349960755
63,2286144,63,0.006720057683166375,0,0,0,0,57.06920420499924,0,0,0,0,57.06920420499924,0.9470863564417497,57.06920420499924,0.9448278001588436,1620772789294.28,0.17218116349960755
62,2249856,62,0.006571883074355054,0,0,0,0,57.044161453671,0,0,0,0,57.044161453671,0.9444139296722228,57.044161453671,0.9437730502726729,1607230778482.3,0.17218116349960755
61,2213568,61,0.006539967497692874,0,0,0,0,57.02333094492481,0,0,0,0,57.02333094492481,0.9446258821004533,57.02333094492483,0.9434540311745314,1586929099083.46,0.17218116349960755
60,2177280,60,0.006388814061374578,0,0,0,0,57.00072574469005,0,0,0,0,57.00072574469005,0.9440024505536884,57.000725744690044,0.9425564338646537,1572061141043.04,0.17218116349960755
59,2140992,59,0.006419692429813324,0,0,0,0,56.97986763234487,0,0,0,0,56.97986763234487,0.9427375185232194,56.97986763234487,0.9404440397516663,1567401665906.72,0.17218116349960755
58,2104704,58,0.0061186330154366746,0,0,0,0,56.96540035903855,0,0,0,0,56.96540035903855,0.9439732519245285,56.96540035903854,0.9414191281905161,1541171129842.04,0.17218116349960755
57,2068416,57,0.006167854365850212,0,0,0,0,56.93389690413969,0,0,0,0,56.93389690413969,0.9432102912839122,56.9338969041397,0.9396938734022846,1530171387796.84,0.17218116349960755
56,2032128,56,0.005993375073637735,0,0,0,0,56.913335610901875,0,0,0,0,56.913335610901875,0.9434715562915151,56.91333561090189,0.9400406451772118,1513826638398.7,0.17218116349960755
55,1995840,55,0.005886288074931573,0,0,0,0,56.88533452989129,0,0,0,0,56.88533452989129,0.9413006754547903,56.88533452989131,0.9366956764083731,1497249467851.64,0.17218116349960755
54,1959552,54,0.005782249598248332,0,0,0,0,56.8621252762762,0,0,0,0,56.8621252762762,0.9403636895131242,56.8621252762762,0.9388013499847725,1487918848976.28,0.17218116349960755
53,1923264,53,0.005800799191461591,0,0,0,0,56.847147546092636,0,0,0,0,56.847147546092636,0.939526605621456,56.847147546092636,0.9385463388507334,1466834849291.32,0.17108202430339706
