98%,Optima 1, Optima [1],Optima 2, Optima [2]
 ,129000,[0 4 2 7 3 1 5 6 8 9],135650,[0 4 3 9 5 6 1 7 2 8]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2]
1,2833242,[7 8 2 1 0 4 9 3 5 6],2024936,[5 6 1 8 3 4 2 7 0 9]
2,1553792,[4 2 6 3 0 5 7 8 1 9],511237,[1 4 7 5 0 3 8 2 9 6]
3,3051102,[8 3 6 2 5 9 1 0 4 7],2602527,[7 1 5 3 6 8 4 2 9 0]
4,167215,[0 5 2 3 4 7 6 1 9 8],2581277,[7 1 0 3 2 8 4 9 6 5]
5,340133,[0 9 4 5 3 6 1 8 7 2],1635797,[4 5 6 3 9 7 0 8 2 1]
6,3193757,[8 7 1 5 6 4 0 9 3 2],793059,[2 1 7 4 5 9 0 6 8 3]
7,645926,[1 8 0 3 2 7 6 5 4 9],1596028,[4 3 6 7 8 1 0 9 2 5]
8,1886580,[5 1 8 3 2 6 7 0 4 9],238509,[0 6 9 3 2 5 8 4 7 1]
9,245167,[0 7 1 6 5 2 4 3 9 8],645709,[1 8 0 2 7 9 5 3 6 4]
10,2019766,[5 6 0 8 2 3 9 7 1 4],3367926,[9 2 5 1 7 0 4 3 6 8]
11,1168473,[3 1 9 7 8 2 4 5 6 0],1628690,[4 5 3 1 0 7 2 8 6 9]
12,1587996,[4 3 5 0 7 2 8 1 6 9],2069812,[5 7 2 6 8 3 0 9 1 4]
13,2859083,[7 8 9 1 6 4 2 5 3 0],3314208,[9 1 2 6 0 5 3 4 7 8]
14,1334232,[3 7 0 8 1 6 2 4 5 9],2276731,[6 2 4 8 0 7 9 1 5 3]
15,1319394,[3 6 7 8 2 9 5 0 1 4],1742022,[4 8 1 6 3 9 2 0 5 7]
16,2407069,[6 5 7 4 0 9 3 1 8 2],236004,[0 6 8 7 5 4 3 1 2 9]
17,2435578,[6 7 3 1 8 4 2 9 0 5],3192091,[8 7 1 3 4 6 9 0 5 2]
18,2862349,[7 8 9 6 2 5 3 0 4 1],2031937,[5 6 3 1 0 9 2 4 8 7]
19,2028344,[5 6 2 4 0 9 3 7 1 8],1663473,[4 6 2 0 5 3 7 8 9 1]
20,3532155,[9 6 4 7 5 3 0 2 8 1],2409205,[6 5 8 0 1 7 4 2 9 3]
21,1930553,[5 2 9 0 3 8 6 7 4 1],2887816,[7 9 4 8 6 0 3 5 1 2]
22,1885757,[5 1 8 2 0 7 3 9 6 4],2070052,[5 7 2 8 0 4 1 9 3 6]
23,2546419,[7 0 2 3 8 1 9 4 6 5],1860980,[5 1 2 3 8 0 9 6 4 7]
24,49187,[0 2 3 8 4 9 5 7 6 1],2860613,[7 8 9 4 0 3 1 6 5 2]
25,2692733,[7 3 8 1 9 4 0 6 5 2],3462282,[9 4 7 8 5 1 6 0 2 3]
26,1517619,[4 1 7 0 8 9 2 5 6 3],3104272,[8 4 9 7 2 6 3 5 0 1]
27,2584826,[7 1 0 9 2 4 3 6 5 8],2367208,[6 4 7 5 8 3 2 9 0 1]
28,3004058,[8 2 5 0 3 9 1 6 4 7],3053807,[8 3 6 9 2 1 7 5 4 0]
29,1078956,[2 9 7 0 5 3 6 1 4 8],193581,[0 5 8 3 9 1 7 4 6 2]
30,3374239,[9 2 6 4 3 7 1 0 8 5],1735664,[4 8 0 3 6 9 2 5 1 7]
