Optimas, 129000(0 4 2 7 3 1 5 6 8 9), 135650(0 4 3 9 5 6 1 7 2 8)
H-Axis, Max distance, Ratio,Ours,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Dummy5,Dummy6,Dummy7,Dummy8,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
100,3628800,100,98,0,0,0,0,243,0,0,0,0,237,251,418,533,155040,169
99,3592512,99,85,0,0,0,0,197,0,0,0,0,185,221,196,312,148009,133
98,3556224,98,63,0,0,0,0,182,0,0,0,0,177,221,191,301,148513,130
97,3519936,97,70,0,0,0,0,186,0,0,0,0,180,258,191,316,146709,131
96,3483648,96,70,0,0,0,0,191,0,0,0,0,191,208,191,297,145317,132
95,3447360,95,58,0,0,0,0,182,0,0,0,0,180,209,197,316,146435,130
94,3411072,94,70,0,0,0,0,194,0,0,0,0,188,213,195,301,146956,132
93,3374784,93,62,0,0,0,0,220,0,0,0,0,199,214,191,347,152775,160
92,3338496,92,77,0,0,0,0,199,0,0,0,0,184,229,208,315,147325,134
91,3302208,91,69,0,0,0,0,193,0,0,0,0,181,213,199,305,145579,131
90,3265920,90,80,0,0,0,0,201,0,0,0,0,218,225,196,320,146157,131
89,3229632,89,60,0,0,0,0,185,0,0,0,0,175,213,187,306,143639,137
88,3193344,88,59,0,0,0,0,188,0,0,0,0,187,223,194,312,143939,132
87,3157056,87,60,0,0,0,0,181,0,0,0,0,184,218,185,332,144292,132
86,3120768,86,72,0,0,0,0,188,0,0,0,0,184,216,195,306,144493,134
85,3084480,85,57,0,0,0,0,184,0,0,0,0,176,213,191,300,144097,129
84,3048192,84,58,0,0,0,0,181,0,0,0,0,180,207,191,299,143421,131
83,3011904,83,57,0,0,0,0,178,0,0,0,0,172,209,183,295,143815,130
82,2975616,82,58,0,0,0,0,178,0,0,0,0,174,210,184,300,144534,144
81,2939328,81,57,0,0,0,0,179,0,0,0,0,180,216,200,299,143990,147
80,2903040,80,92,0,0,0,0,185,0,0,0,0,177,209,187,294,145002,130
79,2866752,79,68,0,0,0,0,187,0,0,0,0,183,210,192,361,144720,133
78,2830464,78,62,0,0,0,0,184,0,0,0,0,211,210,191,298,144331,130
77,2794176,77,63,0,0,0,0,200,0,0,0,0,190,237,329,350,144805,257
76,2757888,76,61,0,0,0,0,189,0,0,0,0,176,223,187,297,144660,131
75,2721600,75,67,0,0,0,0,199,0,0,0,0,178,212,220,305,144734,132
74,2685312,74,76,0,0,0,0,182,0,0,0,0,186,223,203,307,144786,129
73,2649024,73,56,0,0,0,0,186,0,0,0,0,178,215,188,302,144394,130
72,2612736,72,62,0,0,0,0,209,0,0,0,0,194,214,193,309,145623,131
71,2576448,71,68,0,0,0,0,182,0,0,0,0,179,247,194,301,144786,130
70,2540160,70,72,0,0,0,0,188,0,0,0,0,196,219,208,311,148036,165
69,2503872,69,62,0,0,0,0,177,0,0,0,0,172,207,183,296,143897,135
68,2467584,68,63,0,0,0,0,181,0,0,0,0,179,210,189,294,143834,129
67,2431296,67,58,0,0,0,0,182,0,0,0,0,178,217,194,302,144896,133
66,2395008,66,64,0,0,0,0,190,0,0,0,0,185,211,224,304,144059,131
65,2358720,65,64,0,0,0,0,193,0,0,0,0,177,213,195,301,144039,130
64,2322432,64,61,0,0,0,0,181,0,0,0,0,175,210,186,297,143937,132
63,2286144,63,61,0,0,0,0,232,0,0,0,0,216,272,232,341,145157,130
62,2249856,62,58,0,0,0,0,177,0,0,0,0,189,212,228,332,143805,133
61,2213568,61,62,0,0,0,0,185,0,0,0,0,175,240,191,300,144213,131
60,2177280,60,102,0,0,0,0,183,0,0,0,0,178,213,190,330,145219,183
59,2140992,59,63,0,0,0,0,184,0,0,0,0,176,207,189,295,144239,130
58,2104704,58,60,0,0,0,0,179,0,0,0,0,174,215,187,303,143062,131
57,2068416,57,98,0,0,0,0,180,0,0,0,0,175,207,185,297,143033,131
56,2032128,56,62,0,0,0,0,207,0,0,0,0,207,210,189,321,144222,130
55,1995840,55,58,0,0,0,0,212,0,0,0,0,173,205,186,295,143287,134
54,1959552,54,56,0,0,0,0,181,0,0,0,0,180,215,197,294,143607,130
53,1923264,53,63,0,0,0,0,188,0,0,0,0,180,219,186,299,143956,132
52,1886976,52,57,0,0,0,0,180,0,0,0,0,180,215,196,296,143802,133
51,1850688,51,58,0,0,0,0,193,0,0,0,0,176,209,219,324,143966,129
50,1814400,50,58,0,0,0,0,181,0,0,0,0,173,210,187,293,143006,152
49,1778112,49,100,0,0,0,0,184,0,0,0,0,174,213,185,294,144016,131
48,1741824,48,58,0,0,0,0,183,0,0,0,0,177,211,193,296,144011,132
47,1705536,47,65,0,0,0,0,185,0,0,0,0,181,212,189,296,144808,150
46,1669248,46,69,0,0,0,0,188,0,0,0,0,177,213,189,287,144187,131
45,1632960,45,58,0,0,0,0,181,0,0,0,0,176,209,189,291,144881,132
44,1596672,44,63,0,0,0,0,182,0,0,0,0,178,214,190,287,143817,132
43,1560384,43,60,0,0,0,0,183,0,0,0,0,175,212,192,287,143640,131
42,1524096,42,60,0,0,0,0,183,0,0,0,0,176,213,188,284,143593,133
41,1487808,41,58,0,0,0,0,187,0,0,0,0,185,224,195,287,143691,133
40,1451520,40,59,0,0,0,0,180,0,0,0,0,180,205,185,283,143660,165
39,1415232,39,64,0,0,0,0,182,0,0,0,0,179,221,193,286,144029,130
38,1378944,38,68,0,0,0,0,180,0,0,0,0,178,209,181,285,147617,133
37,1342656,37,64,0,0,0,0,189,0,0,0,0,178,221,188,316,143972,133
36,1306368,36,56,0,0,0,0,178,0,0,0,0,182,210,192,283,143539,133
35,1270080,35,59,0,0,0,0,191,0,0,0,0,180,212,188,283,143505,134
34,1233792,34,59,0,0,0,0,177,0,0,0,0,172,206,186,284,143475,132
33,1197504,33,56,0,0,0,0,180,0,0,0,0,177,211,190,284,143294,131
32,1161216,32,125,0,0,0,0,182,0,0,0,0,178,209,192,294,143582,134
31,1124928,31,62,0,0,0,0,183,0,0,0,0,178,210,185,286,142756,130
30,1088640,30,62,0,0,0,0,184,0,0,0,0,176,214,187,292,143113,131
29,1052352,29,63,0,0,0,0,190,0,0,0,0,184,226,198,288,145766,128
28,1016064,28,61,0,0,0,0,181,0,0,0,0,177,208,219,349,144058,156
27,979776,27,85,0,0,0,0,206,0,0,0,0,172,201,183,286,142039,127
26,943488,26,58,0,0,0,0,173,0,0,0,0,181,212,186,285,143348,126
25,907200,25,59,0,0,0,0,175,0,0,0,0,171,207,185,280,143345,130
24,870912,24,53,0,0,0,0,177,0,0,0,0,178,211,183,273,143095,129
23,834624,23,60,0,0,0,0,190,0,0,0,0,174,219,181,282,142185,129
22,798336,22,55,0,0,0,0,175,0,0,0,0,172,210,186,277,142207,129
21,762048,21,64,0,0,0,0,175,0,0,0,0,171,204,185,273,142467,131
20,725760,20,61,0,0,0,0,215,0,0,0,0,172,203,180,268,143346,126
19,689472,19,93,0,0,0,0,205,0,0,0,0,171,213,183,276,142842,131
18,653184,18,54,0,0,0,0,174,0,0,0,0,170,204,182,279,142135,130
17,616896,17,68,0,0,0,0,192,0,0,0,0,197,215,197,285,143416,131
16,580608,16,63,0,0,0,0,217,0,0,0,0,185,225,206,284,143990,130
15,544320,15,67,0,0,0,0,182,0,0,0,0,179,221,198,283,144775,126
14,508032,14,96,0,0,0,0,215,0,0,0,0,174,215,183,272,144951,128
13,471744,13,72,0,0,0,0,180,0,0,0,0,175,212,189,278,144933,126
12,435456,12,63,0,0,0,0,179,0,0,0,0,211,208,216,305,143130,130
11,399168,11,66,0,0,0,0,180,0,0,0,0,213,214,197,284,144864,128
10,362880,10,61,0,0,0,0,187,0,0,0,0,181,218,195,285,143948,132
9,326592,9,79,0,0,0,0,184,0,0,0,0,215,210,185,281,144640,130
8,290304,8,65,0,0,0,0,181,0,0,0,0,174,210,190,281,145448,128
