98%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10],Optima 11, Optima [11],Optima 12, Optima [12],Optima 13, Optima [13],Optima 14, Optima [14],Optima 15, Optima [15],Optima 16, Optima [16],Optima 17, Optima [17],Optima 18, Optima [18],Optima 19, Optima [19],Optima 20, Optima [20]
 ,129000,[0 4 2 7 3 1 5 6 8 9],135650,[0 4 3 9 5 6 1 7 2 8],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6],1699998,[4 7 1 3 0 8 5 2 6 9],2117037,[5 8 4 0 2 9 7 3 6 1],1406637,[3 8 9 0 5 7 6 2 4 1],1204758,[3 2 9 0 4 7 5 1 6 8],258085,[0 7 4 2 5 8 6 1 9 3],305111,[0 8 5 4 7 3 9 6 2 1],1178840,[3 2 1 9 4 7 5 6 0 8],2562143,[7 0 5 3 6 1 9 8 4 2],1329233,[3 6 9 7 0 8 4 5 2 1],3119554,[8 5 2 9 6 1 3 7 0 4],3077106,[8 4 2 5 7 3 9 0 1 6],422700,[1 2 5 9 0 6 7 3 4 8],372839,[1 0 3 9 7 8 6 5 4 2],813907,[2 3 1 6 5 7 9 0 8 4],1689280,[4 6 9 1 2 3 7 8 0 5]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10],Optima 11, Optima [11],Optima 12, Optima [12],Optima 13, Optima [13],Optima 14, Optima [14],Optima 15, Optima [15],Optima 16, Optima [16],Optima 17, Optima [17],Optima 18, Optima [18],Optima 19, Optima [19],Optima 20, Optima [20]
1,2417369,[6 5 9 4 2 7 3 8 1 0],2870179,[7 9 1 4 3 0 8 2 6 5],507324,[1 4 6 7 5 8 3 0 2 9],3149803,[8 6 0 9 5 2 7 1 4 3],3129166,[8 5 4 9 0 2 7 6 1 3],3215388,[8 7 5 9 4 6 2 0 1 3],2545823,[7 0 2 1 9 3 8 6 5 4],2285768,[6 2 7 4 8 0 3 5 1 9],3411692,[9 3 5 8 2 6 7 1 0 4],2959258,[8 1 4 2 0 6 5 9 3 7],87196,[0 3 2 5 1 8 4 9 6 7],1097098,[3 0 2 7 8 5 4 9 1 6],1766376,[4 8 7 3 1 9 0 2 5 6],3523646,[9 6 3 0 8 5 4 2 1 7],3235074,[8 9 1 7 0 6 5 2 3 4],1352597,[3 7 5 2 6 8 0 9 4 1],846029,[2 3 9 8 0 4 1 7 6 5],2183535,[6 0 2 3 8 1 7 5 9 4],1757951,[4 8 5 7 3 2 9 6 1 0],3243153,[8 9 3 4 2 1 5 6 7 0]
2,3277736,[9 0 3 4 5 6 2 7 1 8],798216,[2 1 8 4 6 9 0 3 5 7],2069855,[5 7 2 6 8 4 9 3 1 0],38188,[0 1 9 6 2 4 3 8 5 7],2613277,[7 1 8 4 5 2 6 0 9 3],759121,[2 0 8 6 4 1 3 5 9 7],3162815,[8 6 3 4 7 5 9 2 1 0],2374412,[6 4 9 0 7 5 8 2 1 3],1289559,[3 5 9 8 0 2 6 4 7 1],656082,[1 8 3 2 4 5 9 0 6 7],2895744,[7 9 6 3 8 1 0 2 4 5],3565859,[9 7 3 4 5 2 1 8 6 0],2578603,[7 0 9 5 3 2 8 1 6 4],2381993,[6 5 0 7 2 9 4 8 3 1],2106257,[5 8 1 9 3 0 6 7 4 2],1833576,[5 0 4 8 6 9 1 2 3 7],2507490,[6 9 1 4 5 7 8 0 2 3],2490790,[6 8 7 1 3 4 9 5 0 2],1285629,[3 5 9 0 6 4 8 2 7 1],1983094,[5 4 1 6 2 8 9 7 0 3]
3,2663491,[7 3 0 5 2 8 9 1 6 4],1862863,[5 1 2 7 3 9 4 0 8 6],2370847,[6 4 8 2 9 0 3 1 7 5],2114736,[5 8 3 6 0 9 1 2 4 7],1536248,[4 2 0 8 7 1 5 6 3 9],2957426,[8 1 3 7 5 2 0 6 4 9],2979574,[8 1 9 2 3 6 7 5 0 4],3340930,[9 1 7 8 2 0 4 6 3 5],2557909,[7 0 4 5 6 9 3 1 8 2],1744103,[4 8 2 0 5 1 9 7 6 3],972577,[2 7 0 9 6 8 1 3 5 4],3081852,[8 4 3 5 2 0 7 1 6 9],817685,[2 3 4 1 8 0 5 9 7 6],1044959,[2 8 9 3 1 7 6 5 4 0],1288864,[3 5 9 7 0 4 6 8 1 2],73421,[0 2 8 5 9 7 1 6 4 3],1331342,[3 7 0 2 1 6 8 5 4 9],2607403,[7 1 6 3 4 2 9 0 8 5],1381051,[3 8 2 0 1 7 9 4 6 5],477739,[1 3 8 7 5 0 9 2 6 4]
4,2559806,[7 0 4 9 2 6 5 3 1 8],2409656,[6 5 8 0 7 3 2 4 1 9],3257458,[8 9 6 2 1 4 3 7 0 5],2164521,[5 9 6 3 1 7 2 4 8 0],590326,[1 6 7 0 9 3 8 5 2 4],2606822,[7 1 6 2 5 4 8 3 0 9],1557602,[4 2 7 0 5 1 3 8 6 9],239045,[0 6 9 4 1 2 3 8 7 5],2167135,[5 9 6 8 7 2 1 0 4 3],79899,[0 2 9 7 8 6 1 4 5 3],1443320,[3 9 7 2 5 6 1 4 0 8],2395475,[6 5 3 2 0 4 7 9 8 1],1783435,[4 9 1 7 8 6 5 0 3 2],3293757,[9 0 6 4 5 8 7 2 3 1],1590712,[4 3 5 7 1 9 6 8 0 2],1830546,[5 0 4 2 6 7 9 1 3 8],765516,[2 0 9 8 3 4 6 1 5 7],1939201,[5 3 0 8 4 1 2 6 9 7],140031,[0 4 5 8 3 9 6 2 7 1],1698161,[4 7 0 9 5 2 6 8 3 1]
5,1921680,[5 2 7 3 0 1 4 6 8 9],1307457,[3 6 4 2 9 5 1 7 8 0],576680,[1 6 3 4 9 7 2 5 0 8],830426,[2 3 6 8 4 1 0 7 5 9],93283,[0 3 4 6 7 2 9 1 8 5],2255050,[6 1 9 4 0 2 5 8 3 7],2315227,[6 3 4 2 7 5 9 0 8 1],1230128,[3 4 6 0 7 1 5 8 2 9],1462049,[4 0 3 1 7 8 6 9 5 2],2503939,[6 9 0 7 5 1 8 2 4 3],1172541,[3 2 0 7 6 1 9 5 8 4],1482945,[4 0 8 2 6 9 3 5 7 1],2971996,[8 1 6 5 7 4 0 9 2 3],133548,[0 4 3 6 5 9 7 1 2 8],902293,[2 5 4 0 3 1 8 6 9 7],2132552,[5 8 9 0 7 2 3 4 1 6],3179065,[8 6 7 5 2 1 0 3 9 4],3440676,[9 4 2 6 7 1 5 0 3 8],1433006,[3 9 5 2 1 7 6 4 0 8],835452,[2 3 7 8 4 0 6 1 5 9]
6,2771431,[7 5 6 9 1 2 3 0 8 4],2057088,[5 7 0 2 1 6 3 4 8 9],1910302,[5 2 4 0 3 1 9 8 6 7],905336,[2 5 4 7 3 6 1 8 0 9],880222,[2 4 8 6 5 0 9 7 1 3],868922,[2 4 6 3 9 0 1 7 5 8],2628785,[7 2 1 6 0 5 8 9 4 3],3446516,[9 4 3 7 6 8 5 1 0 2],975697,[2 7 1 6 0 9 3 4 8 5],3342007,[9 1 8 0 6 2 4 3 7 5],2176168,[5 9 8 6 2 4 3 7 0 1],865196,[2 4 5 7 6 9 8 1 0 3],962319,[2 6 8 9 4 1 5 3 7 0],627328,[1 7 5 4 2 8 6 9 0 3],3502817,[9 5 8 0 1 2 6 7 4 3],535705,[1 5 3 4 0 6 2 7 9 8],463038,[1 3 5 9 0 7 4 2 6 8],2461676,[6 8 0 3 9 7 5 2 1 4],2117446,[5 8 4 0 9 2 7 6 1 3],246750,[0 7 1 9 6 3 4 2 5 8]
7,1111965,[3 0 6 7 4 2 9 5 8 1],275309,[0 7 8 5 3 2 1 9 6 4],2577047,[7 0 9 3 2 4 8 6 5 1],1388542,[3 8 4 5 6 0 9 7 1 2],2268189,[6 2 3 0 4 7 9 5 8 1],737474,[2 0 4 5 3 8 1 7 6 9],2887228,[7 9 4 8 0 2 1 6 3 5],3198576,[8 7 2 5 3 9 0 1 4 6],939752,[2 6 3 5 1 4 7 8 0 9],97771,[0 3 5 4 8 7 9 1 6 2],25935,[0 1 7 3 2 4 8 6 9 5],2591300,[7 1 3 2 0 4 9 6 5 8],3151674,[8 6 1 3 2 9 7 0 4 5],1330657,[3 7 0 1 2 9 4 5 8 6],2762681,[7 5 4 1 0 3 8 9 6 2],3584843,[9 7 8 1 6 4 2 5 3 0],3358242,[9 2 3 4 1 5 8 0 6 7],3319316,[9 1 3 6 0 8 7 4 2 5],451063,[1 3 2 6 5 9 4 0 8 7],2997972,[8 2 3 7 9 0 5 1 4 6]
