10%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5]
 ,129000,[0 4 2 7 3 1 5 6 8 9],135650,[0 4 3 9 5 6 1 7 2 8],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5]
1,466952,[1 3 6 7 5 2 4 8 0 9],478976,[1 3 9 0 4 6 5 7 2 8],798351,[2 1 8 4 7 9 5 3 6 0],589803,[1 6 7 0 3 2 4 8 9 5],1297852,[3 6 1 5 7 4 0 9 2 8]
2,221784,[0 6 5 1 2 4 3 7 8 9],388810,[1 0 7 3 2 4 6 9 5 8],617412,[1 7 3 5 6 0 8 2 4 9],553939,[1 5 7 9 3 0 8 2 6 4],1008783,[2 8 0 3 1 6 7 5 9 4]
3,299264,[0 8 4 3 6 9 2 5 1 7],261449,[0 7 4 9 1 6 5 8 3 2],617711,[1 7 3 5 9 4 8 6 2 0],498869,[1 4 3 9 8 2 0 7 6 5],1274136,[3 5 6 8 4 9 0 1 2 7]
4,233016,[0 6 8 2 5 9 1 3 4 7],208776,[0 6 2 4 9 8 1 3 5 7],603778,[1 6 9 7 4 3 2 8 0 5],302964,[0 8 5 1 7 6 4 2 3 9],1340977,[3 7 2 0 5 9 1 4 8 6]
5,199147,[0 5 9 4 6 3 8 1 7 2],231510,[0 6 7 9 4 2 3 1 5 8],533706,[1 5 2 9 3 6 8 0 4 7],311679,[0 8 6 7 9 2 4 3 5 1],1314851,[3 6 5 9 1 0 4 8 7 2]
6,381656,[1 0 5 8 2 6 4 7 3 9],200950,[0 5 9 8 1 4 7 6 2 3],734039,[2 0 3 7 5 9 8 6 4 1],601823,[1 6 9 3 8 0 7 5 4 2],1032324,[2 8 5 7 6 4 3 0 1 9]
7,302936,[0 8 5 1 7 4 3 6 2 9],381191,[1 0 5 7 4 6 9 8 3 2],466887,[1 3 6 7 4 8 5 2 9 0],320070,[0 8 9 4 5 2 3 1 6 7],1081365,[2 9 7 4 8 1 6 3 5 0]
8,270816,[0 7 6 8 1 9 2 3 4 5],381687,[1 0 5 8 2 7 6 4 9 3],706589,[1 9 5 2 4 3 0 8 7 6],303165,[0 8 5 2 1 4 9 6 7 3],1128629,[3 0 9 8 5 2 1 7 6 4]
