10%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6],1699998,[4 7 1 3 0 8 5 2 6 9],2117037,[5 8 4 0 2 9 7 3 6 1],1406637,[3 8 9 0 5 7 6 2 4 1],1204758,[3 2 9 0 4 7 5 1 6 8],258085,[0 7 4 2 5 8 6 1 9 3]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10]
1,142005,[0 4 6 2 3 5 9 7 8 1],1802419,[4 9 6 5 2 0 8 1 7 3],496357,[1 4 3 6 5 2 8 0 9 7],589194,[1 6 5 9 2 8 7 0 3 4],1047231,[2 8 9 6 3 7 4 1 5 0],1786959,[4 9 2 5 8 1 6 3 7 0],2201338,[6 0 5 8 3 4 2 9 1 7],1352828,[3 7 5 2 9 4 8 1 0 6],1150642,[3 1 6 4 0 8 5 9 2 7],529934,[1 5 2 3 0 4 8 7 6 9]
2,235547,[0 6 8 7 1 9 3 5 4 2],1814329,[4 9 8 7 6 2 0 1 5 3],460822,[1 3 5 6 0 2 9 8 4 7],319539,[0 8 9 3 6 7 1 4 5 2],1247830,[3 4 9 6 0 5 8 7 1 2],1638401,[4 5 7 0 6 2 8 9 3 1],2088995,[5 7 8 3 2 1 4 9 6 0],1576307,[4 3 0 8 2 9 5 7 6 1],1348618,[3 7 4 6 0 5 2 9 1 8],416314,[1 2 4 7 3 5 6 9 0 8]
3,75582,[0 2 8 9 7 6 3 1 4 5],1811802,[4 9 8 3 2 1 7 0 5 6],745024,[2 0 5 8 7 4 6 9 1 3],585702,[1 6 5 2 4 9 3 0 7 8],1298495,[3 6 1 7 4 8 9 5 2 0],1735505,[4 8 0 3 5 6 7 9 2 1],2022552,[5 6 1 3 0 8 2 4 7 9],1319519,[3 6 7 8 4 9 5 2 1 0],1111639,[3 0 6 5 9 7 2 1 8 4],342305,[0 9 4 8 3 5 6 7 2 1]
4,352152,[0 9 6 8 1 5 2 3 4 7],1529440,[4 1 9 5 2 3 7 8 0 6],486801,[1 4 0 7 2 8 5 6 9 3],624686,[1 7 4 9 5 6 3 2 0 8],1209691,[3 4 0 1 2 8 9 5 7 6],1868712,[5 1 3 8 4 7 0 2 6 9],2010564,[5 4 8 9 2 6 3 0 1 7],1515765,[4 1 6 8 2 3 9 5 7 0],1148174,[3 1 5 8 7 0 6 4 2 9],361473,[0 9 8 6 1 3 4 5 7 2]
5,290018,[0 8 2 5 7 9 1 4 3 6],1634464,[4 5 6 2 0 7 8 9 1 3],676717,[1 8 7 2 9 3 5 0 6 4],407479,[1 2 0 8 9 6 4 3 7 5],1199697,[3 2 8 0 4 6 5 7 9 1],1863765,[5 1 2 8 6 3 9 4 7 0],2216034,[6 0 9 5 7 8 4 1 2 3],1456601,[4 0 2 1 3 6 8 9 7 5],1219748,[3 4 2 0 1 7 9 6 5 8],289988,[0 8 2 5 7 4 9 3 1 6]
6,179150,[0 5 4 6 8 9 3 2 1 7],1564488,[4 2 8 3 9 5 0 1 6 7],482101,[1 3 9 6 5 4 7 0 8 2],519478,[1 4 9 0 5 8 7 6 2 3],1126052,[3 0 9 4 8 6 7 2 1 5],1770685,[4 8 9 2 1 6 5 0 7 3],1952211,[5 3 4 2 6 7 0 8 9 1],1389435,[3 8 4 6 7 5 0 2 9 1],1234445,[3 4 6 9 5 0 1 8 7 2],359807,[0 9 8 3 6 2 7 5 4 1]
7,232051,[0 6 8 1 3 7 9 2 5 4],1874382,[5 1 4 9 2 8 3 0 6 7],629259,[1 7 5 8 9 6 0 3 4 2],361174,[0 9 8 5 4 6 7 3 1 2],1254344,[3 5 0 9 1 8 4 6 2 7],1765326,[4 8 7 1 9 0 3 2 5 6],1907637,[5 2 3 6 4 9 8 1 7 0],1490116,[4 0 9 6 5 7 1 8 2 3],1439359,[3 9 6 5 0 7 2 1 8 4],554619,[1 5 8 0 3 9 2 6 7 4]
8,177965,[0 5 4 3 2 1 6 9 8 7],1633580,[4 5 6 0 9 1 8 3 2 7],690525,[1 9 2 0 3 5 8 6 7 4],309917,[0 8 6 4 3 7 1 9 5 2],1023071,[2 8 3 9 7 4 6 5 1 0],1590049,[4 3 5 6 2 7 0 1 9 8],1985715,[5 4 1 9 8 6 0 3 7 2],1482789,[4 0 8 2 5 6 9 3 7 1],1445868,[3 9 7 8 0 6 4 1 2 5],593269,[1 6 7 5 9 8 3 0 4 2]
9,247418,[0 7 2 1 6 9 3 5 4 8],1529167,[4 1 9 3 8 0 5 2 7 6],651821,[1 8 2 4 3 9 0 7 6 5],302185,[0 8 4 9 6 2 1 3 7 5],1353321,[3 7 5 4 6 8 1 2 9 0],1694884,[4 7 0 3 1 2 5 9 6 8],1927020,[5 2 8 3 4 6 7 0 1 9],1589982,[4 3 5 6 1 9 2 0 7 8],1213186,[3 4 0 7 9 8 2 6 1 5],365305,[1 0 2 6 5 4 3 7 9 8]
10,296517,[0 8 3 7 6 9 5 2 4 1],1616135,[4 5 0 7 6 8 9 3 2 1],488584,[1 4 0 9 6 5 7 8 2 3],334704,[0 9 3 4 8 2 1 5 6 7],1315422,[3 6 5 9 8 7 1 0 2 4],1789918,[4 9 3 0 8 7 6 5 1 2],2010902,[5 4 8 9 7 2 3 1 0 6],1624923,[4 5 2 3 9 0 1 7 8 6],1277000,[3 5 7 2 6 8 1 4 0 9],254285,[0 7 3 5 2 1 4 9 8 6]
11,282789,[0 8 1 2 7 5 9 4 6 3],1594938,[4 3 6 5 1 0 9 2 7 8],723760,[1 9 8 5 2 3 6 7 0 4],647915,[1 8 0 5 9 3 4 7 6 2],1146703,[3 1 5 6 7 9 2 0 8 4],1638976,[4 5 7 1 3 0 8 9 2 6],2257406,[6 1 9 8 2 5 4 3 0 7],1454815,[4 0 1 7 6 5 3 2 9 8],1088883,[3 0 1 2 6 4 5 8 9 7],368531,[1 0 3 2 9 4 6 8 7 5]
12,268470,[0 7 6 2 9 3 4 1 5 8],1755017,[4 8 5 1 6 0 7 9 3 2],760412,[2 0 8 9 1 6 7 4 3 5],319608,[0 8 9 3 7 4 1 2 5 6],1267801,[3 5 4 6 9 0 1 2 8 7],1660991,[4 6 1 5 9 3 8 7 2 0],1964087,[5 3 7 6 9 1 8 4 2 0],1396718,[3 8 6 0 9 2 5 4 1 7],1382898,[3 8 2 4 7 0 9 1 5 6],363977,[1 0 2 4 7 3 8 9 6 5]
13,176198,[0 5 3 9 7 2 6 4 1 8],1802696,[4 9 6 5 7 2 1 3 0 8],551581,[1 5 7 4 0 6 8 2 9 3],503812,[1 4 5 9 7 3 0 8 2 6],1288751,[3 5 9 6 8 2 7 4 1 0],1713928,[4 7 5 0 3 8 6 9 1 2],1929361,[5 2 8 7 6 0 1 3 9 4],1417626,[3 9 1 2 8 5 7 0 4 6],1089214,[3 0 1 2 8 7 9 6 4 5],292795,[0 8 3 1 6 9 7 2 5 4]
14,354917,[0 9 7 3 8 5 1 6 4 2],1748439,[4 8 2 9 3 1 6 5 7 0],651595,[1 8 2 3 9 7 6 0 5 4],344763,[0 9 5 3 8 1 2 6 7 4],1221633,[3 4 2 5 8 1 6 7 9 0],1801986,[4 9 6 3 7 2 8 0 1 5],1985883,[5 4 2 0 3 1 6 8 9 7],1578233,[4 3 1 0 9 8 6 7 5 2],1366108,[3 7 9 0 4 2 1 8 5 6],546057,[1 5 6 3 4 7 2 8 9 0]
15,17485,[0 1 5 6 3 8 7 2 9 4],1553514,[4 2 6 1 7 9 8 0 3 5],460883,[1 3 5 6 0 8 4 9 7 2],519777,[1 4 9 0 8 5 3 6 7 2],1289145,[3 5 9 7 2 8 1 4 6 0],1767623,[4 8 7 6 0 1 9 5 3 2],2194880,[6 0 4 5 3 8 2 7 1 9],1319974,[3 6 7 9 1 5 8 4 0 2],1178419,[3 2 1 8 7 0 9 4 6 5],298723,[0 8 4 2 9 3 7 1 6 5]
16,157264,[0 4 9 2 5 6 7 8 1 3],1854920,[5 1 0 2 4 8 6 7 3 9],665091,[1 8 4 9 6 3 0 5 7 2],318518,[0 8 9 2 4 3 6 5 1 7],1183746,[3 2 4 9 0 6 8 1 5 7],1817890,[5 0 1 7 9 2 4 8 3 6],2031635,[5 6 3 0 8 2 4 9 7 1],1423455,[3 9 2 5 0 1 7 6 8 4],1288635,[3 5 9 6 7 4 0 2 8 1],270140,[0 7 6 5 2 1 9 4 3 8]
17,346741,[0 9 5 7 4 3 6 1 8 2],1523667,[4 1 8 3 2 5 0 7 9 6],493737,[1 4 2 9 7 5 3 6 8 0],454832,[1 3 4 2 8 5 6 7 0 9],1053717,[2 9 1 0 5 8 7 4 6 3],1888882,[5 1 8 7 3 6 2 9 0 4],2202557,[6 0 7 1 2 8 3 9 5 4],1424099,[3 9 2 5 8 4 1 7 6 0],1331874,[3 7 0 2 8 9 6 1 4 5],303081,[0 8 5 1 9 6 3 4 7 2]
18,213439,[0 6 3 4 5 8 2 1 9 7],1701541,[4 7 1 6 2 5 8 0 9 3],479962,[1 3 9 2 6 7 4 8 0 5],435236,[1 2 8 4 5 9 7 3 0 6],1291871,[3 6 0 4 2 7 9 8 5 1],1826101,[5 0 3 4 2 7 8 1 9 6],2056296,[5 6 9 8 7 4 0 1 2 3],1383509,[3 8 2 5 6 1 0 9 7 4],1212482,[3 4 0 7 1 2 5 8 6 9],559721,[1 5 9 0 4 3 7 8 6 2]
19,15280,[0 1 5 2 4 6 8 9 3 7],1633893,[4 5 6 1 2 8 9 3 7 0],581171,[1 6 4 3 2 0 7 9 8 5],371858,[1 0 3 8 5 9 2 6 4 7],1244752,[3 4 8 9 6 7 2 5 0 1],1720230,[4 7 6 2 1 3 5 0 8 9],2234422,[6 1 4 3 5 0 9 8 2 7],1447763,[3 9 8 1 6 5 2 7 4 0],1303181,[3 6 2 5 9 8 0 7 4 1],443000,[1 2 9 8 3 6 4 5 0 7]
20,97120,[0 3 5 2 9 4 7 8 1 6],1551658,[4 2 5 9 0 6 3 8 1 7],490419,[1 4 2 5 0 9 3 7 8 6],600374,[1 6 9 0 8 2 5 4 3 7],1309270,[3 6 4 8 2 5 9 7 0 1],1810884,[4 9 8 2 0 6 5 1 3 7],2114490,[5 8 3 4 7 6 9 0 1 2],1567099,[4 2 8 9 5 0 7 1 6 3],1402025,[3 8 7 1 2 5 6 9 4 0],513453,[1 4 7 9 0 6 8 3 5 2]
21,43312,[0 2 1 7 3 9 6 8 4 5],1697058,[4 7 0 8 1 2 9 3 5 6],666404,[1 8 5 2 6 3 9 4 0 7],414780,[1 2 4 5 0 7 8 3 6 9],1321822,[3 6 8 1 9 0 7 5 2 4],1864890,[5 1 3 0 2 8 9 4 6 7],2164094,[5 9 6 2 7 0 4 3 1 8],1485651,[4 0 8 7 3 5 1 6 9 2],1140828,[3 1 4 5 6 9 7 0 2 8],403787,[1 2 0 3 8 9 5 7 6 4]
22,126917,[0 4 2 3 5 8 1 9 7 6],1625371,[4 5 2 6 3 8 9 0 7 1],564418,[1 5 9 8 7 3 2 6 0 4],636787,[1 7 8 3 4 5 9 0 6 2],1260155,[3 5 2 0 4 6 7 9 8 1],1633644,[4 5 6 0 9 7 3 1 2 8],2036654,[5 6 4 0 8 1 7 3 2 9],1564299,[4 2 8 3 6 9 0 5 7 1],1334166,[3 7 0 8 1 2 5 4 6 9],551116,[1 5 7 3 4 8 0 9 2 6]
23,228271,[0 6 7 3 1 4 5 2 9 8],1868232,[5 1 3 7 8 6 0 2 4 9],766474,[2 1 0 3 7 5 6 9 4 8],591713,[1 6 7 3 8 9 4 5 2 0],1146327,[3 1 5 6 0 8 7 4 9 2],1813139,[4 9 8 6 1 3 2 7 5 0],2068308,[5 7 2 3 6 9 4 0 1 8],1354159,[3 7 5 6 8 4 1 0 9 2],1164796,[3 1 9 0 7 6 2 8 4 5],543675,[1 5 4 9 0 7 2 6 8 3]
24,89257,[0 3 2 7 9 8 1 4 6 5],1614892,[4 5 0 3 9 6 1 8 2 7],665498,[1 8 5 0 3 9 2 6 4 7],635802,[1 7 8 2 0 4 9 3 5 6],1041132,[2 8 7 5 0 1 6 3 4 9],1794028,[4 9 3 8 6 1 0 7 2 5],1909960,[5 2 3 9 7 1 6 8 0 4],1368579,[3 7 9 4 6 8 0 2 5 1],1381955,[3 8 2 1 5 4 6 9 7 0],273452,[0 7 8 2 6 5 9 3 1 4]
25,245674,[0 7 1 8 3 4 5 9 2 6],1661173,[4 6 1 7 2 0 8 3 9 5],616134,[1 7 3 2 8 5 4 0 6 9],467613,[1 3 6 8 4 7 9 2 5 0],1076859,[2 9 6 5 4 8 0 3 7 1],1804076,[4 9 6 8 3 7 5 1 0 2],2205722,[6 0 7 5 4 1 2 8 3 9],1409126,[3 8 9 5 0 6 4 2 1 7],1433013,[3 9 5 2 1 7 8 4 6 0],293337,[0 8 3 2 5 6 4 7 9 1]
26,251061,[0 7 2 8 6 1 9 4 5 3],1825355,[5 0 3 2 4 6 7 9 8 1],657114,[1 8 3 4 6 9 7 0 2 5],617771,[1 7 3 6 0 2 5 9 8 4],1051067,[2 9 0 5 7 8 3 6 4 1],1705856,[4 7 2 5 1 6 3 8 0 9],2117085,[5 8 4 0 3 2 9 6 7 1],1404997,[3 8 7 6 2 1 5 0 9 4],1262259,[3 5 2 6 0 9 1 7 8 4],547419,[1 5 6 7 2 9 0 4 8 3]
27,45574,[0 2 3 1 5 8 9 7 4 6],1534049,[4 2 0 5 7 8 6 9 3 1],735583,[2 0 3 9 6 8 4 1 7 5],442917,[1 2 9 8 0 7 6 4 5 3],1301280,[3 6 2 1 5 0 4 7 8 9],1610130,[4 3 9 5 1 7 8 0 2 6],2201506,[6 0 5 8 4 9 2 7 1 3],1416042,[3 9 0 8 6 2 7 1 4 5],1198235,[3 2 7 8 1 4 5 9 6 0],484227,[1 4 0 2 7 5 3 8 9 6]
28,226051,[0 6 5 8 9 4 7 1 3 2],1643851,[4 5 8 1 0 7 9 2 6 3],733493,[2 0 3 6 8 5 1 9 7 4],451880,[1 3 2 7 6 8 4 5 0 9],1057913,[2 9 1 8 3 7 5 6 4 0],1869785,[5 1 3 9 8 4 6 7 2 0],2173582,[5 9 8 1 7 0 6 4 2 3],1402959,[3 8 7 2 5 1 6 4 9 0],1222946,[3 4 2 7 6 1 0 8 5 9],261230,[0 7 4 8 6 9 3 2 1 5]
29,303604,[0 8 5 2 7 1 3 9 4 6],1707387,[4 7 2 8 3 1 0 6 9 5],626649,[1 7 5 3 4 0 6 8 9 2],311516,[0 8 6 7 4 9 5 2 1 3],1127152,[3 0 9 6 4 8 5 7 1 2],1884310,[5 1 7 9 0 4 8 6 2 3],2062409,[5 7 1 2 4 8 6 9 3 0],1277075,[3 5 7 2 8 1 4 9 6 0],1330563,[3 7 0 1 2 4 5 8 9 6],367854,[1 0 2 9 8 5 4 3 6 7]
30,188647,[0 5 7 4 1 2 6 3 9 8],1640940,[4 5 7 6 0 3 8 1 2 9],441705,[1 2 9 6 4 8 3 5 7 0],366223,[1 0 2 7 6 9 4 3 8 5],1273651,[3 5 6 7 9 4 8 0 2 1],1537137,[4 2 0 9 8 5 3 6 7 1],2181257,[6 0 1 8 5 2 7 9 4 3],1495557,[4 1 0 8 2 9 7 5 6 3],1120778,[3 0 8 4 6 9 1 5 2 7],438589,[1 2 9 0 3 8 6 4 7 5]
31,249116,[0 7 2 4 9 8 6 3 1 5],1871159,[5 1 4 2 8 9 7 6 3 0],650596,[1 8 2 0 6 7 3 9 4 5],421186,[1 2 5 6 9 8 3 7 0 4],1281207,[3 5 8 1 4 7 6 2 9 0],1545636,[4 2 3 7 8 1 6 0 5 9],1971852,[5 3 9 1 7 0 6 2 4 8],1398067,[3 8 6 2 7 4 9 0 5 1],1407837,[3 8 9 2 1 7 6 4 5 0],237216,[0 6 9 1 4 8 2 3 5 7]
