98%,Optima 1, Optima [1],Optima 2, Optima [2]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2]
1,1210737,[3 4 0 2 7 6 5 8 9 1],2781199,[7 5 9 6 4 3 1 0 8 2]
2,2423017,[6 7 0 8 2 9 1 3 5 4],404419,[1 2 0 4 8 3 9 5 7 6]
3,2591167,[7 1 3 0 9 2 5 4 8 6],2896449,[7 9 6 4 8 0 2 3 5 1]
4,3375078,[9 2 6 5 4 7 1 0 3 8],2162297,[5 9 6 0 2 1 7 8 4 3]
5,1509433,[4 1 5 6 3 8 0 2 9 7],241625,[0 6 9 8 4 3 5 7 2 1]
6,1628287,[4 5 3 0 7 1 6 2 9 8],2765618,[7 5 4 8 0 9 1 3 2 6]
7,2766028,[7 5 4 8 6 1 0 9 2 3],479025,[1 3 9 0 4 8 5 6 7 2]
8,2751832,[7 5 1 9 8 6 3 4 0 2],2501908,[6 9 0 3 8 2 1 7 4 5]
9,1321836,[3 6 8 1 9 2 5 0 4 7],2659250,[7 2 9 5 3 4 0 6 1 8]
10,2950258,[8 1 2 4 6 5 3 9 0 7],273698,[0 7 8 3 1 9 2 5 4 6]
11,65300,[0 2 6 9 7 1 8 4 3 5],1349264,[3 7 4 6 9 8 1 2 0 5]
12,1355197,[3 7 5 9 1 2 6 0 8 4],2937226,[8 0 7 6 3 9 2 5 1 4]
13,769374,[2 1 0 7 6 5 4 3 8 9],305355,[0 8 5 6 1 7 2 4 9 3]
14,1994177,[5 4 3 7 8 0 6 9 2 1],380151,[1 0 5 4 9 8 6 3 7 2]
15,1730339,[4 7 9 2 1 5 3 8 6 0],3555348,[9 7 1 3 8 6 4 0 2 5]
16,408794,[1 2 3 0 8 7 4 6 5 9],2531921,[6 9 7 2 4 1 5 8 3 0]
17,646301,[1 8 0 3 6 9 2 7 5 4],1233577,[3 4 6 8 1 9 0 2 7 5]
18,3278593,[9 0 3 5 6 7 1 2 8 4],2316661,[6 3 4 7 5 2 8 0 9 1]
19,1514135,[4 1 6 3 9 7 8 5 2 0],2903010,[7 9 8 6 5 3 4 0 1 2]
20,1445639,[3 9 7 6 5 8 4 2 1 0],2329428,[6 3 8 1 2 9 5 0 4 7]
21,880085,[2 4 8 6 3 0 1 9 7 5],2637329,[7 2 4 1 9 6 5 8 3 0]
22,3498113,[9 5 7 0 3 8 4 6 2 1],1236159,[3 4 7 1 9 2 6 5 8 0]
23,1754663,[4 8 5 1 0 2 9 7 6 3],1678680,[4 6 7 0 5 1 2 3 8 9]
24,3497034,[9 5 6 7 8 4 3 0 1 2],963947,[2 6 9 1 7 8 3 5 4 0]
25,1069271,[2 9 5 1 0 6 8 7 4 3],1903358,[5 2 1 7 6 3 8 4 0 9]
26,1741337,[4 8 1 5 6 0 7 9 3 2],1840525,[5 0 7 2 3 8 6 1 9 4]
27,1529737,[4 1 9 5 6 8 0 2 7 3],1346792,[3 7 4 1 6 2 5 8 0 9]
28,469578,[1 3 7 2 4 0 9 5 6 8],872554,[2 4 7 0 9 3 5 8 1 6]
29,3228192,[8 9 0 4 5 6 1 2 3 7],1125450,[3 0 9 4 1 7 8 2 5 6]
30,3064628,[8 4 0 1 5 6 9 3 2 7],3154129,[8 6 1 7 5 3 0 2 9 4]
31,3357183,[9 2 3 0 7 5 6 4 8 1],2496604,[6 8 9 2 4 0 1 7 3 5]
32,1114331,[3 0 7 1 8 2 5 9 6 4],162513,[0 5 1 3 8 4 6 7 9 2]
33,2383407,[6 5 0 9 2 7 4 3 8 1],2140557,[5 9 0 6 8 7 4 2 3 1]
34,276255,[0 7 8 6 5 1 4 3 9 2],1719963,[4 7 6 1 9 0 2 5 8 3]
35,2156468,[5 9 3 8 0 4 7 2 1 6],2714162,[7 4 2 5 8 0 1 6 3 9]
36,3443871,[9 4 3 2 0 8 6 5 7 1],1529364,[4 1 9 5 0 7 6 2 3 8]
37,1022789,[2 8 3 9 5 1 0 7 6 4],2234011,[6 1 4 2 8 7 9 0 5 3]
38,2754807,[7 5 2 6 0 8 4 3 9 1],315097,[0 8 7 4 5 9 1 2 6 3]
39,3177289,[8 6 7 2 9 3 0 1 5 4],1307507,[3 6 4 2 9 8 1 7 5 0]
40,309088,[0 8 6 3 2 7 5 9 1 4],2106301,[5 8 1 9 3 4 6 0 7 2]
41,2536771,[6 9 8 2 1 5 7 0 4 3],1079739,[2 9 7 1 5 8 0 4 6 3]
42,1531396,[4 1 9 7 8 5 0 6 2 3],867918,[2 4 6 1 5 8 3 0 7 9]
43,1392175,[3 8 5 1 6 4 2 0 9 7],1507485,[4 1 5 0 8 3 9 6 7 2]
44,3336087,[9 1 6 8 3 5 4 2 7 0],41116,[0 2 1 4 3 8 5 9 6 7]
45,3442680,[9 4 3 0 6 1 2 5 7 8],920118,[2 5 8 4 9 6 1 0 3 7]
46,478825,[1 3 9 0 2 5 4 6 8 7],2435376,[6 7 3 1 4 9 0 2 5 8]
47,3214523,[8 7 5 6 3 4 1 9 2 0],1070684,[2 9 5 4 0 3 8 6 1 7]
48,2171681,[5 9 7 8 1 2 4 6 3 0],166224,[0 5 1 9 8 3 2 4 6 7]
49,1113972,[3 0 7 1 4 2 8 5 6 9],332914,[0 9 3 1 5 4 6 8 2 7]
50,1897130,[5 2 0 4 9 6 1 7 3 8],1595194,[4 3 6 5 7 1 2 9 0 8]
51,1953992,[5 3 4 7 9 1 2 6 0 8],2626463,[7 2 1 0 9 3 8 6 5 4]
52,141785,[0 4 6 1 9 5 7 8 3 2],923875,[2 5 9 3 0 8 7 1 6 4]
53,3102416,[8 4 9 3 7 2 1 5 0 6],1990693,[5 4 2 9 8 0 6 1 7 3]
54,803123,[2 1 9 4 5 7 3 8 6 0],2146676,[5 9 1 8 3 7 6 2 0 4]
55,700626,[1 9 4 0 2 6 8 3 5 7],208716,[0 6 2 4 9 3 7 1 5 8]
56,2609303,[7 1 6 8 0 2 9 5 4 3],2692661,[7 3 8 1 6 9 0 5 4 2]
57,166946,[0 5 2 1 9 4 3 7 6 8],139367,[0 4 5 7 6 2 9 8 3 1]
58,3245617,[8 9 3 7 5 6 0 1 4 2],3303077,[9 0 8 3 5 6 1 7 4 2]
59,109154,[0 3 7 6 5 8 1 4 2 9],2036066,[5 6 3 9 8 1 0 4 2 7]
60,2308657,[6 3 2 0 5 9 1 4 8 7],116796,[0 3 9 2 4 5 7 1 6 8]
61,2147265,[5 9 2 0 3 8 4 6 7 1],3460482,[9 4 7 5 1 2 8 0 3 6]
62,2018683,[5 6 0 4 8 2 9 1 7 3],618596,[1 7 3 8 0 9 6 4 2 5]
63,3162002,[8 6 3 2 7 0 1 5 4 9],1271942,[3 5 6 2 7 4 8 1 0 9]
64,2870035,[7 9 1 4 0 8 6 2 5 3],913912,[2 5 7 3 1 9 6 8 0 4]
65,967766,[2 7 0 1 3 8 6 5 4 9],2177932,[6 0 1 2 9 5 3 8 4 7]
66,2042502,[5 6 7 1 8 9 2 0 3 4],1277706,[3 5 7 4 6 2 9 0 1 8]
67,1117195,[3 0 7 6 5 9 8 1 4 2],3478211,[9 5 2 0 8 1 4 7 6 3]
68,730334,[2 0 1 9 5 3 7 6 4 8],2604287,[7 1 5 8 0 3 9 6 4 2]
69,2900675,[7 9 8 3 5 1 2 6 4 0],1159979,[3 1 8 2 0 6 5 9 7 4]
70,2564061,[7 0 5 8 2 1 9 4 6 3],3025529,[8 3 0 4 1 7 6 9 5 2]
71,1459927,[4 0 2 7 8 1 5 3 9 6],390463,[1 0 7 5 3 9 4 2 8 6]
72,2891381,[7 9 5 4 6 8 0 3 2 1],174821,[0 5 3 7 8 9 1 6 4 2]
73,422253,[1 2 5 8 4 7 9 3 6 0],1887874,[5 1 8 6 0 3 4 9 2 7]
74,3065195,[8 4 0 2 3 5 6 9 7 1],2960725,[8 1 4 5 0 7 6 2 9 3]
75,3051249,[8 3 6 2 9 0 4 5 7 1],246872,[0 7 1 9 8 3 4 5 2 6]
76,2141596,[5 9 0 8 3 6 1 7 2 4],3315375,[9 1 2 7 6 0 5 4 8 3]
77,3232336,[8 9 1 3 4 0 6 7 2 5],1997558,[5 4 6 2 3 1 8 7 0 9]
