Optimas, 10210(0 1 4 2 5 3 7 9 6 8), 1689280(4 6 9 1 2 3 7 8 0 5)
H-Axis, Max distance, Ratio,LCDM,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Dummy5,Dummy6,Dummy7,Dummy8,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
100,3628800,100,827,2,0,0,0,832,0,0,13,0,375,1337,500,818,192297,600
99,3592512,99,102,0,0,0,0,326,0,0,0,0,323,388,350,475,175310,268
98,3556224,98,107,0,0,0,0,325,0,0,0,0,321,392,353,484,174358,269
97,3519936,97,110,0,0,0,0,338,0,0,0,0,330,407,365,494,174411,281
96,3483648,96,95,0,0,0,0,343,0,0,0,0,320,416,360,475,174068,265
95,3447360,95,101,0,0,0,0,334,0,0,0,0,338,386,344,477,176018,270
94,3411072,94,104,0,0,0,0,337,0,0,0,0,327,411,362,482,176747,279
93,3374784,93,112,0,0,0,0,356,0,0,0,0,349,407,369,530,174445,280
92,3338496,92,127,0,0,0,0,324,0,0,0,0,326,396,350,475,175649,273
91,3302208,91,117,0,0,0,0,336,0,0,0,0,328,412,361,498,173764,271
90,3265920,90,120,0,0,0,0,336,0,0,0,0,336,389,358,475,174955,270
89,3229632,89,93,0,0,0,0,326,0,0,0,0,312,405,342,482,172637,268
88,3193344,88,129,0,0,0,0,335,0,0,0,0,330,389,359,499,177450,270
87,3157056,87,127,0,0,0,0,331,0,0,0,0,337,392,354,493,173388,280
86,3120768,86,122,0,0,0,0,336,0,0,0,0,339,408,352,497,175096,284
85,3084480,85,119,0,0,0,0,359,0,0,0,0,329,388,381,507,173726,274
84,3048192,84,136,0,0,0,0,504,0,0,0,0,337,421,362,497,174677,285
83,3011904,83,132,0,0,0,0,331,0,0,0,0,350,420,375,1393,176967,1281
82,2975616,82,112,0,0,0,0,331,0,0,0,0,334,402,347,477,173215,273
81,2939328,81,128,0,0,0,0,344,0,0,0,0,343,402,360,484,174575,271
80,2903040,80,122,0,0,0,0,352,0,0,0,0,349,420,370,505,175750,286
79,2866752,79,144,0,0,0,0,370,0,0,0,0,333,406,357,506,176002,280
78,2830464,78,113,0,0,0,0,337,0,0,0,0,337,402,351,480,174405,275
77,2794176,77,110,0,0,0,0,334,0,0,0,0,330,400,358,497,173414,270
76,2757888,76,116,0,0,0,0,344,0,0,0,0,353,410,521,505,176346,292
75,2721600,75,140,0,0,0,0,370,0,0,0,0,336,434,396,533,175067,276
