10%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10],Optima 11, Optima [11],Optima 12, Optima [12],Optima 13, Optima [13],Optima 14, Optima [14],Optima 15, Optima [15],Optima 16, Optima [16],Optima 17, Optima [17],Optima 18, Optima [18],Optima 19, Optima [19],Optima 20, Optima [20]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6],1699998,[4 7 1 3 0 8 5 2 6 9],2117037,[5 8 4 0 2 9 7 3 6 1],1406637,[3 8 9 0 5 7 6 2 4 1],1204758,[3 2 9 0 4 7 5 1 6 8],258085,[0 7 4 2 5 8 6 1 9 3],305111,[0 8 5 4 7 3 9 6 2 1],1178840,[3 2 1 9 4 7 5 6 0 8],2562143,[7 0 5 3 6 1 9 8 4 2],1329233,[3 6 9 7 0 8 4 5 2 1],3119554,[8 5 2 9 6 1 3 7 0 4],3077106,[8 4 2 5 7 3 9 0 1 6],422700,[1 2 5 9 0 6 7 3 4 8],372839,[1 0 3 9 7 8 6 5 4 2],813907,[2 3 1 6 5 7 9 0 8 4],1689280,[4 6 9 1 2 3 7 8 0 5]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10],Optima 11, Optima [11],Optima 12, Optima [12],Optima 13, Optima [13],Optima 14, Optima [14],Optima 15, Optima [15],Optima 16, Optima [16],Optima 17, Optima [17],Optima 18, Optima [18],Optima 19, Optima [19],Optima 20, Optima [20]
1,138071,[0 4 5 3 8 6 9 7 2 1],1819630,[5 0 2 1 4 7 9 8 3 6],656282,[1 8 3 2 6 0 4 7 5 9],482287,[1 3 9 6 8 0 4 2 7 5],1364820,[3 7 8 6 4 2 5 0 1 9],1825616,[5 0 3 2 7 6 4 8 1 9],1963836,[5 3 7 6 4 1 8 0 2 9],1461369,[4 0 2 9 7 1 5 6 8 3],1210377,[3 4 0 2 1 7 6 8 9 5],370315,[1 0 3 6 4 9 8 2 7 5],317975,[0 8 9 1 5 6 7 4 3 2],1217658,[3 4 1 7 2 0 9 5 6 8],2593885,[7 1 3 6 5 8 4 0 9 2],1526970,[4 1 8 9 6 5 7 0 2 3],2983286,[8 1 9 7 3 5 4 2 0 6],2862908,[7 9 0 1 3 5 8 4 2 6],695070,[1 9 2 8 4 3 5 0 6 7],682309,[1 8 9 3 5 7 4 0 6 2],786759,[2 1 6 0 8 4 7 5 9 3],1568113,[4 2 9 0 8 6 1 3 7 5]
2,354234,[0 9 7 2 8 6 5 1 3 4],1841512,[5 0 7 3 6 9 4 8 1 2],570588,[1 6 2 3 5 9 7 0 4 8],392858,[1 0 7 9 5 8 2 4 3 6],1158492,[3 1 7 9 0 2 6 4 5 8],1878407,[5 1 6 7 9 2 8 4 3 0],2011806,[5 4 9 1 2 0 6 3 7 8],1332146,[3 7 0 4 2 5 1 8 6 9],1413345,[3 9 0 4 8 7 2 5 6 1],344826,[0 9 5 3 8 4 7 1 2 6],587243,[1 6 5 4 7 8 2 9 3 0],1120941,[3 0 8 4 9 1 7 5 6 2],2438975,[6 7 3 9 2 5 8 4 1 0],1225816,[3 4 5 1 7 0 8 9 2 6],2818163,[7 6 9 1 0 5 3 8 4 2],2891014,[7 9 5 4 1 6 8 3 0 2],506472,[1 4 6 5 3 8 0 2 7 9],615059,[1 7 3 0 4 6 5 9 8 2],929737,[2 6 0 5 3 9 1 4 8 7],1622219,[4 5 1 9 0 6 3 8 7 2]
3,121361,[0 4 1 2 7 5 8 9 6 3],1860124,[5 1 2 0 7 3 4 9 6 8],614152,[1 7 2 8 9 6 4 5 0 3],537163,[1 5 3 7 0 4 9 2 8 6],1291415,[3 6 0 2 7 8 9 5 4 1],1760686,[4 8 6 2 3 1 9 7 0 5],1914603,[5 2 4 9 1 0 3 7 8 6],1301744,[3 6 2 1 9 8 4 5 0 7],1300663,[3 6 2 0 5 9 4 1 8 7],334077,[0 9 3 2 8 7 6 4 5 1],295519,[0 8 3 6 4 7 2 1 9 5],1397879,[3 8 6 2 4 9 7 5 1 0],2443837,[6 7 4 9 1 2 5 0 8 3],1464269,[4 0 3 6 8 2 1 9 7 5],2900135,[7 9 8 2 6 4 5 3 1 0],3100610,[8 4 9 1 3 5 0 6 2 7],586182,[1 6 5 3 0 9 4 2 7 8],655651,[1 8 3 0 6 7 9 2 5 4],770181,[2 1 0 8 7 3 9 5 6 4],1629673,[4 5 3 2 6 8 0 1 9 7]
4,294485,[0 8 3 5 1 2 4 9 7 6],1783588,[4 9 1 8 2 3 0 7 5 6],470911,[1 3 7 5 0 4 6 2 9 8],480082,[1 3 9 2 7 6 4 8 0 5],1317758,[3 6 7 4 1 2 8 5 0 9],1785780,[4 9 2 3 1 6 7 0 5 8],2245364,[6 1 7 4 5 2 9 3 0 8],1499250,[4 1 2 6 3 8 9 0 5 7],1301105,[3 6 2 1 0 7 8 9 5 4],268217,[0 7 6 2 5 1 8 9 4 3],495989,[1 4 3 5 9 2 0 8 7 6],1413662,[3 9 0 5 4 6 7 2 1 8],2465198,[6 8 1 0 9 3 5 4 2 7],1415256,[3 9 0 7 5 8 1 2 4 6],2908998,[8 0 2 3 4 7 5 1 6 9],2830488,[7 8 1 5 2 4 0 3 6 9],640965,[1 7 9 2 3 4 8 5 6 0],574546,[1 6 2 9 8 7 3 5 0 4],998886,[2 7 8 1 4 0 5 3 6 9],1671947,[4 6 3 8 0 9 2 7 5 1]
5,304582,[0 8 5 4 1 2 9 7 3 6],1562881,[4 2 8 0 7 1 3 5 9 6],636684,[1 7 8 3 2 6 5 0 4 9],446888,[1 3 0 7 8 2 5 6 4 9],1169090,[3 1 9 8 6 4 0 5 2 7],1732628,[4 7 9 6 2 3 8 1 0 5],1974042,[5 3 9 6 7 1 8 0 2 4],1405411,[3 8 7 6 9 4 5 0 2 1],1427754,[3 9 4 1 8 7 6 0 2 5],313382,[0 8 7 2 3 5 6 4 1 9],630295,[1 7 6 0 4 5 3 2 9 8],1147571,[3 1 5 7 9 0 4 8 6 2],2315662,[6 3 4 5 1 0 9 8 2 7],1263008,[3 5 2 7 1 0 6 8 4 9],3022259,[8 2 9 5 4 3 1 7 6 0],2861807,[7 8 9 5 4 1 6 3 2 0],488513,[1 4 0 9 5 8 6 7 3 2],690318,[1 9 0 8 6 5 3 2 4 7],810278,[2 3 0 8 5 4 7 6 1 9],1526624,[4 1 8 9 2 7 3 5 0 6]
6,113723,[0 3 8 5 9 6 2 7 4 1],1576506,[4 3 0 8 6 5 9 1 2 7],537873,[1 5 3 8 0 4 6 7 9 2],642357,[1 7 9 4 0 8 6 3 5 2],1350385,[3 7 4 9 5 1 0 2 8 6],1627484,[4 5 2 9 3 1 8 6 0 7],2086028,[5 7 6 9 1 3 8 2 0 4],1365201,[3 7 8 9 0 5 2 4 6 1],1442183,[3 9 7 1 0 2 8 6 5 4],285985,[0 8 1 7 3 4 2 5 9 6],348669,[0 9 6 2 3 5 8 4 7 1],1422521,[3 9 2 1 7 4 6 8 5 0],2647035,[7 2 6 1 4 8 0 5 9 3],1285490,[3 5 9 0 4 6 1 7 2 8],2822165,[7 6 9 8 4 0 1 5 3 2],2857916,[7 8 9 0 2 6 5 3 1 4],384080,[1 0 6 3 5 8 4 7 2 9],606208,[1 7 0 3 9 6 5 8 2 4],1025583,[2 8 4 5 3 6 7 1 9 0],1727871,[4 7 8 6 5 9 2 1 3 0]
7,202662,[0 6 1 3 5 9 4 2 7 8],1841738,[5 0 7 3 9 8 1 4 2 6],615780,[1 7 3 2 4 6 8 0 5 9],621037,[1 7 4 2 6 3 8 0 9 5],1312057,[3 6 5 2 1 9 0 4 8 7],1687325,[4 6 8 7 3 0 1 9 5 2],2076734,[5 7 4 0 3 1 8 6 2 9],1377150,[3 8 1 2 7 4 5 0 6 9],1355844,[3 7 6 0 1 8 5 2 4 9],453008,[1 3 2 9 4 0 6 7 5 8],502750,[1 4 5 8 2 6 9 7 0 3],1310118,[3 6 4 9 5 7 1 0 2 8],2471843,[6 8 2 4 0 7 3 9 5 1],1265533,[3 5 4 0 8 1 7 2 9 6],3137418,[8 5 7 3 4 0 9 1 2 6],2955257,[8 1 3 4 6 0 7 9 5 2],636121,[1 7 8 2 5 0 3 4 9 6],467818,[1 3 6 8 7 4 2 9 0 5],982281,[2 7 3 9 1 6 4 5 8 0],1764942,[4 8 7 1 2 9 3 0 5 6]
