Optimas, 10210(0 1 4 2 5 3 7 9 6 8), 1689280(4 6 9 1 2 3 7 8 0 5), 486002(1 4 0 6 2 3 5 8 7 9), 324738(0 9 1 5 2 3 8 4 6 7), 1120434(3 0 8 4 1 9 7 2 5 6), 1699998(4 7 1 3 0 8 5 2 6 9), 2117037(5 8 4 0 2 9 7 3 6 1), 1406637(3 8 9 0 5 7 6 2 4 1), 1204758(3 2 9 0 4 7 5 1 6 8), 258085(0 7 4 2 5 8 6 1 9 3), 305111(0 8 5 4 7 3 9 6 2 1), 1178840(3 2 1 9 4 7 5 6 0 8), 2562143(7 0 5 3 6 1 9 8 4 2), 1329233(3 6 9 7 0 8 4 5 2 1), 3119554(8 5 2 9 6 1 3 7 0 4), 3077106(8 4 2 5 7 3 9 0 1 6), 422700(1 2 5 9 0 6 7 3 4 8), 372839(1 0 3 9 7 8 6 5 4 2), 813907(2 3 1 6 5 7 9 0 8 4), 1689280(4 6 9 1 2 3 7 8 0 5)
H-Axis, Max distance, Ratio,LCDM,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Dummy5,Dummy6,Dummy7,Dummy8,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
100,3628800,100,713,2,0,0,0,435,0,0,0,0,370,869,1672,513,189872,298
99,3592512,99,98,0,0,0,0,316,0,0,0,0,322,387,348,466,175537,273
98,3556224,98,96,0,0,0,0,334,0,0,0,0,319,396,358,481,172678,275
97,3519936,97,100,0,0,0,0,326,0,0,0,0,329,395,353,486,172277,270
96,3483648,96,98,0,0,0,0,324,0,0,0,0,323,391,354,476,173231,274
95,3447360,95,121,0,0,0,0,328,0,0,0,0,325,398,357,469,174881,281
94,3411072,94,103,0,0,0,0,329,0,0,0,0,317,397,345,479,173830,271
93,3374784,93,119,0,0,0,3,346,0,0,0,0,317,413,356,493,173409,283
92,3338496,92,111,0,0,0,0,327,0,0,0,0,319,395,359,478,170809,274
91,3302208,91,108,0,0,0,0,333,0,0,0,0,329,383,356,516,172768,273
90,3265920,90,99,0,0,0,0,323,0,0,0,0,312,393,355,472,174016,269
89,3229632,89,128,0,0,0,0,349,0,0,0,0,345,428,370,545,175884,282
88,3193344,88,115,0,0,0,0,332,0,0,0,0,340,408,343,479,171282,284
87,3157056,87,120,0,0,0,0,335,0,0,0,0,324,399,355,481,174558,271
86,3120768,86,102,0,0,0,0,315,0,0,0,0,317,390,345,499,173668,273
85,3084480,85,104,0,0,0,0,330,0,0,0,0,320,394,348,524,177041,278
84,3048192,84,96,0,0,0,0,356,0,0,0,0,362,394,350,498,174810,269
83,3011904,83,108,0,0,0,0,326,0,0,0,0,322,392,348,514,174366,271
82,2975616,82,110,0,0,0,0,330,0,0,0,0,339,397,360,477,172593,273
81,2939328,81,111,0,0,0,0,334,0,0,0,0,334,410,356,496,172761,287
80,2903040,80,101,0,0,0,0,325,0,0,0,0,319,389,376,480,170856,274
