100%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5]
1,409309,[1 2 3 4 6 9 7 0 8 5],1794415,[4 9 5 0 2 6 3 1 8 7],2337226,[6 3 9 7 0 8 2 5 1 4],1764493,[4 8 7 0 6 1 5 2 9 3],2844144,[7 8 4 2 1 3 0 5 6 9]
2,25155,[0 1 6 9 8 5 2 4 7 3],1443057,[3 9 7 2 1 5 4 6 8 0],876385,[2 4 7 9 1 3 0 5 8 6],542543,[1 5 4 7 6 0 9 8 3 2],3044150,[8 3 4 9 7 6 2 1 0 5]
3,2982062,[8 1 9 5 6 3 4 2 0 7],3342343,[9 1 8 2 0 7 4 3 6 5],3449108,[9 4 5 2 3 6 8 1 0 7],3423348,[9 3 8 1 5 7 4 0 2 6],2514134,[6 9 2 7 8 0 4 3 1 5]
4,755997,[2 0 7 9 8 6 5 3 4 1],2972353,[8 1 6 7 2 5 0 3 9 4],976425,[2 7 1 8 0 9 4 5 6 3],2592097,[7 1 3 4 0 9 2 5 8 6],851220,[2 4 0 9 3 6 7 1 5 8]
5,2630130,[7 2 1 8 9 5 6 0 3 4],2856325,[7 8 6 5 0 4 3 1 9 2],3409736,[9 3 5 4 7 2 1 6 0 8],2260718,[6 2 0 5 9 3 7 4 1 8],3592343,[9 8 0 6 3 1 7 5 4 2]
6,2121505,[5 8 4 9 3 1 0 2 7 6],525593,[1 5 0 3 9 8 6 7 4 2],3125188,[8 5 4 0 6 2 1 9 3 7],1981154,[5 4 1 0 7 8 2 6 3 9],1598015,[4 3 7 0 5 8 9 6 2 1]
7,1519090,[4 1 7 3 9 0 5 8 2 6],1844911,[5 0 8 1 4 3 6 2 9 7],180931,[0 5 4 9 2 7 8 1 6 3],3423711,[9 3 8 2 0 7 5 4 6 1],2695511,[7 3 8 6 5 2 9 4 1 0]
8,1075326,[2 9 6 3 5 0 4 1 7 8],662285,[1 8 4 3 9 0 2 7 6 5],472821,[1 3 7 8 6 0 9 4 5 2],2465144,[6 8 1 0 7 9 3 4 2 5],2802097,[7 6 3 9 5 8 0 1 4 2]
9,2394277,[6 5 3 0 4 2 8 1 9 7],3498411,[9 5 7 0 8 3 1 4 6 2],1997361,[5 4 6 2 0 8 3 7 9 1],970530,[2 7 0 5 9 6 8 1 3 4],1173514,[3 2 0 8 9 4 5 7 1 6]
10,116212,[0 3 9 1 5 6 2 8 4 7],3601995,[9 8 2 5 6 4 0 3 7 1],1120172,[3 0 8 2 7 6 9 4 1 5],2969224,[8 1 6 0 9 4 5 7 2 3],2049242,[5 6 8 4 1 0 2 7 3 9]
11,2749129,[7 5 1 4 2 6 0 3 9 8],398087,[1 0 8 9 7 3 6 5 4 2],1823131,[5 0 2 8 1 7 9 3 6 4],3339508,[9 1 7 5 2 3 0 8 4 6],1051690,[2 9 0 6 7 1 4 8 3 5]
12,163859,[0 5 1 6 7 4 3 9 8 2],2223210,[6 1 2 0 8 7 9 3 4 5],1123856,[3 0 8 9 7 4 2 5 1 6],1239109,[3 4 7 8 9 6 2 0 5 1],2157064,[5 9 3 8 7 2 4 6 0 1]
13,1693319,[4 6 9 8 5 7 3 2 1 0],3083000,[8 4 3 6 9 5 1 2 0 7],3337692,[9 1 7 2 6 0 5 3 4 8],1107876,[3 0 5 8 7 2 6 1 4 9],3359834,[9 2 3 6 4 7 0 5 1 8]
14,2570734,[7 0 8 1 4 6 9 5 2 3],3451897,[9 4 5 8 1 7 0 2 6 3],1739952,[4 8 1 2 6 7 0 3 5 9],146651,[0 4 7 1 8 2 5 9 6 3],639591,[1 7 8 9 2 6 4 3 5 0]
15,1664739,[4 6 2 3 0 9 1 7 8 5],676943,[1 8 7 3 2 0 9 6 5 4],2302285,[6 3 0 8 5 7 4 1 9 2],657917,[1 8 3 5 7 6 0 9 4 2],27102,[0 1 7 4 6 9 3 2 5 8]
16,3567473,[9 7 3 6 5 8 2 4 1 0],534374,[1 5 3 0 4 2 8 7 6 9],663886,[1 8 4 7 0 3 9 6 2 5],43016,[0 2 1 6 8 5 4 7 3 9],98475,[0 3 5 6 8 7 1 4 9 2]
17,2344287,[6 4 1 0 9 7 5 3 8 2],2709648,[7 4 1 6 3 5 0 2 8 9],2218237,[6 1 0 2 9 4 7 3 8 5],1445458,[3 9 7 6 4 2 1 8 0 5],858239,[2 4 3 1 9 8 7 6 5 0]
18,1817088,[5 0 1 6 8 4 2 3 7 9],2423080,[6 7 0 8 3 2 5 9 1 4],374010,[1 0 4 3 6 8 9 2 5 7],549175,[1 5 6 9 7 3 2 0 8 4],1577301,[4 3 0 9 7 1 8 5 6 2]
19,1018449,[2 8 3 0 6 1 5 7 9 4],1660262,[4 6 1 3 9 5 7 2 0 8],2139991,[5 9 0 6 2 3 4 1 8 7],162911,[0 5 1 4 3 7 9 8 6 2],3317633,[9 1 3 2 7 8 5 6 4 0]
20,1600035,[4 3 7 5 1 8 0 6 9 2],1309945,[3 6 4 9 2 1 0 5 8 7],71494,[0 2 8 3 4 7 9 6 1 5],1951879,[5 3 4 1 9 7 2 0 8 6],2725789,[7 4 5 8 6 9 2 0 3 1]
21,654439,[1 8 2 7 9 5 3 0 6 4],38311,[0 1 9 6 3 4 5 2 8 7],1486888,[4 0 9 1 2 7 6 8 3 5],1833866,[5 0 4 9 1 3 2 7 6 8],3096535,[8 4 7 2 6 3 1 0 9 5]
22,2058204,[5 7 0 3 6 8 4 1 2 9],396109,[1 0 8 6 2 9 5 3 7 4],2007872,[5 4 8 2 7 1 3 6 0 9],1650931,[4 5 9 3 8 6 7 0 2 1],1405426,[3 8 7 6 9 5 1 4 0 2]
23,18944,[0 1 5 8 3 9 4 6 2 7],2564271,[7 0 5 8 3 9 4 2 6 1],316319,[0 8 7 6 2 9 5 4 3 1],1336689,[3 7 1 2 6 0 5 8 9 4],56945,[0 2 5 4 1 7 8 9 6 3]
24,1248116,[3 4 9 6 2 8 7 1 0 5],2633237,[7 2 3 5 1 8 0 9 6 4],1110643,[3 0 6 4 7 2 9 1 8 5],233451,[0 6 8 3 2 5 1 7 9 4],343818,[0 9 5 2 6 1 8 3 4 7]
25,2168599,[5 9 7 1 8 4 2 0 6 3],2418880,[6 5 9 8 3 1 4 7 0 2],2513379,[6 9 2 5 7 8 0 3 4 1],3233318,[8 9 1 4 6 2 5 3 0 7],788935,[2 1 6 5 8 4 3 0 9 7]
26,1115984,[3 0 7 4 9 8 2 5 1 6],2982750,[8 1 9 6 5 2 3 0 4 7],3238075,[8 9 2 4 1 7 6 0 5 3],2491222,[6 8 7 2 0 1 9 5 3 4],2838621,[7 8 3 1 5 0 9 4 6 2]
27,1854959,[5 1 0 2 4 9 8 7 6 3],2950798,[8 1 2 5 3 9 7 6 0 4],2599020,[7 1 4 6 8 3 5 0 2 9],735678,[2 0 3 9 7 6 4 1 5 8],2768231,[7 5 6 1 8 3 9 4 2 0]
28,3385955,[9 2 8 6 5 1 3 7 4 0],33005,[0 1 8 5 9 2 3 7 6 4],868071,[2 4 6 1 7 9 5 3 8 0],3501640,[9 5 7 6 2 1 4 8 0 3],2848504,[7 8 5 1 2 4 6 9 0 3]
29,7091,[0 1 3 5 9 2 6 8 7 4],3201507,[8 7 3 1 5 2 0 6 9 4],2119177,[5 8 4 3 1 9 0 2 7 6],1857574,[5 1 0 6 9 7 8 4 2 3],314324,[0 8 7 3 5 2 9 4 1 6]
30,3165504,[8 6 4 0 5 2 1 3 7 9],2540798,[7 0 1 2 9 4 6 5 3 8],1926718,[5 2 8 1 9 7 6 4 0 3],2811937,[7 6 5 9 2 8 0 1 4 3],3476898,[9 5 1 8 0 2 7 3 4 6]
31,1474891,[4 0 6 7 3 8 9 1 5 2],1296070,[3 6 1 2 0 7 9 8 4 5],1030673,[2 8 5 4 3 9 6 7 1 0],330388,[0 9 2 5 8 3 1 7 4 6],1681655,[4 6 7 5 3 8 9 2 1 0]
32,1319945,[3 6 7 9 1 4 5 8 2 0],882413,[2 4 9 0 6 5 1 8 7 3],1017175,[2 8 1 7 6 4 3 0 9 5],623818,[1 7 4 8 3 5 2 9 0 6],56540,[0 2 5 3 7 1 9 6 4 8]
33,1647106,[4 5 8 7 3 9 1 6 0 2],3411337,[9 3 5 7 8 6 0 1 4 2],1029714,[2 8 5 3 0 9 7 1 4 6],681315,[1 8 9 2 3 6 0 5 7 4],186574,[0 5 7 1 2 8 9 6 3 4]
34,565337,[1 6 0 3 4 2 8 9 7 5],45322,[0 2 1 9 8 6 4 7 3 5],837277,[2 3 8 0 9 4 6 1 7 5],1431777,[3 9 5 0 6 4 2 7 8 1],3074749,[8 4 2 0 5 9 6 1 7 3]
35,2214236,[6 0 9 3 2 8 7 4 1 5],767353,[2 1 0 4 8 7 3 5 9 6],2193288,[6 0 4 2 3 7 1 5 8 9],1599326,[4 3 7 2 1 8 6 5 0 9],599669,[1 6 8 9 7 2 0 5 4 3]
36,288475,[0 8 2 3 6 9 7 1 5 4],632816,[1 7 6 4 9 3 2 5 0 8],2107996,[5 8 2 1 7 6 0 9 3 4],2479443,[6 8 3 9 5 0 1 4 7 2],2521650,[6 9 4 2 1 7 8 0 3 5]
37,2795183,[7 6 2 5 1 0 9 8 4 3],12793,[0 1 4 6 8 7 2 3 9 5],1306293,[3 6 4 1 2 8 9 5 7 0],1981402,[5 4 1 0 9 7 3 8 2 6],3177552,[8 6 7 3 1 5 0 2 4 9]
38,2134098,[5 8 9 3 0 1 7 2 4 6],328977,[0 9 2 3 8 5 4 6 7 1],733661,[2 0 3 6 9 8 1 7 5 4],3580737,[9 7 6 3 1 4 2 5 8 0],832789,[2 3 7 1 6 9 5 0 8 4]
39,1949620,[5 3 2 8 7 9 0 6 1 4],2730791,[7 4 6 8 5 2 9 3 1 0],129936,[0 4 2 8 5 9 1 3 6 7],1638478,[4 5 7 0 6 9 8 3 1 2],83660,[0 3 1 7 4 2 9 6 5 8]
