Optimas, 421(0 4 3 5 1 6 2)
H-Axis, Max distance, Ratio,Normal: 42 clusters,84 clusters,126 clusters,168 clusters,210 clusters,Ursem,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
100,5040,100,43,36,28,28,34,36,5854,36816,5740,5109,50,36,46,81,5756,26
99,4989.6,99,12,20,25,21,25,26,4155,31296,3699,3472,28,31,25,40,4607,18
98,4939.2,98,51,18,19,20,27,42,4110,31530,3588,3315,24,31,25,40,4682,18
97,4888.8,97,11,19,19,38,23,27,4297,32218,3748,3589,24,29,25,42,4525,20
96,4838.4,96,11,18,18,24,21,26,4520,32019,3939,3683,26,65,25,40,4605,32
95,4788,95,22,18,19,36,39,54,4348,31886,3629,3468,25,30,25,55,4545,19
94,4737.6,94,12,20,20,93,28,33,4370,31749,3899,3675,90,46,27,42,4570,32
93,4687.2,93,12,18,20,20,21,26,4172,31108,3691,3531,27,28,26,42,4449,20
92,4636.8,92,11,18,19,20,33,25,4273,31204,3739,3486,33,28,25,40,4581,18
91,4586.4,91,12,18,19,20,21,53,3965,31429,3584,3198,25,27,25,40,4494,18
90,4536,90,14,18,19,20,22,26,4242,31931,3720,3396,30,29,25,41,4622,18
89,4485.6,89,12,20,19,20,21,25,4285,31456,3772,3571,24,27,25,40,4537,18
88,4435.2,88,12,42,42,20,21,27,4073,31267,3633,3349,24,27,25,40,4488,18
87,4384.8,87,22,18,18,20,60,25,4102,30866,3614,3440,24,27,25,40,4635,18
86,4334.4,86,14,18,19,20,22,25,4040,30842,3527,3297,24,27,25,41,4512,18
85,4284,85,11,17,19,21,21,32,4168,31202,3695,3448,24,30,25,41,4606,18
84,4233.6,84,17,26,18,21,21,25,4285,31597,3830,3489,24,27,24,40,4551,18
83,4183.2,83,25,18,18,20,21,31,4232,31418,3811,3487,24,27,25,40,4551,18
82,4132.8,82,26,33,18,21,28,25,4191,31240,3694,3510,24,27,24,40,4467,18
81,4082.4,81,12,19,19,21,21,25,4037,30938,3611,3400,24,29,25,40,4521,18
80,4032,80,11,21,18,20,24,25,4341,31306,3659,3622,24,27,25,40,4585,18
79,3981.6,79,13,18,18,20,22,25,4128,31281,3622,3390,24,27,25,40,4521,18
78,3931.2,78,17,18,18,20,21,25,4364,31611,3854,3747,24,27,25,40,4623,18
77,3880.8,77,12,18,33,20,22,32,4385,31424,3842,3582,28,27,27,43,4555,18
76,3830.4,76,12,21,19,34,27,26,4095,31356,3568,3349,44,27,25,40,4426,18
75,3780,75,16,18,19,20,21,25,4196,31024,3721,3371,24,27,25,40,4513,18
74,3729.6,74,12,18,19,20,21,25,4176,31041,3705,3524,61,28,26,41,4579,18
73,3679.2,73,12,20,19,20,21,30,4188,31151,3673,3460,24,27,26,51,4558,18
72,3628.8,72,11,24,19,28,21,30,4423,31314,3977,3693,37,29,25,40,4603,18
71,3578.4,71,13,38,38,20,21,25,4155,30711,3548,3358,24,27,24,40,4600,18
70,3528,70,12,19,18,20,22,25,4265,31193,3761,3476,25,28,25,41,4476,18
69,3477.6,69,11,19,34,21,23,49,4271,31238,3820,3540,28,27,25,40,4574,24
68,3427.2,68,13,18,19,20,21,25,4038,30767,3451,3295,24,27,25,40,4549,18
67,3376.8,67,12,19,19,20,22,25,4358,31081,3769,3657,24,27,24,40,4536,18
66,3326.4,66,13,19,29,29,21,28,4188,31389,3599,3341,24,27,25,41,4527,18
65,3276,65,11,21,20,20,45,26,4269,31263,3649,3484,24,27,24,39,4508,18
64,3225.6,64,14,18,19,20,21,26,4113,30880,3636,3420,24,27,25,40,4554,19
63,3175.2,63,12,18,19,20,21,25,4588,31574,4100,4035,24,31,25,78,4590,18
62,3124.8,62,11,19,19,20,21,25,3950,30649,3442,3209,24,27,25,39,4515,18
61,3074.4,61,12,19,19,20,22,25,4407,31294,3755,3642,24,28,28,40,4642,18
60,3024,60,12,20,19,20,21,25,4221,31072,3661,3462,24,27,25,39,4511,55
59,2973.6,59,12,19,19,20,21,25,4224,31396,3680,3446,24,27,25,39,4513,18
58,2923.2,58,13,19,19,20,21,26,4215,30851,3542,3449,24,27,25,39,4512,18
57,2872.8,57,11,18,18,20,21,25,4315,31129,3701,3608,24,27,25,40,4680,18
56,2822.4,56,11,19,18,20,21,25,4063,30870,3578,3392,24,27,25,39,4515,18
55,2772,55,12,18,35,26,21,27,4468,31101,3821,3690,24,27,25,39,4542,18
54,2721.6,54,17,19,19,20,21,25,4222,31130,3636,3464,24,27,25,39,4482,18
53,2671.2,53,10,19,21,20,21,31,4291,31209,3690,3678,25,27,25,40,4628,18
52,2620.8,52,12,19,22,20,23,26,4342,31148,3706,3683,108,27,38,40,4602,19
51,2570.4,51,12,18,18,20,21,25,4200,30796,3564,3412,24,27,24,39,4499,18
50,2520,50,12,18,18,21,21,25,4346,30770,3713,3671,24,57,25,39,4567,18
49,2469.6,49,11,18,19,20,21,41,4310,31262,3704,3571,24,27,25,47,4455,25
48,2419.2,48,11,19,19,20,24,29,4452,31356,3722,3595,25,27,25,43,4617,19
47,2368.8,47,25,18,53,20,21,60,4512,32012,3713,3836,24,28,25,39,4627,19
46,2318.4,46,12,21,25,26,21,25,4442,30882,3781,3709,25,30,25,39,4532,20
45,2268,45,12,19,19,25,22,29,4202,30469,3498,3601,24,27,25,39,4549,18
44,2217.6,44,11,19,19,45,42,44,4431,30982,3698,3577,25,65,25,39,4555,18
43,2167.2,43,11,19,18,20,29,25,4118,30509,3475,3352,24,27,27,38,4503,21
42,2116.8,42,11,18,19,20,21,25,4413,31057,3579,3671,24,27,27,38,4641,18
41,2066.4,41,11,19,19,21,21,26,4396,31091,3746,3698,25,29,25,39,4459,18
40,2016,40,12,19,25,21,21,25,4537,31141,3763,3908,24,27,26,40,4548,25
39,1965.6,39,12,19,35,36,41,25,4557,30958,3801,3866,25,28,25,78,4617,18
38,1915.2,38,11,18,18,20,45,48,4231,30897,3527,3575,24,27,25,38,4433,18
37,1864.8,37,13,19,19,20,21,26,4645,31072,3806,3953,24,27,25,38,4581,18
36,1814.4,36,12,19,19,24,22,26,4487,31018,3717,3714,27,29,26,38,4549,24
35,1764,35,18,18,20,20,26,29,4448,30854,3685,3765,24,27,25,41,4646,18
34,1713.6,34,18,29,30,20,21,25,4520,31392,3705,3826,24,27,24,42,4579,18
33,1663.2,33,12,41,41,20,21,25,4339,30445,3487,3561,24,27,67,37,4441,18
32,1612.8,32,11,18,19,20,21,25,4464,30697,3589,3633,24,27,25,37,4558,18
31,1562.4,31,17,18,44,20,44,25,4297,30467,3545,3612,26,27,26,37,4545,18
30,1512,30,12,19,20,20,21,26,4308,30617,3560,3559,24,27,25,36,4530,18
29,1461.6,29,13,21,24,20,21,25,4552,30825,3726,3801,31,30,25,36,4508,18
28,1411.2,28,12,19,21,20,38,25,4386,30655,3532,3633,24,27,25,43,4664,18
27,1360.8,27,14,37,20,40,38,26,4308,31014,3586,3550,24,27,25,36,4470,18
26,1310.4,26,11,18,19,21,21,26,4550,31055,3810,3933,24,27,25,36,4592,18
25,1260,25,11,18,19,22,21,53,4485,30663,3556,3604,24,27,25,36,4391,18
24,1209.6,24,11,18,18,20,23,25,4467,30860,3520,3658,24,27,25,37,4684,18
23,1159.2,23,12,41,41,20,22,25,4370,30334,3515,3671,26,29,54,37,4516,18
22,1108.8,22,11,18,20,21,21,28,4531,30728,3592,3746,24,27,25,36,4646,18
21,1058.4,21,11,17,26,20,21,26,4432,30552,3656,3752,24,27,25,37,4625,18
20,1008,20,12,21,40,40,21,26,4614,30248,3712,3941,24,28,25,39,4567,18
19,957.6,19,12,18,18,21,21,28,4471,30773,3561,3749,24,27,25,36,4526,18
18,907.2,18,13,19,19,20,37,25,4568,30631,3629,3787,24,27,24,36,4531,18
17,856.8,17,11,21,20,20,21,25,4611,30826,3707,3954,28,27,25,36,4666,18
16,806.4,16,12,18,18,20,21,25,4448,30551,3564,3705,24,27,25,71,4555,18
15,756,15,11,18,41,20,21,46,4662,31119,3772,3947,24,27,25,36,4558,18
14,705.6,14,12,18,18,21,21,26,4769,30259,3845,4071,26,27,26,37,4530,18
13,655.2,13,10,18,18,23,21,25,4483,30114,3555,3753,24,27,25,36,4507,18
12,604.8,12,12,18,18,20,20,28,4605,30188,3780,3968,25,28,25,36,4621,18
11,554.4,11,11,21,18,32,33,26,4474,30449,3590,3759,24,28,25,37,4456,18
10,504,10,11,18,18,44,22,49,4679,30324,3851,4023,24,27,25,36,4712,18
9,453.6,9,11,19,19,29,21,27,4383,29716,3523,3703,24,27,25,36,4591,18
8,403.2,8,10,18,19,21,20,26,4456,30642,3560,3667,24,28,25,36,4591,18
7,352.8,7,11,19,19,19,20,25,4571,30598,3824,3818,24,61,29,35,4560,18
6,302.4,6,11,29,30,19,31,32,4587,30759,3743,3782,45,33,28,56,4528,22
5,252,5,10,19,36,19,20,26,4648,30422,3873,3832,24,27,25,35,4667,18
4,201.6,4,11,17,18,36,36,26,4550,29543,3670,3628,24,29,25,35,4509,20
3,151.2,3,12,20,18,19,20,28,4722,29142,3923,3856,24,27,25,35,4605,19
2,100.8,2,19,19,23,24,20,25,4299,29011,3568,3506,24,31,56,35,4497,18
1,50.4,1,10,18,20,20,31,39,4810,28897,4405,4365,29,39,25,42,4967,18
