100%,Optima 1, Optima [1]
 ,421,[0 4 3 5 1 6 2]
------------------------------------------------
#,Optima 1, Optima [1]
1,1274,[1 5 4 0 3 2 6]
2,1767,[2 3 5 4 1 6 0]
3,1906,[2 4 6 1 5 0 3]
4,4768,[6 3 4 2 5 0 1]
5,1017,[1 3 4 2 5 6 0]
6,4836,[6 4 1 3 0 2 5]
7,252,[0 3 1 5 2 4 6]
8,1302,[1 5 6 2 0 3 4]
9,4619,[6 2 3 1 5 4 0]
10,164,[0 2 3 6 4 1 5]
11,2198,[3 0 2 5 4 1 6]
12,2293,[3 1 0 5 2 6 4]
13,4715,[6 3 1 2 5 4 0]
14,484,[0 5 1 2 6 3 4]
15,1401,[1 6 4 2 3 5 0]
16,318,[0 3 5 2 1 4 6]
17,4227,[5 6 1 0 3 4 2]
18,901,[1 2 4 5 0 6 3]
19,4476,[6 1 2 4 0 3 5]
20,37,[0 1 3 5 2 6 4]
21,3728,[5 1 0 3 4 2 6]
22,2923,[4 0 2 6 1 5 3]
23,3618,[5 0 1 6 2 3 4]
24,4303,[5 6 4 1 0 3 2]
25,3172,[4 2 3 0 6 1 5]
26,4808,[6 4 0 2 3 1 5]
27,5009,[6 5 3 2 4 1 0]
28,3624,[5 0 2 1 3 4 6]
29,1911,[2 4 6 3 1 5 0]
30,3083,[4 1 5 2 6 3 0]
31,1336,[1 6 0 4 5 2 3]
32,315,[0 3 5 1 4 6 2]
33,1195,[1 4 6 5 0 3 2]
34,2687,[3 5 1 6 4 2 0]
35,2280,[3 1 0 2 4 5 6]
36,2568,[3 4 2 0 1 5 6]
37,2173,[3 0 1 5 2 6 4]
38,4595,[6 2 1 3 5 4 0]
39,545,[0 5 3 4 6 2 1]
40,1023,[1 3 4 5 2 6 0]
41,2231,[3 0 4 6 5 2 1]
42,1256,[1 5 3 2 4 0 6]
43,73,[0 1 5 2 3 6 4]
44,3657,[5 0 3 2 4 6 1]
45,3724,[5 1 0 2 6 3 4]
46,2076,[2 6 1 4 0 3 5]
47,4864,[6 4 2 3 5 0 1]
48,3987,[5 3 1 0 4 6 2]
49,2182,[3 0 1 6 5 2 4]
50,3486,[4 6 0 2 1 3 5]
51,4654,[6 2 4 5 3 0 1]
52,741,[1 0 2 6 4 5 3]
53,4101,[5 4 0 6 2 3 1]
54,4043,[5 3 4 1 6 2 0]
55,2246,[3 0 5 4 2 1 6]
56,3391,[4 5 1 2 0 6 3]
57,3189,[4 2 3 6 1 5 0]
58,2644,[3 5 0 1 6 2 4]
59,1596,[2 1 3 5 0 4 6]
60,1250,[1 5 3 0 4 2 6]
61,4868,[6 4 2 5 1 0 3]
62,1585,[2 1 3 0 4 6 5]
63,4432,[6 0 5 3 4 1 2]
64,1535,[2 0 5 6 4 3 1]
65,3962,[5 3 0 1 4 2 6]
66,2091,[2 6 3 0 4 5 1]
67,1097,[1 4 0 5 6 3 2]
68,2028,[2 5 6 3 0 1 4]
69,3244,[4 3 0 1 6 2 5]
70,3874,[5 2 1 3 6 0 4]
71,2971,[4 0 5 6 1 3 2]
72,4673,[6 2 5 3 4 1 0]
73,66,[0 1 4 6 2 3 5]
74,3453,[4 5 3 6 1 2 0]
75,3194,[4 2 5 0 3 1 6]
76,2472,[3 2 5 0 1 4 6]
77,2574,[3 4 2 1 0 5 6]
78,5002,[6 5 3 1 4 0 2]
79,579,[0 5 6 1 3 4 2]
80,1096,[1 4 0 5 6 2 3]
81,4984,[6 5 2 3 4 0 1]
82,1021,[1 3 4 5 0 6 2]
83,1441,[2 0 1 3 4 6 5]
84,3466,[4 5 6 1 3 0 2]
85,3470,[4 5 6 2 1 0 3]
86,595,[0 5 6 4 1 3 2]
87,1045,[1 3 5 4 0 6 2]
88,2193,[3 0 2 4 5 6 1]
89,441,[0 4 5 2 3 6 1]
90,3929,[5 2 4 3 6 1 0]
91,4419,[6 0 5 1 3 4 2]
92,4570,[6 2 0 3 5 1 4]
93,2998,[4 0 6 5 3 1 2]
94,4336,[6 0 1 4 5 2 3]
95,1196,[1 4 6 5 2 0 3]
96,646,[0 6 2 5 4 1 3]
97,1864,[2 4 3 5 6 0 1]
98,3853,[5 2 0 4 1 6 3]
99,4735,[6 3 2 1 0 5 4]
100,1632,[2 1 5 0 3 4 6]
1,978,[1 3 0 6 2 4 5]
2,2836,[3 6 4 0 5 1 2]
3,742,[1 0 2 6 5 3 4]
4,3349,[4 3 6 2 0 5 1]
5,515,[0 5 2 3 6 4 1]
6,5021,[6 5 4 0 3 2 1]
7,36,[0 1 3 5 2 4 6]
8,648,[0 6 3 1 2 4 5]
9,849,[1 2 0 4 5 6 3]
10,4814,[6 4 0 3 2 1 5]
11,817,[1 0 6 2 3 5 4]
12,3227,[4 2 6 1 5 3 0]
13,2064,[2 6 1 0 3 4 5]
14,500,[0 5 1 6 3 2 4]
15,1306,[1 5 6 2 4 0 3]
16,3846,[5 2 0 3 1 4 6]
17,278,[0 3 2 5 4 1 6]
18,966,[1 3 0 4 2 5 6]
19,3106,[4 1 6 2 5 0 3]
20,3367,[4 5 0 2 1 6 3]
21,1045,[1 3 5 4 0 6 2]
22,3945,[5 2 6 1 3 4 0]
23,1586,[2 1 3 0 5 4 6]
24,4355,[6 0 2 3 5 4 1]
25,4495,[6 1 3 2 0 5 4]
26,3441,[4 5 3 1 2 6 0]
27,1675,[2 1 6 5 0 4 3]
28,1060,[1 3 6 0 5 2 4]
29,2257,[3 0 6 1 2 5 4]
30,2547,[3 4 1 0 5 6 2]
31,607,[0 6 1 3 2 5 4]
32,3761,[5 1 2 4 6 3 0]
33,154,[0 2 3 4 6 1 5]
34,3987,[5 3 1 0 4 6 2]
35,304,[0 3 4 5 6 1 2]
36,2147,[2 6 5 1 4 3 0]
37,143,[0 2 1 6 5 4 3]
38,3133,[4 2 0 5 1 6 3]
39,2950,[4 0 3 6 5 1 2]
40,3489,[4 6 0 2 3 5 1]
41,212,[0 2 5 6 3 1 4]
42,24,[0 1 3 2 4 5 6]
43,1343,[1 6 0 5 4 3 2]
44,668,[0 6 3 5 2 1 4]
45,3112,[4 1 6 3 5 0 2]
46,1191,[1 4 6 3 2 5 0]
47,2505,[3 2 6 1 4 5 0]
48,2497,[3 2 6 0 1 5 4]
49,3029,[4 1 2 0 6 5 3]
50,2390,[3 1 6 4 2 0 5]
51,502,[0 5 1 6 4 2 3]
52,898,[1 2 4 3 6 0 5]
53,747,[1 0 3 2 5 6 4]
54,1367,[1 6 2 5 4 3 0]
55,587,[0 5 6 2 4 3 1]
56,2073,[2 6 1 3 4 5 0]
57,1250,[1 5 3 0 4 2 6]
58,1428,[1 6 5 3 0 2 4]
59,3894,[5 2 3 1 0 4 6]
60,2114,[2 6 4 0 3 1 5]
61,3346,[4 3 6 1 5 0 2]
62,4366,[6 0 2 5 4 1 3]
63,3431,[4 5 2 6 3 1 0]
64,3342,[4 3 6 1 0 2 5]
65,4206,[5 6 0 2 1 3 4]
66,2096,[2 6 3 1 4 0 5]
67,2960,[4 0 5 2 3 1 6]
68,3118,[4 1 6 5 3 0 2]
69,38,[0 1 3 5 4 2 6]
70,4200,[5 6 0 1 2 3 4]
71,3567,[4 6 3 2 1 5 0]
72,2051,[2 6 0 3 5 4 1]
73,3056,[4 1 3 2 5 0 6]
74,4658,[6 2 5 0 3 1 4]
75,3158,[4 2 1 5 3 0 6]
76,647,[0 6 2 5 4 3 1]
77,2601,[3 4 5 1 2 6 0]
78,918,[1 2 5 3 0 4 6]
79,1242,[1 5 2 6 0 3 4]
80,3304,[4 3 2 5 6 0 1]
81,936,[1 2 6 0 3 4 5]
82,4218,[5 6 0 4 1 2 3]
83,3071,[4 1 3 6 5 2 0]
84,4908,[6 4 5 2 0 1 3]
85,2045,[2 6 0 1 5 4 3]
86,4750,[6 3 2 5 4 0 1]
87,3014,[4 1 0 5 3 2 6]
88,3941,[5 2 6 0 4 3 1]
89,3399,[4 5 1 3 2 6 0]
90,3084,[4 1 5 3 0 2 6]
91,896,[1 2 4 3 5 0 6]
92,3891,[5 2 3 0 4 6 1]
93,4280,[5 6 3 1 2 0 4]
94,836,[1 0 6 5 3 2 4]
95,279,[0 3 2 5 4 6 1]
96,884,[1 2 3 6 4 0 5]
97,2006,[2 5 4 3 1 0 6]
98,3042,[4 1 2 6 0 3 5]
99,1502,[2 0 4 5 3 1 6]
100,1016,[1 3 4 2 5 0 6]
1,3272,[4 3 1 2 5 0 6]
2,4427,[6 0 5 2 4 3 1]
3,2114,[2 6 4 0 3 1 5]
4,3870,[5 2 1 3 0 4 6]
5,3863,[5 2 0 6 4 3 1]
6,3491,[4 6 0 2 5 3 1]
7,2882,[4 0 1 2 5 3 6]
8,1130,[1 4 3 0 5 2 6]
9,3250,[4 3 0 2 6 1 5]
10,4980,[6 5 2 3 0 1 4]
11,4513,[6 1 4 0 2 5 3]
12,89,[0 1 5 4 6 3 2]
13,236,[0 2 6 5 3 1 4]
14,590,[0 5 6 3 2 1 4]
15,1177,[1 4 6 0 2 5 3]
16,4169,[5 4 3 2 6 1 0]
17,1294,[1 5 4 6 3 0 2]
18,3564,[4 6 3 2 0 1 5]
19,1296,[1 5 6 0 2 3 4]
20,4497,[6 1 3 2 4 5 0]
21,4123,[5 4 1 6 0 3 2]
22,4060,[5 3 6 0 4 1 2]
23,4759,[6 3 4 1 0 5 2]
24,2339,[3 1 4 2 6 5 0]
25,3303,[4 3 2 5 1 6 0]
26,4717,[6 3 1 4 0 5 2]
27,2812,[3 6 2 0 5 1 4]
28,2220,[3 0 4 5 1 2 6]
29,4515,[6 1 4 0 3 5 2]
30,2273,[3 0 6 4 5 2 1]
31,3681,[5 0 4 2 3 6 1]
32,4600,[6 2 1 4 5 0 3]
33,4457,[6 1 0 4 5 3 2]
34,195,[0 2 5 1 4 6 3]
35,389,[0 4 2 1 6 5 3]
36,1549,[2 0 6 4 1 5 3]
37,2103,[2 6 3 4 1 5 0]
38,4241,[5 6 1 3 4 2 0]
39,1044,[1 3 5 4 0 2 6]
40,3594,[4 6 5 3 0 1 2]
41,1867,[2 4 3 6 0 5 1]
42,1883,[2 4 5 1 6 3 0]
43,691,[0 6 4 5 1 3 2]
44,3460,[4 5 6 0 3 1 2]
45,3612,[5 0 1 4 2 3 6]
46,564,[0 5 4 3 1 2 6]
47,3706,[5 0 6 2 4 1 3]
48,3690,[5 0 4 6 1 2 3]
49,4699,[6 3 0 5 1 4 2]
50,1014,[1 3 4 2 0 5 6]
51,4630,[6 2 3 5 4 0 1]
52,3483,[4 6 0 1 3 5 2]
53,1745,[2 3 4 5 6 1 0]
54,2045,[2 6 0 1 5 4 3]
55,1934,[2 5 0 4 3 1 6]
56,4253,[5 6 2 0 4 3 1]
57,4708,[6 3 1 0 5 2 4]
58,4815,[6 4 0 3 2 5 1]
59,567,[0 5 4 3 2 6 1]
60,4187,[5 4 6 1 3 2 0]
61,679,[0 6 4 2 1 5 3]
62,662,[0 6 3 4 2 1 5]
63,1656,[2 1 6 0 3 4 5]
64,976,[1 3 0 5 6 2 4]
65,1298,[1 5 6 0 3 2 4]
66,4954,[6 5 1 2 4 0 3]
67,916,[1 2 5 0 6 3 4]
68,4999,[6 5 3 1 0 4 2]
69,558,[0 5 4 2 1 3 6]
70,4669,[6 2 5 3 0 4 1]
