Optimas, 421(0 4 3 5 1 6 2)
H-Axis, Max distance, Ratio,Ours-a=1.0,Ours-a=0.9,Ours-a=0.8,Ours-a=0.7,Ours-a=0.6,Ours-a=0.5,Ours-a=0.4
100,5040,100,35,35,34,34,34,37,26
99,4989.6,99,11,9,9,10,11,12,13
98,4939.2,98,11,10,9,10,11,12,13
97,4888.8,97,13,13,12,12,11,20,13
96,4838.4,96,12,12,10,10,11,12,12
95,4788,95,11,10,10,11,11,13,13
94,4737.6,94,12,10,9,10,11,12,13
93,4687.2,93,17,16,11,9,10,12,12
92,4636.8,92,12,10,9,9,12,13,11
91,4586.4,91,24,23,9,10,11,13,15
90,4536,90,12,10,9,9,10,11,11
89,4485.6,89,12,9,9,9,9,13,11
88,4435.2,88,11,9,9,9,9,11,15
87,4384.8,87,12,7,8,8,13,11,11
86,4334.4,86,22,24,14,9,11,13,18
85,4284,85,19,13,27,11,28,10,12
84,4233.6,84,18,11,10,10,9,10,13
83,4183.2,83,40,10,8,26,16,12,13
82,4132.8,82,18,8,8,8,11,12,11
81,4082.4,81,17,16,14,10,10,20,12
80,4032,80,14,9,8,9,9,15,11
79,3981.6,79,21,12,28,11,11,11,16
78,3931.2,78,25,8,8,12,11,12,11
77,3880.8,77,20,15,9,13,14,17,11
76,3830.4,76,14,10,8,8,9,10,12
75,3780,75,13,10,8,9,10,10,11
74,3729.6,74,13,10,8,9,9,11,11
73,3679.2,73,16,12,19,10,10,10,11
72,3628.8,72,17,13,13,10,17,11,11
71,3578.4,71,18,11,9,10,13,13,11
70,3528,70,18,13,9,8,10,55,11
69,3477.6,69,19,11,14,9,13,12,18
68,3427.2,68,36,18,14,15,11,15,12
67,3376.8,67,16,14,11,14,11,15,16
66,3326.4,66,17,12,13,9,10,11,12
65,3276,65,11,9,9,9,9,10,10
64,3225.6,64,12,11,9,10,10,12,11
63,3175.2,63,16,13,10,10,11,12,12
62,3124.8,62,14,18,9,9,9,11,10
61,3074.4,61,10,9,9,9,9,10,10
60,3024,60,10,9,9,10,12,10,12
59,2973.6,59,10,8,9,9,9,10,10
58,2923.2,58,10,8,8,9,10,10,10
57,2872.8,57,11,10,9,9,10,10,10
56,2822.4,56,10,9,8,9,10,11,10
55,2772,55,10,9,8,9,9,10,11
54,2721.6,54,11,9,8,9,9,10,11
53,2671.2,53,10,9,8,9,10,10,10
52,2620.8,52,10,8,8,9,9,10,11
51,2570.4,51,9,8,8,9,9,10,9
50,2520,50,10,8,9,9,10,10,18
49,2469.6,49,10,9,7,8,10,12,11
48,2419.2,48,10,9,7,8,9,11,11
47,2368.8,47,10,9,8,8,9,11,11
46,2318.4,46,9,9,8,8,9,10,11
45,2268,45,9,9,8,8,9,10,11
44,2217.6,44,11,9,16,8,9,9,9
43,2167.2,43,10,9,8,12,9,9,9
42,2116.8,42,10,9,8,9,9,9,9
41,2066.4,41,12,9,8,8,9,9,9
40,2016,40,10,9,9,8,9,9,9
39,1965.6,39,10,8,9,9,9,9,9
38,1915.2,38,11,9,9,9,9,9,9
37,1864.8,37,10,12,8,9,9,10,9
36,1814.4,36,8,10,7,8,9,11,11
35,1764,35,9,10,7,8,9,10,10
34,1713.6,34,8,9,7,8,9,10,10
33,1663.2,33,9,9,7,8,8,9,10
32,1612.8,32,10,8,8,8,9,9,9
31,1562.4,31,10,9,8,8,9,10,10
30,1512,30,9,9,9,9,8,9,9
29,1461.6,29,10,9,8,8,8,9,9
28,1411.2,28,10,9,9,8,8,9,8
27,1360.8,27,12,9,8,8,9,8,8
26,1310.4,26,10,9,8,9,8,9,8
25,1260,25,10,9,8,9,8,8,9
24,1209.6,24,11,9,8,8,9,8,8
23,1159.2,23,10,9,9,8,8,8,8
22,1108.8,22,10,8,8,8,8,8,8
21,1058.4,21,9,9,7,8,8,17,9
20,1008,20,9,9,7,8,9,10,10
19,957.6,19,10,8,7,8,8,9,10
18,907.2,18,10,8,8,8,8,9,9
17,856.8,17,10,8,7,8,7,9,9
16,806.4,16,10,8,7,7,8,9,10
15,756,15,10,8,7,7,8,9,9
14,705.6,14,11,8,7,8,8,9,9
13,655.2,13,10,8,8,7,8,8,9
12,604.8,12,10,9,7,8,7,8,8
11,554.4,11,9,9,8,7,7,8,8
10,504,10,10,15,8,7,8,8,8
9,453.6,9,10,8,8,7,8,8,8
8,403.2,8,9,8,7,7,7,8,8
7,352.8,7,10,8,7,8,7,7,7
6,302.4,6,10,8,7,7,7,7,8
5,252,5,10,8,8,7,7,7,7
4,201.6,4,10,8,7,7,7,7,7
3,151.2,3,9,8,8,8,7,7,7
2,100.8,2,10,8,9,7,6,7,7
1,50.4,1,10,7,7,6,7,8,8
