10%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,506,[0 5 2 1 4 3 6],3025,[4 1 2 0 3 6 5],1680,[2 3 0 1 4 5 6],2147,[2 6 5 1 4 3 0]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,735,[1 0 2 5 4 6 3],2999,[4 0 6 5 3 2 1],1677,[2 1 6 5 3 4 0],2130,[2 6 4 5 0 1 3]
2,900,[1 2 4 5 0 3 6],2740,[3 5 6 0 4 1 2],1546,[2 0 6 3 5 1 4],2347,[3 1 4 6 0 5 2]
3,567,[0 5 4 3 2 6 1],2932,[4 0 3 1 6 2 5],1691,[2 3 0 4 6 5 1],1971,[2 5 3 0 4 6 1]
4,764,[1 0 3 6 4 2 5],3023,[4 1 0 6 5 3 2],1963,[2 5 1 6 0 4 3],2314,[3 1 2 4 6 0 5]
5,803,[1 0 5 3 6 4 2],3205,[4 2 5 3 0 6 1],1657,[2 1 6 0 3 5 4],2327,[3 1 2 6 5 4 0]
6,813,[1 0 5 6 3 4 2],2755,[3 5 6 4 0 2 1],1973,[2 5 3 0 6 4 1],2160,[3 0 1 2 4 5 6]
7,556,[0 5 4 1 6 2 3],2757,[3 5 6 4 1 2 0],1521,[2 0 5 3 4 6 1],2123,[2 6 4 1 5 3 0]
8,847,[1 2 0 4 3 6 5],2959,[4 0 5 2 1 6 3],1646,[2 1 5 4 3 0 6],2202,[3 0 2 6 1 4 5]
9,866,[1 2 3 0 5 4 6],3197,[4 2 5 0 6 3 1],1532,[2 0 5 6 3 1 4],2020,[2 5 6 0 4 1 3]
10,538,[0 5 3 2 6 1 4],2807,[3 6 1 5 4 2 0],1611,[2 1 4 0 5 6 3],2312,[3 1 2 4 5 0 6]
11,919,[1 2 5 3 0 6 4],2824,[3 6 2 4 5 0 1],1958,[2 5 1 4 3 0 6],2414,[3 2 0 5 4 1 6]
12,642,[0 6 2 5 1 3 4],3033,[4 1 2 3 5 6 0],1586,[2 1 3 0 5 4 6],2346,[3 1 4 6 0 2 5]
13,612,[0 6 1 4 2 3 5],2890,[4 0 1 3 6 2 5],1966,[2 5 1 6 4 0 3],2139,[2 6 5 0 3 4 1]
14,463,[0 4 6 2 1 5 3],3157,[4 2 1 5 0 6 3],1627,[2 1 4 6 0 5 3],2003,[2 5 4 1 6 3 0]
15,806,[1 0 5 4 3 2 6],2744,[3 5 6 1 2 0 4],1998,[2 5 4 1 0 3 6],2342,[3 1 4 5 2 0 6]
16,467,[0 4 6 2 5 3 1],2828,[3 6 2 5 1 0 4],1766,[2 3 5 4 1 0 6],2157,[2 6 5 4 1 3 0]
17,895,[1 2 4 3 0 6 5],2954,[4 0 5 1 3 2 6],1527,[2 0 5 4 3 6 1],2230,[3 0 4 6 5 1 2]
