2%,Optima 1, Optima [1]
 ,1,[0 1 2 3 4 6 5]
------------------------------------------------
#,Optima 1, Optima [1]
1,12,[0 1 2 5 3 4 6]
2,87,[0 1 5 4 3 6 2]
3,35,[0 1 3 4 6 5 2]
4,90,[0 1 5 6 2 3 4]
5,28,[0 1 3 2 6 4 5]
6,2,[0 1 2 3 5 4 6]
7,35,[0 1 3 4 6 5 2]
8,35,[0 1 3 4 6 5 2]
9,46,[0 1 3 6 5 2 4]
10,32,[0 1 3 4 5 2 6]
11,95,[0 1 5 6 4 3 2]
12,12,[0 1 2 5 3 4 6]
13,47,[0 1 3 6 5 4 2]
14,17,[0 1 2 5 6 4 3]
15,47,[0 1 3 6 5 4 2]
16,55,[0 1 4 3 2 6 5]
17,85,[0 1 5 4 2 6 3]
18,25,[0 1 3 2 4 6 5]
19,53,[0 1 4 2 6 5 3]
20,77,[0 1 5 2 6 4 3]
21,71,[0 1 4 6 5 3 2]
22,76,[0 1 5 2 6 3 4]
23,42,[0 1 3 6 2 4 5]
24,5,[0 1 2 3 6 5 4]
25,80,[0 1 5 3 4 2 6]
26,11,[0 1 2 4 6 5 3]
27,78,[0 1 5 3 2 4 6]
28,73,[0 1 5 2 3 6 4]
29,19,[0 1 2 6 3 5 4]
30,77,[0 1 5 2 6 4 3]
31,66,[0 1 4 6 2 3 5]
32,59,[0 1 4 3 6 5 2]
33,91,[0 1 5 6 2 4 3]
34,38,[0 1 3 5 4 2 6]
35,30,[0 1 3 4 2 5 6]
36,69,[0 1 4 6 3 5 2]
37,73,[0 1 5 2 3 6 4]
38,4,[0 1 2 3 6 4 5]
39,46,[0 1 3 6 5 2 4]
40,45,[0 1 3 6 4 5 2]
41,77,[0 1 5 2 6 4 3]
42,52,[0 1 4 2 6 3 5]
43,4,[0 1 2 3 6 4 5]
44,42,[0 1 3 6 2 4 5]
45,52,[0 1 4 2 6 3 5]
46,88,[0 1 5 4 6 2 3]
47,23,[0 1 2 6 5 4 3]
48,16,[0 1 2 5 6 3 4]
49,18,[0 1 2 6 3 4 5]
50,31,[0 1 3 4 2 6 5]
51,59,[0 1 4 3 6 5 2]
52,91,[0 1 5 6 2 4 3]
53,59,[0 1 4 3 6 5 2]
54,13,[0 1 2 5 3 6 4]
55,51,[0 1 4 2 5 6 3]
56,38,[0 1 3 5 4 2 6]
57,45,[0 1 3 6 4 5 2]
58,31,[0 1 3 4 2 6 5]
59,10,[0 1 2 4 6 3 5]
60,18,[0 1 2 6 3 4 5]
61,25,[0 1 3 2 4 6 5]
62,63,[0 1 4 5 3 6 2]
63,16,[0 1 2 5 6 3 4]
64,71,[0 1 4 6 5 3 2]
65,68,[0 1 4 6 3 2 5]
66,36,[0 1 3 5 2 4 6]
67,23,[0 1 2 6 5 4 3]
68,9,[0 1 2 4 5 6 3]
69,89,[0 1 5 4 6 3 2]
70,79,[0 1 5 3 2 6 4]
71,83,[0 1 5 3 6 4 2]
72,82,[0 1 5 3 6 2 4]
73,80,[0 1 5 3 4 2 6]
74,8,[0 1 2 4 5 3 6]
75,101,[0 1 6 2 5 4 3]
76,19,[0 1 2 6 3 5 4]
77,72,[0 1 5 2 3 4 6]
78,101,[0 1 6 2 5 4 3]
79,54,[0 1 4 3 2 5 6]
80,93,[0 1 5 6 3 4 2]
81,90,[0 1 5 6 2 3 4]
82,63,[0 1 4 5 3 6 2]
83,56,[0 1 4 3 5 2 6]
84,90,[0 1 5 6 2 3 4]
85,18,[0 1 2 6 3 4 5]
86,76,[0 1 5 2 6 3 4]
87,78,[0 1 5 3 2 4 6]
88,89,[0 1 5 4 6 3 2]
89,93,[0 1 5 6 3 4 2]
90,24,[0 1 3 2 4 5 6]
91,43,[0 1 3 6 2 5 4]
92,95,[0 1 5 6 4 3 2]
93,29,[0 1 3 2 6 5 4]
94,21,[0 1 2 6 4 5 3]
95,15,[0 1 2 5 4 6 3]
96,37,[0 1 3 5 2 6 4]
97,35,[0 1 3 4 6 5 2]
98,76,[0 1 5 2 6 3 4]
99,17,[0 1 2 5 6 4 3]
100,66,[0 1 4 6 2 3 5]
1,14,[0 1 2 5 4 3 6]
2,29,[0 1 3 2 6 5 4]
3,40,[0 1 3 5 6 2 4]
4,49,[0 1 4 2 3 6 5]
5,79,[0 1 5 3 2 6 4]
6,11,[0 1 2 4 6 5 3]
7,51,[0 1 4 2 5 6 3]
8,14,[0 1 2 5 4 3 6]
9,33,[0 1 3 4 5 6 2]
10,67,[0 1 4 6 2 5 3]
11,45,[0 1 3 6 4 5 2]
12,78,[0 1 5 3 2 4 6]
13,19,[0 1 2 6 3 5 4]
14,30,[0 1 3 4 2 5 6]
15,64,[0 1 4 5 6 2 3]
16,8,[0 1 2 4 5 3 6]
17,28,[0 1 3 2 6 4 5]
18,53,[0 1 4 2 6 5 3]
19,93,[0 1 5 6 3 4 2]
20,35,[0 1 3 4 6 5 2]
21,46,[0 1 3 6 5 2 4]
22,22,[0 1 2 6 5 3 4]
23,97,[0 1 6 2 3 5 4]
24,56,[0 1 4 3 5 2 6]
25,41,[0 1 3 5 6 4 2]
26,89,[0 1 5 4 6 3 2]
27,52,[0 1 4 2 6 3 5]
28,89,[0 1 5 4 6 3 2]
29,87,[0 1 5 4 3 6 2]
30,84,[0 1 5 4 2 3 6]
31,38,[0 1 3 5 4 2 6]
32,26,[0 1 3 2 5 4 6]
33,38,[0 1 3 5 4 2 6]
34,28,[0 1 3 2 6 4 5]
35,76,[0 1 5 2 6 3 4]
36,34,[0 1 3 4 6 2 5]
37,16,[0 1 2 5 6 3 4]
38,41,[0 1 3 5 6 4 2]
39,41,[0 1 3 5 6 4 2]
40,65,[0 1 4 5 6 3 2]
41,51,[0 1 4 2 5 6 3]
42,65,[0 1 4 5 6 3 2]
43,56,[0 1 4 3 5 2 6]
44,26,[0 1 3 2 5 4 6]
45,80,[0 1 5 3 4 2 6]
46,67,[0 1 4 6 2 5 3]
47,77,[0 1 5 2 6 4 3]
48,101,[0 1 6 2 5 4 3]
49,59,[0 1 4 3 6 5 2]
50,7,[0 1 2 4 3 6 5]
51,9,[0 1 2 4 5 6 3]
52,83,[0 1 5 3 6 4 2]
53,85,[0 1 5 4 2 6 3]
54,83,[0 1 5 3 6 4 2]
55,20,[0 1 2 6 4 3 5]
56,94,[0 1 5 6 4 2 3]
57,34,[0 1 3 4 6 2 5]
58,86,[0 1 5 4 3 2 6]
59,9,[0 1 2 4 5 6 3]
60,91,[0 1 5 6 2 4 3]
61,61,[0 1 4 5 2 6 3]
62,64,[0 1 4 5 6 2 3]
63,29,[0 1 3 2 6 5 4]
64,51,[0 1 4 2 5 6 3]
65,30,[0 1 3 4 2 5 6]
66,20,[0 1 2 6 4 3 5]
67,40,[0 1 3 5 6 2 4]
68,92,[0 1 5 6 3 2 4]
69,55,[0 1 4 3 2 6 5]
70,30,[0 1 3 4 2 5 6]
71,94,[0 1 5 6 4 2 3]
72,88,[0 1 5 4 6 2 3]
73,13,[0 1 2 5 3 6 4]
74,29,[0 1 3 2 6 5 4]
75,85,[0 1 5 4 2 6 3]
76,83,[0 1 5 3 6 4 2]
77,68,[0 1 4 6 3 2 5]
78,71,[0 1 4 6 5 3 2]
79,77,[0 1 5 2 6 4 3]
80,76,[0 1 5 2 6 3 4]
81,13,[0 1 2 5 3 6 4]
82,53,[0 1 4 2 6 5 3]
83,30,[0 1 3 4 2 5 6]
84,80,[0 1 5 3 4 2 6]
85,75,[0 1 5 2 4 6 3]
86,56,[0 1 4 3 5 2 6]
87,43,[0 1 3 6 2 5 4]
88,57,[0 1 4 3 5 6 2]
89,9,[0 1 2 4 5 6 3]
90,84,[0 1 5 4 2 3 6]
91,31,[0 1 3 4 2 6 5]
92,33,[0 1 3 4 5 6 2]
93,51,[0 1 4 2 5 6 3]
94,5,[0 1 2 3 6 5 4]
95,89,[0 1 5 4 6 3 2]
96,37,[0 1 3 5 2 6 4]
97,6,[0 1 2 4 3 5 6]
98,98,[0 1 6 2 4 3 5]
99,60,[0 1 4 5 2 3 6]
100,27,[0 1 3 2 5 6 4]
1,86,[0 1 5 4 3 2 6]
2,46,[0 1 3 6 5 2 4]
3,29,[0 1 3 2 6 5 4]
4,14,[0 1 2 5 4 3 6]
5,23,[0 1 2 6 5 4 3]
6,71,[0 1 4 6 5 3 2]
7,56,[0 1 4 3 5 2 6]
