2%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,1,[0 1 2 3 4 6 5],100,[0 1 6 2 5 3 4],200,[0 2 5 3 4 1 6],300,[0 3 4 5 1 2 6]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,29,[0 1 3 2 6 5 4],145,[0 2 3 1 4 6 5],229,[0 2 6 4 1 5 3],359,[0 3 6 5 4 2 1]
2,98,[0 1 6 2 4 3 5],153,[0 2 3 4 5 6 1],246,[0 3 1 4 2 5 6],306,[0 3 4 6 1 2 5]
3,97,[0 1 6 2 3 5 4],151,[0 2 3 4 1 6 5],209,[0 2 5 4 6 3 1],345,[0 3 6 2 4 5 1]
4,54,[0 1 4 3 2 5 6],136,[0 2 1 5 6 3 4],271,[0 3 2 4 1 6 5],381,[0 4 1 6 3 5 2]
5,59,[0 1 4 3 6 5 2],155,[0 2 3 4 6 5 1],236,[0 2 6 5 3 1 4],349,[0 3 6 4 1 5 2]
6,2,[0 1 2 3 5 4 6],114,[0 1 6 5 2 3 4],219,[0 2 6 1 4 5 3],348,[0 3 6 4 1 2 5]
7,61,[0 1 4 5 2 6 3],109,[0 1 6 4 2 5 3],233,[0 2 6 4 5 3 1],329,[0 3 5 4 6 2 1]
8,15,[0 1 2 5 4 6 3],173,[0 2 4 1 6 5 3],198,[0 2 5 3 1 4 6],296,[0 3 4 2 5 1 6]
9,37,[0 1 3 5 2 6 4],124,[0 2 1 3 6 4 5],212,[0 2 5 6 3 1 4],296,[0 3 4 2 5 1 6]
10,37,[0 1 3 5 2 6 4],123,[0 2 1 3 5 6 4],257,[0 3 1 5 6 4 2],311,[0 3 4 6 5 2 1]
11,2,[0 1 2 3 5 4 6],171,[0 2 4 1 5 6 3],269,[0 3 2 1 6 5 4],314,[0 3 5 1 4 2 6]
12,75,[0 1 5 2 4 6 3],100,[0 1 6 2 5 3 4],222,[0 2 6 3 1 4 5],359,[0 3 6 5 4 2 1]
13,41,[0 1 3 5 6 4 2],175,[0 2 4 3 1 6 5],215,[0 2 5 6 4 3 1],336,[0 3 6 1 2 4 5]
14,9,[0 1 2 4 5 6 3],170,[0 2 4 1 5 3 6],263,[0 3 1 6 5 4 2],298,[0 3 4 2 6 1 5]
15,87,[0 1 5 4 3 6 2],136,[0 2 1 5 6 3 4],238,[0 2 6 5 4 1 3],334,[0 3 5 6 4 1 2]
16,85,[0 1 5 4 2 6 3],115,[0 1 6 5 2 4 3],277,[0 3 2 5 1 6 4],296,[0 3 4 2 5 1 6]
17,101,[0 1 6 2 5 4 3],169,[0 2 4 1 3 6 5],217,[0 2 6 1 3 5 4],370,[0 4 1 3 6 2 5]
18,97,[0 1 6 2 3 5 4],130,[0 2 1 4 6 3 5],288,[0 3 4 1 2 5 6],360,[0 4 1 2 3 5 6]
19,27,[0 1 3 2 5 6 4],126,[0 2 1 4 3 5 6],279,[0 3 2 5 4 6 1],322,[0 3 5 2 6 1 4]
20,94,[0 1 5 6 4 2 3],145,[0 2 3 1 4 6 5],215,[0 2 5 6 4 3 1],346,[0 3 6 2 5 1 4]
21,83,[0 1 5 3 6 4 2],181,[0 2 4 5 1 6 3],257,[0 3 1 5 6 4 2],388,[0 4 2 1 6 3 5]
22,55,[0 1 4 3 2 6 5],195,[0 2 5 1 4 6 3],275,[0 3 2 4 6 5 1],356,[0 3 6 5 2 1 4]
23,67,[0 1 4 6 2 5 3],167,[0 2 3 6 5 4 1],227,[0 2 6 3 5 4 1],328,[0 3 5 4 6 1 2]
24,41,[0 1 3 5 6 4 2],117,[0 1 6 5 3 4 2],266,[0 3 2 1 5 4 6],394,[0 4 2 3 6 1 5]
25,46,[0 1 3 6 5 2 4],114,[0 1 6 5 2 3 4],269,[0 3 2 1 6 5 4],317,[0 3 5 1 6 4 2]
26,76,[0 1 5 2 6 3 4],193,[0 2 5 1 3 6 4],290,[0 3 4 1 5 2 6],391,[0 4 2 3 1 6 5]
27,26,[0 1 3 2 5 4 6],172,[0 2 4 1 6 3 5],255,[0 3 1 5 4 6 2],297,[0 3 4 2 5 6 1]
28,84,[0 1 5 4 2 3 6],150,[0 2 3 4 1 5 6],199,[0 2 5 3 1 6 4],389,[0 4 2 1 6 5 3]
29,38,[0 1 3 5 4 2 6],194,[0 2 5 1 4 3 6],277,[0 3 2 5 1 6 4],380,[0 4 1 6 3 2 5]
30,49,[0 1 4 2 3 6 5],118,[0 1 6 5 4 2 3],270,[0 3 2 4 1 5 6],360,[0 4 1 2 3 5 6]
31,31,[0 1 3 4 2 6 5],179,[0 2 4 3 6 5 1],225,[0 2 6 3 4 5 1],342,[0 3 6 2 1 4 5]
32,74,[0 1 5 2 4 3 6],115,[0 1 6 5 2 4 3],263,[0 3 1 6 5 4 2],388,[0 4 2 1 6 3 5]
33,93,[0 1 5 6 3 4 2],108,[0 1 6 4 2 3 5],199,[0 2 5 3 1 6 4],375,[0 4 1 5 3 6 2]
34,36,[0 1 3 5 2 4 6],196,[0 2 5 1 6 3 4],283,[0 3 2 6 1 5 4],375,[0 4 1 5 3 6 2]
35,43,[0 1 3 6 2 5 4],159,[0 2 3 5 4 6 1],280,[0 3 2 5 6 1 4],316,[0 3 5 1 6 2 4]
36,79,[0 1 5 3 2 6 4],116,[0 1 6 5 3 2 4],217,[0 2 6 1 3 5 4],322,[0 3 5 2 6 1 4]
37,11,[0 1 2 4 6 5 3],182,[0 2 4 5 3 1 6],217,[0 2 6 1 3 5 4],333,[0 3 5 6 2 4 1]
38,63,[0 1 4 5 3 6 2],133,[0 2 1 5 3 6 4],200,[0 2 5 3 4 1 6],382,[0 4 1 6 5 2 3]
39,23,[0 1 2 6 5 4 3],134,[0 2 1 5 4 3 6],238,[0 2 6 5 4 1 3],327,[0 3 5 4 2 6 1]
40,34,[0 1 3 4 6 2 5],182,[0 2 4 5 3 1 6],225,[0 2 6 3 4 5 1],330,[0 3 5 6 1 2 4]
41,95,[0 1 5 6 4 3 2],180,[0 2 4 5 1 3 6],283,[0 3 2 6 1 5 4],351,[0 3 6 4 2 5 1]
42,90,[0 1 5 6 2 3 4],114,[0 1 6 5 2 3 4],287,[0 3 2 6 5 4 1],296,[0 3 4 2 5 1 6]
43,65,[0 1 4 5 6 3 2],105,[0 1 6 3 4 5 2],237,[0 2 6 5 3 4 1],367,[0 4 1 3 2 6 5]
44,33,[0 1 3 4 5 6 2],160,[0 2 3 5 6 1 4],275,[0 3 2 4 6 5 1],372,[0 4 1 5 2 3 6]
45,55,[0 1 4 3 2 6 5],114,[0 1 6 5 2 3 4],260,[0 3 1 6 4 2 5],353,[0 3 6 4 5 2 1]
46,56,[0 1 4 3 5 2 6],163,[0 2 3 6 1 5 4],219,[0 2 6 1 4 5 3],306,[0 3 4 6 1 2 5]
47,8,[0 1 2 4 5 3 6],102,[0 1 6 3 2 4 5],294,[0 3 4 2 1 5 6],390,[0 4 2 3 1 5 6]
48,44,[0 1 3 6 4 2 5],129,[0 2 1 4 5 6 3],275,[0 3 2 4 6 5 1],377,[0 4 1 5 6 3 2]
49,81,[0 1 5 3 4 6 2],185,[0 2 4 5 6 3 1],220,[0 2 6 1 5 3 4],303,[0 3 4 5 2 6 1]
