Best Cost, Avg Cost
945744.4625700694,5208180.1109051015
945744.4625700694,5038678.605799393
945744.4625700694,4864864.643328639
945744.4625700694,4646968.467765357
945744.4625700694,4238282.038371512
945744.4625700694,3632572.948425239
945744.4625700694,3022993.434353801
945744.4625700694,2486187.0649332153
945744.4625700694,2122050.453411335
945744.4625700694,1762078.4364731326
945744.4625700694,1584240.8453294137
945744.4625700694,1481199.7087395438
945744.4625700694,1419415.0517222881
945744.4625700694,1352851.5100771985
945744.4625700694,1290480.031023957
945744.4625700694,1251567.6902586129
945744.4625700694,1221223.1423851168
945744.4625700694,1206396.8983720052
945744.4625700694,1195396.6245324286
945744.4625700694,1189764.9556033635
945744.4625700694,1161306.0543261073
945744.4625700694,1166885.0530010306
945744.4625700694,1162301.2573236106
945744.4625700694,1154991.2386436595
945744.4625700694,1149416.4461009316
945744.4625700694,1140328.2137329224
945744.4625700694,1111453.8773907723
945744.4625700694,1127810.65901827
945744.4625700694,1098706.02186219
945744.4625700694,1122688.2438220216
945744.4625700694,1123170.5093379342
945744.4625700694,1107848.0614998613
945744.4625700694,1118766.9001131195
945744.4625700694,1106172.9709810617
945744.4625700694,1100286.438197043
945744.4625700694,1104564.8484654466
945744.4625700694,1098069.7675660693
945744.4625700694,1096938.7759142208
945744.4625700694,1076790.2955750832
945744.4625700692,1091659.109307135
945744.4625700692,1102934.1905425938
945744.4625700692,1080250.6387057286
945744.4625700692,1089291.3952475209
945744.4625700692,1081565.2854094205
945744.4625700692,1070578.9799839403
945744.4625700692,1081877.067470802
945744.4625700692,1079616.1849804118
945744.4625700692,1081132.9871167373
945744.4625700692,1079935.3457388908
945744.4625700692,1065117.5252199017
945744.4625700692,1072275.864096376
945744.4625700692,1067015.993388623
945744.4625700692,1080132.5821185515
945744.4625700692,1057377.7868272122
945744.4625700692,1056266.5052448658
945429.2187358574,1047900.5327259174
945429.2187358574,1082357.4708187194
945429.2187358574,1061052.074848565
945429.2187358574,1064473.981933137
945429.2187358574,1043599.9849181053
945429.2187358574,1059983.5682555484
945429.2187358574,1039183.2634126157
945429.2187358574,1058160.2171409794
945429.2187358574,1064448.6323526828
945429.2187358574,1059680.4742589677
945429.2187358574,1043032.8554391804
945429.2187358574,1040403.058274961
945429.2187358573,1056873.6883171054
945429.2187358573,1037032.0542258339
945429.2187358573,1041596.1586686496
945429.2187358573,1045555.2495658316
945429.2187358573,1046783.1200904544
945429.2187358573,1051877.72400208
945429.2187358573,1035956.7693445574
945429.2187358573,1035147.5997668615
945429.2187358573,1041890.2035456299
945247.7481198702,1042135.6576376786
945247.7481198702,1057903.3645598225
945247.7481198702,1034849.9378067787
945247.7481198702,1020864.974540148
945247.7481198702,1023952.356242168
945247.7481198702,1019160.3475028869
942098.126039346,1028790.3832275568
942098.126039346,1027179.13226005
942098.126039346,1030251.9665440378
942098.126039346,1033169.0920763415
942098.126039346,1035646.3599855417
942098.126039346,1023624.6142644784
942098.126039346,1037328.681905525
942098.126039346,1025997.8389251922
942098.126039346,1028559.2657091558
942098.126039346,1019993.0879316733
942098.126039346,1024097.5761114765
942098.126039346,1023031.0769282081
937523.1546536172,1024540.2925423705
937523.1546536172,1011360.3572782218
923596.2214794863,1021868.7104994837
923596.2214794863,1024549.9584962875
923596.2214794863,1021978.8850570653
923596.2214794863,1027727.379325589
923596.2214794863,1009394.6554736044
923596.2214794863,1023181.7206067081
923596.2214794863,1018277.89242678
923596.2214794863,1006180.2553394233
923596.2214794863,1030223.1826053006
923596.2214794863,1026243.2018915691
923596.2214794863,1032173.4417530542
923596.2214794863,1025523.0288586495
923596.2214794863,1028720.1650216287
923596.2214794863,1019008.2560265681
923596.2214794863,1014018.5808790745
923596.2214794863,1011628.3381497499
923596.2214794863,1025926.5089801262
923596.2214794863,1006418.0796831666
923596.2214794863,1014122.1571581268
923596.2214794863,1019023.7796600345
923596.2214794863,1022091.7772357687
923596.2214794863,1021818.1713180345
923596.2214794863,1017643.7875480668
923596.2214794863,1019215.2066390255
923596.2214794863,1011634.1538200241
923596.2214794863,1001124.70488498
923596.2214794863,1016261.2704119271
923596.2214794863,1012493.2778470042
923596.2214794863,1025921.9791368083
923596.2214794863,1025005.8655191431
923596.2214794863,1011526.3202149002
923596.2214794863,1028553.3834480256
923596.2214794863,1022923.9179114522
923596.2214794863,1014143.2468290202
923596.2214794863,1018522.9066576943
923596.2214794863,1011363.2595346409
923596.2214794863,1018683.6557860671
923596.2214794863,1019652.2856763356
923596.2214794863,1005697.3273483946
923596.2214794863,1007462.1763926488
923596.2214794863,1032859.7213328934
