Best Cost, Avg Cost
945744.4625700694,4958579.2934298
945744.4625700694,4550181.031094673
945744.4625700694,3794456.6398655414
945744.4625700694,3419594.9922579736
945744.4625700694,3014177.695655504
945744.4625700694,2946289.562659021
945744.4625700694,2716550.373424686
945744.4625700694,2599959.391644013
945744.4625700694,2555582.2500713333
945744.4625700694,2499550.9678698317
945744.4625700694,2409225.276806966
945744.4625700694,2389075.2855793326
945744.4625700694,2332767.773019944
945744.4625700694,2344900.54768665
945744.4625700694,2407510.2456383393
945744.4625700694,2340252.672851799
945744.4625700694,2327373.88646272
945744.4625700694,2358901.8637543838
945744.4625700694,2407131.8081066194
945744.4625700694,2278615.144623922
945744.4625700694,2257664.0739229303
945744.4625700694,2232116.593667383
945744.4625700694,2197560.302061814
945744.4625700694,2331824.502730739
945744.4625700694,2344835.0188456355
945744.4625700694,2273028.2171398853
945744.4625700694,2197456.725689557
945744.4625700694,2109728.523356486
945744.4625700694,2149649.3591333576
945744.4625700694,2208847.4372407156
945744.4625700694,2224988.104118836
945744.4625700694,2258895.287653723
945744.4625700694,2184268.641628169
945744.4625700694,2286718.2426747917
945744.4625700694,2244446.4351162235
945744.4625700694,2339493.287716817
945744.4625700694,2132654.826110106
945744.4625700694,2078685.9351953138
945744.4625700694,2208498.9861660865
945744.4625700694,2098981.925637979
945744.4625700694,2167508.2774989326
945744.4625700694,2116088.362675981
945744.4625700694,2178561.6982667963
945744.4625700694,2174888.2788572446
945744.4625700694,2215214.8758586654
945744.4625700694,2111784.4728946527
945744.4625700694,2150066.9804767566
945744.4625700694,2231337.0015969984
945744.4625700694,2193402.3901982694
945744.4625700694,2122570.275874228
945744.4625700694,2106469.768999327
945744.4625700694,2098181.646765566
945744.4625700694,2102460.902985103
945744.4625700694,2229544.3117660745
945744.4625700694,2243642.6887944187
945744.4625700694,2126845.8370960383
945744.4625700694,2073791.3475096724
945744.4625700694,2177411.156799793
945744.4625700694,2144042.853187189
945744.4625700694,2286941.2317790748
945744.4625700694,2156120.9676395343
945744.4625700694,2100625.2257634387
945744.4625700694,2035195.369907814
945744.4625700694,2076158.7718483114
945744.4625700694,2070901.0425083053
945744.4625700694,2135744.4698171923
945744.4625700694,2083627.122425939
945744.4625700694,2107056.4909210606
945744.4625700694,2059682.9847337084
945744.4625700694,2124143.1196656763
945744.4625700694,2146633.687901873
945744.4625700694,2123342.784640959
945744.4625700694,2138912.7332649096
945744.4625700694,2140425.210683139
945744.4625700694,2068998.3382672814
945744.4625700694,2076409.5952338367
945744.4625700694,2094006.56538735
945744.4625700694,2043944.908179233
945744.4625700694,2075375.2986966842
945744.4625700694,2100645.290997168
945744.4625700694,2135155.227819046
945744.4625700694,2128502.7288303403
945744.4625700694,2105376.2965758364
945744.4625700694,2058881.468025295
945744.4625700694,2131171.113608428
945744.4625700694,2210026.312835519
945744.4625700694,2081673.1731347407
945744.4625700694,2048458.8561010563
945744.4625700694,2192488.628496305
945744.4625700694,2173160.287382646
945744.4625700694,1995264.0532882628
945744.4625700694,2030507.472893102
945744.4625700694,2035709.4787524303
945744.4625700694,2029460.8592254147
945744.4625700694,2078783.1267118617
945744.4625700694,2128420.6256355713
945744.4625700694,2057390.5748232738
945744.4625700694,2029640.0630211062
945744.4625700694,2084033.42513785
945744.4625700694,2057855.7024653854
945744.4625700694,1977686.2489200262
945744.4625700694,2072339.27740629
945744.4625700694,2081545.210138823
945744.4625700694,2269937.3094639466
945744.4625700694,2130697.0062840213
945744.4625700694,1999430.3345030071
945744.4625700694,1901827.4165521255
945744.4625700694,1964817.7120144712
945744.4625700694,1972907.2482360194
945744.4625700694,2085677.2304329479
945744.4625700694,1991374.2839173027
