LCDM,Ursem,Li et al.,Cheng,Tilahun,Salleh et al.,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Zhao et al.,Osuna Enciso et al.
5.896187071408039e-06,0.5736716757336623,0.5736716757336623,0.8781197283926118,0.5736716757336622,0.8781197283926118,237628.0,235265.0,0.8132700787552901,1.9594020202020204,101391402137581199767032050282963654534495355484907440144734268212736,0.00015751571289614573
6.772817571309171e-06,0.5737645618541921,0.5737645618541921,0.8991046895832122,0.5737645618541922,0.8991046895832122,237430.0,234108.0,0.8134185745357995,1.9577454545454547,102287362398239686561699567156168111509127582221596645744251849375722,0.00016161218852266
6.4455731379104495e-06,0.5708098103595746,0.5708098103595746,0.8642150199404587,0.5708098103595746,0.8642150199404587,236746.0,229624.0,0.8086383785762327,1.951911111111111,106996282101072684076633706637737026008383083871949267936027088878996,0.00015998790419748026
2.6623133946542317e-06,0.5649845860515892,0.5649845860515892,0.8410725999221746,0.5649845860515891,0.8410725999221746,235634.0,221105.0,0.7999956872827733,1.9427393939393938,106738510463414492970017519052557917144155700729196251328270625214496,0.00015678814611353063
2.7796686924579134e-06,0.5567243449349047,0.5567243449349047,0.7844467635402905,0.5567243449349046,0.7844467635402905,234323.0,210142.0,0.7872788463789921,1.931927272727273,116916795929023826298985006343717948333179642412219139913300507239380,0.00015836345113628394
1.0097141955593382e-06,0.5582097533699003,0.5582097533699003,0.8131421028997535,0.5582097533699004,0.8131421028997535,234571.0,206532.0,0.7881768889281834,1.9333656565656565,109947689709308217297023595556525652296135982814870626476141406118068,0.0001567881461135306
1.5004488091385737e-06,0.5539092755882848,0.5539092755882848,0.8116837163194787,0.5539092755882846,0.8116837163194787,233829.0,208476.0,0.7828039278542083,1.9272161616161614,105641914666199643283762330006649355207588788296683042193664453349110,0.00015672005135431702
3.1876685249142786e-06,0.5500670696427366,0.5500670696427366,0.7931721432881674,0.5500670696427367,0.7931721432881674,233018.0,198317.0,0.778311209341197,1.920581818181818,107026868566209660462912510999364359832237521257722584214532646412968,0.00015276415816852632
1.524574880243345e-06,0.5566785983833047,0.5566785983833047,0.801106646644209,0.5566785983833046,0.801106646644209,232636.0,199755.0,0.7873445114794897,1.9174383838383837,109956915025701050521148518450027098983023990252390631473671245072096,0.00015077463200589567
1.6443084612180824e-06,0.5547826842914866,0.5547826842914866,0.7922944548102611,0.5547826842914866,0.7922944548102611,230249.0,193543.0,0.7839091575895052,1.897987878787879,108846040647141324944605633726900936695934168574836940546028322072244,0.0001462173568248272
3.5576621128378156e-06,0.550248471502091,0.550248471502091,0.7966119107790354,0.550248471502091,0.7966119107790354,229965.0,195467.0,0.7777844813182446,1.8954585858585857,108294116425256333522351657801572458112739014637607635678481266059466,0.0001495652959344433
