Best Cost, Avg Cost
945744.4625700694,54552368.641172744
945744.4625700694,54421252.75695655
945744.4625700694,54243566.958279505
945744.4625700694,54134326.39761806
945744.4625700694,53938220.58543958
945744.4625700694,53722986.48748285
945744.4625700694,53571813.64367513
945744.4625700694,53413624.409456834
945744.4625700694,53257288.76447032
945744.4625700694,53109375.17285043
945744.4625700694,52909421.0747708
945744.4625700694,52772754.95729023
945744.4625700694,52564622.258438155
945744.4625700694,52371608.98600094
945744.4625700694,52224515.80607798
945744.4625700694,52041481.46785599
945744.4625700694,51847052.466552064
945744.4625700694,51682619.46009452
945744.4625700694,51500159.89946589
945744.4625700694,51360045.87881341
945744.4625700694,51196989.48988499
945744.4625700694,50975674.425489426
945744.4625700694,50843737.189546175
945744.4625700694,50666479.99614569
945744.4625700694,50512547.83508141
945744.4625700694,50366341.185055405
945744.4625700694,50207887.07848191
945744.4625700694,50040002.36407947
945744.4625700694,49889931.24757869
945744.4625700694,49718447.39199854
945744.4625700694,49543858.60634246
945744.4625700694,49371608.58903678
945744.4625700694,49259496.83696231
945744.4625700694,49086342.631161205
945744.4625700694,48937517.13140192
945744.4625700694,48780167.554882675
945744.4625700694,48577864.58079503
945744.4625700694,48403216.82515148
945744.4625700694,48198201.900290936
945744.4625700694,48020085.77570548
945744.4625700694,47870685.373141624
945744.4625700694,47725576.26557106
945744.4625700694,47527623.685570315
945744.4625700694,47371471.77267354
945744.4625700694,47192559.12265136
945744.4625700694,47043792.14336467
945744.4625700694,46874074.328198776
945744.4625700694,46709073.771455966
945744.4625700694,46546757.842303686
945744.4625700694,46389885.369517416
945744.4625700694,46186742.43328275
945744.4625700694,45992552.44136331
945744.4625700694,45846146.299354084
945744.4625700694,45646057.53180374
945744.4625700694,45457684.90529585
945744.4625700694,45248878.194101036
945744.4625700694,45062413.162922084
945744.4625700694,44902015.08881237
945744.4625700694,44707554.53601286
945744.4625700694,44548892.643794015
945744.4625700694,44361633.24571784
945744.4625700694,44123448.23947133
945744.4625700694,43970066.14367867
945744.4625700694,43823700.31062797
945744.4625700694,43637624.01322058
945744.4625700694,43453233.82435639
945744.4625700694,43225716.564815834
945744.4625700694,43025786.68266129
945744.4625700694,42882610.079497464
945744.4625700694,42690219.54677423
945744.4625700694,42467086.3270824
945744.4625700694,42293188.2394975
945744.4625700694,42103426.65552979
945744.4625700694,41948140.83208
945744.4625700694,41747665.24488247
945744.4625700694,41559418.88332261
945744.4625700694,41391335.66904998
945744.4625700694,41176245.1175238
945744.4625700694,41017696.66483256
945744.4625700694,40820694.2966589
945744.4625700694,40606630.844153255
945744.4625700694,40400471.03791733
945744.4625700694,40237458.042505614
945744.4625700694,40046140.68622145
945744.4625700694,39825436.92512879
945744.4625700694,39651647.68581769
945744.4625700694,39476192.07179335
945744.4625700694,39273652.40456162
945744.4625700694,39024750.67649178
945744.4625700694,38866405.118075356
945744.4625700694,38650777.0083199
945744.4625700694,38466438.48869641
945744.4625700694,38250956.76097746
945744.4625700694,38036242.384435266
945744.4625700694,37899983.23375839
945744.4625700694,37682005.61332484
945744.4625700694,37488975.4979733
945744.4625700694,37277434.986635916
945744.4625700694,37048418.801786855
945744.4625700694,36821716.3219174
945744.4625700694,36622002.04889093
945744.4625700694,36451298.585830145
945744.4625700694,36267098.244129576
945744.4625700694,36068908.495566085
945744.4625700694,35858131.25923617
945744.4625700694,35665631.99022924
945744.4625700694,35462389.33898901
945744.4625700694,35285699.130214445
945744.4625700694,35062824.298490636
945744.4625700694,34878800.3643202
945744.4625700694,34662765.573875956
945744.4625700694,34456032.604734324
945744.4625700694,34217184.4664031
945744.4625700694,33998355.13893998
945744.4625700694,33830417.45977827
945744.4625700694,33674831.65717791
945744.4625700694,33458729.692139696
945744.4625700694,33253554.859314017
945744.4625700694,33091695.882558532
945744.4625700694,32890053.395732738
945744.4625700694,32697638.727598067
945744.4625700694,32472013.168740187
945744.4625700694,32283005.31033215
945744.4625700694,32043955.954728827
945744.4625700694,31847285.47265029
945744.4625700694,31643237.841488708
945744.4625700694,31422543.6138945
945744.4625700694,31223222.169779714
945744.4625700694,31012678.611971095
945744.4625700694,30832663.334658116
945744.4625700694,30632497.197552744
945744.4625700694,30410358.540355884
945744.4625700694,30232791.781679913
945744.4625700694,30058625.5259098
945744.4625700694,29867521.11627887
945744.4625700694,29688125.568952695
945744.4625700694,29506713.828412205
945744.4625700694,29341124.726218052
945744.4625700694,29149583.090218984
945744.4625700694,28963806.50917532
945744.4625700694,28728869.852349143
945744.4625700694,28569343.745743014
945744.4625700694,28410592.589271907
945744.4625700694,28228288.89346307
945744.4625700694,28024420.555328943
945744.4625700694,27835735.71131833
945744.4625700694,27677759.647577062
945744.4625700694,27518900.070867494
945744.4625700694,27310686.07681828
945744.4625700694,27114582.079133295
945744.4625700694,26892258.803781465
945744.4625700694,26750155.731704224
945744.4625700694,26602888.840603422
945744.4625700694,26408559.09247437
945744.4625700694,26214072.541532036
945744.4625700694,26090613.397741165
945744.4625700694,25924255.028910562
945744.4625700694,25755906.35227161
945744.4625700694,25589660.333243627
945744.4625700694,25429479.639966723
945744.4625700694,25225165.146651793
945744.4625700694,25076350.417375058
945744.4625700694,24931424.993238617
945744.4625700694,24765845.123200897
945744.4625700694,24596011.855618402
945744.4625700694,24431538.921032548
945744.4625700694,24251870.41233127
945744.4625700694,24113229.282127
945744.4625700694,23956161.188777145
945744.4625700694,23802147.878179044
945744.4625700694,23650930.277274147
945744.4625700694,23469890.058677446
945744.4625700694,23297545.23432176
945744.4625700694,23137113.54422849
945744.4625700694,22979300.951307785
945744.4625700694,22807090.85756973
945744.4625700694,22666466.447658163
945744.4625700694,22523683.021023773
945744.4625700694,22368567.95404795
945744.4625700694,22195115.540360652
945744.4625700694,22044462.777546793
945744.4625700694,21875845.50040788
945744.4625700694,21722237.37206502
945744.4625700694,21566795.544881616
945744.4625700694,21420176.67247769
945744.4625700694,21295182.843155246
945744.4625700694,21147391.53775506
945744.4625700694,21019061.885812934
945744.4625700694,20890886.46870652
945744.4625700694,20747731.666647535
945744.4625700694,20615774.725982834
945744.4625700694,20490625.390017774
945744.4625700694,20384627.825534154
945744.4625700694,20258800.671360105
945744.4625700694,20106532.46616812
945744.4625700694,20008405.14423984
945744.4625700694,19892089.96494212
945744.4625700694,19774036.19536253
945744.4625700694,19614519.74867599
945744.4625700694,19458067.254010543
945744.4625700694,19337118.505336545
945744.4625700694,19213143.31383087
945744.4625700694,19098920.66413739
945744.4625700694,18985561.00530751
945744.4625700694,18859883.739555888
945744.4625700694,18727942.96371412
945744.4625700694,18597338.59981364
945744.4625700694,18486960.904757787
945744.4625700694,18387857.52693456
945744.4625700694,18283271.73505986
945744.4625700694,18174989.128181133
945744.4625700694,18065500.26769872
945744.4625700694,17935773.70224349
945744.4625700694,17827582.063802738
945744.4625700694,17749509.39975064
945744.4625700694,17649359.88599481
945744.4625700694,17552446.580852184
945744.4625700694,17442504.558808915
945744.4625700694,17335858.687544204
945744.4625700694,17227444.194461357
945744.4625700694,17091169.96193992
945744.4625700694,16984813.674183298
945744.4625700694,16895776.93711321
945744.4625700694,16781021.02051623
945744.4625700694,16700286.004590137
945744.4625700694,16586034.605601262
945744.4625700694,16477870.547499413
945744.4625700694,16398445.01957848
945744.4625700694,16312082.890404046
945744.4625700694,16206978.066199798
945744.4625700694,16105782.889412358
945744.4625700694,16027673.172960877
945744.4625700694,15913064.073847063
945744.4625700694,15813947.614575153
945744.4625700694,15728922.719550174
945744.4625700694,15640396.387535037
945744.4625700694,15534193.327778297
945744.4625700694,15448312.495551081
945744.4625700694,15370650.949838763
945744.4625700694,15260211.48127209
945744.4625700694,15194464.394416027
945744.4625700694,15111344.563052924
945744.4625700694,15040725.72234283
940295.0019755757,14938609.463469457
940295.0019755757,14850489.055377016
940295.0019755757,14778940.802213138
940295.0019755757,14708159.637956167
940295.0019755757,14645454.695735967
940295.0019755757,14544661.286966445
940295.0019755757,14472423.557932677
940295.0019755757,14415430.53312797
940295.0019755757,14349514.992467273
940295.0019755757,14280049.546553904
940295.0019755757,14211483.799736392
940295.0019755757,14143509.031663952
940295.0019755757,14075714.46367998
939096.4227104443,13995150.488165729
939096.4227104443,13933825.790105605
939096.4227104443,13858863.898617735
939096.4227104443,13803448.771712933
939096.4227104443,13754571.95715111
939096.4227104443,13699816.583074858
939096.4227104443,13631734.51687079
939096.4227104443,13588701.103539992
939096.4227104443,13516490.9287058
939096.4227104443,13448592.487949148
939096.4227104443,13376033.732622616
939096.4227104443,13325473.254292436
939096.4227104443,13283451.121404443
939096.4227104443,13218555.093674745
939096.4227104443,13187076.987277003
939096.4227104443,13139037.747904377
939096.4227104443,13091595.979048884
939096.4227104443,13039331.608622639
939096.4227104443,12983964.610889325
939096.4227104443,12922904.098273808
939096.4227104443,12875774.763317686
939096.4227104443,12802911.664359648
939096.4227104443,12748873.369518243
939096.4227104443,12688254.17217431
939096.4227104443,12645413.942313517
939096.4227104443,12604084.130508076
939096.4227104443,12560776.869140975
939096.4227104443,12494028.089763127
939096.4227104443,12406752.924093945
939096.4227104443,12378339.718929436
939096.4227104443,12335345.070473688
939096.4227104443,12283053.012961319
939096.4227104443,12260526.707890809
939096.4227104443,12218095.055030169
939096.4227104443,12184793.224398417
939096.4227104443,12127166.378125146
939096.4227104443,12067927.559965799
939096.4227104443,12025708.995295506
939096.4227104443,11992302.33068501
939096.4227104443,11944952.601676097
939096.4227104443,11897107.048959944
939096.4227104443,11868844.14492481
939096.4227104443,11827980.498029336
939096.4227104443,11799448.227460604
939096.4227104443,11770471.463452639
939096.4227104443,11739669.425673094
939096.4227104443,11724659.881936485
939096.4227104443,11699734.398581238
939096.4227104443,11664230.459142532
939096.4227104443,11628315.978634194
939096.4227104443,11591757.096381698
939096.4227104443,11556730.122117734
939096.4227104443,11522602.020657137
939096.4227104443,11498687.623159792
939096.4227104443,11465931.435019989
939096.4227104443,11428190.471899245
939096.4227104443,11390869.533630645
939096.4227104443,11357429.667258766
939096.4227104443,11320531.691205857
939096.4227104443,11293716.779742131
939096.4227104443,11270660.952576913
939096.4227104443,11246642.919130005
939096.4227104443,11209766.50916209
939096.4227104443,11181340.141622042
939096.4227104443,11155969.827234803
939096.4227104443,11139773.192578705
939096.4227104443,11091102.573295984
939096.4227104443,11062984.335277695
939096.4227104443,11034278.765583524
939096.4227104443,11013261.204343906
939096.4227104443,10985023.907751443
939096.4227104443,10943730.534682333
939096.4227104443,10911214.693835711
939096.4227104443,10886682.074406112
939096.4227104443,10875291.196151964
939096.4227104443,10857866.775563922
939096.4227104443,10840246.401781525
939096.4227104443,10821658.680826182
939096.4227104443,10805971.381104928
939096.4227104443,10781355.924970226
939096.4227104443,10760606.989783272
939096.4227104443,10731975.96025682
939096.4227104443,10703608.83053331
936343.5379432638,10695183.4072358
936343.5379432638,10667986.365445334
936343.5379432638,10651089.74280814
936343.5379432638,10636646.459216334
936343.5379432638,10615487.383054955
936343.5379432638,10598969.374599403
936343.5379432638,10585969.61028399
936343.5379432638,10560347.501922088
936343.5379432638,10538796.862977043
936343.5379432638,10516479.658543853
936343.5379432638,10494847.410059698
936343.5379432638,10464293.261296982
936343.5379432638,10451554.470622145
936343.5379432638,10431449.38963061
936343.5379432638,10421567.369131584
936343.5379432638,10397795.511629988
936343.5379432638,10380863.417840801
936343.5379432638,10352771.096227145
936343.5379432638,10328302.571763972
936343.5379432638,10310084.990272945
936343.5379432638,10295201.285129303
936343.5379432638,10285966.472550794
936343.5379432638,10272537.983646266
936343.5379432638,10258816.062537413
936343.5379432638,10240192.937626716
936199.3382962004,10224343.914734451
936199.3382962004,10212357.61488727
936199.3382962004,10200582.542769574
936199.3382962004,10190098.412728934
936199.3382962004,10178883.506414415
936199.3382962004,10155605.684010563
936199.3382962004,10144286.4273264
936199.3382962004,10137829.346588839
936199.3382962004,10132314.803660871
936199.3382962004,10124365.068806918
936199.3382962004,10112064.487897132
936199.3382962004,10104847.59544575
936199.3382962004,10085636.248272594
936199.3382962004,10085345.231555568
936199.3382962004,10078175.117845524
936199.3382962004,10065878.088769712
936199.3382962004,10058274.955462445
936199.3382962004,10053143.40773946
936199.3382962004,10044374.550377475
936199.3382962004,10036608.889500847
936199.3382962004,10020674.951731095
936199.3382962004,10009105.549753614
936199.3382962004,9997028.870792154
936199.3382962004,9981195.486351982
936199.3382962004,9975444.082614807
936199.3382962004,9966670.366714949
936199.3382962004,9960989.952796306
936199.3382962004,9955233.475805698
936199.3382962004,9945374.272731999
936199.3382962004,9930473.002988182
936199.3382962004,9921923.872459227
936199.3382962004,9914747.921961531
936199.3382962004,9906501.607009
936199.3382962004,9901561.516785331
936199.3382962004,9895242.942781148
936199.3382962004,9892645.443632966
936199.3382962004,9875511.860506142
936199.3382962004,9868594.803619403
936199.3382962004,9861418.043332122
936199.3382962004,9851365.651387855
936199.3382962004,9845099.307247046
936199.3382962004,9839584.130585235
936199.3382962004,9835930.376127308
936199.3382962004,9829548.662998782
936199.3382962004,9825520.303974155
936199.3382962004,9820496.285549391
936199.3382962004,9817963.591742083
936199.3382962004,9810890.68671961
936199.3382962004,9806624.69743893
936199.3382962004,9807510.883080255
936199.3382962004,9807554.530369362
936199.3382962004,9796326.377474677
936199.3382962004,9797707.41634888
936199.3382962004,9785367.959519273
936199.3382962004,9781236.517707853
936199.3382962004,9773861.506492762
936199.3382962004,9772235.93756039
936199.3382962004,9770763.128305249
936199.3382962004,9762469.38971758
936199.3382962004,9757196.318165042
936199.3382962004,9748355.08014413
936199.3382962004,9740035.990509678
936199.3382962004,9740256.213854268
936199.3382962004,9733836.243579186
936199.3382962004,9732249.349830503
936199.3382962004,9731882.39506181
936199.3382962004,9726804.769113244
936199.3382962004,9726602.636133716
936199.3382962004,9728102.65826868
936199.3382962004,9723719.221599769
936199.3382962004,9718173.82127732
936199.3382962004,9712851.626452925
936199.3382962004,9710492.976273699
936199.3382962004,9704113.101187807
936199.3382962004,9703847.20309061
936199.3382962004,9697180.423189959
936199.3382962004,9687538.610120956
936199.3382962004,9685792.639961163
936199.3382962004,9685524.533871938
936199.3382962004,9682804.485052675
936199.3382962004,9675809.327128224
936199.3382962004,9674476.385581782
936199.3382962004,9664148.2946677
936199.3382962004,9661068.192365274
936199.3382962004,9653503.594634369
936199.3382962004,9654015.16716729
936199.3382962004,9651457.407744639
936199.3382962004,9648383.24665444
936199.3382962004,9645159.660404822
936199.3382962004,9643226.636545315
936199.3382962004,9643002.260919569
936199.3382962004,9640634.158471668
936199.3382962004,9635311.245608848
936199.3382962004,9630816.050962532
936199.3382962004,9625703.767864369
936199.3382962004,9622780.007871894
936199.3382962004,9617376.44368226
936199.3382962004,9612436.858722424
936199.3382962004,9608521.567162039
936199.3382962004,9608156.902329218
936199.3382962004,9605686.17572593
936199.3382962004,9602189.064863747
936199.3382962004,9601886.731882894
936199.3382962004,9599359.03305689
936199.3382962004,9593002.149110034
936199.3382962004,9594026.502634441
936199.3382962004,9588125.165908933
936199.3382962004,9585883.41439735
936199.3382962004,9585815.052164132
936199.3382962004,9584131.094009597
936199.3382962004,9584343.514451379
936199.3382962004,9581725.043129392
936199.3382962004,9581901.027497612
936199.3382962004,9579433.913055897
936199.3382962004,9579959.830157364
936199.3382962004,9579334.947204364
936199.3382962004,9574927.849318128
936199.3382962004,9573725.077683339
936199.3382962004,9572640.950770168
936199.3382962004,9572809.567255767
936199.3382962004,9570409.487465013
936199.3382962004,9567820.883605458
936199.3382962004,9568395.632993061
936199.3382962004,9567840.513631428
936199.3382962004,9567287.3054972
936199.3382962004,9564256.188974272
936199.3382962004,9559201.745059993
936199.3382962004,9558596.179295816
936199.3382962004,9549395.615237176
936199.3382962004,9550012.776252147
936199.3382962004,9549767.465331519
936199.3382962004,9545552.779547073
936199.3382962004,9542084.933142612
936199.3382962004,9542508.545819623
936199.3382962004,9544072.639919456
936199.3382962004,9542459.02633995
936199.3382962004,9541972.450599225
936199.3382962004,9540773.460442312
936199.3382962004,9536915.852894211
936199.3382962004,9532808.56507144
936199.3382962004,9528606.245521635
936199.3382962004,9529793.738863299
936199.3382962004,9528283.240796002
936199.3382962004,9526340.36749785
936199.3382962004,9524564.569434477
936199.3382962004,9522771.968203474
936199.3382962004,9519495.189154206
936199.3382962004,9520280.06222685
936199.3382962004,9513310.695415942
936199.3382962004,9512897.63929428
936199.3382962004,9513251.86858013
936199.3382962004,9508437.381679254
936199.3382962004,9506986.831191026
936199.3382962004,9506477.086438475
936199.3382962004,9508137.686978323
936199.3382962004,9505986.488640016
936199.3382962004,9504861.83379203
936199.3382962004,9502380.08091435
936199.3382962004,9498343.059602706
936199.3382962004,9494555.824501209
936199.3382962004,9492363.508188056
936199.3382962004,9492486.084587742
936199.3382962004,9489962.429433033
936199.3382962004,9487599.497442178
936199.3382962004,9484278.670900732
936199.3382962004,9486682.877619626
936199.3382962004,9483704.51745005
936199.3382962004,9483148.591303386
936199.3382962004,9483682.577757694
936199.3382962004,9483077.145386882
936199.3382962004,9482004.250432264
936199.3382962004,9482837.376516927
936199.3382962004,9482450.195655216
936199.3382962004,9481852.30035184
936199.3382962004,9480647.867143463
936199.3382962004,9479747.233658636
936199.3382962004,9479689.29197035
936199.3382962004,9479856.71308579
936199.3382962004,9478146.13012853
936199.3382962004,9469919.011683112
936199.3382962004,9468321.243312906
936199.3382962004,9467633.119589362
936199.3382962004,9467334.084847584
936199.3382962004,9464555.773861108
936199.3382962004,9463517.394339219
936199.3382962004,9463122.645762019
936199.3382962004,9459028.077146761
936199.3382962004,9457763.100206705
936199.3382962004,9456760.350319155
936199.3382962004,9456241.73654274
936199.3382962004,9452416.626463842
936199.3382962004,9453888.029443176
936199.3382962004,9453789.90695185
936199.3382962004,9453170.873399757
936199.3382962004,9452893.916443866
936199.3382962004,9451070.083366789
936199.3382962004,9451148.6943306
936199.3382962004,9449615.852066826
936199.3382962004,9452240.500884932
936199.3382962004,9449301.82090421
936199.3382962004,9449150.87712451
936199.3382962004,9448448.190602794
936199.3382962004,9448420.661755122
936199.3382962004,9448420.661755122
936199.3382962004,9449165.91081106
936199.3382962004,9447871.646200279
936199.3382962004,9447854.952905927
936199.3382962004,9448372.856769776
936199.3382962004,9451942.38210146
936199.3382962004,9447770.81257363
936199.3382962004,9446921.451485863
936199.3382962004,9446170.460343124
936199.3382962004,9446712.182552107
936199.3382962004,9446276.539239356
936199.3382962004,9448239.426114963
936199.3382962004,9446687.49487686
936199.3382962004,9445980.030190427
936199.3382962004,9443870.474500593
936199.3382962004,9441664.331445487
936199.3382962004,9441657.691340156
936199.3382962004,9443627.381358871
936199.3382962004,9439836.558012111
936199.3382962004,9440212.713176811
936199.3382962004,9437964.544726724
936199.3382962004,9438424.344905296
936199.3382962004,9435917.780073846
936199.3382962004,9435730.427797101
936199.3382962004,9435560.013815602
936199.3382962004,9435286.130592369
936199.3382962004,9435286.130592369
936199.3382962004,9437099.371648513
936199.3382962004,9436583.828306874
936199.3382962004,9436446.595440537
936199.3382962004,9435911.212111028
936199.3382962004,9435103.499822132
936199.3382962004,9435189.284611322
936199.3382962004,9435868.690203106
936199.3382962004,9435574.020127032
936199.3382962004,9431463.728948426
936199.3382962004,9430466.899118865
936199.3382962004,9430445.55802784
936199.3382962004,9428603.900265045
936199.3382962004,9428513.692095831
936199.3382962004,9428513.692095831
936199.3382962004,9426374.839348327
