Best Cost, Avg Cost
945744.4625700694,5182311.2066408275
945744.4625700694,4754467.877396604
945744.4625700694,3983812.4574443637
945744.4625700694,2705675.985850476
945744.4625700694,2032473.8081716893
945744.4625700694,1685466.3166402741
945744.4625700694,1478055.4800334559
945744.4625700694,1365145.9902561954
945744.4625700694,1385067.9275726562
945744.4625700694,1317771.2966342203
945744.4625700694,1318054.9187900284
945744.4625700694,1308065.4960721692
945744.4625700694,1284422.7297750493
945744.4625700694,1290248.0143716082
945744.4625700694,1281488.9301821254
945744.4625700692,1289966.6209107025
945744.4625700692,1295711.246966335
945744.4625700692,1293139.3462185226
945744.4625700692,1275661.0504662923
945744.4625700692,1270264.0108216407
945744.4625700692,1199018.4301063493
945744.4625700692,1203414.1110966713
945744.4625700692,1188150.3485383065
945744.4625700692,1176853.5393056446
945744.4625700692,1160035.0575408374
945744.4625700692,1181111.5146211563
945744.4625700692,1191816.5117480725
942413.3698735576,1248989.9268540414
942413.3698735576,1267195.448857823
942413.3698735576,1240289.979870825
942413.3698735576,1177122.376688873
942413.3698735576,1191808.4790182943
942413.3698735576,1174147.4829756848
942413.3698735576,1160948.7243814082
942413.3698735576,1181970.3104098088
942413.3698735576,1173591.3846277392
942413.3698735576,1159012.1660255447
942413.3698735576,1173637.8439686545
942413.3698735576,1173223.0564076668
942413.3698735576,1191237.375165428
942413.3698735576,1190909.9568337055
942413.3698735576,1208277.9369553605
942413.3698735576,1176049.4040577249
942413.3698735576,1156511.7880614037
942413.3698735576,1151147.9671923758
942413.3698735576,1189302.5793946192
942413.3698735576,1212562.1947834846
942413.3698735576,1202327.246137476
940041.9628987174,1176606.0343304994
940041.9628987174,1160562.4223939662
940041.9628987174,1190207.990909856
940041.9628987174,1236377.4840165635
940041.9628987174,1221677.7784336521
940041.9628987174,1189575.3629006345
940041.9628987174,1184946.3505633464
940041.9628987174,1191229.6110951651
940041.9628987174,1214210.9702332588
940041.9628987174,1140660.3509448343
940041.9628987174,1158238.3121591022
940041.9628987174,1164220.1512106138
940041.9628987174,1176890.145893671
940041.9628987174,1157610.6677477628
940041.9628987173,1170389.0234641503
939542.5158351433,1148052.3678830753
939542.5158351433,1138828.0908793851
939542.5158351433,1145351.044113037
939542.5158351433,1161794.7089064887
939542.5158351433,1183460.5914743713
939542.5158351433,1218802.0440238607
939542.5158351433,1181227.3746080704
939542.5158351433,1155065.6833556562
939542.5158351433,1194243.273349565
937171.1088603027,1187456.8117680913
937171.1088603027,1174602.687745886
937171.1088603027,1178815.8554179799
937171.1088603027,1162912.520778153
937171.1088603027,1185062.8439283902
937171.1088603027,1233677.6292799013
937171.1088603027,1180182.4868927638
937026.9092132397,1186846.0131199504
937026.9092132397,1170046.4676217085
937026.9092132397,1181736.5170628147
937026.9092132397,1192204.9755959543
937026.9092132394,1213908.8091705034
937026.9092132394,1179022.9807656575
937026.9092132394,1199226.0082409624
937026.9092132391,1181688.1839271176
937026.9092132391,1167339.437563701
937026.9092132391,1163589.140898259
937026.9092132391,1152932.3097614471
937026.9092132391,1168251.2144023199
937026.9092132391,1171683.1369943414
937026.9092132391,1180312.944898916
937026.9092132391,1169137.0785162903
937026.9092132391,1146513.4896210744
937026.9092132391,1156062.3778477618
937026.9092132391,1161859.4467109018
937026.9092132391,1167423.1184289204
937026.9092132391,1176532.7536909692
937026.9092132391,1170774.2744909846
937026.9092132391,1193970.7317342428
937026.9092132391,1217238.8713509662
937026.9092132391,1246166.550952778
936458.6224218351,1228398.9630196106
936458.6224218351,1216190.5535648214
936458.6224218351,1192064.8488254661
936458.6224218351,1182136.618363767
935828.3299481083,1176630.271288008
935828.3299481083,1215045.997955875
935828.3299481083,1182042.9454016737
935828.3299481083,1194725.2201769783
935828.3299481083,1149907.0367732155
935828.3299481083,1176471.3214593837
935828.3299481083,1194088.2542545707
935828.3299481083,1228974.4597572756
935828.3299481083,1215728.5388425062
935828.3299481083,1223551.0742829333
935828.3299481083,1240237.4645071651
935828.3299481083,1228037.565529656
935828.3299481083,1227020.8298311015

