Best Cost, Avg Cost
945744.4625700694,5409545.578112505
945744.4625700694,5408646.462027478
945744.4625700694,5388409.360065357
945744.4625700694,5366483.64482656
945744.4625700694,5336590.224318733
945744.4625700694,5327959.546702778
945744.4625700694,5326612.132630753
945744.4625700694,5292342.97513293
945744.4625700694,5291728.555454177
945744.4625700694,5287136.877020102
945744.4625700694,5265778.657180972
945744.4625700694,5263837.501662272
945744.4625700694,5257612.136917363
945744.4625700694,5232756.233767302
945744.4625700694,5199561.530397588
945744.4625700694,5186400.716441207
945744.4625700694,5171908.676520857
945744.4625700694,5154658.961262692
945744.4625700694,5133078.954433981
945744.4625700694,5123756.22858689
945744.4625700694,5085666.358684519
945744.4625700694,5069877.946769467
945744.4625700694,5048005.511697297
945744.4625700694,5017965.410559863
945744.4625700694,5006913.061759052
945744.4625700694,4983423.0259587355
945744.4625700694,4960957.469377325
945744.4625700694,4955865.772605416
945744.4625700694,4955468.476073252
945744.4625700694,4930301.507654539
945744.4625700694,4914354.2981250575
945744.4625700694,4887891.108432964
945744.4625700694,4858288.694792182
945744.4625700694,4853132.714169029
945744.4625700694,4821848.162833311
945744.4625700694,4810193.765523705
945744.4625700694,4791438.780656198
945744.4625700694,4783893.550578834
945744.4625700694,4767389.978669146
945744.4625700694,4769557.856370008
945744.4625700694,4745303.681029078
945744.4625700694,4739095.803313657
945744.4625700694,4722577.854472547
945744.4625700694,4706688.3601361625
945744.4625700694,4681942.26644869
945744.4625700694,4670771.586786112
945744.4625700694,4665004.6532370625
945744.4625700694,4646560.09697963
945744.4625700694,4622743.730461436
945744.4625700694,4607061.668252544
945744.4625700694,4610171.4923155885
945744.4625700694,4599717.871064531
945744.4625700694,4573161.294913783
945744.4625700694,4544410.765153882
945744.4625700694,4529364.338365432
945744.4625700694,4513995.569348487
945744.4625700694,4521494.872564411
945744.4625700694,4499983.039313123
945744.4625700694,4480260.734731588
945744.4625700694,4443893.75589387
945744.4625700694,4431307.540239298
945744.4625700694,4413262.391485539
945744.4625700694,4382261.0221062265
945744.4625700694,4356105.663817852
945744.4625700694,4330008.35178147
945744.4625700694,4308932.518283602
945744.4625700694,4284033.79184809
945744.4625700694,4273187.76919851
945744.4625700694,4270749.2445003865
945744.4625700694,4244892.027460034
945744.4625700694,4221189.233502268
945744.4625700694,4196057.21753806
945744.4625700694,4193675.534008854
945744.4625700694,4165091.084966315
945744.4625700694,4134536.830020295
945744.4625700694,4134113.0006223065
945744.4625700694,4125473.9967095214
945744.4625700694,4092354.061536616
945744.4625700694,4084609.801927281
945744.4625700694,4054526.087206508
945744.4625700694,4039350.921991433
945744.4625700694,4027322.2288289275
945744.4625700694,3996326.061163753
945744.4625700694,3984884.6643359405
945744.4625700694,3949162.984630444
945744.4625700694,3931064.843453378
945744.4625700694,3915476.6626552357
945744.4625700694,3902830.356952576
945744.4625700694,3882246.286383935
945744.4625700694,3849741.5706332345
945744.4625700694,3819169.048571188
945744.4625700694,3799996.758572848
945744.4625700694,3781347.2213644125
945744.4625700694,3759955.2556080814
945744.4625700694,3732391.1972278887
945744.4625700694,3717477.0141129685
945744.4625700694,3696066.2650169823
945744.4625700694,3677515.5639934456
945744.4625700694,3665233.3466320527
945744.4625700694,3648573.436198645
945744.4625700694,3624409.9319033325
945744.4625700694,3607079.8312340323
945744.4625700694,3587043.360441395
945744.4625700694,3558016.098013019
945744.4625700694,3529468.9702252164
945744.4625700694,3512795.702161101
945744.4625700694,3487306.198640482
945744.4625700694,3467354.7877238346
945744.4625700694,3433933.912932899
945744.4625700694,3410110.4681664063
945744.4625700694,3397861.8003982417
945744.4625700694,3372640.298891806
945744.4625700694,3362495.6949757067
945744.4625700694,3347447.5187005536
945744.4625700694,3320623.524454372
945744.4625700694,3303009.6359834955
945744.4625700694,3290488.6262705917
945744.4625700694,3268176.215480939
945744.4625700694,3233726.5343645536
945744.4625700694,3215916.9204529803

