Optimas, 421(0 4 3 5 1 6 2),,,,,,,,,,,,,,,,,
H-Axis, Max distance, Ratio,Ours,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
100,5040,100,0.006946692,0,0,0,0,16.21291829,472074.74,406590.14,0.855883647,0.848977802,16.21291829,0.916004492,16.21291829,0.921602382,144150293.4,0.297301779
99,4989.6,99,0.00798053,0,0,0,0,16.26614618,475336.78,409574.5,0.861174608,0.855105872,16.26614618,0.932927048,16.26614618,0.944800397,144325170.7,0.297301779
98,4939.2,98,0.008536605,0,0,0,0,16.27395495,475643.58,409876.7,0.861765467,0.855649087,16.27395495,0.934012847,16.27395495,0.948329567,143184778.2,0.297301779
97,4888.8,97,0.010566518,0,0,0,0,16.28006483,475937.62,410081.7,0.862350913,0.856202721,16.28006483,0.945495959,16.28006483,0.947443005,141979354,0.297301779
96,4838.4,96,0.013910995,0,0,0,0,16.28238092,476081.78,410250.04,0.862586379,0.85647619,16.28238092,0.951923912,16.28238092,0.952171026,140505445.9,0.297301779
95,4788,95,0.016009175,0,0,0,0,16.2917292,476159.56,410337.44,0.863126518,0.856621124,16.2917292,0.951125114,16.2917292,0.944265101,139513484.6,0.297301779
94,4737.6,94,0.018636833,0,0,0,0,16.30042693,476336.42,410337.94,0.86374068,0.856945292,16.30042693,0.95967272,16.30042693,0.947243093,138115304.5,0.297301779
93,4687.2,93,0.02032148,0,0,0,0,16.30580867,476444.7,410379.38,0.864073446,0.8571401,16.30580867,0.9555676,16.30580867,0.944464221,138092518.9,0.297301779
92,4636.8,92,0.01999103,0,0,0,0,16.30163466,476385.7,410428.56,0.863795947,0.857040387,16.30163466,0.956354887,16.30163466,0.9432013,136895363.7,0.297301779
91,4586.4,91,0.019716341,0,0,0,0,16.30336179,476446.56,410311.46,0.863987568,0.857141783,16.30336179,0.958440863,16.30336179,0.943620684,135434713.2,0.297301779
90,4536,90,0.020125427,0,0,0,0,16.30242343,476443.96,410404.98,0.863869781,0.857151916,16.30242343,0.958834934,16.30242343,0.944452698,134076992.1,0.297301779
89,4485.6,89,0.020943678,0,0,0,0,16.30478337,476486.6,410420.28,0.864071334,0.857222091,16.30478337,0.960405123,16.30478337,0.947072887,133026575.4,0.297301779
88,4435.2,88,0.019256192,0,0,0,0,16.30562243,476361.46,410369.52,0.86395804,0.856989474,16.30562243,0.954704188,16.30562243,0.947572776,131619694.9,0.297301779
87,4384.8,87,0.019582057,0,0,0,0,16.29963724,476389.88,410457.64,0.863702978,0.857042965,16.29963724,0.956542401,16.29963724,0.944952412,130627781.1,0.297301779
86,4334.4,86,0.019331427,0,0,0,0,16.29721251,476387.14,410468.32,0.863607384,0.857039134,16.29721251,0.958830104,16.29721251,0.948280413,129546780.9,0.297301779
85,4284,85,0.019086095,0,0,0,0,16.29059087,476164.86,410410.68,0.863099209,0.856639742,16.29059087,0.956268844,16.29059087,0.942412398,128701403.4,0.297301779
84,4233.6,84,0.018435684,0,0,0,0,16.2916466,476126.32,410387.76,0.863131742,0.856564447,16.2916466,0.951559803,16.2916466,0.946007227,127432751.3,0.297301779
83,4183.2,83,0.01837188,0,0,0,0,16.28362351,476035.28,410368.68,0.862658264,0.856412961,16.28362351,0.953866592,16.28362351,0.941284831,126161348.5,0.297301779
82,4132.8,82,0.018151433,0,0,0,0,16.27831259,475990.8,410323.78,0.862323117,0.856338203,16.27831259,0.950531013,16.27831259,0.938506313,125643550.7,0.297301779
81,4082.4,81,0.017647517,0,0,0,0,16.28404254,475879.9,410319.22,0.862405178,0.856139134,16.28404254,0.945795361,16.28404254,0.937870923,123711551.9,0.297301779
80,4032,80,0.017440963,0,0,0,0,16.27472244,475850.38,410288.1,0.861910915,0.856094057,16.27472244,0.949299799,16.27472244,0.935951908,122868215.1,0.297301779
79,3981.6,79,0.017611803,0,0,0,0,16.26931329,475683.9,410250.06,0.861508375,0.855801719,16.26931329,0.949402052,16.26931329,0.936592489,121827335.5,0.297301779
78,3931.2,78,0.017299217,0,0,0,0,16.25950772,475593.42,410213.52,0.860754314,0.855638059,16.25950772,0.941920477,16.25950772,0.929915161,120315403.7,0.297301779
77,3880.8,77,0.017657459,0,0,0,0,16.25032822,475571.26,410210.94,0.86032138,0.855590906,16.25032822,0.944763254,16.25032822,0.928366275,119870428.8,0.297301779
76,3830.4,76,0.017226712,0,0,0,0,16.24274012,475465.88,410180.26,0.859676445,0.855402757,16.24274012,0.944598316,16.24274012,0.933163916,117840983.5,0.297301779
75,3780,75,0.016832085,0,0,0,0,16.23117902,475265.48,410192.26,0.85899324,0.85503584,16.23117902,0.942167145,16.23117902,0.929297464,117332663.2,0.297301779
74,3729.6,74,0.016699232,0,0,0,0,16.22625399,475119.86,410099.94,0.858381,0.854791335,16.22625399,0.938888963,16.22625399,0.92669001,115607116.8,0.297301779
73,3679.2,73,0.01661526,0,0,0,0,16.20960459,474805.78,410010.86,0.857258934,0.854225815,16.20960459,0.939597031,16.20960459,0.924794917,114173239.8,0.297301779
72,3628.8,72,0.016573731,0,0,0,0,16.19319146,474738.2,410092.8,0.856298068,0.854093663,16.19319146,0.941810727,16.19319146,0.927374362,113394959.2,0.297301779
71,3578.4,71,0.016267237,0,0,0,0,16.18643738,474532.76,410082.98,0.855797174,0.853727426,16.18643738,0.938887429,16.18643738,0.92725405,113187281.2,0.297301779
70,3528,70,0.015476069,0,0,0,0,16.17418155,474232.06,410131.1,0.854629476,0.853188185,16.17418155,0.936655546,16.17418155,0.920213157,110967270.5,0.297301779
69,3477.6,69,0.015544974,0,0,0,0,16.15534356,473950.26,409961.42,0.853359553,0.852684998,16.15534356,0.938530019,16.15534356,0.921370792,110147485.1,0.297301779
68,3427.2,68,0.015640019,0,0,0,0,16.14049313,473874.22,410012.82,0.852485539,0.852545041,16.14049313,0.929879224,16.14049313,0.92120757,109351452.6,0.297301779
