Optimas, 506(0 5 2 1 4 3 6), 3025(4 1 2 0 3 6 5), 1680(2 3 0 1 4 5 6), 2147(2 6 5 1 4 3 0)
H-Axis, Max distance, Ratio,Ours,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
100,5040,100,170,1,123,122,0,35,5409,36625,5454,4944,34,50,42,57,5840,28
99,4989.6,99,16,0,0,0,0,27,4464,31641,3980,3618,27,56,27,41,4591,26
98,4939.2,98,13,0,0,0,0,27,4381,31563,3873,3496,25,28,25,40,4395,19
97,4888.8,97,12,0,0,0,0,26,4261,31728,3770,3542,40,28,25,40,4575,21
96,4838.4,96,12,0,0,0,0,57,4164,31701,3718,3529,25,27,25,40,4594,19
95,4788,95,13,0,0,0,0,27,4384,31640,3831,3639,25,27,25,39,4478,19
94,4737.6,94,12,0,0,0,0,25,4285,31695,3710,3341,26,27,25,40,4676,19
93,4687.2,93,12,0,0,0,0,26,4289,31417,3766,3518,24,27,25,42,4614,18
92,4636.8,92,13,0,0,0,0,26,4147,31059,3547,3338,43,45,25,40,4637,18
91,4586.4,91,11,0,0,0,0,26,4046,31571,3579,3427,25,27,25,40,4485,18
90,4536,90,11,0,0,0,0,26,4278,31819,3714,3403,25,28,25,40,4722,18
89,4485.6,89,13,0,0,0,0,26,4085,31277,3651,3246,26,32,25,41,4640,18
88,4435.2,88,12,0,0,0,0,28,4286,31426,3800,3536,29,28,28,44,4667,19
87,4384.8,87,12,0,0,0,0,28,4422,31487,3758,3592,25,28,26,65,4647,18
86,4334.4,86,14,0,0,0,0,26,4235,31618,3747,3433,26,31,25,41,4579,20
85,4284,85,13,0,0,0,0,62,4472,31825,3927,3620,25,28,26,40,4641,19
84,4233.6,84,13,0,0,0,0,30,4516,31676,3874,3608,25,27,77,43,4638,19
83,4183.2,83,11,0,0,0,0,26,4202,31389,3693,3286,25,29,25,40,4618,19
82,4132.8,82,12,0,0,0,0,27,4411,31708,3835,3619,52,30,26,42,4634,34
81,4082.4,81,18,0,0,0,0,30,4214,31309,3590,3293,30,28,25,45,4492,72
80,4032,80,11,0,0,0,0,29,4252,31874,3680,3498,26,27,25,40,4628,21
79,3981.6,79,15,0,0,0,0,42,4282,31444,3811,3676,25,28,25,39,4642,23
78,3931.2,78,14,0,0,0,0,26,4028,31489,3687,3407,96,90,25,39,4525,18
77,3880.8,77,12,0,0,0,0,41,3832,31213,3311,3162,26,27,25,40,4248,19
