Optimas, 421(0 4 3 5 1 6 2)
H-Axis, Max distance, Ratio,Ours,Dummy1,Dummy2,Dummy3,Dummy4,Ursem,Wineberg and Oppacher,Zhu et al.,Shi,Wang et al.,Li et al.,Cheng,Tilahun,Salleh et al.,Zhao et al.,Osuna Enciso et al.
100,5040,100,52,2,1,1,3,100,32537,208188,29338,28042,78,83,79,153,28801,184
99,4989.6,99,28,0,0,0,0,85,30107,200164,26801,25585,69,92,78,106,28322,47
98,4939.2,98,35,0,0,0,0,72,31098,201140,26751,26341,72,82,75,109,28061,49
97,4888.8,97,27,0,0,0,0,124,32175,202392,27579,27534,68,79,72,106,28545,48
96,4838.4,96,28,0,0,0,0,71,31219,203188,27268,26248,68,78,71,107,28454,47
95,4788,95,27,0,0,0,0,69,30735,201454,26862,25885,68,282,71,106,28344,47
94,4737.6,94,33,0,0,0,0,70,32683,202385,28084,27968,68,77,71,108,27961,47
93,4687.2,93,29,0,0,0,0,75,33443,202909,29224,29119,68,79,72,107,28862,48
92,4636.8,92,29,0,0,0,0,72,29300,200511,25720,24630,69,77,72,107,28404,47
91,4586.4,91,25,0,0,0,0,72,30675,200583,26595,26053,67,77,70,106,28579,47
90,4536,90,440,0,0,0,0,81,31331,204039,27453,26282,72,81,73,117,28060,51
89,4485.6,89,28,0,0,0,0,109,30720,203138,26511,25875,68,77,71,107,28720,116
88,4435.2,88,36,0,0,0,0,71,31194,200734,27033,26022,106,77,71,393,27772,47
87,4384.8,87,26,0,0,0,0,78,33759,205080,28460,28622,67,110,71,111,29207,65
86,4334.4,86,30,0,0,0,0,71,33256,205784,28711,28037,70,102,72,108,28695,378
85,4284,85,26,0,0,0,0,86,32133,203587,27745,27337,81,80,127,113,29154,49
84,4233.6,84,29,0,0,0,0,83,29392,202513,25799,24985,69,134,84,140,28668,53
83,4183.2,83,29,0,0,0,0,131,31270,203321,27408,26134,67,78,76,109,28302,310
